"date, price"
"2014-12-04","19.426666"
"2014-12-05","19.476667"
"2014-12-08","19.693333"
"2014-12-09","19.420000"
"2014-12-10","19.350000"
"2014-12-11","19.376667"
"2014-12-12","19.243334"
"2014-12-15","19.176666"
"2014-12-16","19.183332"
"2014-12-17","19.370001"
"2014-12-18","19.606667"
"2014-12-19","19.610001"
"2014-12-22","19.636667"
"2014-12-23","19.916668"
"2014-12-24","19.836666"
"2014-12-26","19.763332"
"2014-12-29","19.820000"
"2014-12-30","19.866667"
"2014-12-31","19.700001"
"2015-01-02","19.496668"
"2015-01-05","19.379999"
"2015-01-06","19.423332"
"2015-01-07","19.536667"
"2015-01-08","19.876667"
"2015-01-09","19.703333"
"2015-01-12","19.643333"
"2015-01-13","19.719999"
"2015-01-14","19.633333"
"2015-01-15","19.706667"
"2015-01-16","19.750000"
"2015-01-20","19.583332"
"2015-01-21","19.650000"
"2015-01-22","19.889999"
"2015-01-23","19.803333"
"2015-01-26","19.910000"
"2015-01-27","19.953333"
"2015-01-28","19.753332"
"2015-01-29","19.683332"
"2015-01-30","19.323334"
"2015-02-02","19.620001"
"2015-02-03","19.870001"
"2015-02-04","19.950001"
"2015-02-05","20.153334"
"2015-02-06","20.003332"
"2015-02-09","19.923332"
"2015-02-10","20.110001"
"2015-02-11","20.083332"
"2015-02-12","19.863333"
"2015-02-13","19.983334"
"2015-02-17","19.773333"
"2015-02-18","20.016666"
"2015-02-19","20.053333"
"2015-02-20","20.013332"
"2015-02-23","19.850000"
"2015-02-24","19.809999"
"2015-02-25","19.623333"
"2015-02-26","19.633333"
"2015-02-27","19.719999"
"2015-03-02","19.879999"
"2015-03-03","19.826668"
"2015-03-04","19.783333"
"2015-03-05","19.969999"
"2015-03-06","19.956667"
"2015-03-09","20.170000"
"2015-03-10","19.933332"
"2015-03-11","20.253332"
"2015-03-12","20.483334"
"2015-03-13","20.513332"
"2015-03-16","20.696667"
"2015-03-17","20.696667"
"2015-03-18","20.906668"
"2015-03-19","20.660000"
"2015-03-20","20.896667"
"2015-03-23","20.886667"
"2015-03-24","20.870001"
"2015-03-25","20.690001"
"2015-03-26","20.646667"
"2015-03-27","20.613333"
"2015-03-30","20.893333"
"2015-03-31","20.533333"
"2015-04-01","20.606667"
"2015-04-02","20.636667"
"2015-04-06","20.683332"
"2015-04-07","20.590000"
"2015-04-08","20.686666"
"2015-04-09","20.799999"
"2015-04-10","20.976667"
"2015-04-13","20.946667"
"2015-04-14","20.976667"
"2015-04-15","20.843332"
"2015-04-16","20.793333"
"2015-04-17","20.533333"
"2015-04-20","20.680000"
"2015-04-21","20.506666"
"2015-04-22","20.430000"
"2015-04-23","20.423332"
"2015-04-24","20.413334"
"2015-04-27","20.250000"
"2015-04-28","20.343332"
"2015-04-29","20.246668"
"2015-04-30","20.226667"
"2015-05-01","20.396667"
"2015-05-04","20.543333"
"2015-05-05","20.486668"
"2015-05-06","20.570000"
"2015-05-07","20.813334"
"2015-05-08","20.889999"
"2015-05-11","20.959999"
"2015-05-12","20.836666"
"2015-05-13","20.836666"
"2015-05-14","21.150000"
"2015-05-15","21.033333"
"2015-05-18","21.406668"
"2015-05-19","21.596666"
"2015-05-20","21.593332"
"2015-05-21","21.653334"
"2015-05-22","21.496668"
"2015-05-26","21.360001"
"2015-05-27","21.343332"
"2015-05-28","21.406668"
"2015-05-29","21.296667"
"2015-06-01","21.353333"
"2015-06-02","21.536667"
"2015-06-03","21.740000"
"2015-06-04","21.403334"
"2015-06-05","21.410000"
"2015-06-08","21.246668"
"2015-06-09","21.326668"
"2015-06-10","21.616667"
"2015-06-11","21.883333"
"2015-06-12","21.883333"
"2015-06-15","21.830000"
"2015-06-16","22.203333"
"2015-06-17","22.096666"
"2015-06-18","22.346666"
"2015-06-19","22.240000"
"2015-06-22","22.386667"
"2015-06-23","22.436666"
"2015-06-24","22.326668"
"2015-06-25","22.330000"
"2015-06-26","22.483334"
"2015-06-29","22.129999"
"2015-06-30","22.320000"
"2015-07-01","22.870001"
"2015-07-02","22.793333"
"2015-07-06","23.100000"
"2015-07-07","23.170000"
"2015-07-08","23.000000"
"2015-07-09","22.873333"
"2015-07-10","23.133333"
"2015-07-13","22.973333"
"2015-07-14","23.016666"
"2015-07-15","23.003332"
"2015-07-16","23.129999"
"2015-07-17","23.100000"
"2015-07-20","23.203333"
"2015-07-21","23.266666"
"2015-07-22","23.520000"
"2015-07-23","23.360001"
"2015-07-24","23.423332"
"2015-07-27","23.363333"
"2015-07-28","23.280001"
"2015-07-29","23.426666"
"2015-07-30","24.020000"
"2015-07-31","23.786667"
"2015-08-03","24.020000"
"2015-08-04","24.000000"
"2015-08-05","24.070000"
"2015-08-06","23.920000"
"2015-08-07","24.040001"
"2015-08-10","24.253332"
"2015-08-11","24.276667"
"2015-08-12","24.106667"
"2015-08-13","24.296667"
"2015-08-14","24.480000"
"2015-08-17","24.606667"
"2015-08-18","24.629999"
"2015-08-19","24.469999"
"2015-08-20","24.016666"
"2015-08-21","23.503332"
"2015-08-24","22.393333"
"2015-08-25","22.243334"
"2015-08-26","22.410000"
"2015-08-27","22.663334"
"2015-08-28","22.723333"
"2015-08-31","22.760000"
"2015-09-01","22.526667"
"2015-09-02","22.846666"
"2015-09-03","22.980000"
"2015-09-04","22.776667"
"2015-09-08","23.216667"
"2015-09-09","23.096666"
"2015-09-10","23.196667"
"2015-09-11","23.246668"
"2015-09-14","23.273333"
"2015-09-15","23.406668"
"2015-09-16","23.469999"
"2015-09-17","23.469999"
"2015-09-18","22.913334"
"2015-09-21","23.286667"
"2015-09-22","23.196667"
