"date, price"
"2014-12-04","107.349998"
"2014-12-05","109.269997"
"2014-12-08","107.919998"
"2014-12-09","107.919998"
"2014-12-10","107.010002"
"2014-12-11","107.019997"
"2014-12-12","106.019997"
"2014-12-15","103.349998"
"2014-12-16","104.809998"
"2014-12-17","105.690002"
"2014-12-18","108.110001"
"2014-12-19","106.839996"
"2014-12-22","109.519997"
"2014-12-23","109.129997"
"2014-12-24","109.639999"
"2014-12-26","109.300003"
"2014-12-29","109.379997"
"2014-12-30","108.199997"
"2014-12-31","107.830002"
"2015-01-02","107.400002"
"2015-01-05","103.790001"
"2015-01-06","100.720001"
"2015-01-07","101.290001"
"2015-01-08","103.410004"
"2015-01-09","102.089996"
"2015-01-12","103.449997"
"2015-01-13","103.449997"
"2015-01-14","103.110001"
"2015-01-15","101.959999"
"2015-01-16","103.040001"
"2015-01-20","103.809998"
"2015-01-21","106.589996"
"2015-01-22","107.599998"
"2015-01-23","105.309998"
"2015-01-26","107.320000"
"2015-01-27","106.330002"
"2015-01-28","104.639999"
"2015-01-29","106.139999"
"2015-01-30","103.940002"
"2015-02-02","103.050003"
"2015-02-03","103.889999"
"2015-02-04","101.839996"
"2015-02-05","103.099998"
"2015-02-06","100.790001"
"2015-02-09","98.650002"
"2015-02-10","102.099998"
"2015-02-11","103.419998"
"2015-02-12","104.040001"
"2015-02-13","104.480003"
"2015-02-17","102.970001"
"2015-02-18","103.709999"
"2015-02-19","104.599998"
"2015-02-20","104.849998"
"2015-02-23","105.120003"
"2015-02-24","110.750000"
"2015-02-25","108.970001"
"2015-02-26","107.910004"
"2015-02-27","107.680000"
"2015-03-02","109.930000"
"2015-03-03","108.489998"
"2015-03-04","108.510002"
"2015-03-05","109.349998"
"2015-03-06","107.320000"
"2015-03-09","107.930000"
"2015-03-10","106.150002"
"2015-03-11","106.680000"
"2015-03-12","104.800003"
"2015-03-13","105.480003"
"2015-03-16","107.809998"
"2015-03-17","106.769997"
"2015-03-18","106.820000"
"2015-03-19","107.139999"
"2015-03-20","110.160004"
"2015-03-23","110.720001"
"2015-03-24","110.389999"
"2015-03-25","104.629997"
"2015-03-26","99.080002"
"2015-03-27","101.860001"
"2015-03-30","103.120003"
"2015-03-31","101.029999"
"2015-04-01","100.339996"
"2015-04-02","100.739998"
"2015-04-06","100.230003"
"2015-04-07","100.169998"
"2015-04-08","99.970001"
"2015-04-09","100.739998"
"2015-04-10","100.019997"
"2015-04-13","99.809998"
"2015-04-14","99.970001"
"2015-04-15","96.139999"
"2015-04-16","95.120003"
"2015-04-17","94.500000"
"2015-04-20","96.080002"
"2015-04-21","97.750000"
"2015-04-22","107.809998"
"2015-04-23","108.690002"
"2015-04-24","107.160004"
"2015-04-27","109.709999"
"2015-04-28","109.790001"
"2015-04-29","107.639999"
"2015-04-30","107.040001"
"2015-05-01","108.370003"
"2015-05-04","107.889999"
"2015-05-05","105.440002"
"2015-05-06","105.800003"
"2015-05-07","106.220001"
"2015-05-08","107.739998"
"2015-05-11","108.620003"
"2015-05-12","108.629997"
"2015-05-13","108.580002"
"2015-05-14","110.580002"
"2015-05-15","111.050003"
"2015-05-18","111.019997"
"2015-05-19","111.220001"
"2015-05-20","111.639999"
"2015-05-21","111.529999"
"2015-05-22","110.980003"
"2015-05-26","108.970001"
"2015-05-27","112.529999"
"2015-05-28","113.800003"
"2015-05-29","112.300003"
"2015-06-01","111.629997"
"2015-06-02","110.050003"
"2015-06-03","111.720001"
"2015-06-04","110.589996"
"2015-06-05","109.099998"
"2015-06-08","107.800003"
"2015-06-09","108.250000"
"2015-06-10","108.989998"
"2015-06-11","110.000000"
"2015-06-12","107.910004"
"2015-06-15","108.379997"
"2015-06-16","109.209999"
"2015-06-17","107.820000"
"2015-06-18","108.930000"
"2015-06-19","108.809998"
"2015-06-22","111.910004"
"2015-06-23","111.010002"
"2015-06-24","109.970001"
"2015-06-25","110.260002"
"2015-06-26","108.779999"
"2015-06-29","104.559998"
"2015-06-30","104.129997"
"2015-07-01","105.650002"
"2015-07-02","104.599998"
"2015-07-06","101.919998"
"2015-07-07","100.160004"
"2015-07-08","97.139999"
"2015-07-09","99.620003"
"2015-07-10","102.699997"
"2015-07-13","103.300003"
"2015-07-14","103.070000"
"2015-07-15","106.680000"
"2015-07-16","100.360001"
"2015-07-17","100.550003"
"2015-07-20","101.000000"
"2015-07-21","100.900002"
"2015-07-22","100.839996"
"2015-07-23","101.930000"
"2015-07-24","98.529999"
"2015-07-27","98.629997"
"2015-07-28","99.080002"
"2015-07-29","99.019997"
"2015-07-30","99.089996"
"2015-07-31","99.169998"
"2015-08-03","98.139999"
"2015-08-04","96.790001"
"2015-08-05","98.629997"
"2015-08-06","96.360001"
"2015-08-07","96.970001"
"2015-08-10","99.419998"
"2015-08-11","99.190002"
"2015-08-12","97.080002"
"2015-08-13","94.720001"
"2015-08-14","92.690002"
"2015-08-17","93.169998"
"2015-08-18","92.849998"
"2015-08-19","90.919998"
"2015-08-20","87.440002"
"2015-08-21","85.910004"
"2015-08-24","85.300003"
"2015-08-25","87.010002"
"2015-08-26","88.400002"
"2015-08-27","91.910004"
"2015-08-28","91.980003"
"2015-08-31","91.019997"
"2015-09-01","89.160004"
"2015-09-02","90.629997"
"2015-09-03","92.680000"
"2015-09-04","91.370003"
"2015-09-08","93.879997"
"2015-09-09","91.070000"
"2015-09-10","92.209999"
"2015-09-11","91.680000"
"2015-09-14","90.930000"
"2015-09-15","93.330002"
"2015-09-16","93.709999"
"2015-09-17","92.790001"
"2015-09-18","90.010002"
"2015-09-21","89.400002"
"2015-09-22","86.680000"
"2015-09-23","83.879997"
"2015-09-24","84.199997"
"2015-09-25","85.349998"
"2015-09-28","83.080002"
"2015-09-29","85.209999"
"2015-09-30","87.980003"
"2015-10-01","85.970001"
"2015-10-02","88.410004"
"2015-10-05","89.389999"
"2015-10-06","90.050003"
"2015-10-07","90.059998"
"2015-10-08","91.379997"
"2015-10-09","90.870003"
"2015-10-12","89.860001"
"2015-10-13","87.309998"
"2015-10-14","87.269997"
"2015-10-15","88.500000"
"2015-10-16","88.650002"
"2015-10-19","88.779999"
"2015-10-20","89.019997"
"2015-10-21","90.010002"
"2015-10-22","92.320000"
"2015-10-23","93.639999"
"2015-10-26","92.290001"
"2015-10-27","91.550003"
"2015-10-28","93.339996"
"2015-10-29","92.059998"
"2015-10-30","92.790001"
"2015-11-02","94.110001"
"2015-11-03","95.110001"
"2015-11-04","95.570000"
"2015-11-05","95.209999"
"2015-11-06","96.330002"
"2015-11-09","95.720001"
"2015-11-10","93.519997"
"2015-11-11","93.949997"
"2015-11-12","92.769997"
"2015-11-13","91.400002"
"2015-11-16","92.290001"
"2015-11-17","91.980003"
"2015-11-18","93.150002"
"2015-11-19","93.279999"
"2015-11-20","91.440002"
"2015-11-23","90.269997"
"2015-11-24","90.330002"
"2015-11-25","90.970001"
"2015-11-27","92.489998"
"2015-11-30","92.720001"
"2015-12-01","93.239998"
"2015-12-02","92.320000"
"2015-12-03","90.970001"
"2015-12-04","92.000000"
"2015-12-07","91.320000"
"2015-12-08","90.519997"
"2015-12-09","89.870003"
"2015-12-10","89.150002"
"2015-12-11","87.279999"
"2015-12-14","86.459999"
"2015-12-15","88.839996"
"2015-12-16","89.360001"
"2015-12-17","87.930000"
"2015-12-18","87.419998"
"2015-12-21","89.230003"
"2015-12-22","90.400002"
"2015-12-23","91.320000"
"2015-12-24","91.440002"
"2015-12-28","91.570000"
"2015-12-29","91.919998"
"2015-12-30","91.339996"
"2015-12-31","88.769997"
"2016-01-04","87.300003"
"2016-01-05","86.419998"
"2016-01-06","84.610001"
"2016-01-07","82.489998"
"2016-01-08","80.279999"
"2016-01-11","82.309998"
"2016-01-12","82.650002"
"2016-01-13","80.010002"
"2016-01-14","82.900002"
"2016-01-15","77.470001"
"2016-01-19","80.320000"
"2016-01-20","85.260002"
"2016-01-21","87.360001"
"2016-01-22","90.360001"
"2016-01-25","89.720001"
"2016-01-26","90.190002"
"2016-01-27","89.709999"
"2016-01-28","89.809998"
"2016-01-29","91.839996"
"2016-02-01","92.239998"
"2016-02-02","88.510002"
"2016-02-03","90.980003"
"2016-02-04","91.470001"
"2016-02-05","88.360001"
"2016-02-08","86.360001"
"2016-02-09","84.970001"
"2016-02-10","81.739998"
"2016-02-11","81.809998"
"2016-02-12","82.040001"
"2016-02-16","83.980003"
"2016-02-17","86.279999"
"2016-02-18","85.919998"
"2016-02-19","88.010002"
"2016-02-22","87.919998"
"2016-02-23","88.580002"
"2016-02-24","89.209999"
"2016-02-25","89.919998"
"2016-02-26","90.820000"
"2016-02-29","91.019997"
"2016-03-01","93.790001"
"2016-03-02","93.339996"
"2016-03-03","94.699997"
"2016-03-04","95.349998"
"2016-03-07","96.040001"
"2016-03-08","93.790001"
"2016-03-09","94.110001"
"2016-03-10","95.940002"
"2016-03-11","97.750000"
"2016-03-14","96.989998"
"2016-03-15","96.589996"
"2016-03-16","97.279999"
"2016-03-17","97.760002"
"2016-03-18","97.980003"
"2016-03-21","97.820000"
"2016-03-22","98.239998"
"2016-03-23","97.709999"
"2016-03-24","96.930000"
"2016-03-28","97.470001"
"2016-03-29","100.029999"
"2016-03-30","101.150002"
"2016-03-31","100.389999"
"2016-04-01","100.570000"
"2016-04-04","101.629997"
"2016-04-05","99.519997"
"2016-04-06","101.099998"
"2016-04-07","100.089996"
"2016-04-08","100.650002"
"2016-04-11","100.250000"
"2016-04-12","100.849998"
"2016-04-13","102.050003"
"2016-04-14","100.370003"
"2016-04-15","99.550003"
"2016-04-18","99.230003"
"2016-04-19","99.750000"
"2016-04-20","96.430000"
"2016-04-21","95.820000"
"2016-04-22","95.870003"
"2016-04-25","96.129997"
"2016-04-26","96.410004"
"2016-04-27","99.239998"
"2016-04-28","98.010002"
"2016-04-29","96.599998"
"2016-05-02","97.459999"
"2016-05-03","94.419998"
"2016-05-04","93.779999"
"2016-05-05","92.900002"
"2016-05-06","92.330002"
"2016-05-09","92.989998"
"2016-05-10","93.349998"
"2016-05-11","92.580002"
"2016-05-12","91.529999"
"2016-05-13","91.300003"
"2016-05-16","95.830002"
"2016-05-17","94.300003"
"2016-05-18","94.519997"
"2016-05-19","93.309998"
"2016-05-20","95.480003"
"2016-05-23","95.699997"
"2016-05-24","97.519997"
"2016-05-25","98.919998"
"2016-05-26","99.410004"
"2016-05-27","100.080002"
"2016-05-31","99.980003"
"2016-06-01","99.849998"
"2016-06-02","100.139999"
"2016-06-03","100.849998"
"2016-06-06","100.070000"
"2016-06-07","101.190002"
"2016-06-08","101.099998"
"2016-06-09","100.550003"
"2016-06-10","97.379997"
"2016-06-13","96.330002"
"2016-06-14","94.599998"
"2016-06-15","94.180000"
"2016-06-16","95.570000"
"2016-06-17","94.650002"
"2016-06-20","96.849998"
"2016-06-21","98.489998"
"2016-06-22","98.750000"
"2016-06-23","101.389999"
"2016-06-24","95.010002"
"2016-06-27","92.500000"
"2016-06-28","94.400002"
"2016-06-29","96.110001"
"2016-06-30","99.209999"
"2016-07-01","98.440002"
"2016-07-05","95.339996"
"2016-07-06","94.889999"
"2016-07-07","94.610001"
"2016-07-08","97.220001"
"2016-07-11","99.760002"
"2016-07-12","100.879997"
"2016-07-13","101.110001"
"2016-07-14","102.970001"
"2016-07-15","101.610001"
"2016-07-18","103.129997"
"2016-07-19","105.629997"
"2016-07-20","108.160004"
"2016-07-21","105.480003"
"2016-07-22","105.629997"
"2016-07-25","106.480003"
"2016-07-26","108.769997"
"2016-07-27","109.559998"
"2016-07-28","110.080002"
"2016-07-29","109.620003"
"2016-08-01","109.699997"
"2016-08-02","109.379997"
"2016-08-03","108.449997"
"2016-08-04","110.089996"
"2016-08-05","109.599998"
"2016-08-08","109.250000"
"2016-08-09","109.889999"
"2016-08-10","109.489998"
"2016-08-11","110.690002"
"2016-08-12","110.269997"
"2016-08-15","110.830002"
"2016-08-16","107.949997"
"2016-08-17","105.449997"
"2016-08-18","106.029999"
"2016-08-19","106.730003"
"2016-08-22","107.160004"
"2016-08-23","108.489998"
"2016-08-24","106.680000"
"2016-08-25","106.470001"
"2016-08-26","106.309998"
"2016-08-29","107.080002"
"2016-08-30","107.519997"
"2016-08-31","106.550003"
"2016-09-01","107.489998"
"2016-09-02","107.860001"
"2016-09-06","107.930000"
"2016-09-07","106.330002"
"2016-09-08","104.080002"
"2016-09-09","101.709999"
"2016-09-12","103.139999"
"2016-09-13","101.739998"
"2016-09-14","101.980003"
"2016-09-15","103.639999"
"2016-09-16","102.199997"
"2016-09-19","103.339996"
"2016-09-20","104.879997"
"2016-09-21","106.709999"
"2016-09-22","108.790001"
