"date, price"
"2014-12-04","64.889999"
"2014-12-05","65.129997"
"2014-12-08","63.930000"
"2014-12-09","64.000000"
"2014-12-10","62.680000"
"2014-12-11","63.549999"
"2014-12-12","62.810001"
"2014-12-15","63.349998"
"2014-12-16","65.239998"
"2014-12-17","66.550003"
"2014-12-18","66.129997"
"2014-12-19","66.430000"
"2014-12-22","67.540001"
"2014-12-23","68.349998"
"2014-12-24","66.800003"
"2014-12-26","67.849998"
"2014-12-29","67.110001"
"2014-12-30","66.089996"
"2014-12-31","66.639999"
"2015-01-02","64.180000"
"2015-01-05","62.259998"
"2015-01-06","60.560001"
"2015-01-07","60.939999"
"2015-01-08","62.439999"
"2015-01-09","61.169998"
"2015-01-12","61.369999"
"2015-01-13","61.290001"
"2015-01-14","61.570000"
"2015-01-15","60.029999"
"2015-01-16","61.910000"
"2015-01-20","57.080002"
"2015-01-21","52.799999"
"2015-01-22","55.560001"
"2015-01-23","54.000000"
"2015-01-26","54.080002"
"2015-01-27","53.740002"
"2015-01-28","53.430000"
"2015-01-29","54.590000"
"2015-01-30","52.970001"
"2015-02-02","53.110001"
"2015-02-03","54.610001"
"2015-02-04","53.660000"
"2015-02-05","55.209999"
"2015-02-06","55.820000"
"2015-02-09","54.360001"
"2015-02-10","54.139999"
"2015-02-11","54.959999"
"2015-02-12","57.340000"
"2015-02-13","58.180000"
"2015-02-17","57.880001"
"2015-02-18","58.400002"
"2015-02-19","58.520000"
"2015-02-20","58.900002"
"2015-02-23","59.380001"
"2015-02-24","57.709999"
"2015-02-25","59.459999"
"2015-02-26","61.320000"
"2015-02-27","58.919998"
"2015-03-02","59.240002"
"2015-03-03","58.369999"
"2015-03-04","57.680000"
"2015-03-05","57.299999"
"2015-03-06","56.099998"
"2015-03-09","56.430000"
"2015-03-10","55.720001"
"2015-03-11","56.709999"
"2015-03-12","56.730000"
"2015-03-13","56.669998"
"2015-03-16","56.200001"
"2015-03-17","55.930000"
"2015-03-18","55.590000"
"2015-03-19","55.529999"
"2015-03-20","55.439999"
"2015-03-23","55.900002"
"2015-03-24","56.520000"
"2015-03-25","56.549999"
"2015-03-26","56.889999"
"2015-03-27","56.400002"
"2015-03-30","56.119999"
"2015-03-31","55.380001"
"2015-04-01","55.820000"
"2015-04-02","56.279999"
"2015-04-06","55.790001"
"2015-04-07","55.750000"
"2015-04-08","55.840000"
"2015-04-09","55.849998"
"2015-04-10","55.220001"
"2015-04-13","53.860001"
"2015-04-14","54.520000"
"2015-04-15","56.630001"
"2015-04-16","57.430000"
"2015-04-17","57.290001"
"2015-04-20","57.419998"
"2015-04-21","56.720001"
"2015-04-22","55.720001"
"2015-04-23","54.799999"
"2015-04-24","54.869999"
"2015-04-27","54.639999"
"2015-04-28","54.869999"
"2015-04-29","53.790001"
"2015-04-30","52.419998"
"2015-05-01","52.630001"
"2015-05-04","53.009998"
"2015-05-05","54.560001"
"2015-05-06","57.450001"
"2015-05-07","57.980000"
"2015-05-08","57.180000"
"2015-05-11","56.750000"
"2015-05-12","56.090000"
"2015-05-13","56.180000"
"2015-05-14","57.310001"
"2015-05-15","57.660000"
"2015-05-18","59.080002"
"2015-05-19","58.340000"
"2015-05-20","58.389999"
"2015-05-21","59.009998"
"2015-05-22","58.110001"
"2015-05-26","57.840000"
"2015-05-27","57.939999"
"2015-05-28","57.380001"
"2015-05-29","56.459999"
"2015-06-01","56.849998"
"2015-06-02","57.480000"
"2015-06-03","58.880001"
"2015-06-04","57.660000"
"2015-06-05","58.490002"
"2015-06-08","58.639999"
"2015-06-09","59.099998"
"2015-06-10","60.500000"
"2015-06-11","61.020000"
"2015-06-12","61.459999"
"2015-06-15","61.720001"
"2015-06-16","63.080002"
"2015-06-17","63.150002"
"2015-06-18","63.759998"
"2015-06-19","64.000000"
"2015-06-22","63.880001"
"2015-06-23","63.810001"
"2015-06-24","58.419998"
"2015-06-25","57.939999"
"2015-06-26","58.549999"
"2015-06-29","56.220001"
"2015-06-30","55.720001"
"2015-07-01","56.810001"
"2015-07-02","56.410000"
"2015-07-06","56.180000"
"2015-07-07","55.340000"
"2015-07-08","53.490002"
"2015-07-09","54.000000"
"2015-07-10","55.490002"
"2015-07-13","55.049999"
"2015-07-14","55.430000"
"2015-07-15","55.590000"
"2015-07-16","56.049999"
"2015-07-17","55.650002"
"2015-07-20","56.009998"
"2015-07-21","55.060001"
"2015-07-22","56.029999"
"2015-07-23","55.310001"
"2015-07-24","54.799999"
"2015-07-27","55.619999"
"2015-07-28","56.419998"
"2015-07-29","56.080002"
"2015-07-30","55.150002"
"2015-07-31","56.669998"
"2015-08-03","56.090000"
"2015-08-04","58.540001"
"2015-08-05","61.490002"
"2015-08-06","61.560001"
"2015-08-07","61.720001"
"2015-08-10","61.290001"
"2015-08-11","62.000000"
"2015-08-12","61.020000"
"2015-08-13","60.939999"
"2015-08-14","60.400002"
"2015-08-17","61.029999"
"2015-08-18","60.700001"
"2015-08-19","60.509998"
"2015-08-20","59.000000"
"2015-08-21","57.759998"
"2015-08-24","56.740002"
"2015-08-25","55.189999"
"2015-08-26","56.720001"
"2015-08-27","57.779999"
"2015-08-28","58.230000"
"2015-08-31","58.529999"
"2015-09-01","57.709999"
"2015-09-02","58.730000"
"2015-09-03","57.160000"
"2015-09-04","57.369999"
"2015-09-08","57.549999"
"2015-09-09","57.349998"
"2015-09-10","57.139999"
"2015-09-11","57.529999"
"2015-09-14","56.470001"
"2015-09-15","58.380001"
"2015-09-16","60.320000"
"2015-09-17","60.419998"
"2015-09-18","60.270000"
"2015-09-21","60.490002"
"2015-09-22","59.250000"
"2015-09-23","58.820000"
"2015-09-24","60.020000"
"2015-09-25","61.230000"
"2015-09-28","60.009998"
"2015-09-29","59.700001"
"2015-09-30","60.770000"
"2015-10-01","60.340000"
"2015-10-02","61.740002"
"2015-10-05","62.959999"
"2015-10-06","63.130001"
"2015-10-07","63.349998"
"2015-10-08","64.669998"
"2015-10-09","66.230003"
"2015-10-12","66.190002"
"2015-10-13","66.290001"
"2015-10-14","65.809998"
"2015-10-15","66.889999"
"2015-10-16","68.099998"
"2015-10-19","68.389999"
"2015-10-20","66.500000"
"2015-10-21","65.680000"
"2015-10-22","66.230003"
"2015-10-23","67.150002"
"2015-10-26","67.040001"
"2015-10-27","66.139999"
"2015-10-28","68.820000"
"2015-10-29","69.650002"
"2015-10-30","68.300003"
"2015-11-02","68.879997"
"2015-11-03","66.000000"
"2015-11-04","64.239998"
"2015-11-05","64.690002"
"2015-11-06","65.019997"
"2015-11-09","64.970001"
"2015-11-10","65.209999"
"2015-11-11","64.580002"
"2015-11-12","62.500000"
"2015-11-13","62.709999"
"2015-11-16","63.090000"
"2015-11-17","64.389999"
"2015-11-18","65.559998"
"2015-11-19","64.379997"
"2015-11-20","65.099998"
"2015-11-23","65.120003"
"2015-11-24","67.570000"
"2015-11-25","67.449997"
"2015-11-27","67.709999"
"2015-11-30","68.489998"
"2015-12-01","67.769997"
"2015-12-02","67.910004"
"2015-12-03","68.260002"
"2015-12-04","68.879997"
"2015-12-07","66.150002"
"2015-12-08","65.059998"
"2015-12-09","64.370003"
"2015-12-10","62.950001"
"2015-12-11","62.770000"
"2015-12-14","61.259998"
"2015-12-15","61.720001"
"2015-12-16","62.349998"
"2015-12-17","61.810001"
"2015-12-18","61.209999"
"2015-12-21","61.810001"
"2015-12-22","61.869999"
"2015-12-23","62.669998"
"2015-12-24","62.439999"
"2015-12-28","62.799999"
"2015-12-29","63.230000"
"2015-12-30","62.180000"
"2015-12-31","60.799999"
"2016-01-04","58.119999"
"2016-01-05","59.799999"
"2016-01-06","60.090000"
"2016-01-07","58.930000"
"2016-01-08","58.919998"
"2016-01-11","58.529999"
"2016-01-12","57.360001"
"2016-01-13","55.959999"
"2016-01-14","57.689999"
"2016-01-15","57.570000"
"2016-01-19","54.380001"
"2016-01-20","55.680000"
"2016-01-21","54.450001"
"2016-01-22","55.160000"
"2016-01-25","53.560001"
"2016-01-26","54.770000"
"2016-01-27","53.340000"
"2016-01-28","54.119999"
"2016-01-29","56.139999"
"2016-02-01","56.580002"
"2016-02-02","63.070000"
"2016-02-03","65.019997"
"2016-02-04","62.459999"
"2016-02-05","61.419998"
"2016-02-08","61.970001"
"2016-02-09","62.660000"
"2016-02-10","62.099998"
"2016-02-11","61.759998"
"2016-02-12","63.110001"
"2016-02-16","64.300003"
"2016-02-17","63.150002"
"2016-02-18","63.070000"
"2016-02-19","62.730000"
"2016-02-22","61.950001"
"2016-02-23","60.849998"
"2016-02-24","62.610001"
"2016-02-25","62.509998"
"2016-02-26","63.049999"
"2016-02-29","63.270000"
"2016-03-01","62.810001"
"2016-03-02","63.630001"
"2016-03-03","63.560001"
"2016-03-04","65.070000"
"2016-03-07","64.980003"
"2016-03-08","58.930000"
