"date, price"
"2016-02-03","28.320000"
"2016-02-04","30.500000"
"2016-02-05","33.910000"
"2016-02-08","31.520000"
"2016-02-09","27.660000"
"2016-02-10","26.879999"
"2016-02-11","24.100000"
"2016-02-12","23.980000"
"2016-02-16","25.129999"
"2016-02-17","26.059999"
"2016-02-18","26.650000"
"2016-02-19","27.030001"
"2016-02-22","27.469999"
"2016-02-23","27.150000"
"2016-02-24","27.840000"
"2016-02-25","28.950001"
"2016-02-26","29.750000"
"2016-02-29","29.270000"
"2016-03-01","29.889999"
"2016-03-02","31.180000"
"2016-03-03","32.150002"
"2016-03-04","32.369999"
"2016-03-07","29.790001"
"2016-03-08","28.700001"
"2016-03-09","28.770000"
"2016-03-10","28.000000"
"2016-03-11","27.879999"
"2016-03-14","27.000000"
"2016-03-15","26.780001"
"2016-03-16","25.980000"
"2016-03-17","26.030001"
"2016-03-18","27.690001"
"2016-03-21","29.299999"
"2016-03-22","30.520000"
"2016-03-23","28.250000"
"2016-03-24","28.030001"
"2016-03-28","27.030001"
"2016-03-29","27.670000"
"2016-03-30","28.600000"
"2016-03-31","29.309999"
"2016-04-01","29.209999"
"2016-04-04","29.969999"
"2016-04-05","29.510000"
"2016-04-06","31.580000"
"2016-04-07","31.299999"
"2016-04-08","31.250000"
"2016-04-11","32.459999"
"2016-04-12","31.530001"
"2016-04-13","31.540001"
"2016-04-14","31.290001"
"2016-04-15","31.920000"
"2016-04-18","31.070000"
"2016-04-19","31.160000"
"2016-04-20","30.190001"
"2016-04-21","29.709999"
"2016-04-22","29.910000"
"2016-04-25","28.969999"
"2016-04-26","28.600000"
"2016-04-27","27.270000"
"2016-04-28","26.879999"
"2016-04-29","27.760000"
"2016-05-02","27.170000"
"2016-05-03","26.549999"
"2016-05-04","26.260000"
"2016-05-05","26.250000"
"2016-05-06","26.240000"
"2016-05-09","27.670000"
"2016-05-10","27.770000"
"2016-05-11","28.190001"
"2016-05-12","26.850000"
"2016-05-13","27.500000"
"2016-05-16","27.650000"
"2016-05-17","27.100000"
"2016-05-18","27.309999"
"2016-05-19","27.090000"
"2016-05-20","26.920000"
"2016-05-23","27.820000"
"2016-05-24","27.620001"
"2016-05-25","27.830000"
"2016-05-26","27.580000"
"2016-05-27","27.260000"
"2016-05-31","28.250000"
"2016-06-01","29.459999"
"2016-06-02","31.030001"
"2016-06-03","31.690001"
"2016-06-06","33.110001"
"2016-06-07","32.529999"
"2016-06-08","32.049999"
"2016-06-09","30.270000"
"2016-06-10","29.670000"
"2016-06-13","29.219999"
"2016-06-14","29.610001"
"2016-06-15","31.049999"
"2016-06-16","29.920000"
"2016-06-17","31.100000"
"2016-06-20","29.969999"
"2016-06-21","31.770000"
"2016-06-22","31.980000"
"2016-06-23","30.740000"
"2016-06-24","28.240000"
"2016-06-27","28.000000"
"2016-06-28","29.530001"
"2016-06-29","30.030001"
"2016-06-30","29.799999"
"2016-07-01","29.639999"
"2016-07-05","29.320000"
"2016-07-06","28.750000"
"2016-07-07","28.809999"
"2016-07-08","29.180000"
"2016-07-11","30.059999"
"2016-07-12","29.500000"
"2016-07-13","29.750000"
"2016-07-14","29.389999"
"2016-07-15","29.540001"
"2016-07-18","28.730000"
"2016-07-19","28.010000"
"2016-07-20","29.120001"
"2016-07-21","27.629999"
"2016-07-22","27.299999"
"2016-07-25","27.070000"
"2016-07-26","26.910000"
"2016-07-27","27.379999"
"2016-07-28","27.400000"
"2016-07-29","26.240000"
"2016-08-01","25.930000"
"2016-08-02","25.719999"
"2016-08-03","26.590000"
"2016-08-04","26.110001"
"2016-08-05","26.490000"
"2016-08-08","26.540001"
"2016-08-09","27.290001"
"2016-08-10","27.510000"
"2016-08-11","27.500000"
"2016-08-12","28.150000"
"2016-08-15","28.930000"
"2016-08-16","29.360001"
"2016-08-17","28.219999"
"2016-08-18","28.709999"
"2016-08-19","29.600000"
"2016-08-22","29.100000"
"2016-08-23","29.410000"
"2016-08-24","28.000000"
"2016-08-25","28.000000"
"2016-08-26","27.990000"
"2016-08-29","28.530001"
"2016-08-30","29.250000"
"2016-08-31","28.709999"
"2016-09-01","29.400000"
"2016-09-02","29.490000"
"2016-09-06","29.771999"
"2016-09-07","30.450001"
"2016-09-08","31.580000"
"2016-09-09","30.280001"
"2016-09-12","31.400000"
"2016-09-13","31.670000"
"2016-09-14","33.580002"
"2016-09-15","32.450001"
"2016-09-16","32.650002"
"2016-09-19","30.889999"
"2016-09-20","30.980000"
"2016-09-21","30.980000"
"2016-09-22","31.180000"
"2016-09-23","30.490000"
"2016-09-26","29.500000"
"2016-09-27","29.490000"
"2016-09-28","30.230000"
"2016-09-29","29.719999"
"2016-09-30","30.809999"
"2016-10-03","31.000000"
"2016-10-04","30.709999"
"2016-10-05","31.680000"
"2016-10-06","31.790001"
"2016-10-07","31.840000"
"2016-10-10","32.110001"
"2016-10-11","32.180000"
"2016-10-12","31.400000"
"2016-10-13","31.959999"
"2016-10-14","31.520000"
"2016-10-17","32.529999"
"2016-10-18","32.889999"
"2016-10-19","32.830002"
"2016-10-20","32.980000"
"2016-10-21","33.130001"
"2016-10-24","33.139999"
"2016-10-25","33.270000"
"2016-10-26","32.910000"
"2016-10-27","32.810001"
"2016-10-28","33.470001"
"2016-10-31","33.240002"
"2016-11-01","33.430000"
"2016-11-02","33.060001"
"2016-11-03","31.280001"
"2016-11-04","31.600000"
"2016-11-07","31.940001"
"2016-11-08","32.599998"
"2016-11-09","33.799999"
"2016-11-10","35.919998"
"2016-11-11","32.200001"
"2016-11-14","35.049999"
"2016-11-15","36.310001"
"2016-11-16","36.900002"
"2016-11-17","32.700001"
"2016-11-18","32.000000"
"2016-11-21","31.510000"
"2016-11-22","31.469999"
"2016-11-23","32.000000"
"2016-11-25","32.410000"
"2016-11-28","30.879999"
"2016-11-29","31.590000"
"2016-11-30","31.700001"
"2016-12-01","30.799999"
"2016-12-02","30.860001"
"2016-12-05","28.309999"
"2016-12-06","27.969999"
"2016-12-07","27.930000"
"2016-12-08","26.950001"
"2016-12-09","27.200001"
"2016-12-12","28.610001"
"2016-12-13","29.340000"
"2016-12-14","28.950001"
"2016-12-15","29.770000"
"2016-12-16","29.610001"
"2016-12-19","29.230000"
"2016-12-20","28.120001"
"2016-12-21","28.639999"
"2016-12-22","28.920000"
"2016-12-23","30.010000"
"2016-12-27","29.590000"
"2016-12-28","29.719999"
"2016-12-29","29.170000"
"2016-12-30","30.360001"
"2017-01-03","31.049999"
"2017-01-04","31.770000"
"2017-01-05","31.020000"
"2017-01-06","30.809999"
"2017-01-09","31.530001"
"2017-01-10","31.490000"
"2017-01-11","31.299999"
"2017-01-12","31.850000"
"2017-01-13","32.689999"
"2017-01-17","32.889999"
"2017-01-18","32.799999"
"2017-01-19","32.459999"
"2017-01-20","32.009998"
"2017-01-23","32.389999"
"2017-01-24","33.000000"
"2017-01-25","35.720001"
"2017-01-26","35.820000"
"2017-01-27","36.349998"
"2017-01-30","34.110001"
"2017-01-31","34.840000"
"2017-02-01","36.000000"
"2017-02-02","36.029999"
"2017-02-03","35.880001"
"2017-02-06","35.919998"
"2017-02-07","34.730000"
"2017-02-08","36.110001"
"2017-02-09","35.349998"
"2017-02-10","36.000000"
"2017-02-13","36.060001"
"2017-02-14","37.630001"
"2017-02-15","40.430000"
"2017-02-16","40.779999"
"2017-02-17","40.750000"
"2017-02-21","39.700001"
"2017-02-22","39.750000"
"2017-02-23","37.910000"
"2017-02-24","38.570000"
"2017-02-27","38.060001"
"2017-02-28","38.970001"
"2017-03-01","40.419998"
"2017-03-02","40.099998"
"2017-03-03","40.770000"
"2017-03-06","39.820000"
"2017-03-07","39.549999"
"2017-03-08","39.880001"
"2017-03-09","39.639999"
"2017-03-10","39.990002"
"2017-03-13","39.650002"
"2017-03-14","39.230000"
"2017-03-15","39.790001"
"2017-03-16","39.070000"
"2017-03-17","39.549999"
"2017-03-20","39.560001"
"2017-03-21","37.889999"
"2017-03-22","38.000000"
"2017-03-23","36.820000"
"2017-03-24","36.299999"
"2017-03-27","36.320000"
"2017-03-28","36.209999"
"2017-03-29","36.794998"
"2017-03-30","36.590000"
"2017-03-31","36.610001"
"2017-04-03","36.610001"
"2017-04-04","37.220001"
"2017-04-05","36.480000"
"2017-04-06","37.029999"
"2017-04-07","37.220001"
"2017-04-10","37.810001"
"2017-04-11","38.330002"
"2017-04-12","38.070000"
"2017-04-13","37.900002"
"2017-04-17","38.299999"
"2017-04-18","36.860001"
"2017-04-19","36.830002"
"2017-04-20","36.980000"
"2017-04-21","36.709999"
"2017-04-24","37.610001"
"2017-04-25","39.180000"
"2017-04-26","40.110001"
"2017-04-27","40.590000"
"2017-04-28","40.880001"
"2017-05-01","40.639999"
"2017-05-02","40.610001"
"2017-05-03","40.619999"
"2017-05-04","39.750000"
"2017-05-05","39.299999"
"2017-05-08","38.720001"
"2017-05-09","37.439999"
"2017-05-10","37.950001"
"2017-05-11","36.950001"
"2017-05-12","36.490002"
"2017-05-15","37.720001"
"2017-05-16","37.939999"
"2017-05-17","38.740002"
"2017-05-18","38.509998"
"2017-05-19","36.939999"
"2017-05-22","37.549999"
"2017-05-23","36.820000"
"2017-05-24","38.400002"
"2017-05-25","37.459999"
"2017-05-26","37.419998"
"2017-05-30","37.430000"
"2017-05-31","36.750000"
"2017-06-01","38.200001"
"2017-06-02","41.009998"
"2017-06-05","40.430000"
"2017-06-06","39.220001"
"2017-06-07","39.389999"
"2017-06-08","38.680000"
"2017-06-09","38.910000"
"2017-06-12","39.000000"
"2017-06-13","39.529999"
"2017-06-14","39.680000"
"2017-06-15","39.500000"
"2017-06-16","41.560001"
"2017-06-19","43.349998"
"2017-06-20","43.009998"
"2017-06-21","44.880001"
"2017-06-22","44.389999"
"2017-06-23","44.849998"
"2017-06-26","45.549999"
"2017-06-27","45.310001"
"2017-06-28","45.509998"
"2017-06-29","44.869999"
"2017-06-30","45.000000"
"2017-07-03","54.360001"
"2017-07-05","52.270000"
"2017-07-06","66.279999"
"2017-07-07","70.180000"
"2017-07-10","70.849998"
"2017-07-11","73.889999"
"2017-07-12","72.860001"
"2017-07-13","72.360001"
"2017-07-14","73.690002"
"2017-07-17","75.599998"
"2017-07-18","76.570000"
"2017-07-19","77.010002"
"2017-07-20","77.599998"
"2017-07-21","77.290001"
"2017-07-24","73.500000"
"2017-07-25","69.599998"
"2017-07-26","71.230003"
"2017-07-27","71.000000"
"2017-07-28","72.540001"
"2017-07-31","70.489998"
"2017-08-01","72.529999"
"2017-08-02","70.860001"
"2017-08-03","71.610001"
"2017-08-04","72.309998"
"2017-08-07","77.360001"
"2017-08-08","78.400002"
"2017-08-09","77.300003"
"2017-08-10","72.639999"
"2017-08-11","71.019997"
"2017-08-14","71.349998"
"2017-08-15","69.970001"
"2017-08-16","70.019997"
"2017-08-17","69.209999"
"2017-08-18","66.190002"
"2017-08-21","66.860001"
"2017-08-22","70.029999"
"2017-08-23","68.760002"
"2017-08-24","69.930000"
"2017-08-25","68.809998"
