"date, price"
"2015-04-30","18.870001"
"2015-05-01","18.530001"
"2015-05-04","20.809999"
"2015-05-05","20.820000"
"2015-05-06","21.370001"
"2015-05-07","22.500000"
"2015-05-08","23.600000"
"2015-05-11","24.955000"
"2015-05-12","25.040001"
"2015-05-13","26.090000"
"2015-05-14","29.020000"
"2015-05-15","28.559999"
"2015-05-18","28.740000"
"2015-05-19","29.000000"
"2015-05-20","29.070000"
"2015-05-21","29.190001"
"2015-05-22","29.959999"
"2015-05-26","28.639999"
"2015-05-27","27.340000"
"2015-05-28","28.549999"
"2015-05-29","28.690001"
"2015-06-01","30.770000"
"2015-06-02","30.410000"
"2015-06-03","30.860001"
"2015-06-04","30.660000"
"2015-06-05","30.850000"
"2015-06-08","31.510000"
"2015-06-09","31.980000"
"2015-06-10","31.490000"
"2015-06-11","33.160000"
"2015-06-12","34.119999"
"2015-06-15","33.650002"
"2015-06-16","34.040001"
"2015-06-17","34.970001"
"2015-06-18","35.919998"
"2015-06-19","33.200001"
"2015-06-22","33.130001"
"2015-06-23","31.230000"
"2015-06-24","28.020000"
"2015-06-25","28.150000"
"2015-06-26","27.860001"
"2015-06-29","26.200001"
"2015-06-30","26.490000"
"2015-07-01","27.400000"
"2015-07-02","27.020000"
"2015-07-06","26.309999"
"2015-07-07","26.120001"
"2015-07-08","25.700001"
"2015-07-09","25.860001"
"2015-07-10","28.020000"
"2015-07-13","29.000000"
"2015-07-14","31.139999"
"2015-07-15","31.129999"
"2015-07-16","32.230000"
"2015-07-17","32.900002"
"2015-07-20","31.709999"
"2015-07-21","30.799999"
"2015-07-22","30.120001"
"2015-07-23","29.129999"
"2015-07-24","27.500000"
"2015-07-27","27.100000"
"2015-07-28","28.490000"
"2015-07-29","27.500000"
"2015-07-30","26.540001"
"2015-07-31","27.020000"
"2015-08-03","27.639999"
"2015-08-04","28.430000"
"2015-08-05","28.260000"
"2015-08-06","27.590000"
"2015-08-07","26.480000"
"2015-08-10","26.980000"
"2015-08-11","27.150000"
"2015-08-12","28.200001"
"2015-08-13","27.740000"
"2015-08-14","26.549999"
"2015-08-17","29.750000"
"2015-08-18","28.620001"
"2015-08-19","27.020000"
"2015-08-20","25.809999"
"2015-08-21","25.740000"
"2015-08-24","26.100000"
"2015-08-25","26.610001"
"2015-08-26","25.930000"
"2015-08-27","26.870001"
"2015-08-28","26.840000"
"2015-08-31","27.360001"
"2015-09-01","27.530001"
"2015-09-02","28.389999"
"2015-09-03","28.010000"
"2015-09-04","28.240000"
"2015-09-08","29.860001"
"2015-09-09","29.190001"
"2015-09-10","30.070000"
"2015-09-11","29.510000"
"2015-09-14","30.990000"
"2015-09-15","30.639999"
"2015-09-16","29.139999"
"2015-09-17","29.610001"
"2015-09-18","31.230000"
"2015-09-21","29.490000"
"2015-09-22","25.129999"
"2015-09-23","24.450001"
"2015-09-24","23.440001"
"2015-09-25","21.450001"
"2015-09-28","21.219999"
"2015-09-29","20.719999"
"2015-09-30","21.340000"
"2015-10-01","20.760000"
"2015-10-02","22.330000"
"2015-10-05","22.330000"
"2015-10-06","21.219999"
"2015-10-07","21.139999"
"2015-10-08","21.120001"
"2015-10-09","21.139999"
"2015-10-12","21.290001"
"2015-10-13","21.170000"
"2015-10-14","21.510000"
"2015-10-15","23.600000"
"2015-10-16","22.139999"
"2015-10-19","22.790001"
"2015-10-20","22.559999"
"2015-10-21","21.969999"
"2015-10-22","22.809999"
"2015-10-23","22.110001"
"2015-10-26","22.820000"
"2015-10-27","20.500000"
"2015-10-28","21.490000"
"2015-10-29","20.549999"
"2015-10-30","20.090000"
"2015-11-02","20.799999"
"2015-11-03","21.580000"
"2015-11-04","21.969999"
"2015-11-05","21.850000"
"2015-11-06","22.320000"
"2015-11-09","22.820000"
"2015-11-10","22.639999"
"2015-11-11","21.209999"
"2015-11-12","21.410000"
"2015-11-13","22.059999"
"2015-11-16","20.850000"
"2015-11-17","19.620001"
"2015-11-18","19.770000"
"2015-11-19","19.900000"
"2015-11-20","20.010000"
"2015-11-23","20.190001"
"2015-11-24","20.549999"
"2015-11-25","21.559999"
"2015-11-27","22.139999"
"2015-11-30","23.160000"
"2015-12-01","23.500000"
"2015-12-02","23.980000"
"2015-12-03","23.760000"
"2015-12-04","23.740000"
"2015-12-07","23.809999"
"2015-12-08","24.469999"
"2015-12-09","22.930000"
"2015-12-10","23.540001"
"2015-12-11","23.500000"
"2015-12-14","24.000000"
"2015-12-15","24.299999"
"2015-12-16","25.040001"
"2015-12-17","25.070000"
"2015-12-18","25.030001"
"2015-12-21","24.879999"
"2015-12-22","25.070000"
"2015-12-23","25.510000"
"2015-12-24","24.840000"
"2015-12-28","24.070000"
"2015-12-29","24.900000"
"2015-12-30","24.889999"
"2015-12-31","26.340000"
"2016-01-04","24.459999"
"2016-01-05","22.900000"
"2016-01-06","21.500000"
"2016-01-07","20.730000"
"2016-01-08","19.950001"
"2016-01-11","18.629999"
"2016-01-12","19.100000"
"2016-01-13","17.750000"
"2016-01-14","18.219999"
"2016-01-15","17.680000"
"2016-01-19","17.240000"
"2016-01-20","17.010000"
"2016-01-21","17.049999"
"2016-01-22","17.670000"
"2016-01-25","18.010000"
"2016-01-26","18.170000"
"2016-01-27","16.700001"
"2016-01-28","15.510000"
"2016-01-29","15.720000"
"2016-02-01","16.280001"
"2016-02-02","16.520000"
"2016-02-03","15.010000"
"2016-02-04","15.250000"
"2016-02-05","14.900000"
"2016-02-08","13.340000"
"2016-02-09","13.560000"
"2016-02-10","14.000000"
"2016-02-11","14.840000"
"2016-02-12","16.260000"
"2016-02-16","16.820000"
"2016-02-17","17.770000"
"2016-02-18","17.000000"
"2016-02-19","17.389999"
"2016-02-22","18.000000"
"2016-02-23","17.270000"
"2016-02-24","16.959999"
"2016-02-25","16.860001"
"2016-02-26","17.920000"
"2016-02-29","17.330000"
"2016-03-01","19.110001"
"2016-03-02","19.290001"
"2016-03-03","18.190001"
"2016-03-04","17.650000"
"2016-03-07","18.870001"
"2016-03-08","16.510000"
"2016-03-09","17.580000"
"2016-03-10","17.000000"
"2016-03-11","17.000000"
"2016-03-14","17.790001"
"2016-03-15","17.030001"
"2016-03-16","17.000000"
"2016-03-17","15.950000"
"2016-03-18","17.030001"
"2016-03-21","16.709999"
"2016-03-22","16.910000"
"2016-03-23","16.580000"
"2016-03-24","16.440001"
"2016-03-28","16.180000"
"2016-03-29","16.959999"
"2016-03-30","17.299999"
"2016-03-31","18.049999"
"2016-04-01","18.299999"
"2016-04-04","18.500000"
"2016-04-05","19.280001"
"2016-04-06","21.110001"
"2016-04-07","21.059999"
"2016-04-08","20.900000"
"2016-04-11","20.160000"
"2016-04-12","19.990000"
"2016-04-13","20.000000"
"2016-04-14","19.080000"
"2016-04-15","18.980000"
"2016-04-18","19.400000"
"2016-04-19","18.280001"
"2016-04-20","18.129999"
"2016-04-21","18.360001"
"2016-04-22","18.770000"
"2016-04-25","18.040001"
"2016-04-26","17.309999"
"2016-04-27","15.890000"
"2016-04-28","15.060000"
"2016-04-29","15.180000"
"2016-05-02","15.840000"
"2016-05-03","15.100000"
"2016-05-04","14.750000"
"2016-05-05","13.900000"
"2016-05-06","13.650000"
"2016-05-09","15.450000"
"2016-05-10","15.360000"
"2016-05-11","15.240000"
"2016-05-12","14.700000"
"2016-05-13","15.310000"
"2016-05-16","15.980000"
"2016-05-17","16.450001"
"2016-05-18","16.670000"
"2016-05-19","17.299999"
"2016-05-20","18.020000"
"2016-05-23","17.910000"
"2016-05-24","18.230000"
"2016-05-25","18.129999"
"2016-05-26","18.090000"
"2016-05-27","18.590000"
"2016-05-31","18.990000"
"2016-06-01","19.030001"
"2016-06-02","19.650000"
"2016-06-03","20.360001"
"2016-06-06","21.530001"
"2016-06-07","22.040001"
"2016-06-08","20.610001"
"2016-06-09","20.520000"
"2016-06-10","19.650000"
"2016-06-13","19.299999"
"2016-06-14","18.940001"
