"date, price"
"2014-12-04","20.559999"
"2014-12-05","20.995001"
"2014-12-08","20.594999"
"2014-12-09","21.065001"
"2014-12-10","20.549999"
"2014-12-11","20.545000"
"2014-12-12","20.070000"
"2014-12-15","20.035000"
"2014-12-16","19.790001"
"2014-12-17","19.870001"
"2014-12-18","20.184999"
"2014-12-19","20.155001"
"2014-12-22","20.610001"
"2014-12-23","20.750000"
"2014-12-24","20.934999"
"2014-12-26","21.025000"
"2014-12-29","21.150000"
"2014-12-30","20.965000"
"2014-12-31","20.665001"
"2015-01-02","20.420000"
"2015-01-05","19.740000"
"2015-01-06","19.045000"
"2015-01-07","19.004999"
"2015-01-08","19.170000"
"2015-01-09","19.004999"
"2015-01-12","18.514999"
"2015-01-13","18.610001"
"2015-01-14","18.469999"
"2015-01-15","18.115000"
"2015-01-16","18.600000"
"2015-01-20","18.900000"
"2015-01-21","19.190001"
"2015-01-22","19.760000"
"2015-01-23","19.495001"
"2015-01-26","19.559999"
"2015-01-27","19.250000"
"2015-01-28","18.670000"
"2015-01-29","18.945000"
"2015-01-30","18.375000"
"2015-02-02","18.584999"
"2015-02-03","19.070000"
"2015-02-04","19.150000"
"2015-02-05","19.299999"
"2015-02-06","19.254999"
"2015-02-09","19.174999"
"2015-02-10","19.545000"
"2015-02-11","19.299999"
"2015-02-12","20.434999"
"2015-02-13","20.910000"
"2015-02-17","20.625000"
"2015-02-18","20.770000"
"2015-02-19","20.834999"
"2015-02-20","21.309999"
"2015-02-23","21.075001"
"2015-02-24","21.240000"
"2015-02-25","21.809999"
"2015-02-26","22.020000"
"2015-02-27","22.344999"
"2015-03-02","23.510000"
"2015-03-03","23.209999"
"2015-03-04","23.059999"
"2015-03-05","23.610001"
"2015-03-06","23.080000"
"2015-03-09","23.275000"
"2015-03-10","23.120001"
"2015-03-11","23.725000"
"2015-03-12","24.205000"
"2015-03-13","24.299999"
"2015-03-16","24.799999"
"2015-03-17","24.480000"
"2015-03-18","24.565001"
"2015-03-19","24.815001"
"2015-03-20","24.855000"
"2015-03-23","24.280001"
"2015-03-24","24.590000"
"2015-03-25","23.910000"
"2015-03-26","23.910000"
"2015-03-27","24.330000"
"2015-03-30","24.930000"
"2015-03-31","24.795000"
"2015-04-01","24.405001"
"2015-04-02","25.245001"
"2015-04-06","25.790001"
"2015-04-07","25.424999"
"2015-04-08","25.549999"
"2015-04-09","25.660000"
"2015-04-10","25.730000"
"2015-04-13","25.805000"
"2015-04-14","25.594999"
