"date, price"
"2014-12-04","27.770000"
"2014-12-05","27.500000"
"2014-12-08","27.230000"
"2014-12-09","27.420000"
"2014-12-10","26.870001"
"2014-12-11","26.990000"
"2014-12-12","26.860001"
"2014-12-15","26.680000"
"2014-12-16","26.590000"
"2014-12-17","26.809999"
"2014-12-18","27.650000"
"2014-12-19","27.770000"
"2014-12-22","28.219999"
"2014-12-23","28.250000"
"2014-12-24","28.299999"
"2014-12-26","28.350000"
"2014-12-29","28.459999"
"2014-12-30","28.360001"
"2014-12-31","27.820000"
"2015-01-02","27.610001"
"2015-01-05","27.059999"
"2015-01-06","27.049999"
"2015-01-07","27.299999"
"2015-01-08","27.510000"
"2015-01-09","27.790001"
"2015-01-12","28.049999"
"2015-01-13","28.100000"
"2015-01-14","27.920000"
"2015-01-15","27.410000"
"2015-01-16","27.680000"
"2015-01-20","28.070000"
"2015-01-21","27.840000"
"2015-01-22","28.500000"
"2015-01-23","28.209999"
"2015-01-26","27.969999"
"2015-01-27","26.900000"
"2015-01-28","26.809999"
"2015-01-29","27.219999"
"2015-01-30","26.370001"
"2015-02-02","26.830000"
"2015-02-03","27.120001"
"2015-02-04","26.690001"
"2015-02-05","27.260000"
"2015-02-06","27.240000"
"2015-02-09","27.120001"
"2015-02-10","27.490000"
"2015-02-11","26.930000"
"2015-02-12","29.459999"
"2015-02-13","29.430000"
"2015-02-17","29.309999"
"2015-02-18","29.490000"
"2015-02-19","29.309999"
"2015-02-20","29.610001"
"2015-02-23","29.629999"
"2015-02-24","29.629999"
"2015-02-25","29.490000"
"2015-02-26","29.910000"
"2015-02-27","29.510000"
"2015-03-02","30.190001"
"2015-03-03","29.540001"
"2015-03-04","29.330000"
"2015-03-05","29.299999"
"2015-03-06","28.930000"
"2015-03-09","29.360001"
"2015-03-10","28.660000"
"2015-03-11","28.260000"
"2015-03-12","28.240000"
"2015-03-13","27.940001"
"2015-03-16","28.299999"
"2015-03-17","28.150000"
"2015-03-18","28.150000"
"2015-03-19","28.260000"
"2015-03-20","28.440001"
"2015-03-23","28.410000"
"2015-03-24","28.000000"
"2015-03-25","27.459999"
"2015-03-26","27.090000"
"2015-03-27","27.129999"
"2015-03-30","27.650000"
"2015-03-31","27.530001"
"2015-04-01","27.250000"
"2015-04-02","27.129999"
"2015-04-06","27.219999"
"2015-04-07","27.389999"
"2015-04-08","27.549999"
"2015-04-09","27.629999"
"2015-04-10","28.040001"
"2015-04-13","27.980000"
"2015-04-14","27.809999"
"2015-04-15","28.250000"
"2015-04-16","28.600000"
"2015-04-17","27.920000"
"2015-04-20","28.480000"
"2015-04-21","28.690001"
"2015-04-22","28.620001"
"2015-04-23","28.680000"
"2015-04-24","28.820000"
"2015-04-27","28.889999"
"2015-04-28","29.320000"
"2015-04-29","29.049999"
"2015-04-30","28.830000"
"2015-05-01","29.129999"
"2015-05-04","29.170000"
"2015-05-05","28.889999"
"2015-05-06","28.969999"
"2015-05-07","28.809999"
"2015-05-08","29.230000"
"2015-05-11","29.209999"
"2015-05-12","29.230000"
"2015-05-13","29.350000"
"2015-05-14","29.049999"
"2015-05-15","29.549999"
"2015-05-18","29.760000"
"2015-05-19","29.740000"
"2015-05-20","29.620001"
"2015-05-21","29.430000"
"2015-05-22","29.260000"
"2015-05-26","28.950001"
"2015-05-27","29.309999"
"2015-05-28","29.350000"
"2015-05-29","29.309999"
"2015-06-01","29.180000"
"2015-06-02","29.080000"
"2015-06-03","29.090000"
"2015-06-04","28.610001"
"2015-06-05","28.580000"
"2015-06-08","28.280001"
"2015-06-09","28.240000"
"2015-06-10","28.660000"
"2015-06-11","28.860001"
"2015-06-12","28.540001"
"2015-06-15","28.480000"
"2015-06-16","28.709999"
"2015-06-17","28.930000"
"2015-06-18","29.209999"
"2015-06-19","29.030001"
"2015-06-22","28.940001"
"2015-06-23","28.790001"
"2015-06-24","28.510000"
"2015-06-25","28.400000"
"2015-06-26","28.280001"
"2015-06-29","27.540001"
"2015-06-30","27.459999"
"2015-07-01","27.350000"
"2015-07-02","27.330000"
"2015-07-06","27.219999"
"2015-07-07","27.360001"
"2015-07-08","26.990000"
"2015-07-09","26.910000"
"2015-07-10","27.280001"
"2015-07-13","27.790001"
"2015-07-14","28.030001"
"2015-07-15","28.110001"
"2015-07-16","28.320000"
"2015-07-17","28.180000"
"2015-07-20","28.030001"
"2015-07-21","27.840000"
"2015-07-22","27.530001"
"2015-07-23","28.010000"
"2015-07-24","28.400000"
"2015-07-27","28.209999"
"2015-07-28","28.209999"
"2015-07-29","28.400000"
"2015-07-30","28.299999"
"2015-07-31","28.420000"
"2015-08-03","28.360001"
"2015-08-04","28.030001"
"2015-08-05","28.270000"
"2015-08-06","28.209999"
"2015-08-07","28.150000"
"2015-08-10","28.590000"
"2015-08-11","28.020000"
"2015-08-12","27.900000"
"2015-08-13","28.700001"
"2015-08-14","29.030001"
"2015-08-17","28.830000"
"2015-08-18","28.250000"
"2015-08-19","27.799999"
"2015-08-20","27.040001"
"2015-08-21","26.469999"
"2015-08-24","25.190001"
"2015-08-25","24.620001"
"2015-08-26","25.680000"
"2015-08-27","26.170000"
"2015-08-28","26.000000"
"2015-08-31","25.879999"
"2015-09-01","25.120001"
"2015-09-02","25.650000"
"2015-09-03","25.900000"
"2015-09-04","25.520000"
"2015-09-08","26.299999"
"2015-09-09","25.940001"
"2015-09-10","26.260000"
