"date, price"
"2014-12-04","49.650002"
"2014-12-05","51.009998"
"2014-12-08","50.820000"
"2014-12-09","48.310001"
"2014-12-10","48.939999"
"2014-12-11","50.529999"
"2014-12-12","49.970001"
"2014-12-15","50.840000"
"2014-12-16","47.959999"
"2014-12-17","48.799999"
"2014-12-18","50.139999"
"2014-12-19","50.709999"
"2014-12-22","50.840000"
"2014-12-23","50.209999"
"2014-12-24","51.430000"
"2014-12-26","51.959999"
"2014-12-29","52.849998"
"2014-12-30","53.419998"
"2014-12-31","53.630001"
"2015-01-02","53.910000"
"2015-01-05","53.880001"
"2015-01-06","53.040001"
"2015-01-07","53.009998"
"2015-01-08","53.660000"
"2015-01-09","52.020000"
"2015-01-12","49.580002"
"2015-01-13","50.400002"
"2015-01-14","49.410000"
"2015-01-15","49.410000"
"2015-01-16","49.810001"
"2015-01-20","52.750000"
"2015-01-21","53.669998"
"2015-01-22","55.590000"
"2015-01-23","55.689999"
"2015-01-26","55.450001"
"2015-01-27","52.700001"
"2015-01-28","50.619999"
"2015-01-29","52.240002"
"2015-01-30","49.080002"
"2015-02-02","48.720001"
"2015-02-03","47.500000"
"2015-02-04","49.459999"
"2015-02-05","48.810001"
"2015-02-06","48.150002"
"2015-02-09","46.529999"
"2015-02-10","48.049999"
"2015-02-11","47.590000"
"2015-02-12","47.880001"
"2015-02-13","48.389999"
"2015-02-17","48.009998"
"2015-02-18","49.310001"
"2015-02-19","49.779999"
"2015-02-20","51.020000"
"2015-02-23","51.310001"
"2015-02-24","51.520000"
"2015-02-25","49.730000"
"2015-02-26","49.349998"
"2015-02-27","47.900002"
"2015-03-02","48.310001"
"2015-03-03","48.770000"
"2015-03-04","48.950001"
"2015-03-05","48.400002"
"2015-03-06","48.000000"
"2015-03-09","47.919998"
"2015-03-10","46.740002"
"2015-03-11","47.389999"
"2015-03-12","48.680000"
"2015-03-13","49.220001"
"2015-03-16","50.220001"
"2015-03-17","53.689999"
"2015-03-18","54.130001"
"2015-03-19","55.189999"
"2015-03-20","55.759998"
"2015-03-23","54.400002"
"2015-03-24","53.930000"
"2015-03-25","52.009998"
"2015-03-26","51.270000"
"2015-03-27","52.660000"
"2015-03-30","53.639999"
"2015-03-31","52.779999"
"2015-04-01","50.439999"
"2015-04-02","49.180000"
"2015-04-06","48.080002"
"2015-04-07","47.500000"
"2015-04-08","48.740002"
"2015-04-09","47.840000"
"2015-04-10","47.730000"
"2015-04-13","47.790001"
"2015-04-14","47.419998"
"2015-04-15","47.750000"
"2015-04-16","48.240002"
"2015-04-17","48.189999"
"2015-04-20","49.759998"
"2015-04-21","51.360001"
"2015-04-22","51.400002"
"2015-04-23","51.450001"
"2015-04-24","52.709999"
"2015-04-27","51.869999"
"2015-04-28","51.189999"
"2015-04-29","48.880001"
"2015-04-30","48.290001"
"2015-05-01","49.389999"
"2015-05-04","48.950001"
"2015-05-05","47.009998"
"2015-05-06","47.049999"
"2015-05-07","49.060001"
"2015-05-08","49.040001"
"2015-05-11","49.650002"
"2015-05-12","48.849998"
"2015-05-13","48.490002"
"2015-05-14","48.820000"
"2015-05-15","48.669998"
"2015-05-18","49.000000"
"2015-05-19","47.849998"
"2015-05-20","43.060001"
"2015-05-21","42.470001"
"2015-05-22","42.610001"
"2015-05-26","41.560001"
"2015-05-27","42.240002"
"2015-05-28","41.970001"
"2015-05-29","42.369999"
"2015-06-01","44.180000"
"2015-06-02","43.779999"
"2015-06-03","43.130001"
"2015-06-04","42.169998"
"2015-06-05","41.720001"
"2015-06-08","39.860001"
"2015-06-09","40.330002"
"2015-06-10","40.430000"
"2015-06-11","40.020000"
"2015-06-12","40.709999"
"2015-06-15","40.070000"
"2015-06-16","39.480000"
"2015-06-17","39.880001"
"2015-06-18","39.980000"
"2015-06-19","41.560001"
"2015-06-22","43.029999"
"2015-06-23","42.730000"
"2015-06-24","42.240002"
"2015-06-25","42.240002"
"2015-06-26","41.439999"
"2015-06-29","39.750000"
"2015-06-30","39.939999"
"2015-07-01","38.799999"
"2015-07-02","39.029999"
"2015-07-06","39.730000"
"2015-07-07","40.669998"
"2015-07-08","39.310001"
"2015-07-09","39.669998"
"2015-07-10","41.209999"
"2015-07-13","42.419998"
"2015-07-14","42.060001"
"2015-07-15","41.540001"
"2015-07-16","41.389999"
"2015-07-17","41.400002"
"2015-07-20","40.549999"
"2015-07-21","40.900002"
"2015-07-22","41.430000"
"2015-07-23","42.610001"
"2015-07-24","39.630001"
"2015-07-27","40.139999"
"2015-07-28","41.169998"
