"date, price"
"2014-12-04","56.619999"
"2014-12-05","57.340000"
"2014-12-08","56.180000"
"2014-12-09","56.369999"
"2014-12-10","55.639999"
"2014-12-11","56.250000"
"2014-12-12","55.919998"
"2014-12-15","55.419998"
"2014-12-16","54.779999"
"2014-12-17","55.990002"
"2014-12-18","57.060001"
"2014-12-19","56.750000"
"2014-12-22","57.490002"
"2014-12-23","56.660000"
"2014-12-24","56.709999"
"2014-12-26","56.279999"
"2014-12-29","56.080002"
"2014-12-30","55.560001"
"2014-12-31","55.520000"
"2015-01-02","55.540001"
"2015-01-05","54.529999"
"2015-01-06","53.250000"
"2015-01-07","53.810001"
"2015-01-08","54.759998"
"2015-01-09","54.720001"
"2015-01-12","54.169998"
"2015-01-13","53.549999"
"2015-01-14","53.509998"
"2015-01-15","52.730000"
"2015-01-16","53.689999"
"2015-01-20","54.389999"
"2015-01-21","54.580002"
"2015-01-22","54.750000"
"2015-01-23","54.509998"
"2015-01-26","54.660000"
"2015-01-27","53.369999"
"2015-01-28","52.930000"
"2015-01-29","53.230000"
"2015-01-30","52.110001"
"2015-02-02","52.299999"
"2015-02-03","53.970001"
"2015-02-04","53.779999"
"2015-02-05","54.950001"
"2015-02-06","55.009998"
"2015-02-09","54.560001"
"2015-02-10","55.540001"
"2015-02-11","55.619999"
"2015-02-12","56.720001"
"2015-02-13","57.049999"
"2015-02-17","58.810001"
"2015-02-18","58.380001"
"2015-02-19","58.650002"
"2015-02-20","59.130001"
"2015-02-23","58.980000"
"2015-02-24","59.610001"
"2015-02-25","58.990002"
"2015-02-26","58.880001"
"2015-02-27","58.540001"
"2015-03-02","59.779999"
"2015-03-03","58.740002"
"2015-03-04","58.400002"
"2015-03-05","58.450001"
"2015-03-06","57.930000"
"2015-03-09","58.459999"
"2015-03-10","57.200001"
"2015-03-11","57.290001"
"2015-03-12","57.509998"
"2015-03-13","57.529999"
"2015-03-16","58.799999"
"2015-03-17","58.759998"
"2015-03-18","59.669998"
"2015-03-19","60.000000"
"2015-03-20","61.070000"
"2015-03-23","60.400002"
"2015-03-24","60.360001"
"2015-03-25","57.560001"
"2015-03-26","57.419998"
"2015-03-27","58.840000"
"2015-03-30","64.809998"
"2015-03-31","63.000000"
"2015-04-01","62.570000"
"2015-04-02","62.240002"
"2015-04-06","62.779999"
"2015-04-07","63.240002"
"2015-04-08","63.669998"
"2015-04-09","64.029999"
"2015-04-10","64.239998"
"2015-04-13","63.750000"
"2015-04-14","62.570000"
"2015-04-15","63.930000"
"2015-04-16","64.110001"
"2015-04-17","63.419998"
"2015-04-20","63.720001"
"2015-04-21","64.370003"
"2015-04-22","64.489998"
"2015-04-23","63.590000"
"2015-04-24","62.529999"
"2015-04-27","62.669998"
"2015-04-28","63.220001"
"2015-04-29","62.820000"
"2015-04-30","61.840000"
"2015-05-01","63.270000"
"2015-05-04","63.250000"
"2015-05-05","61.770000"
"2015-05-06","61.639999"
"2015-05-07","62.040001"
"2015-05-08","62.720001"
"2015-05-11","62.639999"
"2015-05-12","62.080002"
"2015-05-13","62.240002"
"2015-05-14","63.400002"
"2015-05-15","63.180000"
"2015-05-18","63.360001"
"2015-05-19","63.450001"
"2015-05-20","66.180000"
"2015-05-21","65.489998"
"2015-05-22","67.099998"
"2015-05-26","66.849998"
"2015-05-27","68.290001"
"2015-05-28","68.309998"
"2015-05-29","67.959999"
"2015-06-01","68.750000"
"2015-06-02","67.709999"
"2015-06-03","67.290001"
"2015-06-04","66.940002"
"2015-06-05","67.370003"
"2015-06-08","65.949997"
"2015-06-09","65.690002"
"2015-06-10","67.720001"
"2015-06-11","67.220001"
"2015-06-12","66.260002"
"2015-06-15","66.699997"
"2015-06-16","66.629997"
"2015-06-17","67.230003"
"2015-06-18","68.300003"
"2015-06-19","67.910004"
"2015-06-22","68.019997"
"2015-06-23","67.529999"
"2015-06-24","66.839996"
"2015-06-25","66.589996"
"2015-06-26","65.800003"
"2015-06-29","63.990002"
"2015-06-30","64.190002"
"2015-07-01","64.570000"
"2015-07-02","64.379997"
"2015-07-06","63.590000"
"2015-07-07","63.380001"
"2015-07-08","61.939999"
"2015-07-09","60.889999"
"2015-07-10","61.509998"
"2015-07-13","61.869999"
"2015-07-14","62.619999"
"2015-07-15","62.919998"
"2015-07-16","62.830002"
"2015-07-17","62.459999"
"2015-07-20","61.990002"
"2015-07-21","62.080002"
"2015-07-22","58.650002"
"2015-07-23","60.049999"
"2015-07-24","58.490002"
"2015-07-27","57.889999"
"2015-07-28","58.990002"
"2015-07-29","58.790001"
"2015-07-30","58.820000"
"2015-07-31","58.330002"
"2015-08-03","58.669998"
"2015-08-04","58.480000"
"2015-08-05","60.700001"
"2015-08-06","58.869999"
"2015-08-07","59.610001"
"2015-08-10","61.090000"
"2015-08-11","59.380001"
"2015-08-12","59.740002"
"2015-08-13","59.000000"
"2015-08-14","58.840000"
"2015-08-17","59.500000"
"2015-08-18","57.900002"
"2015-08-19","58.380001"
"2015-08-20","53.820000"
"2015-08-21","53.779999"
"2015-08-24","51.669998"
"2015-08-25","50.610001"
"2015-08-26","54.220001"
"2015-08-27","56.480000"
"2015-08-28","56.450001"
"2015-08-31","55.860001"
"2015-09-01","53.549999"
"2015-09-02","54.590000"
"2015-09-03","55.169998"
"2015-09-04","53.959999"
"2015-09-08","57.770000"
"2015-09-09","56.270000"
"2015-09-10","56.009998"
"2015-09-11","56.349998"
"2015-09-14","57.560001"
"2015-09-15","58.299999"
"2015-09-16","58.450001"
"2015-09-17","57.930000"
"2015-09-18","56.669998"
"2015-09-21","56.630001"
"2015-09-22","55.180000"
"2015-09-23","55.200001"
"2015-09-24","54.000000"
"2015-09-25","54.439999"
"2015-09-28","53.470001"
"2015-09-29","54.049999"
"2015-09-30","56.410000"
"2015-10-01","54.939999"
"2015-10-02","55.689999"
"2015-10-05","57.430000"
"2015-10-06","56.889999"
"2015-10-07","57.869999"
"2015-10-08","57.720001"
"2015-10-09","56.689999"
"2015-10-12","56.580002"
"2015-10-13","56.049999"
"2015-10-14","60.990002"
"2015-10-15","61.279999"
"2015-10-16","60.189999"
"2015-10-19","60.220001"
"2015-10-20","60.400002"
"2015-10-21","61.750000"
"2015-10-22","63.400002"
"2015-10-23","63.619999"
"2015-10-26","61.529999"
"2015-10-27","61.389999"
"2015-10-28","61.860001"
"2015-10-29","59.980000"
"2015-10-30","60.119999"
"2015-11-02","60.340000"
"2015-11-03","60.660000"
"2015-11-04","60.490002"
"2015-11-05","60.360001"
"2015-11-06","61.700001"
"2015-11-09","60.959999"
"2015-11-10","59.970001"
"2015-11-11","59.900002"
"2015-11-12","59.459999"
"2015-11-13","58.130001"
"2015-11-16","58.480000"
"2015-11-17","59.299999"
"2015-11-18","60.740002"
"2015-11-19","59.770000"
"2015-11-20","59.419998"
"2015-11-23","56.799999"
"2015-11-24","60.419998"
"2015-11-25","60.250000"
"2015-11-27","60.450001"
"2015-11-30","61.630001"
"2015-12-01","61.570000"
"2015-12-02","60.740002"
"2015-12-03","59.049999"
"2015-12-04","59.209999"
"2015-12-07","58.500000"
"2015-12-08","58.020000"
"2015-12-09","56.650002"
"2015-12-10","57.150002"
"2015-12-11","56.930000"
"2015-12-14","56.820000"
"2015-12-15","56.549999"
"2015-12-16","57.529999"
"2015-12-17","56.119999"
"2015-12-18","55.169998"
"2015-12-21","55.830002"
"2015-12-22","56.020000"
"2015-12-23","56.480000"
"2015-12-24","56.799999"
"2015-12-28","56.450001"
"2015-12-29","57.310001"
"2015-12-30","56.549999"
"2015-12-31","55.320000"
"2016-01-04","54.439999"
"2016-01-05","54.040001"
"2016-01-06","51.740002"
"2016-01-07","50.419998"
"2016-01-08","49.980000"
"2016-01-11","51.169998"
"2016-01-12","51.650002"
"2016-01-13","50.099998"
"2016-01-14","50.500000"
"2016-01-15","49.820000"
"2016-01-19","49.389999"
"2016-01-20","50.580002"
"2016-01-21","50.529999"
"2016-01-22","51.380001"
"2016-01-25","51.049999"
"2016-01-26","51.290001"
"2016-01-27","51.279999"
"2016-01-28","51.759998"
"2016-01-29","53.860001"
"2016-02-01","53.169998"
"2016-02-02","51.340000"
"2016-02-03","51.380001"
"2016-02-04","51.669998"
"2016-02-05","49.820000"
"2016-02-08","49.160000"
"2016-02-09","49.310001"
"2016-02-10","48.959999"
"2016-02-11","48.840000"
"2016-02-12","49.639999"
"2016-02-16","52.070000"
"2016-02-17","52.730000"
"2016-02-18","52.040001"
"2016-02-19","52.099998"
"2016-02-22","52.610001"
"2016-02-23","51.459999"
"2016-02-24","51.810001"
"2016-02-25","52.990002"
"2016-02-26","53.439999"
"2016-02-29","52.990002"
"2016-03-01","54.700001"
"2016-03-02","55.410000"
"2016-03-03","55.470001"
"2016-03-04","55.779999"
"2016-03-07","56.490002"
"2016-03-08","55.340000"
"2016-03-09","54.930000"
"2016-03-10","55.119999"
"2016-03-11","55.939999"
"2016-03-14","55.669998"
"2016-03-15","56.110001"
"2016-03-16","56.860001"
"2016-03-17","57.869999"
"2016-03-18","59.009998"
"2016-03-21","58.849998"
"2016-03-22","58.520000"
"2016-03-23","58.330002"
"2016-03-24","58.639999"
"2016-03-28","58.320000"
"2016-03-29","58.799999"
"2016-03-30","59.110001"
"2016-03-31","59.189999"
"2016-04-01","58.980000"
"2016-04-04","58.759998"
"2016-04-05","58.480000"
"2016-04-06","59.160000"
"2016-04-07","58.360001"
"2016-04-08","58.799999"
"2016-04-11","58.599998"
"2016-04-12","58.799999"
"2016-04-13","59.799999"
"2016-04-14","59.439999"
"2016-04-15","58.660000"
"2016-04-18","58.700001"
"2016-04-19","58.230000"
"2016-04-20","59.180000"
"2016-04-21","58.810001"
"2016-04-22","58.480000"
"2016-04-25","58.430000"
"2016-04-26","59.330002"
"2016-04-27","59.639999"
"2016-04-28","57.860001"
"2016-04-29","56.320000"
"2016-05-02","57.009998"
"2016-05-03","56.230000"
"2016-05-04","55.830002"
"2016-05-05","55.689999"
"2016-05-06","55.470001"
"2016-05-09","55.230000"
"2016-05-10","56.099998"
"2016-05-11","55.750000"
"2016-05-12","54.900002"
"2016-05-13","54.720001"
"2016-05-16","55.430000"
"2016-05-17","55.369999"
"2016-05-18","55.820000"
"2016-05-19","55.700001"
"2016-05-20","56.540001"
"2016-05-23","56.759998"
"2016-05-24","58.220001"
"2016-05-25","58.270000"
"2016-05-26","58.290001"
"2016-05-27","58.439999"
"2016-05-31","58.500000"
"2016-06-01","58.650002"
"2016-06-02","58.279999"
"2016-06-03","58.110001"
"2016-06-06","57.090000"
"2016-06-07","57.790001"
"2016-06-08","57.779999"
"2016-06-09","57.560001"
"2016-06-10","56.959999"
"2016-06-13","56.869999"
"2016-06-14","57.070000"
"2016-06-15","56.869999"
"2016-06-16","56.900002"
"2016-06-17","55.990002"
"2016-06-20","56.790001"
"2016-06-21","57.060001"
"2016-06-22","56.849998"
"2016-06-23","58.110001"
"2016-06-24","55.040001"
"2016-06-27","52.549999"
"2016-06-28","54.310001"
"2016-06-29","55.619999"
"2016-06-30","56.639999"
"2016-07-01","56.630001"
"2016-07-05","55.360001"
"2016-07-06","55.459999"
"2016-07-07","55.950001"
"2016-07-08","57.740002"
"2016-07-11","58.250000"
"2016-07-12","58.990002"
"2016-07-13","59.520000"
"2016-07-14","60.020000"
"2016-07-15","60.150002"
"2016-07-18","60.430000"
"2016-07-19","60.270000"
"2016-07-20","60.689999"
"2016-07-21","59.950001"
"2016-07-22","60.400002"
"2016-07-25","60.529999"
"2016-07-26","62.869999"
"2016-07-27","63.330002"
"2016-07-28","64.220001"
"2016-07-29","63.830002"
"2016-08-01","63.980000"
"2016-08-02","62.840000"
"2016-08-03","62.869999"
"2016-08-04","63.340000"
"2016-08-05","63.689999"
"2016-08-08","63.439999"
"2016-08-09","63.820000"
