"date, price"
"2014-12-04","86.059998"
"2014-12-05","85.820000"
"2014-12-08","85.589996"
"2014-12-09","85.260002"
"2014-12-10","84.129997"
"2014-12-11","84.599998"
"2014-12-12","82.500000"
"2014-12-15","82.779999"
"2014-12-16","82.910004"
"2014-12-17","84.690002"
"2014-12-18","85.680000"
"2014-12-19","84.709999"
"2014-12-22","85.699997"
"2014-12-23","85.169998"
"2014-12-24","85.239998"
"2014-12-26","85.199997"
"2014-12-29","84.870003"
"2014-12-30","84.110001"
"2014-12-31","83.370003"
"2015-01-02","83.290001"
"2015-01-05","83.230003"
"2015-01-06","82.540001"
"2015-01-07","83.260002"
"2015-01-08","85.169998"
"2015-01-09","84.559998"
"2015-01-12","84.150002"
"2015-01-13","83.980003"
"2015-01-14","83.739998"
"2015-01-15","83.699997"
"2015-01-16","84.570000"
"2015-01-20","84.970001"
"2015-01-21","84.559998"
"2015-01-22","86.610001"
"2015-01-23","86.849998"
"2015-01-26","86.570000"
"2015-01-27","85.629997"
"2015-01-28","84.529999"
"2015-01-29","84.349998"
"2015-01-30","82.529999"
"2015-02-02","83.440002"
"2015-02-03","85.139999"
"2015-02-04","86.580002"
"2015-02-05","87.169998"
"2015-02-06","86.440002"
"2015-02-09","86.010002"
"2015-02-10","86.519997"
"2015-02-11","86.820000"
"2015-02-12","87.750000"
"2015-02-13","88.750000"
"2015-02-17","87.110001"
"2015-02-18","87.589996"
"2015-02-19","87.730003"
"2015-02-20","88.690002"
"2015-02-23","89.169998"
"2015-02-24","89.260002"
"2015-02-25","89.070000"
"2015-02-26","88.839996"
"2015-02-27","88.839996"
"2015-03-02","90.180000"
"2015-03-03","88.699997"
"2015-03-04","86.580002"
"2015-03-05","86.750000"
"2015-03-06","86.000000"
"2015-03-09","86.839996"
"2015-03-10","85.150002"
"2015-03-11","84.989998"
"2015-03-12","86.389999"
"2015-03-13","85.879997"
"2015-03-16","87.349998"
"2015-03-17","86.639999"
"2015-03-18","87.349998"
"2015-03-19","87.370003"
"2015-03-20","87.769997"
"2015-03-23","87.309998"
"2015-03-24","86.970001"
"2015-03-25","84.739998"
"2015-03-26","84.410004"
"2015-03-27","84.629997"
"2015-03-30","85.889999"
"2015-03-31","85.639999"
"2015-04-01","85.260002"
"2015-04-02","85.919998"
"2015-04-06","86.250000"
"2015-04-07","85.860001"
"2015-04-08","86.570000"
"2015-04-09","86.599998"
"2015-04-10","86.339996"
"2015-04-13","85.919998"
"2015-04-14","85.620003"
"2015-04-15","85.760002"
"2015-04-16","85.379997"
"2015-04-17","83.529999"
"2015-04-20","84.800003"
"2015-04-21","85.099998"
"2015-04-22","85.309998"
"2015-04-23","85.769997"
"2015-04-24","85.000000"
"2015-04-27","84.699997"
"2015-04-28","85.610001"
"2015-04-29","85.389999"
"2015-04-30","84.540001"
"2015-05-01","86.029999"
"2015-05-04","86.500000"
"2015-05-05","85.610001"
"2015-05-06","85.410004"
"2015-05-07","86.300003"
"2015-05-08","87.349998"
"2015-05-11","87.209999"
"2015-05-12","86.760002"
"2015-05-13","86.309998"
"2015-05-14","87.989998"
"2015-05-15","87.769997"
