"date, price"
"2014-12-04","58.439999"
"2014-12-05","57.759998"
"2014-12-08","58.759998"
"2014-12-09","58.869999"
"2014-12-10","58.230000"
"2014-12-11","58.860001"
"2014-12-12","58.689999"
"2014-12-15","58.080002"
"2014-12-16","57.830002"
"2014-12-17","58.820000"
"2014-12-18","59.980000"
"2014-12-19","59.889999"
"2014-12-22","60.150002"
"2014-12-23","60.110001"
"2014-12-24","61.310001"
"2014-12-26","61.990002"
"2014-12-29","62.910000"
"2014-12-30","61.720001"
"2014-12-31","60.720001"
"2015-01-02","61.150002"
"2015-01-05","60.250000"
"2015-01-06","60.580002"
"2015-01-07","61.439999"
"2015-01-08","61.970001"
"2015-01-09","61.639999"
"2015-01-12","61.560001"
"2015-01-13","61.869999"
"2015-01-14","62.759998"
"2015-01-15","63.160000"
"2015-01-16","63.570000"
"2015-01-20","63.529999"
"2015-01-21","64.139999"
"2015-01-22","64.080002"
"2015-01-23","64.519997"
"2015-01-26","64.570000"
"2015-01-27","64.250000"
"2015-01-28","63.380001"
"2015-01-29","63.720001"
"2015-01-30","62.810001"
"2015-02-02","63.060001"
"2015-02-03","62.759998"
"2015-02-04","62.220001"
"2015-02-05","62.450001"
"2015-02-06","59.150002"
"2015-02-09","58.240002"
"2015-02-10","59.310001"
"2015-02-11","58.279999"
"2015-02-12","57.980000"
"2015-02-13","57.830002"
"2015-02-17","57.869999"
"2015-02-18","59.119999"
"2015-02-19","58.410000"
"2015-02-20","58.720001"
"2015-02-23","59.090000"
"2015-02-24","59.279999"
"2015-02-25","58.080002"
"2015-02-26","57.410000"
"2015-02-27","57.580002"
"2015-03-02","56.150002"
"2015-03-03","56.730000"
"2015-03-04","56.580002"
"2015-03-05","57.080002"
"2015-03-06","55.009998"
"2015-03-09","55.180000"
"2015-03-10","55.259998"
"2015-03-11","54.770000"
"2015-03-12","55.970001"
"2015-03-13","55.310001"
"2015-03-16","56.160000"
"2015-03-17","55.900002"
"2015-03-18","57.549999"
"2015-03-19","57.049999"
"2015-03-20","57.700001"
"2015-03-23","57.950001"
"2015-03-24","57.250000"
"2015-03-25","55.910000"
"2015-03-26","55.330002"
"2015-03-27","55.900002"
"2015-03-30","56.580002"
"2015-03-31","56.250000"
"2015-04-01","56.369999"
"2015-04-02","56.459999"
"2015-04-06","57.099998"
"2015-04-07","56.369999"
"2015-04-08","55.980000"
"2015-04-09","55.790001"
"2015-04-10","56.389999"
"2015-04-13","55.669998"
"2015-04-14","56.099998"
"2015-04-15","56.360001"
"2015-04-16","55.849998"
"2015-04-17","55.730000"
"2015-04-20","56.630001"
"2015-04-21","55.970001"
"2015-04-22","56.139999"
"2015-04-23","56.900002"
"2015-04-24","57.880001"
"2015-04-27","57.709999"
"2015-04-28","58.080002"
"2015-04-29","57.790001"
"2015-04-30","56.869999"
"2015-05-01","57.029999"
"2015-05-04","57.360001"
"2015-05-05","55.900002"
"2015-05-06","54.959999"
"2015-05-07","55.259998"
"2015-05-08","55.799999"
"2015-05-11","55.430000"
"2015-05-12","54.950001"
"2015-05-13","54.279999"
"2015-05-14","55.099998"
"2015-05-15","55.599998"
"2015-05-18","55.880001"
"2015-05-19","55.799999"
"2015-05-20","55.919998"
"2015-05-21","55.810001"
"2015-05-22","55.650002"
"2015-05-26","55.330002"
"2015-05-27","56.060001"
"2015-05-28","56.099998"
"2015-05-29","56.290001"
"2015-06-01","56.009998"
"2015-06-02","55.169998"
"2015-06-03","54.380001"
"2015-06-04","54.290001"
"2015-06-05","53.439999"
"2015-06-08","53.459999"
"2015-06-09","53.459999"
"2015-06-10","53.889999"
"2015-06-11","54.310001"
"2015-06-12","53.930000"
"2015-06-15","53.650002"
