"date, price"
"2014-12-04","64.230003"
"2014-12-05","64.010002"
"2014-12-08","62.590000"
"2014-12-09","62.400002"
"2014-12-10","61.090000"
"2014-12-11","61.980000"
"2014-12-12","60.799999"
"2014-12-15","60.509998"
"2014-12-16","59.919998"
"2014-12-17","61.480000"
"2014-12-18","62.500000"
"2014-12-19","63.200001"
"2014-12-22","64.059998"
"2014-12-23","64.589996"
"2014-12-24","64.339996"
"2014-12-26","64.790001"
"2014-12-29","63.790001"
"2014-12-30","64.070000"
"2014-12-31","62.959999"
"2015-01-02","63.250000"
"2015-01-05","61.939999"
"2015-01-06","60.669998"
"2015-01-07","60.160000"
"2015-01-08","61.570000"
"2015-01-09","60.779999"
"2015-01-12","60.750000"
"2015-01-13","60.790001"
"2015-01-14","59.709999"
"2015-01-15","58.630001"
"2015-01-16","59.220001"
"2015-01-20","59.650002"
"2015-01-21","60.270000"
"2015-01-22","60.639999"
"2015-01-23","61.020000"
"2015-01-26","61.169998"
"2015-01-27","60.290001"
"2015-01-28","58.990002"
"2015-01-29","59.950001"
"2015-01-30","58.160000"
"2015-02-02","58.490002"
"2015-02-03","60.119999"
"2015-02-04","59.950001"
"2015-02-05","60.490002"
"2015-02-06","61.130001"
"2015-02-09","60.959999"
"2015-02-10","62.209999"
"2015-02-11","63.750000"
"2015-02-12","67.589996"
"2015-02-13","68.769997"
"2015-02-17","70.360001"
"2015-02-18","70.290001"
"2015-02-19","71.559998"
"2015-02-20","71.620003"
"2015-02-23","70.239998"
"2015-02-24","70.120003"
"2015-02-25","69.449997"
"2015-02-26","69.559998"
"2015-02-27","69.510002"
"2015-03-02","71.129997"
"2015-03-03","69.860001"
"2015-03-04","71.050003"
"2015-03-05","71.089996"
"2015-03-06","69.959999"
"2015-03-09","69.599998"
"2015-03-10","69.199997"
"2015-03-11","70.360001"
"2015-03-12","71.019997"
"2015-03-13","70.809998"
"2015-03-16","72.080002"
"2015-03-17","72.059998"
"2015-03-18","72.879997"
"2015-03-19","72.750000"
"2015-03-20","72.870003"
