"date, price"
"2014-12-04","100.070000"
"2014-12-05","99.239998"
"2014-12-08","106.419998"
"2014-12-09","106.589996"
"2014-12-10","100.739998"
"2014-12-11","100.220001"
"2014-12-12","100.449997"
"2014-12-15","93.949997"
"2014-12-16","92.080002"
"2014-12-17","96.449997"
"2014-12-18","99.410004"
"2014-12-19","100.730003"
"2014-12-22","102.480003"
"2014-12-23","92.550003"
"2014-12-24","93.519997"
"2014-12-26","97.919998"
"2014-12-29","97.110001"
"2014-12-30","97.000000"
"2014-12-31","97.000000"
"2015-01-02","97.769997"
"2015-01-05","95.379997"
"2015-01-06","94.019997"
"2015-01-07","94.860001"
"2015-01-08","101.699997"
"2015-01-09","101.300003"
"2015-01-12","103.779999"
"2015-01-13","104.970001"
"2015-01-14","103.550003"
"2015-01-15","98.639999"
"2015-01-16","100.769997"
"2015-01-20","96.250000"
"2015-01-21","87.360001"
"2015-01-22","93.169998"
"2015-01-23","93.419998"
"2015-01-26","95.209999"
"2015-01-27","95.500000"
"2015-01-28","90.879997"
"2015-01-29","93.430000"
"2015-01-30","93.830002"
"2015-02-02","92.260002"
"2015-02-03","88.849998"
"2015-02-04","85.570000"
"2015-02-05","91.150002"
"2015-02-06","89.099998"
"2015-02-09","87.800003"
"2015-02-10","93.010002"
"2015-02-11","93.410004"
"2015-02-12","93.870003"
"2015-02-13","95.540001"
"2015-02-17","96.680000"
"2015-02-18","97.209999"
"2015-02-19","98.940002"
"2015-02-20","102.389999"
"2015-02-23","104.099998"
"2015-02-24","105.230003"
"2015-02-25","106.660004"
"2015-02-26","104.389999"
"2015-02-27","101.529999"
"2015-03-02","105.400002"
"2015-03-03","106.910004"
"2015-03-04","107.230003"
"2015-03-05","111.559998"
"2015-03-06","107.669998"
"2015-03-09","106.949997"
"2015-03-10","109.750000"
"2015-03-11","113.599998"
"2015-03-12","113.900002"
"2015-03-13","113.570000"
"2015-03-16","115.940002"
"2015-03-17","116.290001"
"2015-03-18","112.800003"
"2015-03-19","119.699997"
"2015-03-20","117.459999"
"2015-03-23","111.489998"
"2015-03-24","110.059998"
"2015-03-25","101.779999"
"2015-03-26","99.639999"
"2015-03-27","104.059998"
"2015-03-30","107.779999"
"2015-03-31","104.419998"
"2015-04-01","105.260002"
"2015-04-02","104.410004"
"2015-04-06","103.690002"
"2015-04-07","104.050003"
"2015-04-08","106.500000"
"2015-04-09","107.800003"
"2015-04-10","114.220001"
"2015-04-13","115.239998"
"2015-04-14","116.669998"
"2015-04-15","120.000000"
"2015-04-16","121.370003"
"2015-04-17","116.980003"
"2015-04-20","118.680000"
"2015-04-21","120.699997"
"2015-04-22","118.000000"
"2015-04-23","118.720001"
"2015-04-24","119.010002"
"2015-04-27","108.430000"
"2015-04-28","104.690002"
"2015-04-29","104.010002"
"2015-04-30","101.870003"
"2015-05-01","106.889999"
"2015-05-04","107.160004"
"2015-05-05","104.029999"
"2015-05-06","105.709999"
"2015-05-07","106.629997"
"2015-05-08","112.790001"
"2015-05-11","113.510002"
"2015-05-12","113.809998"
"2015-05-13","114.389999"
"2015-05-14","115.870003"
"2015-05-15","119.839996"
"2015-05-18","121.620003"
"2015-05-19","117.330002"
"2015-05-20","123.949997"
"2015-05-21","124.879997"
"2015-05-22","124.809998"
"2015-05-26","127.870003"
"2015-05-27","130.619995"
"2015-05-28","128.500000"
"2015-05-29","131.089996"
"2015-06-01","131.210007"
"2015-06-02","131.320007"
"2015-06-03","128.839996"
"2015-06-04","129.000000"
"2015-06-05","131.350006"
"2015-06-08","129.970001"
"2015-06-09","127.580002"
"2015-06-10","128.789993"
"2015-06-11","132.740005"
"2015-06-12","130.279999"
"2015-06-15","129.750000"
"2015-06-16","127.919998"
"2015-06-17","128.949997"
"2015-06-18","134.460007"
"2015-06-19","136.360001"
"2015-06-22","138.729996"
"2015-06-23","131.429993"
"2015-06-24","123.660004"
"2015-06-25","123.110001"
"2015-06-26","117.669998"
"2015-06-29","114.209999"
"2015-06-30","119.870003"
"2015-07-01","117.570000"
"2015-07-02","117.839996"
"2015-07-06","118.699997"
"2015-07-07","119.529999"
"2015-07-08","112.730003"
"2015-07-09","116.040001"
"2015-07-10","121.769997"
"2015-07-13","125.639999"
"2015-07-14","128.929993"
"2015-07-15","126.339996"
"2015-07-16","133.399994"
"2015-07-17","136.550003"
"2015-07-20","133.869995"
"2015-07-21","133.369995"
"2015-07-22","133.330002"
"2015-07-23","133.490005"
"2015-07-24","129.619995"
"2015-07-27","128.820007"
"2015-07-28","129.759995"
"2015-07-29","130.089996"
"2015-07-30","125.459999"
"2015-07-31","127.430000"
"2015-08-03","126.220001"
"2015-08-04","125.879997"
"2015-08-05","127.730003"
"2015-08-06","119.870003"
"2015-08-07","106.190002"
"2015-08-10","105.669998"
"2015-08-11","106.320000"
"2015-08-12","108.480003"
"2015-08-13","105.050003"
"2015-08-14","105.739998"
"2015-08-17","111.449997"
"2015-08-18","109.769997"
"2015-08-19","109.019997"
"2015-08-20","101.949997"
"2015-08-21","99.849998"
"2015-08-24","92.800003"
"2015-08-25","95.720001"
"2015-08-26","102.250000"
"2015-08-27","104.900002"
"2015-08-28","109.070000"
"2015-08-31","102.910004"
"2015-09-01","97.900002"
"2015-09-02","101.620003"
"2015-09-03","97.250000"
"2015-09-04","97.800003"
"2015-09-08","104.750000"
"2015-09-09","100.910004"
"2015-09-10","105.760002"
"2015-09-11","107.699997"
"2015-09-14","107.750000"
"2015-09-15","107.750000"
"2015-09-16","106.849998"
"2015-09-17","108.480003"
"2015-09-18","107.849998"
"2015-09-21","98.500000"
