"date, price"
"2014-12-04","55.630001"
"2014-12-05","54.689999"
"2014-12-08","51.040001"
"2014-12-09","52.509998"
"2014-12-10","51.119999"
"2014-12-11","47.970001"
"2014-12-12","46.330002"
"2014-12-15","46.130001"
"2014-12-16","45.779999"
"2014-12-17","46.720001"
"2014-12-18","48.560001"
"2014-12-19","47.849998"
"2014-12-22","50.790001"
"2014-12-23","51.330002"
"2014-12-24","52.049999"
"2014-12-26","55.939999"
"2014-12-29","54.040001"
"2014-12-30","52.400002"
"2014-12-31","50.720001"
"2015-01-02","51.020000"
"2015-01-05","50.669998"
"2015-01-06","52.880001"
"2015-01-07","60.000000"
"2015-01-08","60.000000"
"2015-01-09","61.830002"
"2015-01-12","61.900002"
"2015-01-13","60.270000"
"2015-01-14","57.950001"
"2015-01-15","53.610001"
"2015-01-16","56.459999"
"2015-01-20","59.220001"
"2015-01-21","59.110001"
"2015-01-22","58.400002"
"2015-01-23","56.480000"
"2015-01-26","57.840000"
"2015-01-27","57.820000"
"2015-01-28","57.000000"
"2015-01-29","56.680000"
"2015-01-30","55.310001"
"2015-02-02","56.610001"
"2015-02-03","56.720001"
"2015-02-04","56.520000"
"2015-02-05","59.209999"
"2015-02-06","56.020000"
"2015-02-09","55.580002"
"2015-02-10","56.250000"
"2015-02-11","54.840000"
"2015-02-12","55.169998"
"2015-02-13","50.709999"
"2015-02-17","52.650002"
"2015-02-18","51.680000"
"2015-02-19","51.369999"
"2015-02-20","51.750000"
"2015-02-23","54.910000"
"2015-02-24","57.700001"
"2015-02-25","56.639999"
"2015-02-26","58.009998"
"2015-02-27","57.389999"
"2015-03-02","61.650002"
"2015-03-03","63.049999"
"2015-03-04","67.489998"
"2015-03-05","64.389999"
"2015-03-06","64.220001"
"2015-03-09","66.309998"
"2015-03-10","66.660004"
"2015-03-11","67.620003"
"2015-03-12","67.519997"
"2015-03-13","68.440002"
"2015-03-16","69.269997"
"2015-03-17","67.809998"
"2015-03-18","68.480003"
"2015-03-19","69.250000"
"2015-03-20","72.389999"
"2015-03-23","72.250000"
"2015-03-24","72.720001"
"2015-03-25","69.559998"
"2015-03-26","68.510002"
"2015-03-27","70.349998"
"2015-03-30","74.610001"
"2015-03-31","75.709999"
"2015-04-01","73.970001"
"2015-04-02","74.000000"
"2015-04-06","73.660004"
"2015-04-07","72.809998"
"2015-04-08","74.379997"
"2015-04-09","75.209999"
"2015-04-10","75.800003"
"2015-04-13","75.260002"
"2015-04-14","74.870003"
"2015-04-15","74.669998"
"2015-04-16","74.599998"
"2015-04-17","72.839996"
"2015-04-20","74.559998"
"2015-04-21","74.389999"
"2015-04-22","74.570000"
"2015-04-23","73.449997"
"2015-04-24","72.129997"
"2015-04-27","70.629997"
"2015-04-28","72.010002"
"2015-04-29","75.370003"
"2015-04-30","73.150002"
"2015-05-01","76.050003"
"2015-05-04","75.400002"
"2015-05-05","72.519997"
"2015-05-06","73.470001"
"2015-05-07","73.279999"
"2015-05-08","72.070000"
"2015-05-11","71.830002"
"2015-05-12","72.900002"
"2015-05-13","73.110001"
"2015-05-14","75.900002"
"2015-05-15","79.860001"
"2015-05-18","81.430000"
"2015-05-19","83.580002"
"2015-05-20","86.250000"
"2015-05-21","83.290001"
"2015-05-22","83.680000"
"2015-05-26","87.199997"
"2015-05-27","89.879997"
"2015-05-28","88.959999"
"2015-05-29","90.209999"
"2015-06-01","94.519997"
"2015-06-02","92.209999"
"2015-06-03","95.660004"
"2015-06-04","100.370003"
"2015-06-05","103.330002"
"2015-06-08","108.750000"
"2015-06-09","114.040001"
"2015-06-10","112.940002"
"2015-06-11","111.500000"
"2015-06-12","118.160004"
"2015-06-15","117.489998"
"2015-06-16","117.849998"
"2015-06-17","122.230003"
"2015-06-18","126.699997"
"2015-06-19","119.349998"
"2015-06-22","94.360001"
"2015-06-23","102.300003"
"2015-06-24","101.599998"
"2015-06-25","104.730003"
"2015-06-26","101.570000"
"2015-06-29","100.809998"
"2015-06-30","102.690002"
"2015-07-01","101.879997"
"2015-07-02","101.209999"
"2015-07-06","101.910004"
"2015-07-07","100.860001"
"2015-07-08","97.449997"
"2015-07-09","96.750000"
"2015-07-10","99.610001"
"2015-07-13","99.150002"
"2015-07-14","107.480003"
"2015-07-15","106.209999"
"2015-07-16","108.169998"
"2015-07-17","111.120003"
"2015-07-20","117.720001"
"2015-07-21","118.180000"
"2015-07-22","122.500000"
"2015-07-23","122.989998"
"2015-07-24","124.230003"
