"date, price"
"2014-12-04","25.959999"
"2014-12-05","26.190001"
"2014-12-08","26.170000"
"2014-12-09","27.120001"
"2014-12-10","26.840000"
"2014-12-11","27.129999"
"2014-12-12","26.809999"
"2014-12-15","26.559999"
"2014-12-16","26.650000"
"2014-12-17","27.670000"
"2014-12-18","27.879999"
"2014-12-19","27.910000"
"2014-12-22","28.950001"
"2014-12-23","29.049999"
"2014-12-24","28.969999"
"2014-12-26","29.540001"
"2014-12-29","29.620001"
"2014-12-30","30.070000"
"2014-12-31","29.350000"
"2015-01-02","28.940001"
"2015-01-05","28.040001"
"2015-01-06","27.559999"
"2015-01-07","27.600000"
"2015-01-08","28.410000"
"2015-01-09","28.110001"
"2015-01-12","27.959999"
"2015-01-13","27.879999"
"2015-01-14","28.570000"
"2015-01-15","27.740000"
"2015-01-16","28.260000"
"2015-01-20","28.139999"
"2015-01-21","27.950001"
"2015-01-22","28.990000"
"2015-01-23","28.680000"
"2015-01-26","29.049999"
"2015-01-27","29.000000"
"2015-01-28","29.059999"
"2015-01-29","28.860001"
"2015-01-30","28.180000"
"2015-02-02","27.920000"
"2015-02-03","27.760000"
"2015-02-04","27.959999"
"2015-02-05","28.309999"
"2015-02-06","28.299999"
"2015-02-09","28.270000"
"2015-02-10","28.510000"
"2015-02-11","28.889999"
"2015-02-12","28.459999"
"2015-02-13","28.620001"
"2015-02-17","28.520000"
"2015-02-18","28.940001"
"2015-02-19","28.510000"
"2015-02-20","28.690001"
"2015-02-23","29.170000"
"2015-02-24","28.770000"
"2015-02-25","29.610001"
"2015-02-26","30.900000"
"2015-02-27","30.170000"
"2015-03-02","30.889999"
"2015-03-03","29.959999"
"2015-03-04","29.430000"
"2015-03-05","28.350000"
"2015-03-06","27.620001"
"2015-03-09","27.430000"
"2015-03-10","27.629999"
"2015-03-11","27.309999"
"2015-03-12","27.330000"
"2015-03-13","27.160000"
"2015-03-16","27.500000"
"2015-03-17","27.190001"
"2015-03-18","26.990000"
"2015-03-19","26.990000"
"2015-03-20","26.740000"
