"date, price"
"2014-12-04","5.810000"
"2014-12-05","5.860000"
"2014-12-08","5.710000"
"2014-12-09","6.130000"
"2014-12-10","5.790000"
"2014-12-11","5.890000"
"2014-12-12","5.950000"
"2014-12-15","6.160000"
"2014-12-16","5.960000"
"2014-12-17","6.700000"
"2014-12-18","6.640000"
"2014-12-19","6.690000"
"2014-12-22","6.860000"
"2014-12-23","6.780000"
"2014-12-24","6.570000"
"2014-12-26","6.610000"
"2014-12-29","6.320000"
"2014-12-30","6.290000"
"2014-12-31","6.230000"
"2015-01-02","6.390000"
"2015-01-05","6.250000"
"2015-01-06","6.060000"
"2015-01-07","5.840000"
"2015-01-08","5.810000"
"2015-01-09","5.630000"
"2015-01-12","5.580000"
"2015-01-13","5.670000"
"2015-01-14","5.580000"
"2015-01-15","5.210000"
"2015-01-16","5.110000"
"2015-01-20","4.990000"
"2015-01-21","5.260000"
"2015-01-22","5.220000"
"2015-01-23","5.330000"
"2015-01-26","5.140000"
"2015-01-27","4.930000"
"2015-01-28","4.840000"
"2015-01-29","4.700000"
"2015-01-30","4.590000"
"2015-02-02","4.700000"
"2015-02-03","4.790000"
"2015-02-04","4.920000"
"2015-02-05","5.050000"
"2015-02-06","4.990000"
"2015-02-09","4.970000"
"2015-02-10","5.090000"
"2015-02-11","5.150000"
"2015-02-12","4.900000"
"2015-02-13","5.020000"
"2015-02-17","4.890000"
"2015-02-18","7.800000"
"2015-02-19","7.060000"
"2015-02-20","6.730000"
"2015-02-23","6.620000"
"2015-02-24","6.580000"
"2015-02-25","6.720000"
"2015-02-26","6.390000"
"2015-02-27","6.740000"
"2015-03-02","6.500000"
"2015-03-03","6.490000"
"2015-03-04","6.690000"
"2015-03-05","6.720000"
"2015-03-06","6.800000"
"2015-03-09","6.550000"
"2015-03-10","6.580000"
"2015-03-11","6.440000"
"2015-03-12","6.560000"
"2015-03-13","6.580000"
"2015-03-16","6.470000"
"2015-03-17","6.430000"
"2015-03-18","6.510000"
"2015-03-19","6.550000"
"2015-03-20","6.540000"
"2015-03-23","6.760000"
"2015-03-24","6.630000"
"2015-03-25","6.490000"
"2015-03-26","6.250000"
"2015-03-27","6.340000"
"2015-03-30","6.200000"
"2015-03-31","5.870000"
"2015-04-01","5.660000"
"2015-04-02","5.950000"
"2015-04-06","5.990000"
"2015-04-07","6.070000"
"2015-04-08","5.650000"
"2015-04-09","5.720000"
"2015-04-10","5.590000"
"2015-04-13","5.710000"
"2015-04-14","5.620000"
"2015-04-15","5.950000"
"2015-04-16","5.450000"
"2015-04-17","5.660000"
"2015-04-20","6.040000"
"2015-04-21","6.150000"
"2015-04-22","6.460000"
"2015-04-23","6.400000"
"2015-04-24","6.160000"
"2015-04-27","6.070000"
"2015-04-28","6.200000"
"2015-04-29","6.160000"
"2015-04-30","5.870000"
"2015-05-01","5.850000"
"2015-05-04","6.060000"
"2015-05-05","5.890000"
"2015-05-06","5.970000"
"2015-05-07","6.000000"
"2015-05-08","5.980000"
"2015-05-11","6.180000"
"2015-05-12","6.110000"
"2015-05-13","6.160000"
"2015-05-14","6.210000"
"2015-05-15","6.370000"
"2015-05-18","6.260000"
"2015-05-19","6.240000"
"2015-05-20","6.130000"
"2015-05-21","6.310000"
"2015-05-22","6.250000"
"2015-05-26","6.140000"
"2015-05-27","6.380000"
"2015-05-28","6.430000"
"2015-05-29","6.270000"
"2015-06-01","6.240000"
