"date, price"
"2014-12-04","83.110001"
"2014-12-05","83.650002"
"2014-12-08","83.279999"
"2014-12-09","83.209999"
"2014-12-10","81.970001"
"2014-12-11","81.650002"
"2014-12-12","80.320000"
"2014-12-15","80.110001"
"2014-12-16","80.400002"
"2014-12-17","81.660004"
"2014-12-18","83.339996"
"2014-12-19","83.239998"
"2014-12-22","83.160004"
"2014-12-23","83.949997"
"2014-12-24","84.309998"
"2014-12-26","84.269997"
"2014-12-29","83.730003"
"2014-12-30","82.790001"
"2014-12-31","82.000000"
"2015-01-02","81.639999"
"2015-01-05","80.860001"
"2015-01-06","79.260002"
"2015-01-07","79.709999"
"2015-01-08","81.660004"
"2015-01-09","80.760002"
"2015-01-12","79.919998"
"2015-01-13","80.629997"
"2015-01-14","80.720001"
"2015-01-15","80.830002"
"2015-01-16","82.690002"
"2015-01-20","82.500000"
"2015-01-21","82.949997"
"2015-01-22","84.639999"
"2015-01-23","84.709999"
"2015-01-26","85.110001"
"2015-01-27","83.300003"
"2015-01-28","81.599998"
"2015-01-29","82.169998"
"2015-01-30","80.669998"
"2015-02-02","81.260002"
"2015-02-03","83.279999"
"2015-02-04","82.529999"
"2015-02-05","83.739998"
"2015-02-06","84.029999"
"2015-02-09","83.790001"
"2015-02-10","85.639999"
"2015-02-11","85.239998"
"2015-02-12","85.900002"
"2015-02-13","86.260002"
"2015-02-17","86.540001"
"2015-02-18","85.910004"
"2015-02-19","86.629997"
"2015-02-20","87.250000"
"2015-02-23","86.199997"
"2015-02-24","85.620003"
"2015-02-25","86.320000"
"2015-02-26","85.589996"
"2015-02-27","85.970001"
"2015-03-02","86.440002"
"2015-03-03","86.230003"
"2015-03-04","86.080002"
"2015-03-05","86.379997"
"2015-03-06","85.360001"
"2015-03-09","85.949997"
"2015-03-10","84.589996"
"2015-03-11","84.809998"
"2015-03-12","84.900002"
"2015-03-13","84.989998"
"2015-03-16","86.440002"
"2015-03-17","86.839996"
"2015-03-18","87.709999"
"2015-03-19","87.849998"
"2015-03-20","88.570000"
"2015-03-23","87.779999"
"2015-03-24","87.839996"
"2015-03-25","86.419998"
"2015-03-26","86.730003"
"2015-03-27","86.790001"
"2015-03-30","88.120003"
"2015-03-31","88.190002"
"2015-04-01","88.129997"
"2015-04-02","86.989998"
"2015-04-06","89.300003"
"2015-04-07","88.879997"
"2015-04-08","88.660004"
"2015-04-09","88.279999"
"2015-04-10","88.559998"
"2015-04-13","87.529999"
"2015-04-14","86.949997"
"2015-04-15","87.400002"
"2015-04-16","87.779999"
"2015-04-17","86.330002"
"2015-04-20","86.510002"
"2015-04-21","86.680000"
"2015-04-22","87.019997"
"2015-04-23","88.070000"
"2015-04-24","87.459999"
"2015-04-27","86.910004"
"2015-04-28","86.690002"
"2015-04-29","86.849998"
"2015-04-30","85.839996"
"2015-05-01","86.489998"
"2015-05-04","87.489998"
"2015-05-05","87.239998"
"2015-05-06","84.320000"
"2015-05-07","86.220001"
"2015-05-08","86.690002"
"2015-05-11","86.379997"
"2015-05-12","86.910004"
"2015-05-13","88.199997"
"2015-05-14","90.480003"
"2015-05-15","89.699997"
"2015-05-18","90.320000"
"2015-05-19","90.110001"
"2015-05-20","90.510002"
"2015-05-21","90.220001"
"2015-05-22","90.029999"
"2015-05-26","89.120003"
"2015-05-27","89.830002"
"2015-05-28","89.709999"
"2015-05-29","89.000000"
"2015-06-01","89.410004"
"2015-06-02","89.529999"
"2015-06-03","91.019997"
"2015-06-04","89.639999"
"2015-06-05","90.120003"
"2015-06-08","88.820000"
"2015-06-09","88.800003"
"2015-06-10","90.510002"
"2015-06-11","91.800003"
"2015-06-12","90.879997"
"2015-06-15","88.769997"
"2015-06-16","89.870003"
"2015-06-17","89.870003"
"2015-06-18","90.720001"
"2015-06-19","90.919998"
"2015-06-22","91.800003"
"2015-06-23","91.949997"
"2015-06-24","91.089996"
"2015-06-25","91.870003"
"2015-06-26","92.190002"
"2015-06-29","91.000000"
"2015-06-30","91.239998"
"2015-07-01","91.510002"
"2015-07-02","91.410004"
"2015-07-06","90.870003"
"2015-07-07","91.510002"
"2015-07-08","90.720001"
"2015-07-09","91.400002"
"2015-07-10","92.430000"
"2015-07-13","93.050003"
"2015-07-14","92.809998"
"2015-07-15","92.709999"
"2015-07-16","93.720001"
"2015-07-17","92.959999"
"2015-07-20","93.010002"
"2015-07-21","91.529999"
"2015-07-22","93.360001"
"2015-07-23","93.489998"
"2015-07-24","92.940002"
"2015-07-27","91.309998"
"2015-07-28","92.000000"
"2015-07-29","92.989998"
"2015-07-30","93.709999"
"2015-07-31","94.150002"
"2015-08-03","94.540001"
"2015-08-04","95.230003"
"2015-08-05","94.019997"
"2015-08-06","92.959999"
"2015-08-07","93.760002"
