"date, price"
"2014-12-04","3.300000"
"2014-12-05","3.510000"
"2014-12-08","3.500000"
"2014-12-09","3.330000"
"2014-12-10","3.220000"
"2014-12-11","3.240000"
"2014-12-12","3.510000"
"2014-12-15","3.360000"
"2014-12-16","3.390000"
"2014-12-17","3.340000"
"2014-12-18","3.350000"
"2014-12-19","3.330000"
"2014-12-22","3.150000"
"2014-12-23","3.140000"
"2014-12-24","3.220000"
"2014-12-26","3.220000"
"2014-12-29","3.260000"
"2014-12-30","3.300000"
"2014-12-31","3.330000"
"2015-01-02","3.550000"
"2015-01-05","3.410000"
"2015-01-06","3.460000"
"2015-01-07","3.450000"
"2015-01-08","3.280000"
"2015-01-09","3.250000"
"2015-01-12","3.010000"
"2015-01-13","3.080000"
"2015-01-14","3.150000"
"2015-01-15","3.310000"
"2015-01-16","3.260000"
"2015-01-20","3.140000"
"2015-01-21","3.000000"
"2015-01-22","2.990000"
"2015-01-23","2.890000"
"2015-01-26","2.790000"
"2015-01-27","2.970000"
"2015-01-28","2.960000"
"2015-01-29","3.260000"
"2015-01-30","3.330000"
"2015-02-02","3.120000"
"2015-02-03","3.260000"
"2015-02-04","3.170000"
"2015-02-05","3.160000"
"2015-02-06","3.170000"
"2015-02-09","3.180000"
"2015-02-10","3.150000"
"2015-02-11","3.100000"
"2015-02-12","3.160000"
"2015-02-13","3.530000"
"2015-02-17","3.350000"
"2015-02-18","3.290000"
"2015-02-19","3.300000"
"2015-02-20","3.320000"
"2015-02-23","3.320000"
"2015-02-24","3.550000"
"2015-02-25","3.710000"
"2015-02-26","3.660000"
"2015-02-27","3.610000"
"2015-03-02","3.960000"
"2015-03-03","4.000000"
"2015-03-04","4.090000"
"2015-03-05","4.030000"
"2015-03-06","3.940000"
"2015-03-09","3.920000"
"2015-03-10","3.730000"
"2015-03-11","3.630000"
"2015-03-12","3.850000"
"2015-03-13","3.770000"
"2015-03-16","3.800000"
"2015-03-17","3.840000"
"2015-03-18","3.880000"
"2015-03-19","3.460000"
"2015-03-20","3.510000"
"2015-03-23","3.420000"
"2015-03-24","3.500000"
"2015-03-25","3.300000"
"2015-03-26","3.230000"
"2015-03-27","3.170000"
"2015-03-30","3.280000"
"2015-03-31","3.260000"
"2015-04-01","3.270000"
"2015-04-02","3.340000"
"2015-04-06","3.380000"
"2015-04-07","3.400000"
"2015-04-08","3.380000"
"2015-04-09","3.410000"
"2015-04-10","3.590000"
"2015-04-13","3.900000"
"2015-04-14","3.820000"
"2015-04-15","4.060000"
"2015-04-16","4.100000"
"2015-04-17","4.030000"
"2015-04-20","3.980000"
"2015-04-21","4.000000"
"2015-04-22","3.820000"
"2015-04-23","3.890000"
"2015-04-24","3.830000"
"2015-04-27","3.920000"
"2015-04-28","3.900000"
"2015-04-29","3.660000"
"2015-04-30","3.630000"
"2015-05-01","3.520000"
"2015-05-04","3.510000"
"2015-05-05","3.500000"
"2015-05-06","3.610000"
"2015-05-07","3.900000"
"2015-05-08","3.850000"
"2015-05-11","3.790000"
"2015-05-12","3.720000"
"2015-05-13","3.620000"
"2015-05-14","3.710000"
"2015-05-15","3.820000"
"2015-05-18","3.870000"
"2015-05-19","3.860000"
"2015-05-20","3.950000"
"2015-05-21","3.990000"
"2015-05-22","4.230000"
"2015-05-26","4.090000"
"2015-05-27","4.270000"
"2015-05-28","4.280000"
"2015-05-29","4.180000"
"2015-06-01","4.010000"
"2015-06-02","4.000000"
"2015-06-03","4.020000"
"2015-06-04","4.000000"
"2015-06-05","4.030000"
"2015-06-08","4.180000"
"2015-06-09","4.220000"
"2015-06-10","4.030000"
"2015-06-11","3.590000"
"2015-06-12","3.590000"
"2015-06-15","3.420000"
"2015-06-16","3.300000"
"2015-06-17","3.190000"
"2015-06-18","3.060000"
"2015-06-19","3.130000"
"2015-06-22","3.360000"
"2015-06-23","3.250000"
"2015-06-24","3.330000"
"2015-06-25","3.470000"
"2015-06-26","3.320000"
"2015-06-29","3.020000"
"2015-06-30","3.020000"
"2015-07-01","2.950000"
