"date, price"
"2019-06-27","27.549999"
"2019-06-28","26.969999"
"2019-07-01","27.370001"
"2019-07-02","27.040001"
"2019-07-03","28.610001"
"2019-07-05","28.990000"
"2019-07-08","28.200001"
"2019-07-09","27.360001"
"2019-07-10","27.600000"
"2019-07-11","29.770000"
"2019-07-12","28.620001"
"2019-07-15","27.840000"
"2019-07-16","25.940001"
"2019-07-17","26.120001"
"2019-07-18","26.000000"
"2019-07-19","27.510000"
"2019-07-22","30.340000"
"2019-07-23","28.830000"
"2019-07-24","28.120001"
"2019-07-25","26.790001"
"2019-07-26","28.370001"
"2019-07-29","28.690001"
"2019-07-30","27.780001"
"2019-07-31","29.350000"
"2019-08-01","29.690001"
"2019-08-02","28.290001"
"2019-08-05","26.900000"
"2019-08-06","27.879999"
"2019-08-07","29.469999"
"2019-08-08","29.820000"
"2019-08-09","26.879999"
"2019-08-12","26.190001"
"2019-08-13","26.760000"
"2019-08-14","25.889999"
"2019-08-15","26.760000"
"2019-08-16","27.459999"
"2019-08-19","28.049999"
"2019-08-20","28.660000"
"2019-08-21","29.820000"
"2019-08-22","29.799999"
"2019-08-23","29.309999"
"2019-08-26","30.490000"
"2019-08-27","31.260000"
"2019-08-28","29.610001"
"2019-08-29","30.709999"
"2019-08-30","30.480000"
"2019-09-03","32.380001"
"2019-09-04","31.480000"
"2019-09-05","31.320000"
"2019-09-06","30.930000"
"2019-09-09","28.350000"
"2019-09-10","26.549999"
"2019-09-11","26.950001"
"2019-09-12","26.100000"
"2019-09-13","25.910000"
"2019-09-16","25.379999"
"2019-09-17","24.860001"
"2019-09-18","24.750000"
"2019-09-19","24.530001"
"2019-09-20","26.270000"
"2019-09-23","27.605000"
"2019-09-24","25.459999"
"2019-09-25","23.389999"
"2019-09-26","21.240000"
"2019-09-27","20.129999"
"2019-09-30","21.469999"
"2019-10-01","20.900000"
"2019-10-02","19.570000"
"2019-10-03","20.170000"
"2019-10-04","19.430000"
"2019-10-07","19.629999"
"2019-10-08","19.110001"
"2019-10-09","18.350000"
"2019-10-10","18.750000"
"2019-10-11","18.530001"
"2019-10-14","18.120001"
"2019-10-15","18.620001"
"2019-10-16","17.959999"
"2019-10-17","18.510000"
"2019-10-18","18.209999"
"2019-10-21","18.629999"
"2019-10-22","18.400000"
"2019-10-23","18.480000"
"2019-10-24","18.510000"
"2019-10-25","18.719999"
"2019-10-28","19.440001"
"2019-10-29","20.000000"
"2019-10-30","20.260000"
"2019-10-31","22.610001"
"2019-11-01","24.150000"
"2019-11-04","23.080000"
"2019-11-05","23.209999"
"2019-11-06","22.160000"
"2019-11-07","24.420000"
"2019-11-08","27.059999"
"2019-11-11","26.750000"
"2019-11-12","27.959999"
"2019-11-13","26.280001"
"2019-11-14","27.570000"
"2019-11-15","28.260000"
"2019-11-18","29.070000"
"2019-11-19","30.290001"
"2019-11-20","33.290001"
"2019-11-21","33.540001"
"2019-11-22","34.000000"
"2019-11-25","31.040001"
"2019-11-26","28.290001"
"2019-11-27","29.840000"
"2019-11-29","29.000000"
"2019-12-02","31.139999"
"2019-12-03","30.559999"
"2019-12-04","33.919998"
"2019-12-05","32.200001"
"2019-12-06","33.020000"
"2019-12-09","36.259998"
"2019-12-10","36.930000"
"2019-12-11","36.730000"
"2019-12-12","37.450001"
"2019-12-13","36.500000"
"2019-12-16","35.160000"
"2019-12-17","34.939999"
"2019-12-18","38.459999"
"2019-12-19","36.750000"
"2019-12-20","41.540001"
"2019-12-23","46.630001"
"2019-12-24","45.500000"
"2019-12-26","43.000000"
"2019-12-27","36.840000"
"2019-12-30","35.439999"
"2019-12-31","35.049999"
"2020-01-02","33.220001"
"2020-01-03","32.220001"
"2020-01-06","34.849998"
"2020-01-07","34.610001"
"2020-01-08","34.180000"
"2020-01-09","33.560001"
"2020-01-10","31.020000"
"2020-01-13","33.610001"
"2020-01-14","34.580002"
"2020-01-15","34.509998"
"2020-01-16","35.000000"
"2020-01-17","34.400002"
"2020-01-21","32.230000"
"2020-01-22","34.160000"
"2020-01-23","34.389999"
"2020-01-24","34.130001"
"2020-01-27","34.799999"
"2020-01-28","34.259998"
"2020-01-29","34.240002"
"2020-01-30","34.930000"
"2020-01-31","34.490002"
"2020-02-03","34.810001"
"2020-02-04","34.500000"
"2020-02-05","35.000000"
"2020-02-06","35.400002"
"2020-02-07","34.994999"
"2020-02-10","36.230000"
"2020-02-11","34.840000"
"2020-02-12","34.650002"
"2020-02-13","34.049999"
"2020-02-14","34.650002"
"2020-02-18","34.070000"
"2020-02-19","35.169998"
"2020-02-20","34.990002"
"2020-02-21","36.139999"
"2020-02-24","33.250000"
"2020-02-25","31.940001"
"2020-02-26","32.700001"
"2020-02-27","30.440001"
"2020-02-28","31.879999"
"2020-03-02","32.209999"
"2020-03-03","32.590000"
"2020-03-04","31.059999"
"2020-03-05","29.990000"
"2020-03-06","28.920000"
"2020-03-09","26.980000"
"2020-03-10","28.480000"
"2020-03-11","23.879999"
"2020-03-12","20.280001"
"2020-03-13","23.059999"
"2020-03-16","17.650000"
"2020-03-17","16.820000"
"2020-03-18","16.110001"
"2020-03-19","20.500000"
"2020-03-20","26.620001"
"2020-03-23","24.190001"
"2020-03-24","25.480000"
"2020-03-25","24.700001"
"2020-03-26","27.389999"
"2020-03-27","26.670000"
"2020-03-30","26.670000"
"2020-03-31","29.000000"
"2020-04-01","25.080000"
"2020-04-02","24.740000"
"2020-04-03","22.219999"
"2020-04-06","24.995001"
"2020-04-07","24.420000"
"2020-04-08","26.930000"
"2020-04-09","28.379999"
"2020-04-13","27.180000"
"2020-04-14","29.040001"
"2020-04-15","26.540001"
"2020-04-16","26.540001"
"2020-04-17","27.389999"
"2020-04-20","27.620001"
"2020-04-21","26.950001"
"2020-04-22","28.559999"
"2020-04-23","29.700001"
"2020-04-24","31.090000"
"2020-04-27","31.740000"
"2020-04-28","30.600000"
"2020-04-29","31.780001"
"2020-04-30","30.530001"
"2020-05-01","28.969999"
"2020-05-04","29.990000"
"2020-05-05","30.850000"
"2020-05-06","32.270000"
"2020-05-07","33.080002"
"2020-05-08","34.040001"
"2020-05-11","32.980000"
"2020-05-12","32.830002"
"2020-05-13","30.780001"
"2020-05-14","30.600000"
"2020-05-15","32.189999"
"2020-05-18","34.820000"
"2020-05-19","34.500000"
"2020-05-20","34.900002"
"2020-05-21","34.730000"
"2020-05-22","35.000000"
"2020-05-26","35.320000"
"2020-05-27","35.689999"
"2020-05-28","35.110001"
"2020-05-29","29.330000"
"2020-06-01","28.879999"
"2020-06-02","29.000000"
"2020-06-03","28.860001"
"2020-06-04","27.770000"
"2020-06-05","29.080000"
"2020-06-08","29.840000"
"2020-06-09","29.820000"
"2020-06-10","29.190001"
"2020-06-11","27.790001"
"2020-06-12","28.670000"
"2020-06-15","31.110001"
"2020-06-16","31.709999"
"2020-06-17","31.730000"
"2020-06-18","32.480000"
"2020-06-19","31.510000"
"2020-06-22","33.150002"
