"date, price"
"2014-12-04","147.919998"
"2014-12-05","147.229996"
"2014-12-08","144.229996"
"2014-12-09","145.880005"
"2014-12-10","143.600006"
"2014-12-11","144.600006"
"2014-12-12","143.169998"
"2014-12-15","138.539993"
"2014-12-16","135.979996"
"2014-12-17","136.699997"
"2014-12-18","138.190002"
"2014-12-19","137.500000"
"2014-12-22","137.729996"
"2014-12-23","139.070007"
"2014-12-24","138.100006"
"2014-12-26","139.220001"
"2014-12-29","138.649994"
"2014-12-30","136.100006"
"2014-12-31","136.410004"
"2015-01-02","136.899994"
"2015-01-05","135.210007"
"2015-01-06","134.779999"
"2015-01-07","135.139999"
"2015-01-08","136.690002"
"2015-01-09","134.669998"
"2015-01-12","132.949997"
"2015-01-13","133.729996"
"2015-01-14","134.380005"
"2015-01-15","136.490005"
"2015-01-16","139.839996"
"2015-01-20","142.259995"
"2015-01-21","139.169998"
"2015-01-22","139.830002"
"2015-01-23","137.880005"
"2015-01-26","139.789993"
"2015-01-27","138.250000"
"2015-01-28","139.000000"
"2015-01-29","142.639999"
"2015-01-30","157.639999"
"2015-02-02","166.050003"
"2015-02-03","170.309998"
"2015-02-04","173.020004"
"2015-02-05","170.710007"
"2015-02-06","170.309998"
"2015-02-09","173.429993"
"2015-02-10","174.110001"
"2015-02-11","174.850006"
"2015-02-12","175.380005"
"2015-02-13","172.649994"
"2015-02-17","172.910004"
"2015-02-18","172.759995"
"2015-02-19","173.250000"
"2015-02-20","172.259995"
"2015-02-23","182.490005"
"2015-02-24","185.800003"
"2015-02-25","183.229996"
"2015-02-26","183.869995"
"2015-02-27","183.300003"
"2015-03-02","185.399994"
"2015-03-03","184.020004"
"2015-03-04","184.660004"
"2015-03-05","184.009995"
"2015-03-06","182.169998"
"2015-03-09","187.139999"
"2015-03-10","189.320007"
"2015-03-11","189.259995"
"2015-03-12","192.860001"
"2015-03-13","188.059998"
"2015-03-16","195.759995"
"2015-03-17","197.130005"
"2015-03-18","206.410004"
"2015-03-19","203.940002"
"2015-03-20","201.750000"
"2015-03-23","195.580002"
"2015-03-24","193.389999"
"2015-03-25","189.229996"
"2015-03-26","193.059998"
"2015-03-27","192.289993"
"2015-03-30","194.410004"
"2015-03-31","195.000000"
"2015-04-01","195.199997"
"2015-04-02","198.580002"
"2015-04-06","197.919998"
"2015-04-07","196.110001"
"2015-04-08","202.250000"
"2015-04-09","199.509995"
"2015-04-10","200.449997"
"2015-04-13","196.800003"
"2015-04-14","200.860001"
"2015-04-15","202.419998"
"2015-04-16","202.779999"
"2015-04-17","197.220001"
"2015-04-20","198.770004"
"2015-04-21","206.110001"
"2015-04-22","211.500000"
"2015-04-23","210.990005"
"2015-04-24","216.380005"
"2015-04-27","216.449997"
"2015-04-28","215.009995"
"2015-04-29","216.639999"
"2015-04-30","236.199997"
"2015-05-01","231.000000"
"2015-05-04","228.009995"
