"date, price"
"2014-12-04","61.160000"
"2014-12-05","63.080002"
"2014-12-08","62.099998"
"2014-12-09","62.250000"
"2014-12-10","61.279999"
"2014-12-11","62.200001"
"2014-12-12","58.650002"
"2014-12-15","57.590000"
"2014-12-16","55.830002"
"2014-12-17","57.630001"
"2014-12-18","58.150002"
"2014-12-19","58.180000"
"2014-12-22","58.650002"
"2014-12-23","64.480003"
"2014-12-24","64.230003"
"2014-12-26","65.070000"
"2014-12-29","66.769997"
"2014-12-30","67.459999"
"2014-12-31","66.330002"
"2015-01-02","66.769997"
"2015-01-05","64.339996"
"2015-01-06","64.290001"
"2015-01-07","66.360001"
"2015-01-08","67.209999"
"2015-01-09","66.050003"
"2015-01-12","64.900002"
"2015-01-13","64.430000"
"2015-01-14","63.090000"
"2015-01-15","61.130001"
"2015-01-16","61.070000"
"2015-01-20","61.410000"
"2015-01-21","61.169998"
"2015-01-22","62.930000"
"2015-01-23","61.270000"
"2015-01-26","60.910000"
"2015-01-27","60.650002"
"2015-01-28","59.060001"
"2015-01-29","57.900002"
"2015-01-30","57.310001"
"2015-02-02","58.369999"
"2015-02-03","59.810001"
"2015-02-04","60.419998"
"2015-02-05","61.259998"
"2015-02-06","61.910000"
"2015-02-09","62.580002"
"2015-02-10","62.250000"
"2015-02-11","61.220001"
"2015-02-12","61.259998"
"2015-02-13","62.299999"
"2015-02-17","63.009998"
"2015-02-18","62.650002"
"2015-02-19","64.830002"
"2015-02-20","62.450001"
"2015-02-23","61.639999"
"2015-02-24","60.430000"
"2015-02-25","60.560001"
"2015-02-26","60.860001"
"2015-02-27","60.619999"
"2015-03-02","61.810001"
"2015-03-03","61.689999"
"2015-03-04","60.689999"
"2015-03-05","60.630001"
"2015-03-06","60.459999"
"2015-03-09","60.389999"
"2015-03-10","58.959999"
"2015-03-11","60.099998"
"2015-03-12","60.000000"
"2015-03-13","58.230000"
"2015-03-16","58.320000"
"2015-03-17","58.330002"
"2015-03-18","60.020000"
"2015-03-19","58.930000"
"2015-03-20","58.880001"
"2015-03-23","58.509998"
"2015-03-24","57.799999"
"2015-03-25","57.009998"
"2015-03-26","56.520000"
"2015-03-27","56.810001"
"2015-03-30","58.590000"
"2015-03-31","59.020000"
"2015-04-01","58.759998"
"2015-04-02","57.439999"
"2015-04-06","56.540001"
"2015-04-07","55.540001"
"2015-04-08","55.700001"
"2015-04-09","54.869999"
"2015-04-10","55.000000"
"2015-04-13","54.889999"
"2015-04-14","54.389999"
"2015-04-15","55.430000"
"2015-04-16","56.040001"
"2015-04-17","55.790001"
"2015-04-20","55.889999"
"2015-04-21","55.950001"
"2015-04-22","55.860001"
"2015-04-23","56.880001"
"2015-04-24","55.680000"
"2015-04-27","55.160000"
"2015-04-28","54.980000"
"2015-04-29","54.869999"
"2015-04-30","54.139999"
"2015-05-01","55.340000"
"2015-05-04","55.759998"
"2015-05-05","53.709999"
"2015-05-06","52.529999"
"2015-05-07","53.130001"
"2015-05-08","53.450001"
"2015-05-11","53.320000"
"2015-05-12","50.990002"
"2015-05-13","50.349998"
"2015-05-14","51.070000"
"2015-05-15","56.290001"
"2015-05-18","55.419998"
"2015-05-19","54.560001"
"2015-05-20","54.389999"
"2015-05-21","54.450001"
"2015-05-22","54.270000"
"2015-05-26","52.360001"
"2015-05-27","53.020000"
"2015-05-28","52.330002"
"2015-05-29","51.000000"
"2015-06-01","51.200001"
"2015-06-02","51.990002"
"2015-06-03","52.209999"
"2015-06-04","51.099998"
"2015-06-05","51.259998"
"2015-06-08","50.090000"
"2015-06-09","49.830002"
"2015-06-10","50.740002"
