"date, price"
"2014-12-04","40.889999"
"2014-12-05","40.060001"
"2014-12-08","40.340000"
"2014-12-09","40.779999"
"2014-12-10","39.900002"
"2014-12-11","40.169998"
"2014-12-12","40.009998"
"2014-12-15","39.419998"
"2014-12-16","38.770000"
"2014-12-17","40.349998"
"2014-12-18","40.709999"
"2014-12-19","40.290001"
"2014-12-22","39.799999"
"2014-12-23","40.599998"
"2014-12-24","41.250000"
"2014-12-26","41.290001"
"2014-12-29","40.980000"
"2014-12-30","40.410000"
"2014-12-31","40.759998"
"2015-01-02","40.470001"
"2015-01-05","39.820000"
"2015-01-06","39.709999"
"2015-01-07","39.810001"
"2015-01-08","40.860001"
"2015-01-09","41.290001"
"2015-01-12","41.549999"
"2015-01-13","42.279999"
"2015-01-14","41.939999"
"2015-01-15","41.709999"
"2015-01-16","42.090000"
"2015-01-20","43.540001"
"2015-01-21","43.570000"
"2015-01-22","44.950001"
"2015-01-23","44.980000"
"2015-01-26","46.520000"
"2015-01-27","46.200001"
"2015-01-28","45.270000"
"2015-01-29","45.650002"
"2015-01-30","45.160000"
"2015-02-02","45.439999"
"2015-02-03","45.139999"
"2015-02-04","44.990002"
"2015-02-05","47.360001"
"2015-02-06","47.689999"
"2015-02-09","47.279999"
"2015-02-10","47.060001"
"2015-02-11","46.189999"
"2015-02-12","46.080002"
"2015-02-13","47.000000"
"2015-02-17","47.119999"
"2015-02-18","47.290001"
"2015-02-19","47.610001"
"2015-02-20","48.000000"
"2015-02-23","47.240002"
"2015-02-24","47.360001"
"2015-02-25","46.990002"
"2015-02-26","46.529999"
"2015-02-27","46.830002"
"2015-03-02","47.009998"
"2015-03-03","46.759998"
"2015-03-04","46.130001"
"2015-03-05","46.340000"
"2015-03-06","46.070000"
"2015-03-09","46.840000"
"2015-03-10","46.299999"
"2015-03-11","46.549999"
"2015-03-12","46.799999"
"2015-03-13","46.810001"
"2015-03-16","47.660000"
"2015-03-17","47.820000"
"2015-03-18","48.730000"
"2015-03-19","48.500000"
