"date, price"
"2020-07-30","11.900000"
"2020-07-31","11.200000"
"2020-08-03","11.200000"
"2020-08-04","11.116000"
"2020-08-05","10.750000"
"2020-08-06","11.150000"
"2020-08-07","10.630000"
"2020-08-10","10.630000"
"2020-08-11","10.500000"
"2020-08-12","10.300000"
"2020-08-13","10.320000"
"2020-08-14","10.320000"
"2020-08-17","10.210000"
"2020-08-18","10.230000"
"2020-08-19","10.300000"
"2020-08-20","10.270000"
"2020-08-21","10.200000"
"2020-08-24","10.140000"
"2020-08-25","10.265000"
"2020-08-26","10.200000"
"2020-08-27","10.350000"
"2020-08-28","10.370000"
"2020-08-31","10.600000"
"2020-09-01","10.270000"
"2020-09-02","10.580000"
"2020-09-03","10.670000"
"2020-09-04","10.600000"
"2020-09-08","10.470000"
"2020-09-09","10.450000"
"2020-09-10","10.310000"
"2020-09-11","10.350000"
"2020-09-14","10.450000"
"2020-09-15","10.900000"
"2020-09-16","11.240000"
"2020-09-17","11.054000"
"2020-09-18","11.000000"
"2020-09-21","10.510000"
"2020-09-22","10.450000"
"2020-09-23","10.375000"
"2020-09-24","10.400000"
"2020-09-25","10.390000"
"2020-09-28","10.400000"
"2020-09-29","10.320000"
"2020-09-30","10.450000"
"2020-10-01","10.380000"
"2020-10-02","10.370000"
"2020-10-05","10.220000"
"2020-10-06","10.200000"
"2020-10-07","10.200000"
"2020-10-08","10.340000"
"2020-10-09","10.230000"
"2020-10-12","10.180000"
"2020-10-13","9.950000"
"2020-10-14","9.970000"
"2020-10-15","10.000000"
"2020-10-16","10.040000"
"2020-10-19","10.000000"
"2020-10-20","10.020000"
"2020-10-21","10.080000"
"2020-10-22","10.250000"
"2020-10-23","10.190000"
"2020-10-26","10.010000"
"2020-10-27","10.100000"
"2020-10-28","9.880000"
"2020-10-29","10.000000"
"2020-10-30","10.300000"
"2020-11-02","10.220000"
"2020-11-03","10.100000"
"2020-11-04","10.180000"
"2020-11-05","9.820000"
"2020-11-06","10.050000"
"2020-11-09","10.160000"
"2020-11-10","10.640000"
"2020-11-11","10.960000"
"2020-11-12","11.880000"
"2020-11-13","12.290000"
"2020-11-16","12.350000"
"2020-11-17","12.590000"
"2020-11-18","12.660000"
"2020-11-19","12.950000"
"2020-11-20","13.650000"
"2020-11-23","14.200000"
"2020-11-24","13.610000"
"2020-11-25","13.980000"
"2020-11-27","14.440000"
"2020-11-30","14.120000"
"2020-12-01","14.770000"
"2020-12-02","15.040000"
"2020-12-03","15.390000"
"2020-12-04","15.450000"
"2020-12-07","17.190001"
"2020-12-08","16.059999"
"2020-12-09","16.129999"
"2020-12-10","16.709999"
"2020-12-11","16.900000"
"2020-12-14","17.040001"
"2020-12-15","17.190001"
"2020-12-16","16.340000"
"2020-12-17","18.270000"
"2020-12-18","17.120001"
"2020-12-21","17.070000"
"2020-12-22","17.410000"
"2020-12-23","17.240000"
"2020-12-24","17.760000"
"2020-12-28","17.780001"
"2020-12-29","16.980000"
"2020-12-30","17.120001"
"2020-12-31","16.580000"
"2021-01-04","16.410000"
"2021-01-05","15.670000"
"2021-01-06","15.850000"
"2021-01-07","16.049999"
"2021-01-08","15.710000"
"2021-01-11","15.530000"
"2021-01-12","15.270000"
"2021-01-13","15.400000"
"2021-01-14","15.140000"
"2021-01-15","14.440000"
"2021-01-19","14.480000"
"2021-01-20","14.480000"
"2021-01-21","14.020000"
"2021-01-22","13.660000"
"2021-01-25","13.420000"
"2021-01-26","13.150000"
"2021-01-27","12.520000"
"2021-01-28","12.990000"
"2021-01-29","12.870000"
"2021-02-01","12.620000"
"2021-02-02","13.150000"
"2021-02-03","12.700000"
"2021-02-04","12.770000"
"2021-02-05","13.650000"
"2021-02-08","14.100000"
"2021-02-09","14.570000"
"2021-02-10","15.370000"
"2021-02-11","15.680000"
"2021-02-12","15.650000"
"2021-02-16","14.760000"
"2021-02-17","14.900000"
"2021-02-18","14.750000"
"2021-02-19","15.000000"
"2021-02-22","16.070000"
"2021-02-23","15.960000"
"2021-02-24","15.920000"
"2021-02-25","15.030000"
"2021-02-26","15.160000"
"2021-03-01","15.870000"
"2021-03-02","15.440000"
"2021-03-03","14.660000"
"2021-03-04","13.780000"
"2021-03-05","13.780000"
"2021-03-08","13.100000"
"2021-03-09","13.730000"
"2021-03-10","14.010000"
"2021-03-11","15.130000"
"2021-03-12","15.780000"
"2021-03-15","15.770000"
"2021-03-16","15.940000"
"2021-03-17","16.170000"
"2021-03-18","15.960000"
"2021-03-19","17.180000"
"2021-03-22","17.740000"
"2021-03-23","17.590000"
"2021-03-24","12.500000"
"2021-03-25","12.450000"
"2021-03-26","12.600000"
"2021-03-29","12.450000"
"2021-03-30","12.370000"
"2021-03-31","13.730000"
"2021-04-01","13.150000"
"2021-04-05","13.630000"
"2021-04-06","12.970000"
"2021-04-07","13.170000"
"2021-04-08","13.330000"
"2021-04-09","13.070000"
"2021-04-12","13.570000"
"2021-04-13","14.150000"
"2021-04-14","15.310000"
"2021-04-15","15.810000"
"2021-04-16","15.650000"
"2021-04-19","15.370000"
"2021-04-20","14.490000"
"2021-04-21","14.130000"
"2021-04-22","14.700000"
"2021-04-23","15.020000"
"2021-04-26","15.530000"
"2021-04-27","15.260000"
"2021-04-28","15.490000"
"2021-04-29","14.690000"
"2021-04-30","14.550000"
"2021-05-03","14.860000"
"2021-05-04","14.670000"
"2021-05-05","13.920000"
"2021-05-06","13.780000"
"2021-05-07","13.930000"
"2021-05-10","12.980000"
"2021-05-11","12.850000"
"2021-05-12","13.720000"
"2021-05-13","13.320000"
"2021-05-14","13.600000"
"2021-05-17","13.470000"
"2021-05-18","14.210000"
"2021-05-19","13.760000"
"2021-05-20","14.070000"
"2021-05-21","13.920000"
"2021-05-24","14.400000"
"2021-05-25","13.130000"
"2021-05-26","13.300000"
"2021-05-27","13.400000"
"2021-05-28","13.120000"
"2021-06-01","13.170000"
"2021-06-02","13.770000"
"2021-06-03","13.840000"
"2021-06-04","13.420000"
"2021-06-07","13.900000"
"2021-06-08","14.290000"
"2021-06-09","14.320000"
"2021-06-10","13.930000"
"2021-06-11","13.380000"
"2021-06-14","13.570000"
"2021-06-15","13.350000"
"2021-06-16","13.490000"
"2021-06-17","13.590000"
"2021-06-18","13.730000"
"2021-06-21","13.780000"
"2021-06-22","12.760000"
"2021-06-23","12.560000"
"2021-06-24","12.720000"
"2021-06-25","12.960000"
"2021-06-28","12.570000"
"2021-06-29","29.690001"
"2021-06-30","25.620001"
"2021-07-01","26.850000"
"2021-07-02","23.129999"
"2021-07-06","23.200001"
"2021-07-07","23.040001"
"2021-07-08","23.120001"
"2021-07-09","23.490000"
"2021-07-12","23.540001"
"2021-07-13","24.180000"
"2021-07-14","21.900000"
"2021-07-15","21.309999"
"2021-07-16","21.260000"
"2021-07-19","21.389999"
"2021-07-20","22.480000"
"2021-07-21","24.290001"
"2021-07-22","24.990000"
"2021-07-23","24.670000"
"2021-07-26","24.670000"
"2021-07-27","24.730000"
"2021-07-28","24.940001"
"2021-07-29","25.040001"
"2021-07-30","24.639999"
"2021-08-02","25.040001"
"2021-08-03","25.160000"
"2021-08-04","26.080000"
"2021-08-05","26.570000"
"2021-08-06","25.530001"
"2021-08-09","25.330000"
"2021-08-10","25.559999"
"2021-08-11","25.000000"
"2021-08-12","25.430000"
"2021-08-13","25.950001"
"2021-08-16","24.100000"
"2021-08-17","23.320000"
"2021-08-18","23.459999"
"2021-08-19","22.580000"
"2021-08-20","23.690001"
"2021-08-23","26.580000"
"2021-08-24","27.930000"
"2021-08-25","29.190001"
"2021-08-26","29.809999"
"2021-08-27","30.340000"
"2021-08-30","30.969999"
"2021-08-31","31.660000"
"2021-09-01","33.669998"
"2021-09-02","34.830002"
"2021-09-03","35.189999"
"2021-09-07","35.959999"
"2021-09-08","34.669998"
"2021-09-09","35.770000"
"2021-09-10","36.799999"
"2021-09-13","34.660000"
"2021-09-14","35.169998"
"2021-09-15","35.459999"
"2021-09-16","36.480000"
"2021-09-17","37.570000"
"2021-09-20","37.459999"
"2021-09-21","38.849998"
"2021-09-22","30.969999"
"2021-09-23","31.290001"
"2021-09-24","30.900000"
"2021-09-27","32.470001"
"2021-09-28","31.370001"
"2021-09-29","31.510000"
"2021-09-30","29.500000"
"2021-10-01","30.790001"
"2021-10-04","29.950001"
"2021-10-05","30.430000"
"2021-10-06","30.920000"
"2021-10-07","32.580002"
"2021-10-08","32.599998"
"2021-10-11","32.540001"
"2021-10-12","32.230000"
"2021-10-13","32.990002"
"2021-10-14","35.439999"
"2021-10-15","35.320000"
"2021-10-18","36.200001"
"2021-10-19","36.910000"
"2021-10-20","37.150002"
"2021-10-21","38.689999"
"2021-10-22","40.340000"
"2021-10-25","40.090000"
"2021-10-26","39.110001"
"2021-10-27","39.970001"
"2021-10-28","41.400002"
"2021-10-29","40.650002"
"2021-11-01","40.900002"
"2021-11-02","42.139999"
"2021-11-03","44.380001"
"2021-11-04","44.639999"
"2021-11-05","44.610001"
