"date, price"
"2014-12-04","28.559999"
"2014-12-05","28.719999"
"2014-12-08","28.020000"
"2014-12-09","27.760000"
"2014-12-10","26.920000"
"2014-12-11","27.290001"
"2014-12-12","26.480000"
"2014-12-15","25.760000"
"2014-12-16","25.540001"
"2014-12-17","26.290001"
"2014-12-18","27.010000"
"2014-12-19","27.450001"
"2014-12-22","26.860001"
"2014-12-23","27.290001"
"2014-12-24","26.900000"
"2014-12-26","26.920000"
"2014-12-29","26.760000"
"2014-12-30","27.340000"
"2014-12-31","27.500000"
"2015-01-02","28.180000"
"2015-01-05","27.870001"
"2015-01-06","26.870001"
"2015-01-07","26.830000"
"2015-01-08","26.910000"
"2015-01-09","26.580000"
"2015-01-12","25.850000"
"2015-01-13","25.650000"
"2015-01-14","25.250000"
"2015-01-15","24.820000"
"2015-01-16","24.870001"
"2015-01-20","24.830000"
"2015-01-21","25.000000"
"2015-01-22","25.270000"
"2015-01-23","25.660000"
"2015-01-26","26.150000"
"2015-01-27","26.379999"
"2015-01-28","26.430000"
"2015-01-29","26.219999"
"2015-01-30","26.299999"
"2015-02-02","26.910000"
"2015-02-03","26.969999"
"2015-02-04","26.549999"
"2015-02-05","26.490000"
"2015-02-06","26.610001"
"2015-02-09","26.940001"
"2015-02-10","27.049999"
"2015-02-11","27.629999"
"2015-02-12","28.139999"
"2015-02-13","28.180000"
"2015-02-17","28.020000"
"2015-02-18","28.440001"
"2015-02-19","27.020000"
"2015-02-20","27.040001"
"2015-02-23","26.450001"
"2015-02-24","26.469999"
"2015-02-25","26.080000"
"2015-02-26","25.639999"
"2015-02-27","25.850000"
"2015-03-02","26.000000"
"2015-03-03","25.930000"
"2015-03-04","26.700001"
"2015-03-05","26.969999"
"2015-03-06","27.290001"
"2015-03-09","27.240000"
"2015-03-10","27.209999"
"2015-03-11","26.830000"
"2015-03-12","26.850000"
"2015-03-13","26.280001"
"2015-03-16","26.250000"
"2015-03-17","26.309999"
"2015-03-18","26.350000"
"2015-03-19","26.180000"
"2015-03-20","26.680000"
"2015-03-23","26.850000"
"2015-03-24","27.070000"
"2015-03-25","26.620001"
"2015-03-26","26.379999"
"2015-03-27","26.980000"
"2015-03-30","27.080000"
"2015-03-31","27.100000"
"2015-04-01","27.809999"
"2015-04-02","27.799999"
"2015-04-06","27.680000"
"2015-04-07","27.940001"
"2015-04-08","27.770000"
"2015-04-09","27.540001"
"2015-04-10","27.809999"
"2015-04-13","28.100000"
"2015-04-14","28.290001"
"2015-04-15","28.330000"
"2015-04-16","28.709999"
"2015-04-17","28.709999"
"2015-04-20","29.730000"
"2015-04-21","29.389999"
"2015-04-22","29.750000"
"2015-04-23","29.870001"
"2015-04-24","29.770000"
"2015-04-27","29.790001"
"2015-04-28","29.950001"
"2015-04-29","29.780001"
"2015-04-30","30.190001"
"2015-05-01","30.840000"
"2015-05-04","31.490000"
"2015-05-05","30.870001"
"2015-05-06","30.250000"
"2015-05-07","30.080000"
"2015-05-08","30.209999"
"2015-05-11","29.950001"
"2015-05-12","29.799999"
"2015-05-13","29.680000"
"2015-05-14","29.709999"
"2015-05-15","29.730000"
"2015-05-18","29.959999"
"2015-05-19","30.090000"
"2015-05-20","30.129999"
"2015-05-21","30.250000"
"2015-05-22","30.450001"
"2015-05-26","30.309999"
"2015-05-27","30.490000"
"2015-05-28","30.790001"
"2015-05-29","30.830000"
"2015-06-01","30.969999"
"2015-06-02","29.450001"
"2015-06-03","29.180000"
"2015-06-04","29.270000"
"2015-06-05","29.430000"
"2015-06-08","29.209999"
"2015-06-09","29.000000"
"2015-06-10","28.969999"
"2015-06-11","29.070000"
"2015-06-12","28.740000"
"2015-06-15","28.180000"
"2015-06-16","28.410000"
"2015-06-17","28.389999"
"2015-06-18","28.490000"
"2015-06-19","28.610001"
"2015-06-22","28.559999"
"2015-06-23","28.980000"
"2015-06-24","28.650000"
"2015-06-25","28.709999"
"2015-06-26","28.540001"
"2015-06-29","28.010000"
"2015-06-30","28.150000"
"2015-07-01","28.209999"
"2015-07-02","28.629999"
"2015-07-06","27.990000"
"2015-07-07","27.940001"
"2015-07-08","26.940001"
"2015-07-09","27.440001"
"2015-07-10","27.440001"
"2015-07-13","27.830000"
"2015-07-14","28.389999"
