"date, price"
"2014-12-04","32.033333"
"2014-12-05","32.056667"
"2014-12-08","31.293333"
"2014-12-09","31.320000"
"2014-12-10","31.026667"
"2014-12-11","31.316668"
"2014-12-12","30.846666"
"2014-12-15","30.559999"
"2014-12-16","30.573334"
"2014-12-17","31.153334"
"2014-12-18","31.243334"
"2014-12-19","31.170000"
"2014-12-22","31.496668"
"2014-12-23","31.733334"
"2014-12-24","31.690001"
"2014-12-26","31.916668"
"2014-12-29","32.096668"
"2014-12-30","31.873333"
"2014-12-31","31.766666"
"2015-01-02","31.166668"
"2015-01-05","31.040001"
"2015-01-06","30.486668"
"2015-01-07","31.200001"
"2015-01-08","31.613333"
"2015-01-09","31.473333"
"2015-01-12","31.323334"
"2015-01-13","31.469999"
"2015-01-14","31.770000"
"2015-01-15","31.913334"
"2015-01-16","32.490002"
"2015-01-20","31.840000"
"2015-01-21","31.866667"
"2015-01-22","32.676666"
"2015-01-23","32.736668"
"2015-01-26","32.529999"
"2015-01-27","32.169998"
"2015-01-28","31.873333"
"2015-01-29","32.296665"
"2015-01-30","31.663334"
"2015-02-02","31.896667"
"2015-02-03","32.296665"
"2015-02-04","32.793331"
"2015-02-05","32.833332"
"2015-02-06","32.516666"
"2015-02-09","32.023335"
"2015-02-10","32.413334"
"2015-02-11","32.043331"
"2015-02-12","32.153332"
"2015-02-13","32.450001"
"2015-02-17","32.983334"
"2015-02-18","33.716667"
"2015-02-19","34.540001"
"2015-02-20","34.666668"
"2015-02-23","34.676666"
"2015-02-24","34.663334"
"2015-02-25","35.143333"
"2015-02-26","35.796665"
"2015-02-27","36.613335"
"2015-03-02","37.026669"
"2015-03-03","36.666668"
"2015-03-04","37.070000"
"2015-03-05","36.759998"
"2015-03-06","36.730000"
"2015-03-09","36.876667"
"2015-03-10","36.403332"
"2015-03-11","36.666668"
"2015-03-12","37.276669"
"2015-03-13","37.490002"
"2015-03-16","37.246666"
"2015-03-17","37.150002"
"2015-03-18","37.073334"
"2015-03-19","37.113335"
"2015-03-20","37.500000"
"2015-03-23","37.666668"
"2015-03-24","38.036667"
"2015-03-25","37.653332"
"2015-03-26","37.813332"
"2015-03-27","37.823334"
"2015-03-30","38.043331"
"2015-03-31","38.323334"
"2015-04-01","38.313332"
"2015-04-02","38.856667"
"2015-04-06","38.540001"
"2015-04-07","37.840000"
"2015-04-08","38.233334"
"2015-04-09","38.316666"
"2015-04-10","38.606667"
"2015-04-13","38.246666"
"2015-04-14","38.066666"
"2015-04-15","38.186668"
"2015-04-16","37.963333"
"2015-04-17","37.700001"
"2015-04-20","38.296665"
"2015-04-21","38.516666"
"2015-04-22","38.283333"
"2015-04-23","38.053333"
"2015-04-24","38.013332"
"2015-04-27","37.876667"
"2015-04-28","39.923332"
"2015-04-29","39.299999"
