"date, price"
"2019-06-27","15.000000"
"2019-06-28","14.600000"
"2019-07-01","14.400000"
"2019-07-02","14.500000"
"2019-07-03","14.880000"
"2019-07-05","14.930000"
"2019-07-08","14.770000"
"2019-07-09","14.810000"
"2019-07-10","14.650000"
"2019-07-11","14.870000"
"2019-07-12","14.840000"
"2019-07-15","14.800000"
"2019-07-16","14.280000"
"2019-07-17","14.010000"
"2019-07-18","13.620000"
"2019-07-19","13.500000"
"2019-07-22","14.000000"
"2019-07-23","14.610000"
"2019-07-24","14.220000"
"2019-07-25","14.280000"
"2019-07-26","14.480000"
"2019-07-29","14.460000"
"2019-07-30","14.040000"
"2019-07-31","13.930000"
"2019-08-01","13.540000"
"2019-08-02","13.160000"
"2019-08-05","13.140000"
"2019-08-06","13.330000"
"2019-08-07","13.150000"
"2019-08-08","13.350000"
"2019-08-09","13.200000"
"2019-08-12","13.090000"
"2019-08-13","12.070000"
"2019-08-14","13.160000"
"2019-08-15","14.100000"
"2019-08-16","14.730000"
"2019-08-19","15.200000"
"2019-08-20","15.060000"
"2019-08-21","15.190000"
"2019-08-22","14.230000"
"2019-08-23","14.400000"
"2019-08-26","14.270000"
"2019-08-27","13.640000"
"2019-08-28","13.790000"
"2019-08-29","14.060000"
"2019-08-30","14.030000"
"2019-09-03","13.810000"
"2019-09-04","13.820000"
"2019-09-05","13.750000"
"2019-09-06","12.990000"
"2019-09-09","11.990000"
"2019-09-10","11.500000"
"2019-09-11","12.340000"
"2019-09-12","13.320000"
"2019-09-13","13.670000"
"2019-09-16","13.690000"
"2019-09-17","13.570000"
"2019-09-18","12.780000"
"2019-09-19","12.850000"
"2019-09-20","13.240000"
"2019-09-23","13.170000"
"2019-09-24","13.050000"
"2019-09-25","12.560000"
"2019-09-26","12.370000"
"2019-09-27","11.780000"
"2019-09-30","12.080000"
"2019-10-01","12.180000"
"2019-10-02","11.940000"
"2019-10-03","11.770000"
"2019-10-04","12.140000"
"2019-10-07","12.090000"
"2019-10-08","11.960000"
"2019-10-09","12.095000"
"2019-10-10","12.680000"
"2019-10-11","12.720000"
"2019-10-14","12.390000"
"2019-10-15","12.740000"
"2019-10-16","12.910000"
"2019-10-17","12.970000"
"2019-10-18","12.710000"
"2019-10-21","13.010000"
"2019-10-22","12.860000"
"2019-10-23","12.930000"
"2019-10-24","13.050000"
"2019-10-25","12.660000"
"2019-10-28","12.750000"
"2019-10-29","12.900000"
"2019-10-30","12.950000"
"2019-10-31","13.220000"
"2019-11-01","13.400000"
"2019-11-04","12.950000"
"2019-11-05","12.890000"
"2019-11-06","12.720000"
"2019-11-07","12.750000"
"2019-11-08","13.070000"
"2019-11-11","13.200000"
"2019-11-12","13.170000"
"2019-11-13","13.180000"
"2019-11-14","13.900000"
"2019-11-15","13.530000"
"2019-11-18","12.970000"
"2019-11-19","13.240000"
"2019-11-20","13.200000"
"2019-11-21","13.250000"
"2019-11-22","13.220000"
"2019-11-25","13.100000"
"2019-11-26","13.440000"
"2019-11-27","13.620000"
"2019-11-29","13.380000"
"2019-12-02","13.380000"
"2019-12-03","13.300000"
"2019-12-04","13.160000"
"2019-12-05","13.200000"
"2019-12-06","14.040000"
"2019-12-09","14.050000"
"2019-12-10","13.910000"
"2019-12-11","14.070000"
"2019-12-12","13.980000"
"2019-12-13","13.670000"
"2019-12-16","13.660000"
"2019-12-17","14.200000"
"2019-12-18","14.780000"
"2019-12-19","14.690000"
"2019-12-20","15.150000"
