"date, price"
"2014-12-04","74.449997"
"2014-12-05","74.629997"
"2014-12-08","74.070000"
"2014-12-09","73.250000"
"2014-12-10","71.809998"
"2014-12-11","72.480003"
"2014-12-12","72.290001"
"2014-12-15","72.180000"
"2014-12-16","71.919998"
"2014-12-17","71.879997"
"2014-12-18","74.070000"
"2014-12-19","76.309998"
"2014-12-22","76.809998"
"2014-12-23","77.019997"
"2014-12-24","77.160004"
"2014-12-26","76.750000"
"2014-12-29","76.389999"
"2014-12-30","75.690002"
"2014-12-31","74.889999"
"2015-01-02","73.839996"
"2015-01-05","70.599998"
"2015-01-06","69.680000"
"2015-01-07","69.709999"
"2015-01-08","72.839996"
"2015-01-09","72.059998"
"2015-01-12","72.900002"
"2015-01-13","73.610001"
"2015-01-14","72.970001"
"2015-01-15","72.510002"
"2015-01-16","73.449997"
"2015-01-20","72.870003"
"2015-01-21","72.820000"
"2015-01-22","74.730003"
"2015-01-23","74.120003"
"2015-01-26","74.639999"
"2015-01-27","73.739998"
"2015-01-28","72.940002"
"2015-01-29","73.309998"
"2015-01-30","71.220001"
"2015-02-02","73.440002"
"2015-02-03","75.230003"
"2015-02-04","70.500000"
"2015-02-05","70.970001"
"2015-02-06","70.510002"
"2015-02-09","70.500000"
"2015-02-10","71.150002"
"2015-02-11","71.250000"
"2015-02-12","71.830002"
"2015-02-13","72.580002"
"2015-02-17","71.809998"
"2015-02-18","71.379997"
"2015-02-19","71.839996"
"2015-02-20","72.500000"
"2015-02-23","73.139999"
"2015-02-24","73.980003"
"2015-02-25","73.550003"
"2015-02-26","74.209999"
"2015-02-27","74.300003"
"2015-03-02","73.599998"
"2015-03-03","74.669998"
"2015-03-04","73.959999"
"2015-03-05","74.120003"
"2015-03-06","73.580002"
"2015-03-09","73.910004"
"2015-03-10","72.489998"
"2015-03-11","72.480003"
"2015-03-12","73.970001"
"2015-03-13","73.449997"
"2015-03-16","75.349998"
"2015-03-17","74.660004"
"2015-03-18","75.190002"
"2015-03-19","75.160004"
"2015-03-20","75.400002"
"2015-03-23","75.739998"
"2015-03-24","75.059998"
"2015-03-25","73.309998"
"2015-03-26","73.139999"
"2015-03-27","73.029999"
"2015-03-30","73.199997"
"2015-03-31","73.220001"
"2015-04-01","71.989998"
"2015-04-02","71.330002"
"2015-04-06","71.279999"
"2015-04-07","71.410004"
"2015-04-08","71.220001"
"2015-04-09","71.639999"
"2015-04-10","72.059998"
"2015-04-13","70.370003"
"2015-04-14","70.779999"
"2015-04-15","70.230003"
"2015-04-16","69.510002"
"2015-04-17","68.570000"
"2015-04-20","70.089996"
"2015-04-21","70.540001"
"2015-04-22","70.430000"
"2015-04-23","70.620003"
"2015-04-24","70.650002"
"2015-04-27","68.940002"
"2015-04-28","65.730003"
"2015-04-29","64.720001"
"2015-04-30","64.389999"
"2015-05-01","64.739998"
"2015-05-04","66.080002"
"2015-05-05","63.990002"
"2015-05-06","64.550003"
"2015-05-07","65.230003"
"2015-05-08","65.699997"
"2015-05-11","65.269997"
"2015-05-12","64.989998"
"2015-05-13","64.540001"
"2015-05-14","64.379997"
"2015-05-15","64.519997"
"2015-05-18","65.410004"
"2015-05-19","64.860001"
"2015-05-20","63.910000"
"2015-05-21","64.260002"
"2015-05-22","64.029999"
"2015-05-26","62.930000"
"2015-05-27","63.360001"
"2015-05-28","62.500000"
"2015-05-29","61.730000"
"2015-06-01","62.110001"
"2015-06-02","61.639999"
"2015-06-03","64.620003"
"2015-06-04","63.349998"
"2015-06-05","64.180000"
"2015-06-08","63.349998"
"2015-06-09","63.770000"
"2015-06-10","63.820000"
"2015-06-11","64.320000"
"2015-06-12","63.700001"
"2015-06-15","63.750000"
"2015-06-16","63.930000"
"2015-06-17","64.029999"
"2015-06-18","64.800003"
"2015-06-19","64.209999"
"2015-06-22","64.160004"
"2015-06-23","63.770000"
"2015-06-24","62.599998"
"2015-06-25","62.470001"
"2015-06-26","63.040001"
"2015-06-29","61.689999"
"2015-06-30","62.389999"
"2015-07-01","62.270000"
"2015-07-02","63.060001"
"2015-07-06","62.160000"
"2015-07-07","63.200001"
"2015-07-08","61.889999"
"2015-07-09","62.160000"
"2015-07-10","63.549999"
"2015-07-13","64.830002"
"2015-07-14","64.320000"
"2015-07-15","63.040001"
"2015-07-16","63.320000"
"2015-07-17","63.000000"
"2015-07-20","63.669998"
"2015-07-21","65.389999"
"2015-07-22","65.250000"
"2015-07-23","64.419998"
"2015-07-24","64.309998"
"2015-07-27","64.760002"
"2015-07-28","66.730003"
"2015-07-29","69.849998"
"2015-07-30","69.870003"
"2015-07-31","70.150002"
"2015-08-03","70.720001"
"2015-08-04","70.419998"
"2015-08-05","70.309998"
"2015-08-06","69.669998"
"2015-08-07","68.849998"
"2015-08-10","69.580002"
"2015-08-11","69.839996"
"2015-08-12","69.099998"
"2015-08-13","68.709999"
"2015-08-14","69.400002"
"2015-08-17","69.690002"
"2015-08-18","69.750000"
"2015-08-19","70.830002"
"2015-08-20","69.220001"
"2015-08-21","67.239998"
"2015-08-24","65.160004"
"2015-08-25","64.139999"
"2015-08-26","67.260002"
"2015-08-27","67.820000"
"2015-08-28","67.239998"
"2015-08-31","67.430000"
"2015-09-01","66.000000"
"2015-09-02","68.739998"
"2015-09-03","68.199997"
"2015-09-04","67.699997"
"2015-09-08","68.940002"
"2015-09-09","68.830002"
"2015-09-10","69.000000"
"2015-09-11","68.680000"
"2015-09-14","68.599998"
"2015-09-15","69.489998"
"2015-09-16","69.790001"
"2015-09-17","69.029999"
"2015-09-18","67.570000"
"2015-09-21","68.519997"
"2015-09-22","66.860001"
"2015-09-23","67.400002"
"2015-09-24","67.529999"
"2015-09-25","68.529999"
"2015-09-28","67.860001"
"2015-09-29","68.150002"
"2015-09-30","67.779999"
"2015-10-01","67.709999"
"2015-10-02","68.809998"
"2015-10-05","70.040001"
"2015-10-06","70.239998"
"2015-10-07","70.180000"
"2015-10-08","70.889999"
"2015-10-09","71.709999"
"2015-10-12","72.000000"
"2015-10-13","71.349998"
"2015-10-14","70.959999"
"2015-10-15","72.300003"
"2015-10-16","71.750000"
"2015-10-19","71.900002"
"2015-10-20","72.129997"
"2015-10-21","71.860001"
"2015-10-22","72.720001"
"2015-10-23","72.790001"
"2015-10-26","72.500000"
"2015-10-27","69.989998"
"2015-10-28","67.989998"
"2015-10-29","69.379997"
"2015-10-30","69.379997"
"2015-11-02","70.239998"
"2015-11-03","70.139999"
"2015-11-04","68.709999"
"2015-11-05","68.300003"
"2015-11-06","68.720001"
"2015-11-09","67.820000"
"2015-11-10","68.750000"
"2015-11-11","68.750000"
"2015-11-12","67.480003"
"2015-11-13","67.019997"
"2015-11-16","67.410004"
"2015-11-17","67.830002"
"2015-11-18","68.279999"
"2015-11-19","68.309998"
"2015-11-20","68.529999"
"2015-11-23","68.250000"
"2015-11-24","68.220001"
"2015-11-25","68.610001"
"2015-11-27","68.860001"
"2015-11-30","67.430000"
"2015-12-01","67.949997"
"2015-12-02","63.580002"
"2015-12-03","62.220001"
"2015-12-04","62.799999"
"2015-12-07","62.080002"
"2015-12-08","60.509998"
"2015-12-09","60.549999"
"2015-12-10","61.509998"
"2015-12-11","62.000000"
"2015-12-14","61.680000"
"2015-12-15","62.610001"
"2015-12-16","64.269997"
"2015-12-17","64.199997"
"2015-12-18","62.360001"
"2015-12-21","62.500000"
"2015-12-22","63.400002"
"2015-12-23","63.980000"
"2015-12-24","63.529999"
"2015-12-28","63.180000"
"2015-12-29","63.189999"
"2015-12-30","62.360001"
"2015-12-31","62.020000"
"2016-01-04","61.790001"
"2016-01-05","63.470001"
"2016-01-06","63.160000"
"2016-01-07","63.090000"
"2016-01-08","63.119999"
"2016-01-11","61.750000"
"2016-01-12","62.980000"
"2016-01-13","62.689999"
"2016-01-14","63.130001"
"2016-01-15","63.560001"
"2016-01-19","63.660000"
"2016-01-20","63.730000"
"2016-01-21","64.510002"
"2016-01-22","64.230003"
"2016-01-25","62.720001"
"2016-01-26","64.070000"
"2016-01-27","63.180000"
"2016-01-28","63.049999"
"2016-01-29","64.769997"
"2016-02-01","65.209999"
"2016-02-02","63.480000"
"2016-02-03","64.910004"
"2016-02-04","67.449997"
"2016-02-05","68.080002"
"2016-02-08","69.519997"
"2016-02-09","69.690002"
"2016-02-10","68.629997"
"2016-02-11","68.830002"
"2016-02-12","70.160004"
"2016-02-16","71.209999"
"2016-02-17","70.839996"
"2016-02-18","70.959999"
"2016-02-19","70.480003"
"2016-02-22","70.070000"
"2016-02-23","69.529999"
"2016-02-24","70.230003"
"2016-02-25","70.160004"
"2016-02-26","70.349998"
"2016-02-29","69.830002"
"2016-03-01","70.739998"
"2016-03-02","71.410004"
"2016-03-03","71.510002"
"2016-03-04","72.680000"
"2016-03-07","71.599998"
"2016-03-08","71.629997"
"2016-03-09","71.419998"
"2016-03-10","71.510002"
"2016-03-11","72.629997"
"2016-03-14","72.459999"
"2016-03-15","73.070000"
"2016-03-16","73.110001"
"2016-03-17","73.830002"
"2016-03-18","74.339996"
"2016-03-21","73.650002"
"2016-03-22","73.480003"
"2016-03-23","73.480003"
"2016-03-24","73.739998"
"2016-03-28","74.040001"
"2016-03-29","74.500000"
"2016-03-30","74.550003"
"2016-03-31","74.230003"
"2016-04-01","73.650002"
"2016-04-04","73.470001"
"2016-04-05","73.529999"
"2016-04-06","73.660004"
"2016-04-07","71.849998"
"2016-04-08","71.839996"
"2016-04-11","71.769997"
"2016-04-12","72.489998"
"2016-04-13","72.949997"
"2016-04-14","72.900002"
"2016-04-15","73.510002"
"2016-04-18","74.110001"
"2016-04-19","75.230003"
"2016-04-20","74.730003"
"2016-04-21","74.309998"
"2016-04-22","74.559998"
"2016-04-25","74.599998"
"2016-04-26","75.709999"
"2016-04-27","71.809998"
"2016-04-28","70.830002"
"2016-04-29","70.970001"
"2016-05-02","71.809998"
"2016-05-03","70.839996"
"2016-05-04","71.739998"
"2016-05-05","70.849998"
"2016-05-06","72.820000"
"2016-05-09","73.139999"
"2016-05-10","73.050003"
"2016-05-11","72.589996"
"2016-05-12","72.470001"
"2016-05-13","72.309998"
"2016-05-16","72.440002"
"2016-05-17","72.779999"
"2016-05-18","73.150002"
"2016-05-19","73.099998"
"2016-05-20","74.320000"
"2016-05-23","74.360001"
"2016-05-24","74.690002"
"2016-05-25","74.809998"
"2016-05-26","74.970001"
"2016-05-27","75.180000"
"2016-05-31","74.980003"
"2016-06-01","74.250000"
"2016-06-02","73.790001"
"2016-06-03","73.360001"
"2016-06-06","73.220001"
"2016-06-07","72.949997"
"2016-06-08","73.669998"
"2016-06-09","74.110001"
"2016-06-10","72.989998"
"2016-06-13","72.980003"
"2016-06-14","72.470001"
"2016-06-15","72.519997"
"2016-06-16","72.089996"
"2016-06-17","71.980003"
"2016-06-20","72.540001"
"2016-06-21","72.089996"
"2016-06-22","71.860001"
"2016-06-23","71.919998"
"2016-06-24","71.639999"
"2016-06-27","72.180000"
"2016-06-28","73.419998"
"2016-06-29","73.650002"
"2016-06-30","74.250000"
"2016-07-01","75.190002"
"2016-07-05","75.029999"
"2016-07-06","74.800003"
"2016-07-07","73.360001"
"2016-07-08","74.430000"
"2016-07-11","71.860001"
"2016-07-12","72.449997"
"2016-07-13","72.830002"
"2016-07-14","72.300003"
"2016-07-15","71.940002"
"2016-07-18","71.440002"
"2016-07-19","71.620003"
"2016-07-20","71.169998"
"2016-07-21","71.230003"
"2016-07-22","72.029999"
"2016-07-25","71.500000"
"2016-07-26","72.139999"
"2016-07-27","68.349998"
"2016-07-28","69.230003"
"2016-07-29","69.620003"
"2016-08-01","69.239998"
"2016-08-02","68.360001"
"2016-08-03","68.790001"
"2016-08-04","68.489998"
"2016-08-05","69.220001"
"2016-08-08","69.250000"
"2016-08-09","68.919998"
"2016-08-10","69.019997"
"2016-08-11","69.029999"
"2016-08-12","69.680000"
"2016-08-15","69.230003"
"2016-08-16","69.820000"
"2016-08-17","69.900002"
"2016-08-18","68.959999"
"2016-08-19","69.419998"
"2016-08-22","69.440002"
"2016-08-23","69.400002"
"2016-08-24","69.650002"
"2016-08-25","68.870003"
"2016-08-26","68.779999"
"2016-08-29","69.430000"
"2016-08-30","69.519997"
"2016-08-31","69.419998"
"2016-09-01","71.040001"
"2016-09-02","71.320000"
"2016-09-06","70.309998"
"2016-09-07","70.220001"
"2016-09-08","70.070000"
"2016-09-09","68.900002"
"2016-09-12","69.010002"
"2016-09-13","67.760002"
"2016-09-14","67.269997"
"2016-09-15","67.360001"
"2016-09-16","67.529999"
"2016-09-19","67.279999"
"2016-09-20","68.040001"
"2016-09-21","68.540001"
"2016-09-22","69.250000"
"2016-09-23","69.589996"
"2016-09-26","69.540001"
"2016-09-27","70.120003"
"2016-09-28","70.250000"
"2016-09-29","70.309998"
"2016-09-30","70.459999"
"2016-10-03","70.500000"
"2016-10-04","70.199997"
"2016-10-05","70.180000"
"2016-10-06","70.260002"
"2016-10-07","70.339996"
"2016-10-10","70.900002"
"2016-10-11","70.709999"
"2016-10-12","70.389999"
"2016-10-13","70.309998"
"2016-10-14","70.260002"
"2016-10-17","68.669998"
"2016-10-18","68.800003"
"2016-10-19","68.760002"
"2016-10-20","68.750000"
"2016-10-21","68.860001"
"2016-10-24","69.120003"
"2016-10-25","69.430000"
"2016-10-26","67.300003"
"2016-10-27","67.430000"
"2016-10-28","67.589996"
"2016-10-31","68.120003"
"2016-11-01","68.419998"
"2016-11-02","68.459999"
"2016-11-03","68.940002"
"2016-11-04","68.690002"
"2016-11-07","70.459999"
"2016-11-08","70.489998"
"2016-11-09","71.449997"
"2016-11-10","72.800003"
"2016-11-11","73.580002"
"2016-11-14","73.510002"
"2016-11-15","74.080002"
"2016-11-16","74.180000"
"2016-11-17","74.010002"
"2016-11-18","74.400002"
"2016-11-21","74.370003"
"2016-11-22","73.940002"
"2016-11-23","74.120003"
"2016-11-25","74.300003"
"2016-11-28","74.209999"
"2016-11-29","74.980003"
"2016-11-30","74.849998"
"2016-12-01","74.860001"
"2016-12-02","74.040001"
"2016-12-05","75.389999"
"2016-12-06","75.559998"
"2016-12-07","76.720001"
"2016-12-08","77.470001"
"2016-12-09","77.040001"
"2016-12-12","77.250000"
"2016-12-13","77.059998"
"2016-12-14","76.620003"
"2016-12-15","74.309998"
"2016-12-16","73.110001"
"2016-12-19","74.620003"
"2016-12-20","74.529999"
"2016-12-21","74.629997"
"2016-12-22","74.470001"
"2016-12-23","74.540001"
"2016-12-27","74.480003"
"2016-12-28","73.470001"
"2016-12-29","73.730003"
"2016-12-30","73.260002"
"2017-01-03","72.849998"
"2017-01-04","72.989998"
"2017-01-05","73.739998"
"2017-01-06","74.150002"
"2017-01-09","73.160004"
"2017-01-10","73.139999"
"2017-01-11","73.440002"
"2017-01-12","73.440002"
"2017-01-13","73.379997"
"2017-01-17","73.559998"
"2017-01-18","74.050003"
"2017-01-19","73.370003"
"2017-01-20","73.599998"
"2017-01-23","73.680000"
"2017-01-24","74.660004"
"2017-01-25","74.680000"
"2017-01-26","75.750000"
"2017-01-27","77.580002"
"2017-01-30","76.510002"
"2017-01-31","76.059998"
"2017-02-01","75.110001"
"2017-02-02","74.940002"
"2017-02-03","75.550003"
"2017-02-06","74.830002"
"2017-02-07","75.620003"
"2017-02-08","76.129997"
"2017-02-09","75.620003"
"2017-02-10","76.559998"
"2017-02-13","76.980003"
"2017-02-14","77.199997"
"2017-02-15","77.879997"
"2017-02-16","78.059998"
"2017-02-17","79.059998"
"2017-02-21","79.419998"
"2017-02-22","79.410004"
"2017-02-23","79.459999"
"2017-02-24","80.129997"
"2017-02-27","80.230003"
"2017-02-28","80.370003"
"2017-03-01","80.860001"
"2017-03-02","80.529999"
"2017-03-03","79.769997"
"2017-03-06","79.279999"
"2017-03-07","78.940002"
"2017-03-08","78.730003"
"2017-03-09","78.519997"
"2017-03-10","79.339996"
"2017-03-13","79.309998"
"2017-03-14","78.559998"
"2017-03-15","78.540001"
"2017-03-16","78.209999"
"2017-03-17","78.919998"
"2017-03-20","78.930000"
"2017-03-21","78.360001"
"2017-03-22","78.089996"
"2017-03-23","77.680000"
"2017-03-24","77.470001"
"2017-03-27","77.019997"
"2017-03-28","77.519997"
"2017-03-29","77.290001"
"2017-03-30","77.650002"
"2017-03-31","77.290001"
"2017-04-03","76.709999"
"2017-04-04","76.860001"
"2017-04-05","76.410004"
"2017-04-06","76.279999"
"2017-04-07","75.730003"
"2017-04-10","76.239998"
"2017-04-11","75.750000"
"2017-04-12","74.790001"
"2017-04-13","74.459999"
"2017-04-17","75.669998"
"2017-04-18","75.290001"
"2017-04-19","75.339996"
"2017-04-20","76.449997"
"2017-04-21","76.540001"
"2017-04-24","77.589996"
"2017-04-25","77.699997"
"2017-04-26","72.809998"
"2017-04-27","72.809998"
"2017-04-28","72.699997"
"2017-05-01","72.550003"
"2017-05-02","72.720001"
"2017-05-03","72.779999"
"2017-05-04","72.559998"
"2017-05-05","73.349998"
"2017-05-08","71.459999"
"2017-05-09","70.860001"
"2017-05-10","70.169998"
"2017-05-11","69.779999"
"2017-05-12","69.349998"
"2017-05-15","69.470001"
"2017-05-16","69.599998"
"2017-05-17","67.839996"
"2017-05-18","68.059998"
"2017-05-19","67.360001"
"2017-05-22","68.080002"
"2017-05-23","68.339996"
"2017-05-24","68.379997"
"2017-05-25","67.910004"
"2017-05-26","67.040001"
"2017-05-30","67.269997"
"2017-05-31","67.010002"
"2017-06-01","67.580002"
"2017-06-02","67.620003"
"2017-06-05","67.260002"
"2017-06-06","67.120003"
"2017-06-07","67.230003"
"2017-06-08","66.970001"
"2017-06-09","67.860001"
"2017-06-12","68.820000"
"2017-06-13","69.089996"
"2017-06-14","67.839996"
"2017-06-15","69.449997"
"2017-06-16","70.040001"
"2017-06-19","70.099998"
"2017-06-20","68.400002"
"2017-06-21","67.169998"
"2017-06-22","67.300003"
"2017-06-23","66.989998"
"2017-06-26","67.580002"
"2017-06-27","67.330002"
"2017-06-28","67.330002"
"2017-06-29","67.550003"
"2017-06-30","68.680000"
"2017-07-03","70.080002"
"2017-07-05","68.760002"
"2017-07-06","67.680000"
"2017-07-07","67.970001"
"2017-07-10","68.230003"
"2017-07-11","68.599998"
"2017-07-12","68.870003"
"2017-07-13","68.760002"
"2017-07-14","69.459999"
"2017-07-17","68.889999"
"2017-07-18","69.500000"
"2017-07-19","68.690002"
"2017-07-20","65.010002"
"2017-07-21","65.559998"
"2017-07-24","65.620003"
"2017-07-25","65.930000"
"2017-07-26","65.910004"
"2017-07-27","65.459999"
"2017-07-28","65.250000"
"2017-07-31","65.610001"
"2017-08-01","64.980003"
"2017-08-02","65.610001"
"2017-08-03","65.699997"
"2017-08-04","67.220001"
"2017-08-07","66.540001"
"2017-08-08","66.750000"
"2017-08-09","66.129997"
"2017-08-10","66.110001"
"2017-08-11","65.629997"
"2017-08-14","67.139999"
"2017-08-15","68.019997"
"2017-08-16","68.010002"
"2017-08-17","66.889999"
"2017-08-18","66.779999"
"2017-08-21","66.860001"
"2017-08-22","67.099998"
"2017-08-23","67.089996"
"2017-08-24","66.870003"
"2017-08-25","69.070000"
"2017-08-28","71.050003"
"2017-08-29","71.570000"
"2017-08-30","73.059998"
"2017-08-31","70.629997"
"2017-09-01","70.169998"
"2017-09-05","71.790001"
"2017-09-06","72.769997"
"2017-09-07","73.269997"
"2017-09-08","73.739998"
"2017-09-11","72.830002"
"2017-09-12","72.790001"
"2017-09-13","72.279999"
"2017-09-14","70.769997"
"2017-09-15","71.449997"
"2017-09-18","72.250000"
"2017-09-19","72.599998"
"2017-09-20","72.790001"
"2017-09-21","73.000000"
"2017-09-22","73.129997"
"2017-09-25","73.919998"
"2017-09-26","74.889999"
"2017-09-27","75.680000"
"2017-09-28","75.480003"
"2017-09-29","76.099998"
"2017-10-02","77.300003"
"2017-10-03","76.129997"
"2017-10-04","75.019997"
"2017-10-05","76.050003"
"2017-10-06","76.519997"
"2017-10-09","75.449997"
"2017-10-10","77.089996"
"2017-10-11","76.699997"
"2017-10-12","77.180000"
"2017-10-13","77.260002"
"2017-10-16","77.330002"
"2017-10-17","76.019997"
"2017-10-18","77.339996"
"2017-10-19","77.980003"
"2017-10-20","78.300003"
"2017-10-23","78.430000"
"2017-10-24","78.830002"
"2017-10-25","78.599998"
"2017-10-26","79.589996"
"2017-10-27","79.820000"
"2017-10-30","78.349998"
"2017-10-31","78.529999"
"2017-11-01","79.330002"
"2017-11-02","79.550003"
"2017-11-03","79.440002"
"2017-11-06","79.080002"
"2017-11-07","80.500000"
"2017-11-08","80.629997"
"2017-11-09","80.680000"
"2017-11-10","80.330002"
"2017-11-13","80.360001"
"2017-11-14","80.370003"
"2017-11-15","79.949997"
"2017-11-16","80.400002"
"2017-11-17","78.440002"
"2017-11-20","78.430000"
"2017-11-21","78.790001"
"2017-11-22","79.239998"
"2017-11-24","79.669998"
"2017-11-27","79.540001"
"2017-11-28","81.529999"
"2017-11-29","84.489998"
"2017-11-30","86.650002"
"2017-12-01","86.540001"
"2017-12-04","86.760002"
"2017-12-05","85.919998"
"2017-12-06","87.150002"
"2017-12-07","87.419998"
"2017-12-08","88.379997"
"2017-12-11","87.970001"
"2017-12-12","88.000000"
"2017-12-13","87.769997"
"2017-12-14","85.790001"
"2017-12-15","86.209999"
"2017-12-18","87.160004"
"2017-12-19","86.629997"
"2017-12-20","86.750000"
"2017-12-21","87.129997"
"2017-12-22","88.699997"
"2017-12-26","88.790001"
"2017-12-27","89.500000"
"2017-12-28","89.459999"
"2017-12-29","89.089996"
"2018-01-02","89.739998"
"2018-01-03","89.489998"
"2018-01-04","89.720001"
"2018-01-05","89.570000"
"2018-01-08","90.779999"
"2018-01-09","91.459999"
"2018-01-10","91.440002"
"2018-01-11","93.919998"
"2018-01-12","94.279999"
"2018-01-16","92.970001"
"2018-01-17","92.980003"
"2018-01-18","93.680000"
"2018-01-19","95.160004"
"2018-01-22","95.430000"
"2018-01-23","94.900002"
"2018-01-24","96.180000"
"2018-01-25","96.529999"
"2018-01-26","96.730003"
"2018-01-29","96.309998"
"2018-01-30","94.930000"
"2018-01-31","91.459999"
"2018-02-01","91.980003"
"2018-02-02","91.790001"
"2018-02-05","90.330002"
"2018-02-06","90.769997"
"2018-02-07","92.570000"
"2018-02-08","90.470001"
"2018-02-09","89.349998"
"2018-02-12","91.180000"
"2018-02-13","92.720001"
"2018-02-14","92.430000"
"2018-02-15","92.949997"
"2018-02-16","92.620003"
"2018-02-20","89.970001"
"2018-02-21","90.180000"
"2018-02-22","90.089996"
"2018-02-23","92.629997"
"2018-02-26","94.629997"
"2018-02-27","93.470001"
"2018-02-28","93.360001"
"2018-03-01","89.699997"
"2018-03-02","89.510002"
"2018-03-05","89.779999"
"2018-03-06","89.989998"
"2018-03-07","90.010002"
"2018-03-08","89.599998"
"2018-03-09","91.739998"
"2018-03-12","91.029999"
"2018-03-13","91.709999"
"2018-03-14","89.739998"
"2018-03-15","90.279999"
"2018-03-16","92.139999"
"2018-03-19","92.629997"
"2018-03-20","93.070000"
"2018-03-21","93.620003"
"2018-03-22","92.660004"
"2018-03-23","90.860001"
"2018-03-26","92.760002"
"2018-03-27","91.559998"
"2018-03-28","91.690002"
"2018-03-29","93.709999"
"2018-04-02","92.230003"
"2018-04-03","93.629997"
"2018-04-04","94.360001"
"2018-04-05","93.290001"
"2018-04-06","90.480003"
"2018-04-09","91.570000"
"2018-04-10","94.120003"
"2018-04-11","93.949997"
"2018-04-12","95.410004"
"2018-04-13","94.269997"
"2018-04-16","97.620003"
"2018-04-17","96.029999"
"2018-04-18","94.940002"
"2018-04-19","94.290001"
"2018-04-20","93.680000"
"2018-04-23","93.709999"
"2018-04-24","92.360001"
"2018-04-25","92.589996"
"2018-04-26","91.320000"
"2018-04-27","92.000000"
"2018-04-30","92.029999"
"2018-05-01","90.650002"
"2018-05-02","82.900002"
"2018-05-03","82.599998"
"2018-05-04","82.540001"
"2018-05-07","82.430000"
"2018-05-08","83.930000"
"2018-05-09","83.489998"
"2018-05-10","84.580002"
"2018-05-11","86.440002"
"2018-05-14","85.680000"
"2018-05-15","85.180000"
"2018-05-16","85.739998"
"2018-05-17","87.559998"
"2018-05-18","88.500000"
"2018-05-21","89.910004"
"2018-05-22","88.349998"
"2018-05-23","87.440002"
"2018-05-24","88.000000"
"2018-05-25","88.230003"
"2018-05-29","87.930000"
"2018-05-30","89.430000"
"2018-05-31","87.000000"
"2018-06-01","87.519997"
"2018-06-04","87.959999"
"2018-06-05","87.839996"
"2018-06-06","87.800003"
"2018-06-07","87.989998"
"2018-06-08","88.320000"
"2018-06-11","88.680000"
"2018-06-12","90.830002"
"2018-06-13","90.790001"
"2018-06-14","90.430000"
"2018-06-15","90.089996"
"2018-06-18","90.629997"
"2018-06-19","89.980003"
"2018-06-20","90.269997"
"2018-06-21","89.790001"
"2018-06-22","88.610001"
"2018-06-25","85.589996"
"2018-06-26","84.889999"
"2018-06-27","83.720001"
"2018-06-28","83.529999"
"2018-06-29","83.660004"
"2018-07-02","85.620003"
"2018-07-03","84.989998"
"2018-07-05","84.400002"
"2018-07-06","84.459999"
"2018-07-09","85.860001"
