"date, price"
"2014-12-04","57.580002"
"2014-12-05","59.650002"
"2014-12-08","59.400002"
"2014-12-09","60.000000"
"2014-12-10","58.410000"
"2014-12-11","59.139999"
"2014-12-12","58.290001"
"2014-12-15","58.650002"
"2014-12-16","58.599998"
"2014-12-17","60.889999"
"2014-12-18","61.389999"
"2014-12-19","62.180000"
"2014-12-22","62.189999"
"2014-12-23","62.209999"
"2014-12-24","62.430000"
"2014-12-26","62.610001"
"2014-12-29","62.250000"
"2014-12-30","61.939999"
"2014-12-31","60.720001"
"2015-01-02","60.000000"
"2015-01-05","58.000000"
"2015-01-06","56.810001"
"2015-01-07","56.779999"
"2015-01-08","57.990002"
"2015-01-09","58.000000"
"2015-01-12","57.349998"
"2015-01-13","57.509998"
"2015-01-14","56.849998"
"2015-01-15","54.639999"
"2015-01-16","54.490002"
"2015-01-20","54.700001"
"2015-01-21","54.430000"
"2015-01-22","54.779999"
"2015-01-23","55.810001"
"2015-01-26","56.279999"
"2015-01-27","55.910000"
"2015-01-28","55.099998"
"2015-01-29","54.299999"
"2015-01-30","61.880001"
"2015-02-02","63.470001"
"2015-02-03","64.480003"
"2015-02-04","64.599998"
"2015-02-05","65.220001"
"2015-02-06","64.500000"
"2015-02-09","63.910000"
"2015-02-10","63.790001"
"2015-02-11","64.360001"
"2015-02-12","64.699997"
"2015-02-13","64.949997"
"2015-02-17","64.529999"
"2015-02-18","64.540001"
"2015-02-19","64.680000"
"2015-02-20","64.570000"
"2015-02-23","64.580002"
"2015-02-24","64.690002"
"2015-02-25","64.620003"
"2015-02-26","64.610001"
"2015-02-27","64.239998"
"2015-03-02","65.470001"
"2015-03-03","66.489998"
"2015-03-04","65.500000"
"2015-03-05","66.180000"
"2015-03-06","64.360001"
"2015-03-09","64.809998"
"2015-03-10","63.680000"
"2015-03-11","65.410004"
"2015-03-12","66.410004"
"2015-03-13","66.129997"
"2015-03-16","65.279999"
"2015-03-17","65.000000"
"2015-03-18","65.739998"
"2015-03-19","65.930000"
"2015-03-20","67.330002"
"2015-03-23","67.970001"
"2015-03-24","67.620003"
"2015-03-25","65.019997"
"2015-03-26","64.610001"
"2015-03-27","64.190002"
"2015-03-30","66.150002"
"2015-03-31","64.959999"
"2015-04-01","64.300003"
"2015-04-02","64.610001"
"2015-04-06","65.029999"
"2015-04-07","65.160004"
"2015-04-08","66.809998"
"2015-04-09","66.860001"
"2015-04-10","66.820000"
"2015-04-13","66.580002"
"2015-04-14","65.800003"
"2015-04-15","67.739998"
"2015-04-16","68.139999"
"2015-04-17","67.379997"
"2015-04-20","67.150002"
"2015-04-21","66.980003"
"2015-04-22","66.800003"
"2015-04-23","66.709999"
"2015-04-24","65.139999"
"2015-04-27","64.750000"
"2015-04-28","65.000000"
"2015-04-29","63.669998"
"2015-04-30","60.000000"
"2015-05-01","60.139999"
"2015-05-04","60.090000"
"2015-05-05","60.090000"
"2015-05-06","60.200001"
"2015-05-07","60.599998"
"2015-05-08","61.160000"
"2015-05-11","62.020000"
"2015-05-12","61.549999"
"2015-05-13","61.700001"
"2015-05-14","62.759998"
"2015-05-15","62.590000"
"2015-05-18","64.059998"
"2015-05-19","63.410000"
"2015-05-20","62.779999"
"2015-05-21","64.769997"
"2015-05-22","63.509998"
"2015-05-26","62.250000"
"2015-05-27","62.020000"
"2015-05-28","62.360001"
"2015-05-29","62.240002"
"2015-06-01","62.790001"
"2015-06-02","62.689999"
"2015-06-03","64.000000"
"2015-06-04","62.619999"
"2015-06-05","63.869999"
"2015-06-08","64.169998"
"2015-06-09","64.209999"
"2015-06-10","65.400002"
"2015-06-11","64.889999"
"2015-06-12","65.239998"
"2015-06-15","65.150002"
"2015-06-16","64.889999"
"2015-06-17","64.449997"
"2015-06-18","65.000000"
"2015-06-19","64.900002"
"2015-06-22","65.660004"
"2015-06-23","66.730003"
"2015-06-24","66.290001"
"2015-06-25","65.040001"
"2015-06-26","65.110001"
"2015-06-29","63.029999"
"2015-06-30","63.480000"
"2015-07-01","63.480000"
"2015-07-02","62.529999"
"2015-07-06","62.720001"
"2015-07-07","62.509998"
"2015-07-08","61.540001"
"2015-07-09","61.349998"
"2015-07-10","62.480000"
"2015-07-13","63.020000"
"2015-07-14","63.470001"
"2015-07-15","62.820000"
"2015-07-16","63.660000"
"2015-07-17","62.709999"
"2015-07-20","61.570000"
"2015-07-21","61.180000"
"2015-07-22","61.119999"
"2015-07-23","59.779999"
"2015-07-24","58.730000"
"2015-07-27","58.360001"
"2015-07-28","58.320000"
"2015-07-29","60.279999"
"2015-07-30","60.580002"
"2015-07-31","57.950001"
"2015-08-03","57.250000"
"2015-08-04","57.310001"
"2015-08-05","58.790001"
"2015-08-06","58.480000"
"2015-08-07","58.410000"
"2015-08-10","59.090000"
"2015-08-11","58.730000"
"2015-08-12","58.770000"
"2015-08-13","57.849998"
"2015-08-14","58.790001"
"2015-08-17","59.240002"
"2015-08-18","58.020000"
"2015-08-19","57.580002"
"2015-08-20","57.200001"
"2015-08-21","57.200001"
"2015-08-24","55.740002"
"2015-08-25","54.639999"
"2015-08-26","55.930000"
"2015-08-27","57.020000"
"2015-08-28","57.830002"
"2015-08-31","58.299999"
"2015-09-01","55.540001"
"2015-09-02","56.070000"
"2015-09-03","55.939999"
"2015-09-04","54.720001"
"2015-09-08","56.220001"
"2015-09-09","55.689999"
"2015-09-10","55.840000"
"2015-09-11","55.250000"
"2015-09-14","55.340000"
"2015-09-15","57.490002"
"2015-09-16","58.270000"
"2015-09-17","58.470001"
"2015-09-18","57.779999"
"2015-09-21","57.529999"
"2015-09-22","56.779999"
"2015-09-23","55.470001"
"2015-09-24","55.169998"
"2015-09-25","54.930000"
"2015-09-28","54.470001"
"2015-09-29","54.150002"
"2015-09-30","54.700001"
"2015-10-01","53.090000"
"2015-10-02","54.680000"
"2015-10-05","56.700001"
"2015-10-06","56.529999"
"2015-10-07","57.540001"
"2015-10-08","58.130001"
"2015-10-09","57.810001"
"2015-10-12","57.880001"
"2015-10-13","57.029999"
"2015-10-14","56.599998"
"2015-10-15","57.410000"
"2015-10-16","56.000000"
"2015-10-19","55.009998"
"2015-10-20","55.380001"
"2015-10-21","53.720001"
"2015-10-22","54.009998"
"2015-10-23","54.490002"
"2015-10-26","52.689999"
"2015-10-27","52.459999"
"2015-10-28","55.250000"
"2015-10-29","54.730000"
"2015-10-30","54.200001"
"2015-11-02","55.880001"
"2015-11-03","56.340000"
"2015-11-04","55.889999"
"2015-11-05","62.750000"
"2015-11-06","63.770000"
"2015-11-09","63.290001"
"2015-11-10","63.209999"
"2015-11-11","62.110001"
"2015-11-12","61.560001"
"2015-11-13","61.060001"
"2015-11-16","62.689999"
"2015-11-17","63.240002"
"2015-11-18","64.489998"
"2015-11-19","66.010002"
"2015-11-20","66.820000"
"2015-11-23","65.809998"
"2015-11-24","67.410004"
"2015-11-25","67.239998"
"2015-11-27","67.849998"
"2015-11-30","67.919998"
"2015-12-01","68.099998"
"2015-12-02","67.769997"
"2015-12-03","67.690002"
"2015-12-04","68.330002"
"2015-12-07","66.860001"
"2015-12-08","66.260002"
"2015-12-09","64.680000"
"2015-12-10","65.480003"
"2015-12-11","65.000000"
"2015-12-14","65.110001"
"2015-12-15","66.150002"
"2015-12-16","66.239998"
"2015-12-17","65.730003"
"2015-12-18","63.810001"
"2015-12-21","65.480003"
"2015-12-22","67.110001"
"2015-12-23","66.900002"
"2015-12-24","66.980003"
"2015-12-28","66.580002"
"2015-12-29","66.690002"
"2015-12-30","66.300003"
"2015-12-31","65.110001"
"2016-01-04","62.240002"
"2016-01-05","62.830002"
"2016-01-06","62.000000"
"2016-01-07","60.810001"
"2016-01-08","60.169998"
"2016-01-11","60.240002"
"2016-01-12","61.290001"
"2016-01-13","60.259998"
"2016-01-14","61.119999"
"2016-01-15","58.630001"
"2016-01-19","57.959999"
"2016-01-20","59.799999"
"2016-01-21","59.139999"
"2016-01-22","61.279999"
"2016-01-25","60.560001"
"2016-01-26","62.650002"
"2016-01-27","62.869999"
"2016-01-28","62.540001"
"2016-01-29","77.269997"
"2016-02-01","77.809998"
"2016-02-02","78.519997"
"2016-02-03","78.089996"
"2016-02-04","79.430000"
"2016-02-05","76.419998"
"2016-02-08","78.160004"
"2016-02-09","78.040001"
"2016-02-10","77.980003"
"2016-02-11","74.410004"
"2016-02-12","76.800003"
"2016-02-16","77.550003"
"2016-02-17","80.550003"
"2016-02-18","78.980003"
"2016-02-19","82.150002"
"2016-02-22","83.629997"
"2016-02-23","83.099998"
"2016-02-24","84.410004"
"2016-02-25","84.000000"
"2016-02-26","84.000000"
"2016-02-29","84.599998"
"2016-03-01","85.160004"
"2016-03-02","86.010002"
"2016-03-03","84.739998"
"2016-03-04","84.790001"
"2016-03-07","87.059998"
"2016-03-08","86.019997"
"2016-03-09","86.089996"
