"date, price"
"2014-12-04","44.369999"
"2014-12-05","44.599998"
"2014-12-08","44.400002"
"2014-12-09","44.490002"
"2014-12-10","44.419998"
"2014-12-11","44.669998"
"2014-12-12","44.049999"
"2014-12-15","43.860001"
"2014-12-16","43.330002"
"2014-12-17","45.119999"
"2014-12-18","44.860001"
"2014-12-19","44.470001"
"2014-12-22","44.990002"
"2014-12-23","45.380001"
"2014-12-24","44.759998"
"2014-12-26","44.840000"
"2014-12-29","45.020000"
"2014-12-30","44.950001"
"2014-12-31","44.540001"
"2015-01-02","44.330002"
"2015-01-05","44.689999"
"2015-01-06","44.400002"
"2015-01-07","44.919998"
"2015-01-08","45.630001"
"2015-01-09","43.740002"
"2015-01-12","44.020000"
"2015-01-13","44.220001"
"2015-01-14","43.290001"
"2015-01-15","42.299999"
"2015-01-16","42.160000"
"2015-01-20","41.880001"
"2015-01-21","41.619999"
"2015-01-22","42.930000"
"2015-01-23","42.509998"
"2015-01-26","42.570000"
"2015-01-27","42.389999"
"2015-01-28","42.840000"
"2015-01-29","43.450001"
"2015-01-30","42.500000"
"2015-02-02","43.000000"
"2015-02-03","44.259998"
"2015-02-04","43.330002"
"2015-02-05","43.209999"
"2015-02-06","43.220001"
"2015-02-09","42.110001"
"2015-02-10","42.080002"
"2015-02-11","41.950001"
"2015-02-12","43.590000"
"2015-02-13","51.500000"
"2015-02-17","54.540001"
"2015-02-18","55.770000"
"2015-02-19","55.930000"
"2015-02-20","55.900002"
"2015-02-23","55.639999"
"2015-02-24","55.580002"
"2015-02-25","55.549999"
"2015-02-26","56.020000"
"2015-02-27","55.889999"
"2015-03-02","56.349998"
"2015-03-03","56.389999"
"2015-03-04","56.639999"
"2015-03-05","56.849998"
"2015-03-06","56.189999"
"2015-03-09","56.910000"
"2015-03-10","56.349998"
"2015-03-11","56.529999"
"2015-03-12","57.160000"
"2015-03-13","56.619999"
"2015-03-16","57.720001"
"2015-03-17","58.470001"
"2015-03-18","59.139999"
"2015-03-19","59.250000"
"2015-03-20","59.580002"
"2015-03-23","59.880001"
"2015-03-24","59.790001"
"2015-03-25","58.919998"
"2015-03-26","59.130001"
"2015-03-27","60.919998"
"2015-03-30","61.509998"
"2015-03-31","60.900002"
"2015-04-01","60.669998"
"2015-04-02","60.330002"
"2015-04-06","60.340000"
"2015-04-07","60.299999"
"2015-04-08","61.180000"
"2015-04-09","61.279999"
"2015-04-10","61.119999"
"2015-04-13","61.029999"
"2015-04-14","60.450001"
"2015-04-15","60.869999"
"2015-04-16","61.000000"
"2015-04-17","60.200001"
"2015-04-20","60.619999"
"2015-04-21","60.259998"
"2015-04-22","60.470001"
"2015-04-23","62.110001"
"2015-04-24","62.840000"
"2015-04-27","63.450001"
"2015-04-28","63.389999"
"2015-04-29","63.689999"
"2015-04-30","62.700001"
"2015-05-01","58.160000"
"2015-05-04","56.630001"
"2015-05-05","56.650002"
"2015-05-06","56.340000"
"2015-05-07","56.150002"
"2015-05-08","56.500000"
"2015-05-11","56.790001"
"2015-05-12","56.990002"
"2015-05-13","56.849998"
"2015-05-14","58.080002"
"2015-05-15","57.490002"
"2015-05-18","57.740002"
"2015-05-19","57.049999"
"2015-05-20","56.900002"
"2015-05-21","56.610001"
"2015-05-22","56.369999"
"2015-05-26","55.740002"
"2015-05-27","56.560001"
"2015-05-28","56.380001"
"2015-05-29","56.049999"
"2015-06-01","56.369999"
"2015-06-02","56.529999"
"2015-06-03","58.790001"
"2015-06-04","58.270000"
"2015-06-05","58.650002"
"2015-06-08","58.200001"
"2015-06-09","57.840000"
"2015-06-10","58.299999"
"2015-06-11","58.110001"
"2015-06-12","58.189999"
"2015-06-15","57.910000"
"2015-06-16","59.869999"
"2015-06-17","59.439999"
"2015-06-18","60.700001"
"2015-06-19","60.840000"
"2015-06-22","61.380001"
"2015-06-23","61.630001"
"2015-06-24","61.639999"
"2015-06-25","61.450001"
"2015-06-26","63.040001"
"2015-06-29","60.869999"
"2015-06-30","60.459999"
"2015-07-01","61.669998"
"2015-07-02","61.500000"
"2015-07-06","60.279999"
"2015-07-07","60.759998"
"2015-07-08","59.889999"
"2015-07-09","59.380001"
"2015-07-10","61.080002"
"2015-07-13","62.259998"
"2015-07-14","62.369999"
"2015-07-15","61.790001"
"2015-07-16","61.650002"
"2015-07-17","61.060001"
"2015-07-20","61.490002"
"2015-07-21","61.400002"
"2015-07-22","61.619999"
"2015-07-23","60.430000"
"2015-07-24","59.689999"
"2015-07-27","58.750000"
"2015-07-28","60.099998"
"2015-07-29","61.389999"
"2015-07-30","62.639999"
"2015-07-31","71.540001"
"2015-08-03","64.690002"
"2015-08-04","64.760002"
"2015-08-05","65.970001"
"2015-08-06","66.370003"
"2015-08-07","67.610001"
"2015-08-10","66.550003"
"2015-08-11","66.180000"
"2015-08-12","64.430000"
"2015-08-13","65.050003"
"2015-08-14","65.519997"
"2015-08-17","66.260002"
"2015-08-18","66.690002"
"2015-08-19","65.839996"
"2015-08-20","64.599998"
"2015-08-21","62.630001"
"2015-08-24","58.110001"
"2015-08-25","58.889999"
"2015-08-26","60.860001"
"2015-08-27","61.650002"
"2015-08-28","60.639999"
"2015-08-31","61.369999"
"2015-09-01","59.730000"
"2015-09-02","60.779999"
"2015-09-03","62.209999"
"2015-09-04","61.150002"
"2015-09-08","62.810001"
"2015-09-09","61.400002"
"2015-09-10","61.520000"
"2015-09-11","62.930000"
"2015-09-14","62.950001"
"2015-09-15","63.540001"
"2015-09-16","65.660004"
"2015-09-17","65.400002"
"2015-09-18","62.139999"
"2015-09-21","63.520000"
"2015-09-22","62.770000"
"2015-09-23","61.970001"
"2015-09-24","60.470001"
"2015-09-25","60.130001"
"2015-09-28","58.970001"
"2015-09-29","58.939999"
"2015-09-30","58.790001"
"2015-10-01","58.349998"
"2015-10-02","58.220001"
"2015-10-05","60.139999"
"2015-10-06","57.200001"
"2015-10-07","57.770000"
"2015-10-08","58.740002"
"2015-10-09","58.419998"
"2015-10-12","58.660000"
"2015-10-13","57.060001"
"2015-10-14","55.830002"
"2015-10-15","57.840000"
"2015-10-16","57.720001"
"2015-10-19","57.959999"
"2015-10-20","57.130001"
"2015-10-21","56.000000"
"2015-10-22","55.669998"
"2015-10-23","50.389999"
"2015-10-26","50.970001"
"2015-10-27","50.450001"
"2015-10-28","52.770000"
"2015-10-29","53.770000"
"2015-10-30","54.849998"
"2015-11-02","55.099998"
"2015-11-03","55.779999"
"2015-11-04","55.250000"
