"date, price"
"2014-12-04","143.020004"
"2014-12-05","143.250000"
"2014-12-08","142.330002"
"2014-12-09","143.039993"
"2014-12-10","140.250000"
"2014-12-11","141.410004"
"2014-12-12","137.880005"
"2014-12-15","138.190002"
"2014-12-16","137.309998"
"2014-12-17","139.330002"
"2014-12-18","141.559998"
"2014-12-19","141.770004"
"2014-12-22","143.210007"
"2014-12-23","144.149994"
"2014-12-24","143.649994"
"2014-12-26","143.440002"
"2014-12-29","143.339996"
"2014-12-30","143.490005"
"2014-12-31","141.750000"
"2015-01-02","141.610001"
"2015-01-05","140.000000"
"2015-01-06","141.850006"
"2015-01-07","144.320007"
"2015-01-08","145.559998"
"2015-01-09","143.320007"
"2015-01-12","142.520004"
"2015-01-13","141.089996"
"2015-01-14","139.309998"
"2015-01-15","139.309998"
"2015-01-16","139.720001"
"2015-01-20","139.380005"
"2015-01-21","139.139999"
"2015-01-22","141.270004"
"2015-01-23","142.050003"
"2015-01-26","142.910004"
"2015-01-27","140.990005"
"2015-01-28","139.619995"
"2015-01-29","140.639999"
"2015-01-30","142.990005"
"2015-02-02","146.000000"
"2015-02-03","153.750000"
"2015-02-04","155.919998"
"2015-02-05","149.089996"
"2015-02-06","148.699997"
"2015-02-09","147.539993"
"2015-02-10","148.220001"
"2015-02-11","147.460007"
"2015-02-12","147.759995"
"2015-02-13","147.100006"
"2015-02-17","147.529999"
"2015-02-18","147.229996"
"2015-02-19","146.669998"
"2015-02-20","147.539993"
"2015-02-23","148.389999"
"2015-02-24","148.210007"
"2015-02-25","147.479996"
"2015-02-26","146.649994"
"2015-02-27","146.960007"
"2015-03-02","147.940002"
"2015-03-03","147.369995"
"2015-03-04","147.169998"
"2015-03-05","151.169998"
"2015-03-06","149.539993"
"2015-03-09","150.679993"
"2015-03-10","148.160004"
"2015-03-11","147.399994"
"2015-03-12","149.440002"
"2015-03-13","149.279999"
"2015-03-16","149.990005"
"2015-03-17","150.029999"
"2015-03-18","150.929993"
"2015-03-19","151.309998"
"2015-03-20","152.589996"
"2015-03-23","152.929993"
"2015-03-24","153.139999"
"2015-03-25","151.089996"
"2015-03-26","150.059998"
"2015-03-27","150.470001"
"2015-03-30","152.369995"
"2015-03-31","151.500000"
"2015-04-01","150.240005"
"2015-04-02","151.630005"
"2015-04-06","152.500000"
"2015-04-07","151.779999"
"2015-04-08","152.000000"
"2015-04-09","148.809998"
"2015-04-10","149.639999"
"2015-04-13","149.020004"
"2015-04-14","149.520004"
"2015-04-15","149.070007"
"2015-04-16","147.110001"
"2015-04-17","144.570007"
"2015-04-20","146.309998"
"2015-04-21","147.339996"
"2015-04-22","146.979996"
"2015-04-23","147.300003"
"2015-04-24","148.119995"
"2015-04-27","146.960007"
"2015-04-28","146.610001"
"2015-04-29","144.460007"
"2015-04-30","143.050003"
"2015-05-01","145.389999"
"2015-05-04","145.750000"
"2015-05-05","144.500000"
"2015-05-06","144.770004"
"2015-05-07","144.559998"
"2015-05-08","145.880005"
"2015-05-11","144.270004"
"2015-05-12","144.070007"
"2015-05-13","143.240005"
"2015-05-14","142.600006"
"2015-05-15","144.830002"
"2015-05-18","145.059998"
"2015-05-19","144.740005"
"2015-05-20","143.490005"
"2015-05-21","143.940002"
"2015-05-22","143.679993"
"2015-05-26","143.250000"
"2015-05-27","145.419998"
"2015-05-28","144.259995"
"2015-05-29","142.589996"
"2015-06-01","142.389999"
"2015-06-02","141.399994"
"2015-06-03","142.130005"
"2015-06-04","140.649994"
"2015-06-05","138.779999"
"2015-06-08","138.050003"
"2015-06-09","138.039993"
"2015-06-10","139.429993"
"2015-06-11","139.320007"
"2015-06-12","138.779999"
"2015-06-15","137.229996"
"2015-06-16","137.979996"
"2015-06-17","138.880005"
"2015-06-18","140.500000"
"2015-06-19","140.300003"
"2015-06-22","140.190002"
"2015-06-23","139.649994"
"2015-06-24","138.339996"
"2015-06-25","137.449997"
"2015-06-26","138.059998"
"2015-06-29","135.690002"
"2015-06-30","135.059998"
"2015-07-01","136.490005"
"2015-07-02","136.389999"
"2015-07-06","135.880005"
"2015-07-07","140.500000"
"2015-07-08","139.899994"
"2015-07-09","139.449997"
"2015-07-10","142.720001"
"2015-07-13","144.059998"
"2015-07-14","143.929993"
"2015-07-15","143.630005"
"2015-07-16","144.330002"
"2015-07-17","144.679993"
"2015-07-20","145.039993"
"2015-07-21","144.940002"
"2015-07-22","146.380005"
"2015-07-23","145.600006"
"2015-07-24","144.990005"
"2015-07-27","144.250000"
"2015-07-28","144.550003"
"2015-07-29","145.380005"
"2015-07-30","145.300003"
"2015-07-31","145.300003"
"2015-08-03","145.520004"
"2015-08-04","144.839996"
"2015-08-05","146.889999"
"2015-08-06","146.440002"
"2015-08-07","145.259995"
"2015-08-10","146.250000"
"2015-08-11","145.889999"
"2015-08-12","146.490005"
"2015-08-13","145.270004"
"2015-08-14","146.089996"
"2015-08-17","146.089996"
"2015-08-18","145.630005"
"2015-08-19","145.169998"
"2015-08-20","143.710007"
"2015-08-21","138.990005"
"2015-08-24","132.970001"
"2015-08-25","132.710007"
"2015-08-26","138.160004"
"2015-08-27","140.210007"
"2015-08-28","139.949997"
"2015-08-31","140.050003"
"2015-09-01","138.300003"
"2015-09-02","140.419998"
"2015-09-03","140.479996"
"2015-09-04","138.479996"
"2015-09-08","141.429993"
"2015-09-09","139.679993"
"2015-09-10","140.009995"
"2015-09-11","141.050003"
"2015-09-14","141.149994"
"2015-09-15","142.429993"
"2015-09-16","143.610001"
"2015-09-17","143.350006"
"2015-09-18","141.809998"
"2015-09-21","143.210007"
"2015-09-22","142.649994"
"2015-09-23","145.429993"
"2015-09-24","144.869995"
"2015-09-25","145.550003"
"2015-09-28","143.550003"
"2015-09-29","143.720001"
