"date, price"
"2016-10-19","14.090000"
"2016-10-20","13.940000"
"2016-10-21","13.820000"
"2016-10-24","14.010000"
"2016-10-25","14.410000"
"2016-10-26","14.800000"
"2016-10-27","15.820000"
"2016-10-28","16.740000"
"2016-10-31","18.250000"
"2016-11-01","17.950001"
"2016-11-02","15.355000"
"2016-11-03","15.320000"
"2016-11-04","15.200000"
"2016-11-07","15.210000"
"2016-11-08","15.890000"
"2016-11-09","16.270000"
"2016-11-10","16.840000"
"2016-11-11","17.500000"
"2016-11-14","17.600000"
"2016-11-15","18.150000"
"2016-11-16","21.580000"
"2016-11-17","21.799999"
"2016-11-18","20.500000"
"2016-11-21","20.799999"
"2016-11-22","20.070000"
"2016-11-23","19.340000"
"2016-11-25","20.400000"
"2016-11-28","20.559999"
"2016-11-29","23.070000"
"2016-11-30","21.820000"
"2016-12-01","19.980000"
"2016-12-02","19.030001"
"2016-12-05","20.940001"
"2016-12-06","22.230000"
"2016-12-07","20.889999"
"2016-12-08","21.100000"
"2016-12-09","20.770000"
"2016-12-12","20.360001"
"2016-12-13","19.600000"
"2016-12-14","19.110001"
"2016-12-15","19.180000"
"2016-12-16","19.520000"
"2016-12-19","20.549999"
"2016-12-20","20.180000"
"2016-12-21","20.280001"
"2016-12-22","20.120001"
"2016-12-23","20.860001"
"2016-12-27","21.020000"
"2016-12-28","20.000000"
"2016-12-29","20.030001"
"2016-12-30","20.260000"
"2017-01-03","22.500000"
"2017-01-04","23.549999"
"2017-01-05","22.959999"
"2017-01-06","22.540001"
"2017-01-09","22.889999"
"2017-01-10","22.990000"
"2017-01-11","22.389999"
"2017-01-12","22.230000"
"2017-01-13","21.139999"
"2017-01-17","21.500000"
"2017-01-18","22.230000"
"2017-01-19","21.030001"
"2017-01-20","20.000000"
"2017-01-23","18.540001"
"2017-01-24","18.950001"
"2017-01-25","18.840000"
"2017-01-26","18.580000"
"2017-01-27","18.430000"
"2017-01-30","17.740000"
"2017-01-31","17.750000"
"2017-02-01","17.219999"
"2017-02-02","16.260000"
"2017-02-03","15.650000"
"2017-02-06","15.750000"
"2017-02-07","15.220000"
"2017-02-08","14.900000"
"2017-02-09","14.780000"
"2017-02-10","15.010000"
"2017-02-13","16.430000"
"2017-02-14","17.260000"
"2017-02-15","15.900000"
"2017-02-16","18.490000"
"2017-02-17","18.070000"
"2017-02-21","17.299999"
"2017-02-22","17.709999"
"2017-02-23","17.639999"
"2017-02-24","17.900000"
"2017-02-27","19.950001"
"2017-02-28","23.730000"
"2017-03-01","22.469999"
"2017-03-02","21.540001"
"2017-03-03","21.139999"
"2017-03-06","21.879999"
"2017-03-07","21.340000"
"2017-03-08","22.430000"
"2017-03-09","21.370001"
"2017-03-10","21.150000"
"2017-03-13","21.170000"
"2017-03-14","21.340000"
"2017-03-15","21.000000"
"2017-03-16","20.490000"
"2017-03-17","20.750000"
"2017-03-20","21.240000"
"2017-03-21","19.719999"
"2017-03-22","18.680000"
"2017-03-23","17.809999"
"2017-03-24","17.879999"
"2017-03-27","18.240000"
"2017-03-28","20.420000"
"2017-03-29","20.770000"
"2017-03-30","20.719999"
"2017-03-31","21.770000"
"2017-04-03","21.610001"
"2017-04-04","20.900000"
"2017-04-05","19.850000"
"2017-04-06","19.469999"
"2017-04-07","19.290001"
"2017-04-10","18.860001"
"2017-04-11","18.900000"
"2017-04-12","18.900000"
"2017-04-13","19.410000"
"2017-04-17","19.870001"
"2017-04-18","19.170000"
"2017-04-19","17.570000"
"2017-04-20","17.290001"
"2017-04-21","16.969999"
"2017-04-24","16.580000"
"2017-04-25","16.900000"
"2017-04-26","16.670000"
"2017-04-27","17.000000"
"2017-04-28","17.020000"
"2017-05-01","17.020000"
"2017-05-02","16.600000"
"2017-05-03","16.209999"
"2017-05-04","16.700001"
"2017-05-05","16.980000"
