"date, price"
"2014-12-04","16.648001"
"2014-12-05","16.730000"
"2014-12-08","16.455000"
"2014-12-09","16.496000"
"2014-12-10","16.705000"
"2014-12-11","16.900000"
"2014-12-12","16.752001"
"2014-12-15","16.841999"
"2014-12-16","17.115999"
"2014-12-17","17.625000"
"2014-12-18","18.235001"
"2014-12-19","18.516001"
"2014-12-22","18.702000"
"2014-12-23","18.705000"
"2014-12-24","18.562000"
"2014-12-26","18.839001"
"2014-12-29","18.485001"
"2014-12-30","18.392000"
"2014-12-31","18.363001"
"2015-01-02","18.013000"
"2015-01-05","17.655001"
"2015-01-06","17.583000"
"2015-01-07","17.677000"
"2015-01-08","18.004000"
"2015-01-09","17.719999"
"2015-01-12","17.694000"
"2015-01-13","17.523001"
"2015-01-14","17.443001"
"2015-01-15","16.995001"
"2015-01-16","17.489000"
"2015-01-20","17.586000"
"2015-01-21","17.712999"
"2015-01-22","18.223000"
"2015-01-23","18.805000"
"2015-01-26","18.728001"
"2015-01-27","18.601000"
"2015-01-28","18.441999"
"2015-01-29","18.577999"
"2015-01-30","18.451000"
"2015-02-02","18.671000"
"2015-02-03","19.131001"
"2015-02-04","19.073000"
"2015-02-05","19.506001"
"2015-02-06","19.202000"
"2015-02-09","19.087999"
"2015-02-10","19.304001"
"2015-02-11","19.576000"
"2015-02-12","19.997000"
"2015-02-13","20.054001"
"2015-02-17","18.790001"
"2015-02-18","18.523001"
"2015-02-19","18.823999"
"2015-02-20","19.124001"
"2015-02-23","18.924999"
"2015-02-24","18.684999"
"2015-02-25","19.176001"
"2015-02-26","19.584999"
"2015-02-27","19.916000"
"2015-03-02","19.886999"
"2015-03-03","19.813999"
"2015-03-04","19.461000"
"2015-03-05","19.368999"
"2015-03-06","19.214001"
"2015-03-09","19.247000"
"2015-03-10","19.091999"
"2015-03-11","19.103001"
"2015-03-12","19.266001"
"2015-03-13","19.191000"
"2015-03-16","19.551001"
"2015-03-17","19.493999"
"2015-03-18","19.586000"
"2015-03-19","19.766001"
"2015-03-20","19.677999"
"2015-03-23","20.062000"
"2015-03-24","19.535999"
"2015-03-25","18.806000"
"2015-03-26","18.914000"
"2015-03-27","19.205999"
"2015-03-30","19.764999"
"2015-03-31","19.783001"
"2015-04-01","19.766001"
"2015-04-02","19.829000"
"2015-04-06","20.006001"
"2015-04-07","19.708000"
"2015-04-08","19.677999"
"2015-04-09","20.032000"
"2015-04-10","20.736000"
"2015-04-13","19.959000"
"2015-04-14","19.764000"
"2015-04-15","19.545000"
"2015-04-16","19.620001"
"2015-04-17","19.336000"
"2015-04-20","19.698999"
"2015-04-21","19.943001"
"2015-04-22","19.886000"
"2015-04-23","20.072001"
"2015-04-24","19.948999"
"2015-04-27","20.011000"
"2015-04-28","20.018999"
"2015-04-29","20.000000"
"2015-04-30","20.443001"
"2015-05-01","20.447001"
"2015-05-04","20.243999"
"2015-05-05","19.927000"
"2015-05-06","19.768000"
"2015-05-07","19.853001"
"2015-05-08","20.246000"
"2015-05-11","20.334000"
"2015-05-12","20.597000"
"2015-05-13","20.518000"
"2015-05-14","20.965000"
"2015-05-15","21.166000"
"2015-05-18","21.313000"
"2015-05-19","21.420000"
"2015-05-20","21.028999"
"2015-05-21","21.247000"
"2015-05-22","20.962999"
"2015-05-26","20.837999"
"2015-05-27","21.045000"
"2015-05-28","21.198000"
"2015-05-29","20.891001"
"2015-06-01","20.659000"
"2015-06-02","20.596001"
"2015-06-03","20.768999"
"2015-06-04","20.583000"
"2015-06-05","21.014999"
"2015-06-08","20.584999"
"2015-06-09","20.131001"
"2015-06-10","20.575001"
"2015-06-11","20.417999"
"2015-06-12","20.634001"
"2015-06-15","20.489000"
"2015-06-16","20.726999"
"2015-06-17","20.629999"
"2015-06-18","20.840000"
"2015-06-19","20.698999"
"2015-06-22","20.832001"
"2015-06-23","20.580000"
"2015-06-24","20.351000"
"2015-06-25","20.634001"
"2015-06-26","20.606001"
"2015-06-29","20.152000"
"2015-06-30","20.125999"
"2015-07-01","20.131001"
"2015-07-02","20.246000"
"2015-07-06","20.280001"
"2015-07-07","20.445999"
"2015-07-08","20.035999"
"2015-07-09","20.377001"
"2015-07-10","20.812000"
"2015-07-13","20.789000"
"2015-07-14","20.611000"
"2015-07-15","21.041000"
"2015-07-16","21.523001"
"2015-07-17","21.645000"
"2015-07-20","21.705000"
"2015-07-21","21.843000"
"2015-07-22","21.375999"
"2015-07-23","21.400000"
"2015-07-24","21.483000"
"2015-07-27","20.952000"
"2015-07-28","21.136000"
"2015-07-29","21.285000"
"2015-07-30","20.749001"
"2015-07-31","20.129000"
"2015-08-03","19.726999"
"2015-08-04","19.587000"
"2015-08-05","19.795000"
"2015-08-06","19.455000"
"2015-08-07","19.691000"
"2015-08-10","20.028000"
"2015-08-11","19.856001"
"2015-08-12","19.650999"
"2015-08-13","19.546000"
"2015-08-14","19.558001"
"2015-08-17","19.615999"
"2015-08-18","19.368000"
"2015-08-19","19.214001"
"2015-08-20","18.809999"
"2015-08-21","18.160999"
"2015-08-24","17.000000"
"2015-08-25","17.073999"
"2015-08-26","17.524000"
"2015-08-27","17.941000"
"2015-08-28","18.138000"
"2015-08-31","17.704000"
"2015-09-01","17.138000"
"2015-09-02","17.458000"
"2015-09-03","17.818001"
"2015-09-04","17.480000"
"2015-09-08","17.943001"
"2015-09-09","17.739000"
"2015-09-10","17.798000"
"2015-09-11","17.924000"
"2015-09-14","17.712999"
"2015-09-15","17.961000"
"2015-09-16","17.993999"
"2015-09-17","18.101000"
"2015-09-18","17.666000"
"2015-09-21","17.856001"
"2015-09-22","17.587999"
"2015-09-23","17.493000"
"2015-09-24","17.177000"
"2015-09-25","17.124001"
"2015-09-28","16.625999"
"2015-09-29","16.452999"
"2015-09-30","17.306000"
"2015-10-01","17.007000"
"2015-10-02","17.524000"
"2015-10-05","17.973000"
"2015-10-06","18.181000"
"2015-10-07","18.572001"
"2015-10-08","18.863001"
"2015-10-09","18.768999"
"2015-10-12","18.757000"
"2015-10-13","18.454000"
"2015-10-14","18.252001"
"2015-10-15","18.549999"
"2015-10-16","18.481001"
"2015-10-19","18.584999"
"2015-10-20","18.312000"
"2015-10-21","18.245001"
"2015-10-22","18.671000"
"2015-10-23","19.087000"
"2015-10-26","19.059999"
"2015-10-27","19.118000"
"2015-10-28","19.226999"
"2015-10-29","20.268000"
"2015-10-30","20.306999"
"2015-11-02","20.371000"
"2015-11-03","20.122000"
"2015-11-04","20.351999"
"2015-11-05","20.450001"
"2015-11-06","20.409000"
"2015-11-09","20.356001"
"2015-11-10","20.434000"
"2015-11-11","20.466999"
"2015-11-12","20.417000"
"2015-11-13","19.982000"
"2015-11-16","20.160999"
"2015-11-17","20.249001"
"2015-11-18","20.789000"
"2015-11-19","20.500000"
"2015-11-20","20.455000"
"2015-11-23","20.527000"
"2015-11-24","20.954000"
"2015-11-25","20.893999"
"2015-11-27","21.000000"
"2015-11-30","20.924000"
"2015-12-01","20.941999"
"2015-12-02","20.823999"
"2015-12-03","20.476000"
"2015-12-04","20.905001"
"2015-12-07","20.681000"
"2015-12-08","20.655001"
"2015-12-09","20.629999"
"2015-12-10","20.757999"
"2015-12-11","20.254999"
"2015-12-14","20.358999"
"2015-12-15","20.275000"
"2015-12-16","20.798000"
"2015-12-17","20.582001"
"2015-12-18","20.367001"
"2015-12-21","20.437000"
"2015-12-22","20.174000"
"2015-12-23","20.261999"
"2015-12-24","20.773001"
"2015-12-28","20.957001"
"2015-12-29","21.042000"
"2015-12-30","20.743999"
"2015-12-31","20.669001"
"2016-01-04","19.754000"
"2016-01-05","19.973000"
"2016-01-06","19.487000"
"2016-01-07","18.429001"
"2016-01-08","18.212000"
"2016-01-11","18.011999"
"2016-01-12","18.527000"
"2016-01-13","18.023001"
"2016-01-14","18.349001"
"2016-01-15","17.820000"
"2016-01-19","17.752001"
"2016-01-20","17.422001"
"2016-01-21","17.618000"
"2016-01-22","17.834000"
"2016-01-25","17.097000"
