"date, price"
"2014-12-04","53.520000"
"2014-12-05","53.160000"
"2014-12-08","52.549999"
"2014-12-09","52.599998"
"2014-12-10","51.320000"
"2014-12-11","51.509998"
"2014-12-12","50.480000"
"2014-12-15","50.509998"
"2014-12-16","51.209999"
"2014-12-17","51.000000"
"2014-12-18","53.450001"
"2014-12-19","53.490002"
"2014-12-22","54.310001"
"2014-12-23","54.220001"
"2014-12-24","54.259998"
"2014-12-26","53.840000"
"2014-12-29","53.930000"
"2014-12-30","53.150002"
"2014-12-31","52.660000"
"2015-01-02","52.669998"
"2015-01-05","52.340000"
"2015-01-06","50.980000"
"2015-01-07","52.650002"
"2015-01-08","53.880001"
"2015-01-09","54.119999"
"2015-01-12","54.150002"
"2015-01-13","54.150002"
"2015-01-14","54.410000"
"2015-01-15","53.840000"
"2015-01-16","55.040001"
"2015-01-20","55.599998"
"2015-01-21","55.279999"
"2015-01-22","56.180000"
"2015-01-23","56.060001"
"2015-01-26","56.099998"
"2015-01-27","55.259998"
"2015-01-28","54.430000"
"2015-01-29","55.480000"
"2015-01-30","54.130001"
"2015-02-02","54.310001"
"2015-02-03","55.099998"
"2015-02-04","57.880001"
"2015-02-05","57.639999"
"2015-02-06","57.439999"
"2015-02-09","57.450001"
"2015-02-10","58.400002"
"2015-02-11","58.889999"
"2015-02-12","60.279999"
"2015-02-13","60.230000"
"2015-02-17","60.189999"
"2015-02-18","61.090000"
"2015-02-19","62.000000"
"2015-02-20","63.049999"
"2015-02-23","62.430000"
"2015-02-24","62.450001"
"2015-02-25","62.650002"
"2015-02-26","62.790001"
"2015-02-27","62.490002"
"2015-03-02","62.919998"
"2015-03-03","62.779999"
"2015-03-04","62.060001"
"2015-03-05","62.360001"
"2015-03-06","61.610001"
"2015-03-09","61.919998"
"2015-03-10","60.650002"
"2015-03-11","60.849998"
"2015-03-12","61.650002"
"2015-03-13","61.150002"
"2015-03-16","62.029999"
"2015-03-17","62.250000"
"2015-03-18","63.790001"
"2015-03-19","64.250000"
"2015-03-20","64.059998"
"2015-03-23","63.919998"
"2015-03-24","62.970001"
"2015-03-25","61.200001"
"2015-03-26","62.529999"
"2015-03-27","63.000000"
"2015-03-30","63.340000"
"2015-03-31","62.389999"
"2015-04-01","61.980000"
"2015-04-02","62.570000"
"2015-04-06","62.419998"
"2015-04-07","62.049999"
"2015-04-08","62.540001"
"2015-04-09","63.160000"
"2015-04-10","62.799999"
"2015-04-13","61.730000"
"2015-04-14","62.619999"
"2015-04-15","63.110001"
"2015-04-16","62.450001"
"2015-04-17","60.700001"
"2015-04-20","61.139999"
"2015-04-21","61.410000"
"2015-04-22","61.209999"
"2015-04-23","61.200001"
"2015-04-24","59.730000"
"2015-04-27","59.509998"
"2015-04-28","60.330002"
"2015-04-29","59.919998"
"2015-04-30","58.540001"
"2015-05-01","59.139999"
"2015-05-04","62.779999"
"2015-05-05","61.000000"
"2015-05-06","60.619999"
"2015-05-07","61.310001"
"2015-05-08","63.090000"
"2015-05-11","62.680000"
"2015-05-12","62.130001"
"2015-05-13","61.849998"
"2015-05-14","63.820000"
"2015-05-15","63.570000"
"2015-05-18","64.739998"
"2015-05-19","65.029999"
"2015-05-20","65.000000"
"2015-05-21","64.970001"
"2015-05-22","64.809998"
"2015-05-26","63.820000"
"2015-05-27","64.680000"
"2015-05-28","64.839996"
"2015-05-29","64.720001"
"2015-06-01","65.400002"
"2015-06-02","65.599998"
"2015-06-03","65.699997"
"2015-06-04","64.470001"
"2015-06-05","64.599998"
"2015-06-08","63.590000"
"2015-06-09","63.709999"
"2015-06-10","64.849998"
"2015-06-11","64.510002"
"2015-06-12","63.610001"
"2015-06-15","62.980000"
"2015-06-16","62.720001"
"2015-06-17","62.080002"
"2015-06-18","63.250000"
"2015-06-19","62.490002"
"2015-06-22","63.200001"
"2015-06-23","63.290001"
"2015-06-24","63.020000"
"2015-06-25","63.700001"
"2015-06-26","63.830002"
"2015-06-29","61.180000"
"2015-06-30","61.090000"
"2015-07-01","62.119999"
"2015-07-02","60.529999"
"2015-07-06","59.959999"
"2015-07-07","60.299999"
"2015-07-08","59.029999"
"2015-07-09","59.490002"
"2015-07-10","59.709999"
"2015-07-13","60.230000"
"2015-07-14","60.610001"
"2015-07-15","60.849998"
"2015-07-16","61.169998"
"2015-07-17","60.590000"
"2015-07-20","60.490002"
"2015-07-21","61.560001"
"2015-07-22","62.189999"
"2015-07-23","62.259998"
"2015-07-24","61.599998"
"2015-07-27","60.750000"
"2015-07-28","61.169998"
"2015-07-29","62.259998"
"2015-07-30","63.119999"
"2015-07-31","63.099998"
"2015-08-03","62.880001"
"2015-08-04","63.290001"
"2015-08-05","67.339996"
"2015-08-06","67.080002"
"2015-08-07","67.620003"
"2015-08-10","68.440002"
"2015-08-11","67.779999"
"2015-08-12","67.470001"
"2015-08-13","67.940002"
"2015-08-14","67.169998"
"2015-08-17","67.650002"
"2015-08-18","67.839996"
"2015-08-19","67.029999"
"2015-08-20","65.699997"
"2015-08-21","62.849998"
"2015-08-24","59.830002"
"2015-08-25","58.980000"
"2015-08-26","62.160000"
"2015-08-27","63.799999"
"2015-08-28","63.720001"
"2015-08-31","62.939999"
"2015-09-01","61.230000"
"2015-09-02","62.540001"
"2015-09-03","62.860001"
"2015-09-04","61.750000"
"2015-09-08","63.169998"
"2015-09-09","62.130001"
"2015-09-10","62.630001"
"2015-09-11","62.790001"
"2015-09-14","62.080002"
"2015-09-15","62.770000"
"2015-09-16","63.619999"
"2015-09-17","62.889999"
"2015-09-18","61.830002"
"2015-09-21","62.820000"
"2015-09-22","61.860001"
"2015-09-23","62.250000"
"2015-09-24","61.119999"
"2015-09-25","61.290001"
"2015-09-28","60.040001"
"2015-09-29","60.580002"
"2015-09-30","62.610001"
"2015-10-01","63.270000"
"2015-10-02","63.270000"
"2015-10-05","65.110001"
"2015-10-06","64.980003"
"2015-10-07","65.989998"
"2015-10-08","66.360001"
"2015-10-09","66.940002"
"2015-10-12","66.190002"
"2015-10-13","64.839996"
"2015-10-14","64.750000"
"2015-10-15","64.900002"
"2015-10-16","64.900002"
"2015-10-19","65.050003"
"2015-10-20","65.199997"
"2015-10-21","64.970001"
"2015-10-22","68.430000"
"2015-10-23","68.830002"
"2015-10-26","68.449997"
"2015-10-27","68.260002"
"2015-10-28","69.760002"
"2015-10-29","68.879997"
"2015-10-30","68.110001"
"2015-11-02","68.430000"
"2015-11-03","68.139999"
"2015-11-04","66.820000"
"2015-11-05","67.169998"
"2015-11-06","69.050003"
"2015-11-09","67.970001"
"2015-11-10","68.089996"
"2015-11-11","67.889999"
"2015-11-12","67.110001"
"2015-11-13","65.900002"
"2015-11-16","65.860001"
"2015-11-17","64.110001"
"2015-11-18","65.260002"
"2015-11-19","65.239998"
"2015-11-20","65.129997"
"2015-11-23","64.239998"
"2015-11-24","64.580002"
"2015-11-25","64.470001"
"2015-11-27","64.730003"
"2015-11-30","64.580002"
"2015-12-01","65.199997"
"2015-12-02","64.040001"
"2015-12-03","61.669998"
"2015-12-04","62.959999"
"2015-12-07","62.000000"
"2015-12-08","62.009998"
"2015-12-09","60.330002"
"2015-12-10","60.369999"
"2015-12-11","58.299999"
"2015-12-14","59.759998"
"2015-12-15","60.509998"
"2015-12-16","62.419998"
"2015-12-17","60.419998"
"2015-12-18","58.860001"
"2015-12-21","59.740002"
"2015-12-22","60.099998"
"2015-12-23","60.400002"
"2015-12-24","60.730000"
"2015-12-28","60.500000"
"2015-12-29","61.410000"
"2015-12-30","61.000000"
"2015-12-31","60.020000"
"2016-01-04","58.130001"
