"date, price"
"2014-12-04","4.265000"
"2014-12-05","4.240000"
"2014-12-08","4.140000"
"2014-12-09","4.110000"
"2014-12-10","4.050000"
"2014-12-11","4.080000"
"2014-12-12","4.050000"
"2014-12-15","4.150000"
"2014-12-16","4.250000"
"2014-12-17","4.240000"
"2014-12-18","4.300000"
"2014-12-19","4.240000"
"2014-12-22","4.340000"
"2014-12-23","4.330000"
"2014-12-24","4.380000"
"2014-12-26","4.210000"
"2014-12-29","4.244000"
"2014-12-30","4.140000"
"2014-12-31","4.050000"
"2015-01-02","4.040000"
"2015-01-05","4.250000"
"2015-01-06","4.070000"
"2015-01-07","4.290000"
"2015-01-08","4.200000"
"2015-01-09","4.185000"
"2015-01-12","4.200000"
"2015-01-13","4.195000"
"2015-01-14","4.100000"
"2015-01-15","4.130000"
"2015-01-16","4.190000"
"2015-01-20","4.180000"
"2015-01-21","4.030000"
"2015-01-22","4.010000"
"2015-01-23","4.025000"
"2015-01-26","3.980000"
"2015-01-27","4.000000"
"2015-01-28","4.020000"
"2015-01-29","3.970000"
"2015-01-30","3.965000"
"2015-02-02","3.910000"
"2015-02-03","3.890000"
"2015-02-04","3.890000"
"2015-02-05","4.150000"
"2015-02-06","4.120000"
"2015-02-09","4.180000"
"2015-02-10","4.158000"
"2015-02-11","4.160000"
"2015-02-12","4.190000"
"2015-02-13","4.200000"
"2015-02-17","4.250000"
"2015-02-18","4.130000"
"2015-02-19","4.500000"
"2015-02-20","4.550000"
"2015-02-23","4.500000"
"2015-02-24","4.650000"
"2015-02-25","4.500000"
"2015-02-26","4.550000"
"2015-02-27","4.600000"
"2015-03-02","4.510000"
"2015-03-03","4.660000"
"2015-03-04","4.780000"
"2015-03-05","4.990000"
"2015-03-06","5.000000"
"2015-03-09","5.140000"
"2015-03-10","5.550000"
"2015-03-11","5.430000"
"2015-03-12","5.360000"
"2015-03-13","5.110000"
"2015-03-16","5.000000"
"2015-03-17","5.080000"
"2015-03-18","4.730000"
"2015-03-19","4.610000"
"2015-03-20","4.830000"
"2015-03-23","4.920000"
"2015-03-24","5.020000"
"2015-03-25","4.950000"
"2015-03-26","5.040000"
"2015-03-27","5.120000"
"2015-03-30","5.040000"
"2015-03-31","5.030000"
"2015-04-01","5.120000"
"2015-04-02","5.250000"
"2015-04-06","5.340000"
"2015-04-07","5.910000"
"2015-04-08","6.080000"
"2015-04-09","6.140000"
"2015-04-10","6.330000"
"2015-04-13","6.640000"
"2015-04-14","6.620000"
"2015-04-15","6.840000"
"2015-04-16","7.000000"
"2015-04-17","6.910000"
"2015-04-20","7.190000"
"2015-04-21","7.200000"
"2015-04-22","7.500000"
"2015-04-23","7.200000"
"2015-04-24","7.000000"
"2015-04-27","7.000000"
"2015-04-28","6.910000"
"2015-04-29","7.000000"
"2015-04-30","7.050000"
"2015-05-01","7.100000"
"2015-05-04","7.090000"
"2015-05-05","7.050000"
"2015-05-06","7.060000"
"2015-05-07","6.990000"
"2015-05-08","7.090000"
"2015-05-11","7.080000"
"2015-05-12","7.120000"
"2015-05-13","7.530000"
"2015-05-14","7.870000"
"2015-05-15","8.000000"
"2015-05-18","8.080000"
"2015-05-19","8.260000"
"2015-05-20","8.200000"
"2015-05-21","8.160000"
"2015-05-22","8.160000"
"2015-05-26","8.730000"
"2015-05-27","8.520000"
"2015-05-28","8.310000"
"2015-05-29","8.160000"
"2015-06-01","8.370000"
"2015-06-02","8.200000"
"2015-06-03","8.490000"
"2015-06-04","8.280000"
"2015-06-05","8.250000"
"2015-06-08","8.060000"
"2015-06-09","7.730000"
"2015-06-10","7.610000"
"2015-06-11","7.900000"
"2015-06-12","7.880000"
"2015-06-15","7.920000"
"2015-06-16","7.990000"
"2015-06-17","7.830000"
"2015-06-18","7.760000"
"2015-06-19","7.790000"
"2015-06-22","7.690000"
"2015-06-23","7.520000"
"2015-06-24","7.450000"
"2015-06-25","7.960000"
"2015-06-26","7.760000"
"2015-06-29","7.910000"
"2015-06-30","7.820000"
"2015-07-01","7.910000"
"2015-07-02","7.830000"
"2015-07-06","8.130000"
"2015-07-07","8.050000"
"2015-07-08","8.010000"
"2015-07-09","8.330000"
"2015-07-10","8.950000"
"2015-07-13","8.890000"
"2015-07-14","9.180000"
"2015-07-15","9.020000"
"2015-07-16","9.020000"
"2015-07-17","8.790000"
"2015-07-20","8.770000"
"2015-07-21","8.830000"
"2015-07-22","8.980000"
"2015-07-23","8.710000"
"2015-07-24","8.780000"
"2015-07-27","8.370000"
"2015-07-28","8.270000"
"2015-07-29","8.110000"
"2015-07-30","8.290000"
"2015-07-31","8.450000"
"2015-08-03","8.410000"
"2015-08-04","8.780000"
"2015-08-05","8.760000"
"2015-08-06","8.980000"
"2015-08-07","9.150000"
"2015-08-10","9.410000"
"2015-08-11","9.280000"
"2015-08-12","9.260000"
"2015-08-13","9.350000"
"2015-08-14","8.800000"
"2015-08-17","9.790000"
"2015-08-18","9.720000"
"2015-08-19","9.700000"
"2015-08-20","9.360000"
"2015-08-21","9.600000"
"2015-08-24","9.080000"
"2015-08-25","9.090000"
"2015-08-26","9.270000"
"2015-08-27","9.500000"
"2015-08-28","9.700000"
"2015-08-31","9.420000"
"2015-09-01","9.300000"
"2015-09-02","9.370000"
"2015-09-03","9.390000"
"2015-09-04","9.210000"
"2015-09-08","9.350000"
"2015-09-09","9.060000"
"2015-09-10","9.160000"
"2015-09-11","9.250000"
"2015-09-14","9.150000"
"2015-09-15","9.290000"
"2015-09-16","9.380000"
"2015-09-17","9.770000"
"2015-09-18","9.280000"
"2015-09-21","9.500000"
"2015-09-22","9.230000"
"2015-09-23","9.220000"
"2015-09-24","9.300000"
"2015-09-25","9.050000"
"2015-09-28","8.795000"
"2015-09-29","9.020000"
"2015-09-30","9.020000"
"2015-10-01","9.060000"
"2015-10-02","9.250000"
"2015-10-05","9.000000"
"2015-10-06","9.060000"
"2015-10-07","9.260000"
"2015-10-08","9.170000"
"2015-10-09","9.190000"
"2015-10-12","9.290000"
"2015-10-13","9.290000"
"2015-10-14","9.390000"
"2015-10-15","9.410000"
"2015-10-16","9.410000"
"2015-10-19","9.080000"
"2015-10-20","8.880000"
"2015-10-21","8.740000"
"2015-10-22","9.090000"
"2015-10-23","9.400000"
"2015-10-26","9.220000"
"2015-10-27","9.130000"
"2015-10-28","9.490000"
"2015-10-29","9.820000"
"2015-10-30","9.900000"
"2015-11-02","10.030000"
"2015-11-03","10.000000"
"2015-11-04","10.050000"
"2015-11-05","9.830000"
"2015-11-06","9.890000"
"2015-11-09","9.630000"
"2015-11-10","9.730000"
"2015-11-11","9.620000"
"2015-11-12","9.210000"
"2015-11-13","9.140000"
"2015-11-16","8.870000"
"2015-11-17","8.710000"
"2015-11-18","8.940000"
"2015-11-19","8.710000"
"2015-11-20","8.820000"
"2015-11-23","8.830000"
"2015-11-24","9.240000"
"2015-11-25","9.260000"
"2015-11-27","9.790000"
"2015-11-30","9.690000"
"2015-12-01","9.750000"
"2015-12-02","9.480000"
"2015-12-03","9.740000"
"2015-12-04","10.390000"
"2015-12-07","10.230000"
"2015-12-08","10.290000"
"2015-12-09","10.230000"
"2015-12-10","10.150000"
"2015-12-11","10.000000"
"2015-12-14","9.660000"
"2015-12-15","9.620000"
"2015-12-16","9.880000"
"2015-12-17","10.570000"
"2015-12-18","10.310000"
"2015-12-21","10.100000"
"2015-12-22","10.170000"
"2015-12-23","10.360000"
"2015-12-24","11.190000"
"2015-12-28","11.230000"
"2015-12-29","11.400000"
"2015-12-30","11.100000"
"2015-12-31","11.000000"
"2016-01-04","10.590000"
"2016-01-05","11.090000"
"2016-01-06","11.100000"
"2016-01-07","10.650000"
"2016-01-08","10.660000"
"2016-01-11","10.660000"
"2016-01-12","10.540000"
"2016-01-13","10.540000"
"2016-01-14","10.380000"
"2016-01-15","10.340000"
"2016-01-19","10.560000"
"2016-01-20","10.550000"
"2016-01-21","10.650000"
"2016-01-22","10.770000"
"2016-01-25","10.640000"
"2016-01-26","10.590000"
"2016-01-27","10.480000"
"2016-01-28","10.330000"
"2016-01-29","10.320000"
"2016-02-01","10.330000"
"2016-02-02","10.330000"
"2016-02-03","10.050000"
"2016-02-04","9.950000"
"2016-02-05","9.520000"
"2016-02-08","9.460000"
"2016-02-09","9.170000"
"2016-02-10","9.250000"
"2016-02-11","9.180000"
"2016-02-12","9.230000"
"2016-02-16","9.400000"
"2016-02-17","9.650000"
"2016-02-18","9.600000"
"2016-02-19","9.570000"
"2016-02-22","9.750000"
"2016-02-23","9.530000"
"2016-02-24","9.690000"
"2016-02-25","9.870000"
"2016-02-26","9.920000"
"2016-02-29","10.010000"
"2016-03-01","10.210000"
"2016-03-02","10.500000"
"2016-03-03","10.500000"
"2016-03-04","10.510000"
"2016-03-07","10.600000"
"2016-03-08","10.500000"
"2016-03-09","10.770000"
"2016-03-10","11.030000"
"2016-03-11","10.860000"
"2016-03-14","10.800000"
"2016-03-15","10.800000"
"2016-03-16","11.010000"
"2016-03-17","11.000000"
"2016-03-18","10.980000"
"2016-03-21","10.950000"
"2016-03-22","10.840000"
"2016-03-23","10.870000"
"2016-03-24","10.880000"
