"date, price"
"2014-12-04","72.930000"
"2014-12-05","73.199997"
"2014-12-08","71.790001"
"2014-12-09","71.440002"
"2014-12-10","70.559998"
"2014-12-11","70.610001"
"2014-12-12","70.830002"
"2014-12-15","70.050003"
"2014-12-16","68.489998"
"2014-12-17","69.720001"
"2014-12-18","72.389999"
"2014-12-19","72.610001"
"2014-12-22","71.940002"
"2014-12-23","72.089996"
"2014-12-24","72.629997"
"2014-12-26","72.709999"
"2014-12-29","73.070000"
"2014-12-30","73.300003"
"2014-12-31","72.889999"
"2015-01-02","72.269997"
"2015-01-05","70.440002"
"2015-01-06","68.669998"
"2015-01-07","68.459999"
"2015-01-08","70.220001"
"2015-01-09","71.790001"
"2015-01-12","71.279999"
"2015-01-13","71.769997"
"2015-01-14","70.440002"
"2015-01-15","70.190002"
"2015-01-16","71.849998"
"2015-01-20","70.680000"
"2015-01-21","71.879997"
"2015-01-22","74.320000"
"2015-01-23","73.650002"
"2015-01-26","73.150002"
"2015-01-27","73.110001"
"2015-01-28","71.529999"
"2015-01-29","73.480003"
"2015-01-30","70.349998"
"2015-02-02","72.589996"
"2015-02-03","75.489998"
"2015-02-04","76.540001"
"2015-02-05","76.750000"
"2015-02-06","75.629997"
"2015-02-09","75.989998"
"2015-02-10","76.940002"
"2015-02-11","76.160004"
"2015-02-12","77.360001"
"2015-02-13","77.199997"
"2015-02-17","76.730003"
"2015-02-18","76.290001"
"2015-02-19","77.559998"
"2015-02-20","78.309998"
"2015-02-23","77.389999"
"2015-02-24","77.769997"
"2015-02-25","77.290001"
"2015-02-26","76.760002"
"2015-02-27","75.040001"
"2015-03-02","75.660004"
"2015-03-03","75.849998"
"2015-03-04","75.599998"
"2015-03-05","75.809998"
"2015-03-06","76.059998"
"2015-03-09","76.080002"
"2015-03-10","73.360001"
"2015-03-11","73.230003"
"2015-03-12","74.730003"
"2015-03-13","73.820000"
"2015-03-16","73.540001"
"2015-03-17","73.360001"
"2015-03-18","74.800003"
"2015-03-19","74.379997"
"2015-03-20","73.410004"
"2015-03-23","73.129997"
"2015-03-24","72.199997"
"2015-03-25","70.760002"
"2015-03-26","70.330002"
"2015-03-27","70.629997"
"2015-03-30","70.779999"
"2015-03-31","70.059998"
"2015-04-01","69.730003"
"2015-04-02","70.959999"
"2015-04-06","71.150002"
"2015-04-07","70.599998"
"2015-04-08","71.180000"
"2015-04-09","71.610001"
"2015-04-10","71.830002"
"2015-04-13","70.449997"
"2015-04-14","69.800003"
"2015-04-15","69.849998"
"2015-04-16","69.820000"
"2015-04-17","69.260002"
"2015-04-20","69.220001"
"2015-04-21","69.779999"
"2015-04-22","69.849998"
"2015-04-23","69.610001"
"2015-04-24","69.910004"
"2015-04-27","69.680000"
"2015-04-28","68.430000"
"2015-04-29","68.540001"
"2015-04-30","67.660004"
"2015-05-01","68.519997"
"2015-05-04","68.290001"
"2015-05-05","67.129997"
"2015-05-06","66.720001"
"2015-05-07","67.000000"
"2015-05-08","66.860001"
"2015-05-11","66.379997"
"2015-05-12","65.919998"
"2015-05-13","65.919998"
"2015-05-14","66.440002"
"2015-05-15","68.000000"
"2015-05-18","68.080002"
"2015-05-19","67.879997"
"2015-05-20","68.440002"
"2015-05-21","68.970001"
"2015-05-22","69.150002"
"2015-05-26","69.040001"
"2015-05-27","69.949997"
"2015-05-28","70.300003"
"2015-05-29","70.790001"
"2015-06-01","72.070000"
"2015-06-02","71.699997"
"2015-06-03","70.809998"
"2015-06-04","74.250000"
"2015-06-05","75.510002"
"2015-06-08","73.639999"
"2015-06-09","73.019997"
"2015-06-10","72.550003"
"2015-06-11","72.790001"
"2015-06-12","72.620003"
"2015-06-15","72.250000"
"2015-06-16","72.559998"
"2015-06-17","71.970001"
"2015-06-18","71.889999"
"2015-06-19","70.519997"
"2015-06-22","70.379997"
"2015-06-23","70.660004"
"2015-06-24","69.339996"
"2015-06-25","69.660004"
"2015-06-26","69.730003"
"2015-06-29","68.019997"
"2015-06-30","67.709999"
"2015-07-01","68.720001"
"2015-07-02","68.709999"
"2015-07-06","68.120003"
"2015-07-07","68.239998"
"2015-07-08","67.099998"
"2015-07-09","67.010002"
"2015-07-10","68.809998"
"2015-07-13","69.150002"
"2015-07-14","69.250000"
"2015-07-15","69.050003"
"2015-07-16","66.720001"
"2015-07-17","67.050003"
"2015-07-20","66.389999"
"2015-07-21","65.739998"
"2015-07-22","65.320000"
"2015-07-23","66.230003"
"2015-07-24","65.010002"
"2015-07-27","64.220001"
"2015-07-28","65.690002"
"2015-07-29","64.980003"
"2015-07-30","64.980003"
"2015-07-31","64.610001"
"2015-08-03","65.620003"
"2015-08-04","65.400002"
"2015-08-05","68.220001"
"2015-08-06","67.879997"
"2015-08-07","66.919998"
"2015-08-10","67.250000"
"2015-08-11","66.059998"
"2015-08-12","66.000000"
"2015-08-13","65.970001"
"2015-08-14","66.309998"
"2015-08-17","67.190002"
"2015-08-18","66.680000"
"2015-08-19","66.089996"
"2015-08-20","63.270000"
"2015-08-21","60.950001"
"2015-08-24","58.230000"
"2015-08-25","57.830002"
"2015-08-26","58.570000"
"2015-08-27","59.110001"
"2015-08-28","59.619999"
"2015-08-31","59.270000"
"2015-09-01","59.240002"
"2015-09-02","59.200001"
"2015-09-03","59.779999"
"2015-09-04","58.930000"
"2015-09-08","60.549999"
"2015-09-09","58.830002"
"2015-09-10","58.150002"
"2015-09-11","58.110001"
"2015-09-14","57.830002"
"2015-09-15","58.759998"
"2015-09-16","58.759998"
"2015-09-17","61.480000"
"2015-09-18","60.939999"
"2015-09-21","62.419998"
"2015-09-22","61.930000"
"2015-09-23","60.759998"
"2015-09-24","59.939999"
"2015-09-25","59.169998"
"2015-09-28","56.500000"
"2015-09-29","56.360001"
"2015-09-30","58.340000"
"2015-10-01","58.799999"
"2015-10-02","58.959999"
"2015-10-05","59.380001"
"2015-10-06","59.549999"
"2015-10-07","61.040001"
"2015-10-08","62.970001"
"2015-10-09","62.560001"
"2015-10-12","62.400002"
"2015-10-13","61.990002"
"2015-10-14","60.970001"
"2015-10-15","61.849998"
"2015-10-16","62.009998"
"2015-10-19","61.299999"
"2015-10-20","62.180000"
"2015-10-21","61.009998"
"2015-10-22","61.369999"
"2015-10-23","62.430000"
"2015-10-26","62.290001"
"2015-10-27","61.860001"
"2015-10-28","63.639999"
"2015-10-29","63.439999"
"2015-10-30","62.970001"
"2015-11-02","63.840000"
"2015-11-03","65.070000"
"2015-11-04","63.540001"
"2015-11-05","63.349998"
"2015-11-06","63.740002"
"2015-11-09","63.090000"
"2015-11-10","62.389999"
"2015-11-11","62.439999"
"2015-11-12","62.990002"
"2015-11-13","62.619999"
"2015-11-16","62.450001"
"2015-11-17","62.169998"
"2015-11-18","64.360001"
"2015-11-19","63.740002"
"2015-11-20","63.820000"
"2015-11-23","63.200001"
"2015-11-24","62.959999"
"2015-11-25","62.900002"
"2015-11-27","63.070000"
"2015-11-30","62.709999"
"2015-12-01","63.660000"
"2015-12-02","62.250000"
"2015-12-03","60.680000"
"2015-12-04","61.520000"
"2015-12-07","61.389999"
"2015-12-08","60.439999"
"2015-12-09","59.849998"
"2015-12-10","60.130001"
"2015-12-11","59.000000"
"2015-12-14","57.590000"
"2015-12-15","58.090000"
"2015-12-16","59.169998"
"2015-12-17","58.139999"
"2015-12-18","57.160000"
"2015-12-21","57.580002"
"2015-12-22","57.700001"
"2015-12-23","58.099998"
"2015-12-24","58.310001"
"2015-12-28","57.900002"
"2015-12-29","58.049999"
"2015-12-30","57.480000"
"2015-12-31","57.180000"
"2016-01-04","57.290001"
"2016-01-05","57.349998"
"2016-01-06","56.060001"
"2016-01-07","54.860001"
"2016-01-08","53.810001"
"2016-01-11","53.240002"
"2016-01-12","53.939999"
"2016-01-13","52.070000"
"2016-01-14","51.730000"
"2016-01-15","49.939999"
"2016-01-19","48.900002"
"2016-01-20","48.360001"
"2016-01-21","47.669998"
"2016-01-22","49.099998"
"2016-01-25","47.060001"
"2016-01-26","48.360001"
"2016-01-27","47.090000"
"2016-01-28","47.000000"
"2016-01-29","48.270000"
"2016-02-01","47.880001"
"2016-02-02","46.759998"
"2016-02-03","47.680000"
"2016-02-04","47.790001"
"2016-02-05","45.560001"
"2016-02-08","42.270000"
"2016-02-09","40.680000"
"2016-02-10","39.709999"
"2016-02-11","41.549999"
"2016-02-12","43.310001"
"2016-02-16","44.150002"
"2016-02-17","46.070000"
"2016-02-18","43.169998"
"2016-02-19","44.209999"
"2016-02-22","46.459999"
"2016-02-23","46.060001"
"2016-02-24","46.419998"
"2016-02-25","46.509998"
"2016-02-26","46.700001"
"2016-02-29","47.130001"
"2016-03-01","48.740002"
"2016-03-02","48.840000"
"2016-03-03","49.290001"
"2016-03-04","49.930000"
"2016-03-07","49.849998"
"2016-03-08","48.900002"
"2016-03-09","48.950001"
"2016-03-10","48.709999"
"2016-03-11","49.540001"
"2016-03-14","49.040001"
"2016-03-15","48.580002"
"2016-03-16","48.970001"
"2016-03-17","49.270000"
"2016-03-18","49.130001"
"2016-03-21","48.290001"
"2016-03-22","48.110001"
"2016-03-23","47.820000"
"2016-03-24","47.910000"
"2016-03-28","47.529999"
"2016-03-29","47.430000"
"2016-03-30","47.369999"
"2016-03-31","46.259998"
"2016-04-01","46.290001"
"2016-04-04","45.910000"
"2016-04-05","44.700001"
"2016-04-06","44.790001"
"2016-04-07","43.610001"
"2016-04-08","43.450001"
"2016-04-11","43.400002"
