"date, price"
"2017-12-08","21.450001"
"2017-12-11","20.990000"
"2017-12-12","20.160000"
"2017-12-13","20.040001"
"2017-12-14","18.990000"
"2017-12-15","19.040001"
"2017-12-18","18.709999"
"2017-12-19","18.280001"
"2017-12-20","17.700001"
"2017-12-21","16.450001"
"2017-12-22","15.780000"
"2017-12-26","15.460000"
"2017-12-27","15.850000"
"2017-12-28","15.040000"
"2017-12-29","15.640000"
"2018-01-02","16.129999"
"2018-01-03","16.650000"
"2018-01-04","16.080000"
"2018-01-05","16.799999"
"2018-01-08","16.480000"
"2018-01-09","15.500000"
"2018-01-10","15.360000"
"2018-01-11","16.530001"
"2018-01-12","17.160000"
"2018-01-16","17.100000"
"2018-01-17","17.620001"
"2018-01-18","18.320000"
"2018-01-19","19.760000"
"2018-01-22","21.559999"
"2018-01-23","21.850000"
"2018-01-24","21.799999"
"2018-01-25","21.150000"
"2018-01-26","22.200001"
"2018-01-29","23.950001"
"2018-01-30","23.670000"
"2018-01-31","23.260000"
"2018-02-01","21.180000"
"2018-02-02","20.389999"
"2018-02-05","19.260000"
"2018-02-06","19.379999"
"2018-02-07","20.270000"
"2018-02-08","20.889999"
"2018-02-09","21.490000"
"2018-02-12","21.219999"
"2018-02-13","20.590000"
"2018-02-14","20.930000"
"2018-02-15","23.340000"
"2018-02-16","24.799999"
"2018-02-20","23.680000"
"2018-02-21","23.020000"
"2018-02-22","22.420000"
"2018-02-23","22.400000"
"2018-02-26","22.160000"
"2018-02-27","21.510000"
"2018-02-28","22.889999"
"2018-03-01","21.570000"
"2018-03-02","22.590000"
"2018-03-05","22.549999"
"2018-03-06","21.959999"
"2018-03-07","21.570000"
"2018-03-08","20.559999"
"2018-03-09","20.370001"
"2018-03-12","20.180000"
"2018-03-13","20.120001"
"2018-03-14","21.889999"
"2018-03-15","19.580000"
"2018-03-16","21.535000"
"2018-03-19","21.959999"
"2018-03-20","22.059999"
"2018-03-21","21.709999"
"2018-03-22","21.170000"
"2018-03-23","21.340000"
"2018-03-26","21.160000"
"2018-03-27","20.049999"
"2018-03-28","19.709999"
"2018-03-29","19.690001"
"2018-04-02","18.750000"
"2018-04-03","19.120001"
"2018-04-04","19.600000"
"2018-04-05","18.889999"
"2018-04-06","18.110001"
"2018-04-09","18.440001"
"2018-04-10","19.620001"
"2018-04-11","19.520000"
"2018-04-12","19.410000"
"2018-04-13","19.200001"
"2018-04-16","18.620001"
"2018-04-17","19.629999"
"2018-04-18","19.360001"
"2018-04-19","19.260000"
"2018-04-20","19.770000"
"2018-04-23","19.450001"
"2018-04-24","19.200001"
"2018-04-25","18.360001"
"2018-04-26","18.700001"
"2018-04-27","18.730000"
"2018-04-30","18.480000"
"2018-05-01","18.629999"
"2018-05-02","18.680000"
"2018-05-03","18.150000"
"2018-05-04","18.980000"
"2018-05-07","19.270000"
"2018-05-08","18.719999"
"2018-05-09","19.469999"
"2018-05-10","20.500000"
"2018-05-11","19.440001"
"2018-05-14","18.700001"
"2018-05-15","19.180000"
"2018-05-16","18.850000"
"2018-05-17","18.990000"
"2018-05-18","19.730000"
"2018-05-21","19.719999"
"2018-05-22","20.000000"
"2018-05-23","20.340000"
"2018-05-24","19.980000"
"2018-05-25","19.930000"
"2018-05-29","20.790001"
"2018-05-30","20.730000"
"2018-05-31","19.230000"
"2018-06-01","18.840000"
"2018-06-04","20.799999"
"2018-06-05","21.020000"
"2018-06-06","19.809999"
"2018-06-07","18.160000"
"2018-06-08","17.959999"
"2018-06-11","18.340000"
"2018-06-12","18.750000"
"2018-06-13","18.920000"
"2018-06-14","17.900000"
"2018-06-15","17.900000"
"2018-06-18","17.610001"
"2018-06-19","17.270000"
"2018-06-20","17.770000"
"2018-06-21","17.000000"
"2018-06-22","17.940001"
"2018-06-25","17.139999"
"2018-06-26","17.080000"
"2018-06-27","16.650000"
"2018-06-28","15.640000"
"2018-06-29","15.250000"
"2018-07-02","15.540000"
"2018-07-03","15.070000"
"2018-07-05","15.540000"
"2018-07-06","15.900000"
"2018-07-09","15.470000"
"2018-07-10","15.210000"
"2018-07-11","14.900000"
"2018-07-12","14.760000"
"2018-07-13","14.490000"
"2018-07-16","14.050000"
"2018-07-17","14.000000"
"2018-07-18","14.000000"
"2018-07-19","14.000000"
"2018-07-20","13.460000"
"2018-07-23","13.960000"
"2018-07-24","13.500000"
"2018-07-25","13.890000"
"2018-07-26","13.370000"
"2018-07-27","12.630000"
"2018-07-30","12.460000"
"2018-07-31","12.590000"
"2018-08-01","12.730000"
"2018-08-02","14.000000"
"2018-08-03","13.860000"
"2018-08-06","15.000000"
"2018-08-07","15.630000"
"2018-08-08","15.150000"
"2018-08-09","15.300000"
"2018-08-10","15.080000"
"2018-08-13","14.850000"
"2018-08-14","15.050000"
"2018-08-15","15.160000"
"2018-08-16","16.170000"
"2018-08-17","15.740000"
"2018-08-20","15.920000"
"2018-08-21","16.080000"
"2018-08-22","16.379999"
"2018-08-23","16.549999"
"2018-08-24","16.430000"
"2018-08-27","16.820000"
"2018-08-28","17.650000"
"2018-08-29","18.020000"
"2018-08-30","19.080000"
"2018-08-31","19.629999"
"2018-09-04","19.400000"
"2018-09-05","19.920000"
"2018-09-06","19.370001"
"2018-09-07","17.730000"
"2018-09-10","18.320000"
"2018-09-11","18.440001"
"2018-09-12","18.370001"
"2018-09-13","18.150000"
"2018-09-14","19.500000"
"2018-09-17","18.730000"
"2018-09-18","20.490000"
"2018-09-19","20.420000"
"2018-09-20","20.879999"
"2018-09-21","20.920000"
"2018-09-24","20.740000"
"2018-09-25","21.240000"
"2018-09-26","21.389999"
"2018-09-27","21.230000"
"2018-09-28","21.740000"
"2018-10-01","21.549999"
"2018-10-02","21.750000"
"2018-10-03","21.200001"
"2018-10-04","19.350000"
"2018-10-05","19.379999"
"2018-10-08","18.340000"
"2018-10-09","17.830000"
"2018-10-10","17.000000"
"2018-10-11","16.530001"
"2018-10-12","16.940001"
"2018-10-15","17.000000"
"2018-10-16","17.900000"
"2018-10-17","17.330000"
"2018-10-18","16.469999"
"2018-10-19","16.690001"
"2018-10-22","15.490000"
"2018-10-23","15.320000"
"2018-10-24","13.880000"
"2018-10-25","14.720000"
"2018-10-26","14.150000"
"2018-10-29","14.340000"
"2018-10-30","14.300000"
"2018-10-31","14.470000"
"2018-11-01","16.330000"
"2018-11-02","16.969999"
"2018-11-05","16.790001"
"2018-11-06","17.080000"
"2018-11-07","17.370001"
"2018-11-08","17.350000"
"2018-11-09","16.680000"
"2018-11-12","16.670000"
"2018-11-13","17.270000"
"2018-11-14","17.490000"
"2018-11-15","18.780001"
