"date, price"
"2014-12-04","48.160000"
"2014-12-05","48.299999"
"2014-12-08","48.230000"
"2014-12-09","47.389999"
"2014-12-10","46.200001"
"2014-12-11","47.099998"
"2014-12-12","46.099998"
"2014-12-15","45.900002"
"2014-12-16","45.779999"
"2014-12-17","46.320000"
"2014-12-18","46.900002"
"2014-12-19","46.689999"
"2014-12-22","47.630001"
"2014-12-23","47.500000"
"2014-12-24","47.529999"
"2014-12-26","47.160000"
"2014-12-29","47.080002"
"2014-12-30","47.009998"
"2014-12-31","46.660000"
"2015-01-02","46.509998"
"2015-01-05","46.209999"
"2015-01-06","46.029999"
"2015-01-07","46.310001"
"2015-01-08","47.049999"
"2015-01-09","46.980000"
"2015-01-12","46.959999"
"2015-01-13","47.349998"
"2015-01-14","47.220001"
"2015-01-15","47.029999"
"2015-01-16","47.849998"
"2015-01-20","47.759998"
"2015-01-21","47.570000"
"2015-01-22","48.299999"
"2015-01-23","48.110001"
"2015-01-26","48.320000"
"2015-01-27","47.540001"
"2015-01-28","48.240002"
"2015-01-29","48.810001"
"2015-01-30","48.180000"
"2015-02-02","48.009998"
"2015-02-03","48.889999"
"2015-02-04","49.139999"
"2015-02-05","50.080002"
"2015-02-06","49.889999"
"2015-02-09","49.529999"
"2015-02-10","49.770000"
"2015-02-11","49.840000"
"2015-02-12","50.779999"
"2015-02-13","51.150002"
"2015-02-17","50.830002"
"2015-02-18","51.139999"
"2015-02-19","51.529999"
"2015-02-20","51.570000"
"2015-02-23","51.740002"
"2015-02-24","52.139999"
"2015-02-25","52.259998"
"2015-02-26","52.480000"
"2015-02-27","52.500000"
"2015-03-02","53.000000"
"2015-03-03","52.459999"
"2015-03-04","52.299999"
"2015-03-05","52.369999"
"2015-03-06","51.810001"
"2015-03-09","52.290001"
"2015-03-10","52.020000"
"2015-03-11","51.830002"
"2015-03-12","51.910000"
"2015-03-13","51.660000"
"2015-03-16","52.110001"
"2015-03-17","52.669998"
"2015-03-18","53.209999"
"2015-03-19","53.549999"
"2015-03-20","53.990002"
"2015-03-23","53.970001"
"2015-03-24","53.900002"
"2015-03-25","53.410000"
"2015-03-26","53.790001"
"2015-03-27","54.090000"
"2015-03-30","54.779999"
"2015-03-31","54.400002"
"2015-04-01","53.830002"
"2015-04-02","53.700001"
"2015-04-06","53.700001"
"2015-04-07","53.700001"
"2015-04-08","53.880001"
"2015-04-09","53.990002"
"2015-04-10","54.369999"
"2015-04-13","54.270000"
"2015-04-14","54.540001"
"2015-04-15","55.180000"
"2015-04-16","55.020000"
"2015-04-17","54.150002"
"2015-04-20","54.090000"
"2015-04-21","54.669998"
"2015-04-22","55.040001"
"2015-04-23","54.990002"
"2015-04-24","55.299999"
"2015-04-27","55.340000"
"2015-04-28","55.430000"
"2015-04-29","55.570000"
"2015-04-30","55.070000"
"2015-05-01","54.369999"
"2015-05-04","54.480000"
"2015-05-05","54.070000"
"2015-05-06","53.700001"
"2015-05-07","53.610001"
"2015-05-08","53.860001"
"2015-05-11","54.110001"
"2015-05-12","53.410000"
"2015-05-13","54.080002"
"2015-05-14","54.830002"
"2015-05-15","54.570000"
"2015-05-18","55.500000"
"2015-05-19","55.630001"
"2015-05-20","54.950001"
"2015-05-21","54.540001"
"2015-05-22","54.139999"
"2015-05-26","53.520000"
"2015-05-27","53.919998"
"2015-05-28","54.660000"
"2015-05-29","54.849998"
"2015-06-01","55.490002"
"2015-06-02","56.180000"
"2015-06-03","56.410000"
"2015-06-04","55.959999"
"2015-06-05","56.270000"
"2015-06-08","55.970001"
"2015-06-09","55.689999"
"2015-06-10","56.560001"
"2015-06-11","56.820000"
"2015-06-12","56.419998"
"2015-06-15","55.770000"
"2015-06-16","55.740002"
"2015-06-17","55.709999"
"2015-06-18","55.790001"
"2015-06-19","56.230000"
"2015-06-22","56.490002"
"2015-06-23","56.430000"
"2015-06-24","55.900002"
"2015-06-25","56.020000"
"2015-06-26","56.150002"
"2015-06-29","55.119999"
"2015-06-30","54.590000"
"2015-07-01","55.599998"
"2015-07-02","55.400002"
"2015-07-06","55.049999"
"2015-07-07","54.439999"
"2015-07-08","54.040001"
"2015-07-09","55.369999"
"2015-07-10","56.040001"
"2015-07-13","56.299999"
"2015-07-14","56.340000"
"2015-07-15","56.400002"
"2015-07-16","57.209999"
"2015-07-17","56.750000"
"2015-07-20","56.700001"
"2015-07-21","56.349998"
"2015-07-22","56.340000"
"2015-07-23","55.910000"
"2015-07-24","55.580002"
"2015-07-27","55.110001"
"2015-07-28","55.619999"
"2015-07-29","56.470001"
"2015-07-30","58.220001"
