"date, price"
"2014-12-04","13.660000"
"2014-12-05","13.830000"
"2014-12-08","13.490000"
"2014-12-09","13.610000"
"2014-12-10","13.280000"
"2014-12-11","13.290000"
"2014-12-12","13.080000"
"2014-12-15","13.110000"
"2014-12-16","12.970000"
"2014-12-17","12.910000"
"2014-12-18","13.140000"
"2014-12-19","13.160000"
"2014-12-22","13.120000"
"2014-12-23","13.360000"
"2014-12-24","13.340000"
"2014-12-26","13.290000"
"2014-12-29","13.320000"
"2014-12-30","13.330000"
"2014-12-31","13.210000"
"2015-01-02","13.100000"
"2015-01-05","12.660000"
"2015-01-06","12.240000"
"2015-01-07","12.390000"
"2015-01-08","12.580000"
"2015-01-09","12.530000"
"2015-01-12","12.360000"
"2015-01-13","12.300000"
"2015-01-14","12.200000"
"2015-01-15","12.010000"
"2015-01-16","12.350000"
"2015-01-20","12.470000"
"2015-01-21","12.640000"
"2015-01-22","12.810000"
"2015-01-23","12.790000"
"2015-01-26","12.820000"
"2015-01-27","12.760000"
"2015-01-28","12.890000"
"2015-01-29","13.340000"
"2015-01-30","13.000000"
"2015-02-02","13.130000"
"2015-02-03","13.370000"
"2015-02-04","13.360000"
"2015-02-05","13.600000"
"2015-02-06","13.570000"
"2015-02-09","13.620000"
"2015-02-10","13.490000"
"2015-02-11","13.520000"
"2015-02-12","13.650000"
"2015-02-13","13.500000"
"2015-02-17","13.230000"
"2015-02-18","13.510000"
"2015-02-19","13.700000"
"2015-02-20","13.710000"
"2015-02-23","13.390000"
"2015-02-24","13.450000"
"2015-02-25","13.460000"
"2015-02-26","13.500000"
"2015-02-27","13.410000"
"2015-03-02","13.740000"
"2015-03-03","13.550000"
"2015-03-04","13.300000"
"2015-03-05","13.410000"
"2015-03-06","13.170000"
"2015-03-09","13.390000"
"2015-03-10","13.120000"
"2015-03-11","13.150000"
"2015-03-12","13.020000"
"2015-03-13","13.180000"
"2015-03-16","13.330000"
"2015-03-17","13.220000"
"2015-03-18","13.310000"
"2015-03-19","13.450000"
"2015-03-20","13.590000"
"2015-03-23","13.860000"
"2015-03-24","13.850000"
"2015-03-25","13.400000"
"2015-03-26","13.380000"
"2015-03-27","13.560000"
"2015-03-30","13.680000"
"2015-03-31","13.690000"
"2015-04-01","13.690000"
"2015-04-02","14.040000"
"2015-04-06","14.180000"
"2015-04-07","14.150000"
"2015-04-08","14.130000"
"2015-04-09","14.060000"
"2015-04-10","14.040000"
"2015-04-13","13.890000"
"2015-04-14","13.860000"
"2015-04-15","14.160000"
"2015-04-16","13.830000"
"2015-04-17","13.620000"
"2015-04-20","13.950000"
"2015-04-21","13.790000"
"2015-04-22","13.840000"
"2015-04-23","13.740000"
"2015-04-24","13.620000"
"2015-04-27","13.470000"
"2015-04-28","14.040000"
"2015-04-29","13.500000"
"2015-04-30","13.310000"
"2015-05-01","13.410000"
"2015-05-04","13.290000"
"2015-05-05","13.290000"
"2015-05-06","13.220000"
"2015-05-07","13.400000"
"2015-05-08","13.350000"
"2015-05-11","13.350000"
"2015-05-12","13.550000"
"2015-05-13","13.640000"
"2015-05-14","13.770000"
"2015-05-15","13.630000"
"2015-05-18","13.660000"
"2015-05-19","13.680000"
"2015-05-20","13.750000"
"2015-05-21","13.830000"
"2015-05-22","13.740000"
"2015-05-26","13.620000"
"2015-05-27","13.970000"
"2015-05-28","14.010000"
"2015-05-29","13.930000"
"2015-06-01","14.440000"
"2015-06-02","14.140000"
"2015-06-03","14.330000"
"2015-06-04","14.340000"
"2015-06-05","14.520000"
"2015-06-08","14.260000"
"2015-06-09","14.270000"
"2015-06-10","14.560000"
"2015-06-11","14.470000"
"2015-06-12","14.360000"
"2015-06-15","14.420000"
"2015-06-16","14.690000"
"2015-06-17","14.720000"
"2015-06-18","14.840000"
"2015-06-19","14.640000"
"2015-06-22","14.720000"
"2015-06-23","14.860000"
"2015-06-24","14.910000"
"2015-06-25","15.020000"
"2015-06-26","14.850000"
"2015-06-29","14.540000"
"2015-06-30","14.570000"
"2015-07-01","14.210000"
"2015-07-02","14.020000"
"2015-07-06","13.850000"
"2015-07-07","13.750000"
"2015-07-08","13.540000"
"2015-07-09","13.570000"
"2015-07-10","13.750000"
"2015-07-13","13.900000"
"2015-07-14","13.900000"
"2015-07-15","14.230000"
"2015-07-16","14.170000"
"2015-07-17","13.950000"
"2015-07-20","13.740000"
"2015-07-21","13.620000"
"2015-07-22","13.500000"
"2015-07-23","13.370000"
"2015-07-24","13.210000"
"2015-07-27","13.200000"
"2015-07-28","13.270000"
"2015-07-29","13.410000"
"2015-07-30","14.730000"
"2015-07-31","14.820000"
"2015-08-03","14.710000"
"2015-08-04","14.500000"
"2015-08-05","14.670000"
"2015-08-06","14.720000"
"2015-08-07","14.680000"
"2015-08-10","14.750000"
"2015-08-11","14.700000"
"2015-08-12","14.680000"
"2015-08-13","14.440000"
"2015-08-14","14.450000"
"2015-08-17","14.710000"
"2015-08-18","14.470000"
"2015-08-19","14.330000"
"2015-08-20","13.820000"
"2015-08-21","13.720000"
"2015-08-24","13.260000"
