"date, price"
"2014-12-04","2.292500"
"2014-12-05","2.262500"
"2014-12-08","2.307500"
"2014-12-09","2.195000"
"2014-12-10","2.247500"
"2014-12-11","2.247500"
"2014-12-12","2.190000"
"2014-12-15","2.180000"
"2014-12-16","2.115000"
"2014-12-17","2.115000"
"2014-12-18","2.220000"
"2014-12-19","2.205000"
"2014-12-22","2.237500"
"2014-12-23","2.237500"
"2014-12-24","2.200000"
"2014-12-26","2.200000"
"2014-12-29","2.200000"
"2014-12-30","2.200000"
"2014-12-31","2.177500"
"2015-01-02","2.237500"
"2015-01-05","2.237500"
"2015-01-06","2.237500"
"2015-01-07","2.237500"
"2015-01-08","2.237500"
"2015-01-09","2.242500"
"2015-01-12","2.275000"
"2015-01-13","2.207500"
"2015-01-14","2.215000"
"2015-01-15","2.215000"
"2015-01-16","2.180000"
"2015-01-20","2.187500"
"2015-01-21","2.187500"
"2015-01-22","2.155000"
"2015-01-23","2.085000"
"2015-01-26","2.085000"
"2015-01-27","2.085000"
"2015-01-28","2.085000"
"2015-01-29","2.085000"
"2015-01-30","2.085000"
"2015-02-02","2.085000"
"2015-02-03","2.135000"
"2015-02-04","2.135000"
"2015-02-05","2.135000"
"2015-02-06","2.120000"
"2015-02-09","2.100000"
"2015-02-10","2.100000"
"2015-02-11","2.202500"
"2015-02-12","2.275000"
"2015-02-13","2.275000"
"2015-02-17","2.205000"
"2015-02-18","2.207500"
"2015-02-19","2.227500"
"2015-02-20","2.185000"
"2015-02-23","2.185000"
"2015-02-24","2.180000"
"2015-02-25","2.140000"
"2015-02-26","2.135000"
"2015-02-27","2.130000"
"2015-03-02","2.072500"
"2015-03-03","2.090000"
"2015-03-04","2.090000"
"2015-03-05","2.057500"
"2015-03-06","2.050000"
"2015-03-09","2.050000"
"2015-03-10","2.050000"
"2015-03-11","2.050000"
"2015-03-12","2.005000"
"2015-03-13","1.985000"
"2015-03-16","2.000000"
"2015-03-17","1.975000"
"2015-03-18","1.975000"
"2015-03-19","1.967500"
"2015-03-20","2.175000"
"2015-03-23","2.192500"
"2015-03-24","2.142500"
"2015-03-25","2.102500"
"2015-03-26","2.102500"
"2015-03-27","2.002500"
"2015-03-30","2.002500"
"2015-03-31","1.997500"
"2015-04-01","1.997500"
"2015-04-02","2.010000"
"2015-04-06","2.010000"
"2015-04-07","2.032500"
"2015-04-08","1.985000"
"2015-04-09","1.985000"
"2015-04-10","1.985000"
"2015-04-13","1.967500"
"2015-04-14","1.967500"
"2015-04-15","1.967500"
"2015-04-16","2.045000"
"2015-04-17","2.045000"
"2015-04-20","2.045000"
"2015-04-21","2.045000"
"2015-04-22","2.045000"
"2015-04-23","2.045000"
"2015-04-24","2.045000"
"2015-04-27","2.097500"
"2015-04-28","2.080000"
"2015-04-29","2.052500"
"2015-04-30","2.052500"
"2015-05-01","2.052500"
"2015-05-04","2.052500"
"2015-05-05","2.075000"
"2015-05-06","2.075000"
"2015-05-07","2.075000"
"2015-05-08","2.075000"
"2015-05-11","2.145000"
"2015-05-12","2.145000"
"2015-05-13","2.250000"
"2015-05-14","2.247500"
"2015-05-15","2.245000"
"2015-05-18","2.227500"
"2015-05-19","2.212500"
"2015-05-20","2.212500"
"2015-05-21","2.255000"
"2015-05-22","2.197500"
"2015-05-26","2.125000"
"2015-05-27","2.125000"
"2015-05-28","2.047500"
"2015-05-29","2.037500"
"2015-06-01","2.037500"
"2015-06-02","2.045000"
"2015-06-03","2.062500"
"2015-06-04","2.062500"
"2015-06-05","2.017500"
"2015-06-08","2.067500"
"2015-06-09","2.067500"
"2015-06-10","2.067500"
"2015-06-11","2.067500"
"2015-06-12","2.067500"
"2015-06-15","2.067500"
"2015-06-16","2.022500"
"2015-06-17","1.975000"
"2015-06-18","1.975000"
"2015-06-19","1.975000"
"2015-06-22","2.037500"
"2015-06-23","2.037500"
"2015-06-24","1.980000"
"2015-06-25","1.980000"
"2015-06-26","1.995000"
"2015-06-29","1.987500"
"2015-06-30","1.567500"
"2015-07-01","1.822500"
"2015-07-02","1.810000"
"2015-07-06","1.812500"
"2015-07-07","1.797500"
"2015-07-08","1.797500"
"2015-07-09","1.797500"
"2015-07-10","1.797500"
"2015-07-13","1.807500"
"2015-07-14","1.807500"
"2015-07-15","1.807500"
"2015-07-16","1.877500"
"2015-07-17","1.877500"
"2015-07-20","1.857500"
"2015-07-21","1.825000"
"2015-07-22","1.815000"
"2015-07-23","1.815000"
"2015-07-24","1.817500"
"2015-07-27","1.850000"
"2015-07-28","1.855000"
"2015-07-29","1.855000"
"2015-07-30","1.855000"
"2015-07-31","1.855000"
"2015-08-03","1.855000"
"2015-08-04","1.902500"
"2015-08-05","1.902500"
