"date, price"
"2014-12-04","28.270000"
"2014-12-05","28.600000"
"2014-12-08","28.219999"
"2014-12-09","28.410000"
"2014-12-10","27.940001"
"2014-12-11","28.250000"
"2014-12-12","27.799999"
"2014-12-15","26.660000"
"2014-12-16","26.379999"
"2014-12-17","27.420000"
"2014-12-18","27.830000"
"2014-12-19","27.980000"
"2014-12-22","28.440001"
"2014-12-23","28.480000"
"2014-12-24","28.690001"
"2014-12-26","28.680000"
"2014-12-29","29.100000"
"2014-12-30","29.010000"
"2014-12-31","28.709999"
"2015-01-02","28.070000"
"2015-01-05","28.639999"
"2015-01-06","28.770000"
"2015-01-07","29.040001"
"2015-01-08","29.670000"
"2015-01-09","29.580000"
"2015-01-12","29.700001"
"2015-01-13","29.990000"
"2015-01-14","30.010000"
"2015-01-15","29.840000"
"2015-01-16","30.900000"
"2015-01-20","30.270000"
"2015-01-21","30.370001"
"2015-01-22","30.590000"
"2015-01-23","30.430000"
"2015-01-26","30.430000"
"2015-01-27","30.760000"
"2015-01-28","30.260000"
"2015-01-29","30.760000"
"2015-01-30","29.379999"
"2015-02-02","29.940001"
"2015-02-03","30.959999"
"2015-02-04","30.730000"
"2015-02-05","31.200001"
"2015-02-06","31.559999"
"2015-02-09","30.889999"
"2015-02-10","30.930000"
"2015-02-11","31.160000"
"2015-02-12","31.389999"
"2015-02-13","31.340000"
"2015-02-17","31.670000"
"2015-02-18","32.029999"
"2015-02-19","32.250000"
"2015-02-20","32.200001"
"2015-02-23","32.070000"
"2015-02-24","33.730000"
"2015-02-25","35.000000"
"2015-02-26","35.599998"
"2015-02-27","34.900002"
"2015-03-02","34.990002"
"2015-03-03","34.919998"
"2015-03-04","35.049999"
"2015-03-05","35.049999"
"2015-03-06","34.759998"
"2015-03-09","35.060001"
"2015-03-10","34.669998"
"2015-03-11","34.830002"
"2015-03-12","35.700001"
"2015-03-13","35.320000"
"2015-03-16","35.590000"
"2015-03-17","35.320000"
"2015-03-18","35.669998"
"2015-03-19","36.169998"
"2015-03-20","37.189999"
"2015-03-23","37.419998"
"2015-03-24","37.430000"
"2015-03-25","36.709999"
"2015-03-26","36.790001"
"2015-03-27","36.490002"
"2015-03-30","37.180000"
"2015-03-31","37.200001"
"2015-04-01","36.509998"
"2015-04-02","35.990002"
"2015-04-06","35.639999"
"2015-04-07","35.490002"
"2015-04-08","35.549999"
"2015-04-09","34.730000"
"2015-04-10","34.209999"
"2015-04-13","33.380001"
"2015-04-14","34.369999"
"2015-04-15","34.330002"
"2015-04-16","34.360001"
"2015-04-17","33.290001"
"2015-04-20","33.660000"
"2015-04-21","33.250000"
"2015-04-22","33.139999"
"2015-04-23","33.650002"
"2015-04-24","33.660000"
"2015-04-27","33.900002"
"2015-04-28","34.150002"
"2015-04-29","34.189999"
"2015-04-30","34.430000"
"2015-05-01","34.389999"
