"date, price"
"2014-12-04","89.550003"
"2014-12-05","91.349998"
"2014-12-08","90.309998"
"2014-12-09","90.699997"
"2014-12-10","87.779999"
"2014-12-11","87.320000"
"2014-12-12","87.529999"
"2014-12-15","87.330002"
"2014-12-16","86.040001"
"2014-12-17","86.860001"
"2014-12-18","87.790001"
"2014-12-19","88.059998"
"2014-12-22","89.330002"
"2014-12-23","88.919998"
"2014-12-24","89.010002"
"2014-12-26","89.309998"
"2014-12-29","88.199997"
"2014-12-30","85.970001"
"2014-12-31","85.360001"
"2015-01-02","85.760002"
"2015-01-05","84.199997"
"2015-01-06","84.169998"
"2015-01-07","84.169998"
"2015-01-08","87.889999"
"2015-01-09","87.550003"
"2015-01-12","85.169998"
"2015-01-13","85.019997"
"2015-01-14","85.389999"
"2015-01-15","82.529999"
"2015-01-16","83.480003"
"2015-01-20","83.940002"
"2015-01-21","84.080002"
"2015-01-22","85.709999"
"2015-01-23","87.440002"
"2015-01-26","87.290001"
"2015-01-27","86.680000"
"2015-01-28","85.870003"
"2015-01-29","86.570000"
"2015-01-30","85.930000"
"2015-02-02","86.220001"
"2015-02-03","87.820000"
"2015-02-04","87.870003"
"2015-02-05","88.000000"
"2015-02-06","77.870003"
"2015-02-09","78.199997"
"2015-02-10","78.190002"
"2015-02-11","78.220001"
"2015-02-12","89.570000"
"2015-02-13","89.489998"
"2015-02-17","88.690002"
"2015-02-18","89.160004"
"2015-02-19","91.300003"
"2015-02-20","92.300003"
"2015-02-23","94.750000"
"2015-02-24","94.180000"
"2015-02-25","94.610001"
"2015-02-26","93.250000"
"2015-02-27","91.750000"
"2015-03-02","92.180000"
"2015-03-03","91.019997"
"2015-03-04","89.870003"
"2015-03-05","91.379997"
"2015-03-06","90.250000"
"2015-03-09","90.550003"
"2015-03-10","89.349998"
"2015-03-11","88.949997"
"2015-03-12","91.389999"
"2015-03-13","91.349998"
"2015-03-16","92.970001"
"2015-03-17","92.330002"
"2015-03-18","94.040001"
"2015-03-19","94.680000"
"2015-03-20","95.910004"
"2015-03-23","95.400002"
"2015-03-24","95.470001"
"2015-03-25","93.949997"
"2015-03-26","92.760002"
"2015-03-27","93.680000"
"2015-03-30","94.190002"
"2015-03-31","94.129997"
"2015-04-01","94.169998"
"2015-04-02","97.980003"
"2015-04-06","98.580002"
"2015-04-07","98.470001"
"2015-04-08","98.650002"
"2015-04-09","97.820000"
"2015-04-10","99.199997"
"2015-04-13","98.760002"
"2015-04-14","98.089996"
"2015-04-15","97.959999"
"2015-04-16","97.169998"
"2015-04-17","96.099998"
"2015-04-20","97.400002"
"2015-04-21","98.309998"
"2015-04-22","99.470001"
"2015-04-23","98.919998"
"2015-04-24","98.900002"
"2015-04-27","98.820000"
"2015-04-28","97.800003"
"2015-04-29","96.260002"
"2015-04-30","94.230003"
"2015-05-01","101.690002"
"2015-05-04","100.900002"
"2015-05-05","98.769997"
"2015-05-06","99.099998"
"2015-05-07","100.970001"
"2015-05-08","102.760002"
"2015-05-11","103.809998"
"2015-05-12","103.220001"
"2015-05-13","101.989998"
"2015-05-14","104.139999"
"2015-05-15","103.410004"
"2015-05-18","103.449997"
"2015-05-19","103.720001"
"2015-05-20","105.500000"
"2015-05-21","105.889999"
"2015-05-22","113.000000"
"2015-05-26","110.639999"
"2015-05-27","110.930000"
"2015-05-28","109.239998"
"2015-05-29","107.260002"
"2015-06-01","107.449997"
"2015-06-02","107.629997"
"2015-06-03","106.610001"
"2015-06-04","105.639999"
"2015-06-05","106.400002"
"2015-06-08","104.790001"
"2015-06-09","105.019997"
"2015-06-10","108.169998"
"2015-06-11","107.870003"
"2015-06-12","107.690002"
"2015-06-15","107.220001"
"2015-06-16","107.949997"
"2015-06-17","107.889999"
"2015-06-18","109.680000"
"2015-06-19","108.680000"
"2015-06-22","109.500000"
"2015-06-23","109.830002"
"2015-06-24","108.980003"
"2015-06-25","109.269997"
"2015-06-26","110.709999"
"2015-06-29","106.949997"
"2015-06-30","109.349998"
"2015-07-01","107.190002"
"2015-07-02","107.070000"
"2015-07-06","106.510002"
"2015-07-07","107.059998"
"2015-07-08","104.870003"
"2015-07-09","104.550003"
"2015-07-10","107.970001"
"2015-07-13","111.120003"
"2015-07-14","107.260002"
"2015-07-15","107.449997"
"2015-07-16","110.050003"
"2015-07-17","110.790001"
"2015-07-20","109.559998"
"2015-07-21","110.089996"
"2015-07-22","110.660004"
"2015-07-23","109.519997"
"2015-07-24","105.699997"
"2015-07-27","104.919998"
"2015-07-28","107.169998"
"2015-07-29","106.870003"
"2015-07-30","107.610001"
"2015-07-31","121.440002"
"2015-08-03","122.589996"
"2015-08-04","124.559998"
"2015-08-05","126.790001"
"2015-08-06","121.599998"
"2015-08-07","121.040001"
"2015-08-10","121.489998"
"2015-08-11","121.129997"
"2015-08-12","120.779999"
"2015-08-13","120.660004"
"2015-08-14","121.650002"
"2015-08-17","123.010002"
"2015-08-18","123.320000"
"2015-08-19","123.139999"
"2015-08-20","118.699997"
"2015-08-21","114.510002"
"2015-08-24","108.339996"
"2015-08-25","108.419998"
"2015-08-26","115.239998"
