"date, price"
"2014-12-04","19.434999"
"2014-12-05","19.629999"
"2014-12-08","19.387501"
"2014-12-09","19.932501"
"2014-12-10","19.590000"
"2014-12-11","19.825001"
"2014-12-12","19.459999"
"2014-12-15","19.424999"
"2014-12-16","19.702499"
"2014-12-17","20.412500"
"2014-12-18","20.745001"
"2014-12-19","20.472500"
"2014-12-22","20.532499"
"2014-12-23","20.662500"
"2014-12-24","20.467501"
"2014-12-26","20.735001"
"2014-12-29","20.797501"
"2014-12-30","20.639999"
"2014-12-31","20.625000"
"2015-01-02","20.272499"
"2015-01-05","20.147499"
"2015-01-06","19.870001"
"2015-01-07","20.190001"
"2015-01-08","20.495001"
"2015-01-09","20.222500"
"2015-01-12","20.165001"
"2015-01-13","20.680000"
"2015-01-14","20.495001"
"2015-01-15","20.485001"
"2015-01-16","20.602501"
"2015-01-20","20.117500"
"2015-01-21","20.237499"
"2015-01-22","20.687500"
"2015-01-23","20.635000"
"2015-01-26","20.650000"
"2015-01-27","20.620001"
"2015-01-28","20.285000"
"2015-01-29","20.687500"
"2015-01-30","20.035000"
"2015-02-02","20.240000"
"2015-02-03","20.762501"
"2015-02-04","20.760000"
"2015-02-05","22.525000"
"2015-02-06","22.642500"
"2015-02-09","22.202499"
"2015-02-10","21.975000"
"2015-02-11","21.902500"
"2015-02-12","22.112499"
"2015-02-13","22.097500"
"2015-02-17","22.162500"
"2015-02-18","22.584999"
"2015-02-19","22.347500"
"2015-02-20","22.014999"
"2015-02-23","21.847500"
"2015-02-24","21.805000"
"2015-02-25","21.737499"
"2015-02-26","21.745001"
"2015-02-27","21.632500"
"2015-03-02","21.945000"
"2015-03-03","21.807501"
"2015-03-04","21.594999"
"2015-03-05","21.639999"
"2015-03-06","21.222500"
"2015-03-09","21.754999"
"2015-03-10","21.427500"
"2015-03-11","21.602501"
"2015-03-12","22.254999"
"2015-03-13","21.892500"
"2015-03-16","22.052500"
"2015-03-17","22.270000"
"2015-03-18","22.129999"
"2015-03-19","21.940001"
"2015-03-20","22.127501"
"2015-03-23","22.097500"
"2015-03-24","22.377501"
"2015-03-25","21.922501"
"2015-03-26","21.860001"
"2015-03-27","22.237499"
"2015-03-30","22.254999"
"2015-03-31","22.225000"
"2015-04-01","22.037500"
"2015-04-02","22.270000"
"2015-04-06","22.385000"
"2015-04-07","22.257500"
"2015-04-08","22.392500"
"2015-04-09","22.292500"
"2015-04-10","22.437500"
"2015-04-13","22.400000"
"2015-04-14","22.407499"
"2015-04-15","22.495001"
"2015-04-16","22.317499"
"2015-04-17","21.865000"
"2015-04-20","22.385000"
"2015-04-21","22.277500"
"2015-04-22","22.280001"
"2015-04-23","23.822500"
"2015-04-24","23.840000"
"2015-04-27","23.427500"
"2015-04-28","23.549999"
"2015-04-29","23.022499"
"2015-04-30","22.152500"
"2015-05-01","22.082500"
"2015-05-04","22.145000"
"2015-05-05","21.764999"
"2015-05-06","21.855000"
"2015-05-07","21.900000"
"2015-05-08","21.620001"
"2015-05-11","21.709999"
"2015-05-12","21.557501"
"2015-05-13","21.615000"
"2015-05-14","21.452499"
"2015-05-15","21.337500"
"2015-05-18","21.312500"
"2015-05-19","21.670000"
"2015-05-20","21.707500"
"2015-05-21","21.537500"
"2015-05-22","21.559999"
"2015-05-26","21.477501"
"2015-05-27","21.275000"
"2015-05-28","21.250000"
"2015-05-29","21.280001"
"2015-06-01","21.232500"
"2015-06-02","21.242500"
"2015-06-03","21.367500"
"2015-06-04","21.174999"
"2015-06-05","21.709999"
"2015-06-08","21.575001"
"2015-06-09","21.480000"
"2015-06-10","21.570000"
"2015-06-11","21.480000"
"2015-06-12","21.299999"
"2015-06-15","20.885000"
"2015-06-16","21.379999"
"2015-06-17","21.350000"
"2015-06-18","21.695000"
"2015-06-19","21.879999"
"2015-06-22","22.105000"
"2015-06-23","22.315001"
"2015-06-24","22.250000"
"2015-06-25","22.305000"
"2015-06-26","22.500000"
"2015-06-29","22.145000"
"2015-06-30","22.389999"
"2015-07-01","22.455000"
"2015-07-02","22.480000"
"2015-07-06","22.620001"
"2015-07-07","22.629999"
"2015-07-08","22.575001"
"2015-07-09","22.715000"
"2015-07-10","23.270000"
"2015-07-13","23.240000"
"2015-07-14","23.180000"
"2015-07-15","22.969999"
"2015-07-16","23.184999"
"2015-07-17","23.010000"
"2015-07-20","22.799999"
"2015-07-21","22.610001"
"2015-07-22","22.660000"
"2015-07-23","22.174999"
"2015-07-24","21.940001"
"2015-07-27","22.115000"
"2015-07-28","22.125000"
"2015-07-29","22.195000"
"2015-07-30","22.165001"
"2015-07-31","22.245001"
"2015-08-03","22.090000"
"2015-08-04","22.059999"
"2015-08-05","22.150000"
"2015-08-06","21.905001"
"2015-08-07","21.795000"
"2015-08-10","21.764999"
"2015-08-11","21.530001"
"2015-08-12","21.889999"
"2015-08-13","21.709999"
"2015-08-14","21.889999"
"2015-08-17","22.084999"
"2015-08-18","21.924999"
"2015-08-19","21.695000"
"2015-08-20","21.434999"
"2015-08-21","21.415001"
"2015-08-24","20.645000"
"2015-08-25","20.540001"
"2015-08-26","21.045000"
"2015-08-27","21.219999"
"2015-08-28","21.355000"
