"date, price"
"2014-12-04","23.320000"
"2014-12-05","23.629999"
"2014-12-08","23.309999"
"2014-12-09","23.285000"
"2014-12-10","23.020000"
"2014-12-11","23.219999"
"2014-12-12","22.780001"
"2014-12-15","22.625000"
"2014-12-16","22.504999"
"2014-12-17","22.690001"
"2014-12-18","23.290001"
"2014-12-19","23.655001"
"2014-12-22","23.850000"
"2014-12-23","23.860001"
"2014-12-24","23.934999"
"2014-12-26","23.900000"
"2014-12-29","24.105000"
"2014-12-30","24.059999"
"2014-12-31","23.780001"
"2015-01-02","23.700001"
"2015-01-05","23.295000"
"2015-01-06","22.895000"
"2015-01-07","22.745001"
"2015-01-08","23.260000"
"2015-01-09","22.995001"
"2015-01-12","22.830000"
"2015-01-13","22.940001"
"2015-01-14","22.465000"
"2015-01-15","21.995001"
"2015-01-16","22.625000"
"2015-01-20","22.700001"
"2015-01-21","22.934999"
"2015-01-22","23.225000"
"2015-01-23","23.145000"
"2015-01-26","23.049999"
"2015-01-27","22.700001"
"2015-01-28","22.365000"
"2015-01-29","22.495001"
"2015-01-30","22.200001"
"2015-02-02","22.485001"
"2015-02-03","22.889999"
"2015-02-04","21.110001"
"2015-02-05","21.030001"
"2015-02-06","21.170000"
"2015-02-09","21.129999"
"2015-02-10","21.254999"
"2015-02-11","21.100000"
"2015-02-12","21.120001"
"2015-02-13","21.250000"
"2015-02-17","21.305000"
"2015-02-18","21.530001"
"2015-02-19","21.480000"
"2015-02-20","21.385000"
"2015-02-23","21.105000"
"2015-02-24","21.049999"
"2015-02-25","21.215000"
"2015-02-26","21.105000"
"2015-02-27","20.775000"
"2015-03-02","20.750000"
"2015-03-03","20.549999"
"2015-03-04","19.910000"
"2015-03-05","20.309999"
"2015-03-06","20.275000"
"2015-03-09","20.434999"
"2015-03-10","20.299999"
"2015-03-11","20.209999"
"2015-03-12","20.500000"
"2015-03-13","20.415001"
"2015-03-16","20.680000"
"2015-03-17","21.295000"
"2015-03-18","21.424999"
"2015-03-19","21.235001"
"2015-03-20","21.150000"
"2015-03-23","21.110001"
"2015-03-24","21.195000"
"2015-03-25","20.945000"
"2015-03-26","20.730000"
"2015-03-27","20.584999"
"2015-03-30","20.900000"
"2015-03-31","20.719999"
"2015-04-01","20.620001"
"2015-04-02","20.525000"
"2015-04-06","20.565001"
"2015-04-07","20.174999"
"2015-04-08","20.230000"
"2015-04-09","20.190001"
"2015-04-10","20.004999"
"2015-04-13","20.010000"
"2015-04-14","20.900000"
"2015-04-15","20.680000"
"2015-04-16","20.510000"
"2015-04-17","20.270000"
"2015-04-20","20.400000"
"2015-04-21","20.629999"
"2015-04-22","20.790001"
"2015-04-23","21.035000"
"2015-04-24","20.815001"
"2015-04-27","21.205000"
"2015-04-28","21.365000"
"2015-04-29","21.535000"
"2015-04-30","21.309999"
"2015-05-01","21.420000"
"2015-05-04","21.575001"
"2015-05-05","20.820000"
"2015-05-06","20.844999"
"2015-05-07","21.010000"
"2015-05-08","21.360001"
"2015-05-11","21.235001"
"2015-05-12","21.504999"
"2015-05-13","21.415001"
"2015-05-14","21.635000"
"2015-05-15","21.389999"
"2015-05-18","21.334999"
"2015-05-19","21.260000"
"2015-05-20","21.285000"
"2015-05-21","21.344999"
"2015-05-22","21.200001"
"2015-05-26","21.184999"
"2015-05-27","21.309999"
"2015-05-28","21.275000"
"2015-05-29","20.754999"
"2015-06-01","20.840000"
"2015-06-02","21.059999"
"2015-06-03","21.264999"
"2015-06-04","21.070000"
"2015-06-05","20.945000"
"2015-06-08","20.760000"
"2015-06-09","20.840000"
"2015-06-10","21.084999"
"2015-06-11","21.170000"
"2015-06-12","21.014999"
"2015-06-15","20.940001"
"2015-06-16","21.075001"
"2015-06-17","21.350000"
"2015-06-18","21.705000"
"2015-06-19","21.490000"
"2015-06-22","21.680000"
"2015-06-23","21.620001"
"2015-06-24","21.525000"
"2015-06-25","21.370001"
"2015-06-26","21.549999"
"2015-06-29","21.105000"
"2015-06-30","21.090000"
"2015-07-01","21.084999"
"2015-07-02","21.049999"
"2015-07-06","21.020000"
"2015-07-07","21.370001"
"2015-07-08","21.004999"
"2015-07-09","21.000000"
"2015-07-10","21.165001"
"2015-07-13","21.410000"
"2015-07-14","20.555000"
"2015-07-15","20.745001"
"2015-07-16","20.965000"
"2015-07-17","20.930000"
"2015-07-20","21.094999"
"2015-07-21","20.719999"
"2015-07-22","20.330000"
"2015-07-23","20.200001"
"2015-07-24","20.030001"
"2015-07-27","20.049999"
"2015-07-28","20.424999"
"2015-07-29","20.610001"
"2015-07-30","20.445000"
"2015-07-31","20.930000"
"2015-08-03","20.705000"
"2015-08-04","20.670000"
"2015-08-05","20.440001"
"2015-08-06","20.059999"
"2015-08-07","20.000000"
"2015-08-10","20.285000"
"2015-08-11","19.885000"
"2015-08-12","20.230000"
"2015-08-13","20.025000"
"2015-08-14","20.105000"
"2015-08-17","20.180000"
"2015-08-18","20.360001"
"2015-08-19","20.170000"
"2015-08-20","19.690001"
"2015-08-21","19.590000"
"2015-08-24","18.700001"
"2015-08-25","18.500000"
"2015-08-26","19.040001"
"2015-08-27","19.490000"
"2015-08-28","19.344999"
"2015-08-31","19.270000"
"2015-09-01","18.725000"
"2015-09-02","19.165001"
"2015-09-03","18.820000"
"2015-09-04","18.750000"
"2015-09-08","19.420000"
"2015-09-09","19.180000"
"2015-09-10","19.309999"
"2015-09-11","19.334999"
"2015-09-14","19.105000"
"2015-09-15","19.340000"
"2015-09-16","19.450001"
"2015-09-17","19.184999"
"2015-09-18","18.590000"
"2015-09-21","18.590000"
"2015-09-22","18.305000"
"2015-09-23","18.235001"
"2015-09-24","18.340000"
"2015-09-25","18.355000"
"2015-09-28","18.065001"
"2015-09-29","18.245001"
"2015-09-30","18.305000"
"2015-10-01","17.750000"
"2015-10-02","17.990000"
"2015-10-05","18.405001"
"2015-10-06","18.530001"
"2015-10-07","19.020000"
"2015-10-08","19.514999"
"2015-10-09","19.490000"
"2015-10-12","19.405001"
"2015-10-13","18.975000"
"2015-10-14","18.930000"
"2015-10-15","19.055000"
"2015-10-16","18.745001"
"2015-10-19","18.520000"
"2015-10-20","18.525000"
"2015-10-21","18.455000"
"2015-10-22","19.260000"
"2015-10-23","19.375000"
"2015-10-26","19.240000"
"2015-10-27","19.160000"
"2015-10-28","19.510000"
"2015-10-29","19.520000"
"2015-10-30","19.580000"
"2015-11-02","20.125000"
"2015-11-03","20.264999"
"2015-11-04","20.110001"
"2015-11-05","20.615000"
"2015-11-06","20.540001"
"2015-11-09","20.290001"
"2015-11-10","20.230000"
"2015-11-11","20.105000"
"2015-11-12","19.325001"
"2015-11-13","19.299999"
"2015-11-16","19.584999"
"2015-11-17","19.424999"
"2015-11-18","19.844999"
"2015-11-19","19.730000"
"2015-11-20","19.855000"
"2015-11-23","19.860001"
"2015-11-24","19.905001"
"2015-11-25","20.035000"
"2015-11-27","20.165001"
"2015-11-30","20.290001"
"2015-12-01","20.459999"
"2015-12-02","20.070000"
"2015-12-03","19.719999"
"2015-12-04","20.070000"
"2015-12-07","20.415001"
"2015-12-08","20.100000"
"2015-12-09","20.110001"
"2015-12-10","20.075001"
"2015-12-11","19.735001"
"2015-12-14","19.950001"
"2015-12-15","19.915001"
"2015-12-16","20.145000"
"2015-12-17","19.995001"
"2015-12-18","19.545000"
"2015-12-21","19.420000"
"2015-12-22","20.040001"
"2015-12-23","20.629999"
"2015-12-24","20.754999"
"2015-12-28","20.700001"
"2015-12-29","20.820000"
"2015-12-30","20.754999"
"2015-12-31","20.410000"
"2016-01-04","20.094999"
"2016-01-05","19.875000"
"2016-01-06","19.930000"
"2016-01-07","19.525000"
"2016-01-08","19.400000"
"2016-01-11","19.445000"
"2016-01-12","19.715000"
"2016-01-13","19.385000"
"2016-01-14","19.625000"
"2016-01-15","18.834999"
"2016-01-19","18.385000"
"2016-01-20","18.264999"
"2016-01-21","18.570000"
"2016-01-22","18.990000"
"2016-01-25","18.410000"
"2016-01-26","19.010000"
"2016-01-27","19.020000"
"2016-01-28","19.670000"
"2016-01-29","20.280001"
"2016-02-01","20.219999"
"2016-02-02","19.565001"
"2016-02-03","19.815001"
"2016-02-04","21.764999"
"2016-02-05","21.629999"
"2016-02-08","21.830000"
"2016-02-09","21.680000"
"2016-02-10","21.135000"
"2016-02-11","21.004999"
"2016-02-12","21.520000"
"2016-02-16","21.840000"
"2016-02-17","22.209999"
"2016-02-18","22.280001"
"2016-02-19","22.325001"
"2016-02-22","22.680000"
