"date, price"
"2014-12-04","11.270000"
"2014-12-05","11.290000"
"2014-12-08","10.980000"
"2014-12-09","11.100000"
"2014-12-10","10.900000"
"2014-12-11","10.850000"
"2014-12-12","10.620000"
"2014-12-15","10.780000"
"2014-12-16","10.770000"
"2014-12-17","10.680000"
"2014-12-18","10.950000"
"2014-12-19","11.020000"
"2014-12-22","11.130000"
"2014-12-23","11.140000"
"2014-12-24","11.250000"
"2014-12-26","11.320000"
"2014-12-29","11.320000"
"2014-12-30","11.350000"
"2014-12-31","11.180000"
"2015-01-02","11.100000"
"2015-01-05","10.820000"
"2015-01-06","10.470000"
"2015-01-07","10.890000"
"2015-01-08","11.090000"
"2015-01-09","11.090000"
"2015-01-12","10.810000"
"2015-01-13","10.800000"
"2015-01-14","10.820000"
"2015-01-15","10.680000"
"2015-01-16","10.870000"
"2015-01-20","10.740000"
"2015-01-21","10.860000"
"2015-01-22","10.870000"
"2015-01-23","11.000000"
"2015-01-26","11.040000"
"2015-01-27","10.650000"
"2015-01-28","10.570000"
"2015-01-29","11.350000"
"2015-01-30","11.120000"
"2015-02-02","11.200000"
"2015-02-03","11.680000"
"2015-02-04","11.620000"
"2015-02-05","11.880000"
"2015-02-06","11.740000"
"2015-02-09","11.630000"
"2015-02-10","11.860000"
"2015-02-11","11.930000"
"2015-02-12","12.140000"
"2015-02-13","12.050000"
"2015-02-17","12.150000"
"2015-02-18","12.030000"
"2015-02-19","12.070000"
"2015-02-20","12.230000"
"2015-02-23","12.210000"
"2015-02-24","12.400000"
"2015-02-25","12.290000"
"2015-02-26","12.280000"
"2015-02-27","12.180000"
"2015-03-02","12.230000"
"2015-03-03","11.920000"
"2015-03-04","11.950000"
"2015-03-05","11.960000"
"2015-03-06","11.760000"
"2015-03-09","11.650000"
"2015-03-10","11.410000"
"2015-03-11","11.480000"
"2015-03-12","11.550000"
"2015-03-13","11.690000"
"2015-03-16","11.900000"
"2015-03-17","11.950000"
"2015-03-18","12.080000"
"2015-03-19","12.120000"
"2015-03-20","12.280000"
"2015-03-23","12.360000"
"2015-03-24","12.450000"
"2015-03-25","12.210000"
"2015-03-26","12.340000"
"2015-03-27","12.380000"
"2015-03-30","12.650000"
"2015-03-31","12.680000"
"2015-04-01","12.570000"
"2015-04-02","12.520000"
"2015-04-06","12.590000"
"2015-04-07","12.570000"
"2015-04-08","12.790000"
"2015-04-09","12.780000"
"2015-04-10","12.840000"
"2015-04-13","12.610000"
"2015-04-14","12.550000"
"2015-04-15","12.760000"
"2015-04-16","12.610000"
"2015-04-17","12.350000"
"2015-04-20","12.460000"
"2015-04-21","12.450000"
"2015-04-22","12.590000"
"2015-04-23","12.530000"
"2015-04-24","12.350000"
"2015-04-27","12.270000"
"2015-04-28","12.170000"
"2015-04-29","12.220000"
"2015-04-30","11.530000"
"2015-05-01","11.890000"
"2015-05-04","12.030000"
"2015-05-05","11.890000"
"2015-05-06","11.810000"
"2015-05-07","11.870000"
"2015-05-08","11.960000"
"2015-05-11","12.050000"
"2015-05-12","12.080000"
"2015-05-13","12.110000"
"2015-05-14","12.520000"
"2015-05-15","12.540000"
"2015-05-18","12.570000"
"2015-05-19","12.500000"
"2015-05-20","12.510000"
"2015-05-21","12.260000"
"2015-05-22","12.260000"
"2015-05-26","12.140000"
"2015-05-27","12.220000"
"2015-05-28","12.210000"
"2015-05-29","12.150000"
"2015-06-01","12.050000"
"2015-06-02","12.100000"
"2015-06-03","12.160000"
"2015-06-04","12.080000"
"2015-06-05","12.140000"
"2015-06-08","12.020000"
"2015-06-09","12.010000"
"2015-06-10","12.100000"
"2015-06-11","12.110000"
"2015-06-12","12.050000"
"2015-06-15","12.050000"
"2015-06-16","12.050000"
"2015-06-17","12.060000"
"2015-06-18","12.060000"
"2015-06-19","12.060000"
"2015-06-22","12.150000"
"2015-06-23","12.080000"
"2015-06-24","11.890000"
"2015-06-25","11.850000"
"2015-06-26","11.840000"
"2015-06-29","11.560000"
"2015-06-30","11.310000"
"2015-07-01","11.310000"
"2015-07-02","11.310000"
"2015-07-06","11.090000"
"2015-07-07","11.190000"
"2015-07-08","10.850000"
"2015-07-09","10.860000"
"2015-07-10","11.090000"
"2015-07-13","10.760000"
"2015-07-14","10.880000"
"2015-07-15","10.750000"
"2015-07-16","10.850000"
"2015-07-17","10.790000"
"2015-07-20","10.680000"
"2015-07-21","10.890000"
"2015-07-22","10.770000"
"2015-07-23","10.890000"
