"date, price"
"2014-12-04","27.629999"
"2014-12-05","27.860001"
"2014-12-08","27.770000"
"2014-12-09","27.840000"
"2014-12-10","27.680000"
"2014-12-11","28.360001"
"2014-12-12","28.100000"
"2014-12-15","28.160000"
"2014-12-16","27.990000"
"2014-12-17","28.480000"
"2014-12-18","29.629999"
"2014-12-19","30.100000"
"2014-12-22","30.629999"
"2014-12-23","30.910000"
"2014-12-24","31.190001"
"2014-12-26","31.309999"
"2014-12-29","31.150000"
"2014-12-30","31.000000"
"2014-12-31","30.660000"
"2015-01-02","30.790001"
"2015-01-05","30.520000"
"2015-01-06","29.950001"
"2015-01-07","30.379999"
"2015-01-08","31.209999"
"2015-01-09","31.070000"
"2015-01-12","30.840000"
"2015-01-13","30.900000"
"2015-01-14","30.920000"
"2015-01-15","30.270000"
"2015-01-16","30.920000"
"2015-01-20","31.040001"
"2015-01-21","31.190001"
"2015-01-22","31.430000"
"2015-01-23","31.930000"
"2015-01-26","32.450001"
"2015-01-27","32.450001"
"2015-01-28","31.400000"
"2015-01-29","29.219999"
"2015-01-30","29.900000"
"2015-02-02","30.030001"
"2015-02-03","30.520000"
"2015-02-04","31.030001"
"2015-02-05","31.730000"
"2015-02-06","31.809999"
"2015-02-09","31.490000"
"2015-02-10","32.240002"
"2015-02-11","32.779999"
"2015-02-12","32.980000"
"2015-02-13","33.230000"
"2015-02-17","33.000000"
"2015-02-18","33.290001"
"2015-02-19","33.500000"
"2015-02-20","33.840000"
"2015-02-23","33.320000"
"2015-02-24","33.720001"
"2015-02-25","34.240002"
"2015-02-26","34.049999"
"2015-02-27","33.610001"
"2015-03-02","34.099998"
"2015-03-03","34.029999"
"2015-03-04","33.689999"
"2015-03-05","34.240002"
"2015-03-06","33.599998"
"2015-03-09","33.730000"
"2015-03-10","32.900002"
"2015-03-11","33.380001"
"2015-03-12","33.950001"
"2015-03-13","33.189999"
"2015-03-16","34.099998"
"2015-03-17","34.259998"
"2015-03-18","34.849998"
"2015-03-19","35.480000"
"2015-03-20","35.310001"
"2015-03-23","34.590000"
"2015-03-24","34.150002"
"2015-03-25","33.099998"
"2015-03-26","33.639999"
"2015-03-27","34.580002"
"2015-03-30","35.169998"
"2015-03-31","34.950001"
"2015-04-01","34.060001"
"2015-04-02","34.389999"
"2015-04-06","34.400002"
"2015-04-07","34.549999"
"2015-04-08","34.490002"
"2015-04-09","35.230000"
"2015-04-10","35.619999"
"2015-04-13","34.259998"
"2015-04-14","34.169998"
"2015-04-15","34.840000"
"2015-04-16","34.560001"
"2015-04-17","33.720001"
"2015-04-20","34.630001"
"2015-04-21","38.080002"
"2015-04-22","38.070000"
"2015-04-23","38.720001"
"2015-04-24","38.680000"
"2015-04-27","38.200001"
"2015-04-28","38.560001"
"2015-04-29","38.419998"
"2015-04-30","37.740002"
"2015-05-01","38.380001"
"2015-05-04","38.730000"
"2015-05-05","37.840000"
"2015-05-06","37.939999"
"2015-05-07","38.400002"
"2015-05-08","39.009998"
"2015-05-11","38.970001"
"2015-05-12","38.650002"
"2015-05-13","38.439999"
"2015-05-14","38.849998"
"2015-05-15","38.639999"
"2015-05-18","39.540001"
"2015-05-19","39.119999"
"2015-05-20","38.790001"
"2015-05-21","38.790001"
"2015-05-22","39.290001"
"2015-05-26","39.290001"
"2015-05-27","39.430000"
"2015-05-28","40.180000"
"2015-05-29","40.060001"
"2015-06-01","39.860001"
"2015-06-02","39.730000"
"2015-06-03","40.080002"
"2015-06-04","39.500000"
"2015-06-05","41.040001"
"2015-06-08","40.580002"
"2015-06-09","40.759998"
"2015-06-10","41.200001"
"2015-06-11","41.000000"
"2015-06-12","41.220001"
"2015-06-15","41.070000"
"2015-06-16","42.480000"
"2015-06-17","42.889999"
"2015-06-18","43.740002"
"2015-06-19","43.119999"
"2015-06-22","43.549999"
"2015-06-23","43.209999"
"2015-06-24","41.709999"
"2015-06-25","41.970001"
"2015-06-26","41.720001"
"2015-06-29","40.599998"
"2015-06-30","41.330002"
"2015-07-01","41.279999"
"2015-07-02","41.230000"
"2015-07-06","39.970001"
"2015-07-07","40.610001"
"2015-07-08","40.570000"
"2015-07-09","41.380001"
"2015-07-10","41.450001"
"2015-07-13","41.509998"
"2015-07-14","42.610001"
"2015-07-15","42.139999"
"2015-07-16","42.759998"
"2015-07-17","42.410000"
"2015-07-20","42.400002"
"2015-07-21","42.959999"
"2015-07-22","42.299999"
"2015-07-23","46.830002"
"2015-07-24","47.990002"
"2015-07-27","47.099998"
"2015-07-28","47.119999"
"2015-07-29","47.360001"
"2015-07-30","47.580002"
"2015-07-31","47.740002"
"2015-08-03","47.650002"
"2015-08-04","47.680000"
"2015-08-05","48.830002"
"2015-08-06","46.639999"
"2015-08-07","46.900002"
"2015-08-10","47.540001"
"2015-08-11","46.930000"
"2015-08-12","46.480000"
"2015-08-13","46.500000"
"2015-08-14","46.720001"
"2015-08-17","47.849998"
"2015-08-18","47.750000"
"2015-08-19","47.340000"
"2015-08-20","44.610001"
"2015-08-21","42.860001"
"2015-08-24","40.919998"
"2015-08-25","40.639999"
"2015-08-26","42.540001"
"2015-08-27","42.660000"
"2015-08-28","42.959999"
"2015-08-31","42.139999"
"2015-09-01","40.860001"
"2015-09-02","41.910000"
"2015-09-03","42.150002"
"2015-09-04","41.750000"
"2015-09-08","43.299999"
"2015-09-09","43.009998"
"2015-09-10","44.060001"
"2015-09-11","44.330002"
"2015-09-14","43.970001"
"2015-09-15","44.730000"
"2015-09-16","44.900002"
"2015-09-17","45.180000"
"2015-09-18","44.799999"
"2015-09-21","45.599998"
"2015-09-22","45.389999"
"2015-09-23","45.990002"
"2015-09-24","45.900002"
"2015-09-25","45.110001"
"2015-09-28","42.830002"
"2015-09-29","42.240002"
"2015-09-30","42.480000"
"2015-10-01","43.040001"
"2015-10-02","43.680000"
"2015-10-05","44.189999"
"2015-10-06","43.450001"
"2015-10-07","43.049999"
"2015-10-08","42.790001"
"2015-10-09","43.000000"
"2015-10-12","42.799999"
"2015-10-13","41.599998"
"2015-10-14","41.869999"
"2015-10-15","43.240002"
"2015-10-16","43.490002"
"2015-10-19","43.680000"
"2015-10-20","43.389999"
"2015-10-21","41.910000"
"2015-10-22","43.240002"
"2015-10-23","34.910000"
"2015-10-26","34.730000"
"2015-10-27","33.820000"
"2015-10-28","34.970001"
"2015-10-29","34.060001"
"2015-10-30","34.360001"
"2015-11-02","34.770000"
"2015-11-03","34.660000"
"2015-11-04","35.099998"
"2015-11-05","33.310001"
"2015-11-06","34.049999"
"2015-11-09","33.439999"
"2015-11-10","33.380001"
"2015-11-11","32.919998"
"2015-11-12","33.270000"
"2015-11-13","33.169998"
"2015-11-16","33.400002"
"2015-11-17","33.410000"
"2015-11-18","34.040001"
"2015-11-19","34.419998"
"2015-11-20","34.750000"
"2015-11-23","35.040001"
"2015-11-24","35.750000"
"2015-11-25","36.759998"
"2015-11-27","36.689999"
"2015-11-30","36.020000"
"2015-12-01","36.099998"
"2015-12-02","35.900002"
"2015-12-03","34.700001"
"2015-12-04","35.220001"
"2015-12-07","34.490002"
"2015-12-08","34.520000"
"2015-12-09","32.709999"
"2015-12-10","31.799999"
"2015-12-11","30.540001"
"2015-12-14","30.420000"
"2015-12-15","30.590000"
"2015-12-16","31.950001"
"2015-12-17","31.420000"
"2015-12-18","31.219999"
"2015-12-21","31.660000"
"2015-12-22","31.540001"
"2015-12-23","31.889999"
"2015-12-24","31.770000"
"2015-12-28","31.790001"
"2015-12-29","31.780001"
"2015-12-30","31.450001"
"2015-12-31","31.170000"
"2016-01-04","30.230000"
"2016-01-05","29.840000"
"2016-01-06","29.500000"
"2016-01-07","29.170000"
"2016-01-08","28.610001"
"2016-01-11","28.350000"
"2016-01-12","28.730000"
"2016-01-13","28.389999"
"2016-01-14","29.290001"
"2016-01-15","28.280001"
"2016-01-19","26.459999"
"2016-01-20","25.990000"
"2016-01-21","26.730000"
