"date, price"
"2014-12-04","26.252964"
"2014-12-05","25.681929"
"2014-12-08","25.001080"
"2014-12-09","25.162142"
"2014-12-10","24.898586"
"2014-12-11","25.352486"
"2014-12-12","25.066969"
"2014-12-15","24.620390"
"2014-12-16","24.525217"
"2014-12-17","24.613070"
"2014-12-18","24.803413"
"2014-12-19","24.883944"
"2014-12-22","24.825377"
"2014-12-23","24.693600"
"2014-12-24","24.920549"
"2014-12-26","25.008402"
"2014-12-29","25.601398"
"2014-12-30","25.864952"
"2014-12-31","25.645325"
"2015-01-02","25.359806"
"2015-01-05","24.883944"
"2015-01-06","24.371477"
"2015-01-07","24.949833"
"2015-01-08","25.762461"
"2015-01-09","25.616041"
"2015-01-12","25.806385"
"2015-01-13","25.930841"
"2015-01-14","25.462299"
"2015-01-15","25.030363"
"2015-01-16","25.403732"
"2015-01-20","25.293919"
"2015-01-21","25.498905"
"2015-01-22","25.916201"
"2015-01-23","25.264633"
"2015-01-26","26.201717"
"2015-01-27","25.945484"
"2015-01-28","25.110893"
"2015-01-29","25.162142"
"2015-01-30","24.979116"
"2015-02-02","25.308559"
"2015-02-03","26.113867"
"2015-02-04","26.172434"
"2015-02-05","26.787394"
"2015-02-06","26.772753"
"2015-02-09","26.640976"
"2015-02-10","26.882566"
"2015-02-11","27.050949"
"2015-02-12","27.768402"
"2015-02-13","27.870895"
"2015-02-17","27.914822"
"2015-02-18","28.310154"
"2015-02-19","28.149094"
"2015-02-20","28.178377"
"2015-02-23","28.368723"
"2015-02-24","28.405327"
"2015-02-25","28.405327"
"2015-02-26","28.280870"
"2015-02-27","28.258907"
"2015-03-02","28.522463"
"2015-03-03","29.291162"
"2015-03-04","29.027609"
"2015-03-05","28.873869"
"2015-03-06","28.668880"
"2015-03-09","28.873869"
"2015-03-10","28.163734"
"2015-03-11","28.493177"
"2015-03-12","28.749413"
"2015-03-13","28.376043"
"2015-03-16","28.742090"
"2015-03-17","28.573709"
"2015-03-18","28.903152"
"2015-03-19","29.049570"
"2015-03-20","29.269199"
"2015-03-23","28.764053"
"2015-03-24","28.354080"
"2015-03-25","27.592699"
"2015-03-26","27.519489"
"2015-03-27","27.607342"
"2015-03-30","27.826971"
"2015-03-31","27.966068"
"2015-04-01","28.083204"
"2015-04-02","28.624954"
"2015-04-06","28.734770"
"2015-04-07","28.712807"
"2015-04-08","28.551746"
"2015-04-09","28.559067"
"2015-04-10","28.595671"
"2015-04-13","28.581030"
"2015-04-14","28.602991"
"2015-04-15","28.690844"
"2015-04-16","28.463894"
"2015-04-17","27.746441"
"2015-04-20","28.090525"
"2015-04-21","28.244265"
"2015-04-22","28.134451"
"2015-04-23","28.119808"
"2015-04-24","28.500500"
"2015-04-27","28.039278"
"2015-04-28","28.222301"
"2015-04-29","28.427288"
"2015-04-30","27.783045"
"2015-05-01","28.024635"
"2015-05-04","28.258907"
"2015-05-05","27.673229"
"2015-05-06","27.453602"
"2015-05-07","27.519489"
"2015-05-08","27.365749"
"2015-05-11","27.080233"
"2015-05-12","27.146120"
"2015-05-13","27.358429"
"2015-05-14","27.526812"
"2015-05-15","27.585379"
"2015-05-18","27.614662"
"2015-05-19","27.643948"
"2015-05-20","27.548775"
"2015-05-21","27.797688"
"2015-05-22","27.848932"
"2015-05-26","27.680552"
"2015-05-27","28.068562"
"2015-05-28","27.768402"
"2015-05-29","27.790365"
"2015-06-01","27.783045"
"2015-06-02","27.665909"
"2015-06-03","28.141771"
"2015-06-04","28.134451"
"2015-06-05","28.244265"
"2015-06-08","27.973391"
"2015-06-09","27.775724"
"2015-06-10","28.302834"
"2015-06-11","28.244265"
"2015-06-12","27.863575"
"2015-06-15","27.482885"
"2015-06-16","27.365749"
"2015-06-17","27.475563"
"2015-06-18","27.907501"
"2015-06-19","27.856255"
"2015-06-22","27.790365"
"2015-06-23","27.585379"
"2015-06-24","27.292540"
"2015-06-25","27.153442"
"2015-06-26","26.823999"
"2015-06-29","26.362778"
"2015-06-30","26.282248"
"2015-07-01","26.399384"
"2015-07-02","26.428667"
"2015-07-06","26.040655"
"2015-07-07","26.172434"
"2015-07-08","25.491585"
"2015-07-09","25.572115"
"2015-07-10","25.777102"
"2015-07-13","26.198057"
"2015-07-14","26.487234"
"2015-07-15","26.487234"
"2015-07-16","26.567764"
"2015-07-17","26.362778"
"2015-07-20","26.340816"
"2015-07-21","26.333494"
"2015-07-22","26.238321"
"2015-07-23","26.172434"
"2015-07-24","26.040655"
"2015-07-27","25.996731"
"2015-07-28","26.589727"
"2015-07-29","27.058270"
"2015-07-30","27.475563"
"2015-07-31","27.600021"
"2015-08-03","27.607342"
"2015-08-04","27.870895"
"2015-08-05","27.856255"
"2015-08-06","27.578058"
"2015-08-07","27.556095"
"2015-08-10","27.966068"
"2015-08-11","27.482885"
"2015-08-12","27.805008"
"2015-08-13","27.775724"
"2015-08-14","27.636625"
"2015-08-17","27.687872"
"2015-08-18","27.541452"
"2015-08-19","27.343786"
"2015-08-20","26.611691"
"2015-08-21","25.974768"
"2015-08-24","24.898586"
"2015-08-25","25.228029"
"2015-08-26","25.813705"
"2015-08-27","26.582407"
"2015-08-28","26.648296"
"2015-08-31","26.516520"
"2015-09-01","26.326174"
"2015-09-02","26.648296"
"2015-09-03","26.633654"
"2015-09-04","26.348137"
"2015-09-08","26.743467"
"2015-09-09","26.435987"
"2015-09-10","26.750790"
"2015-09-11","26.640976"
"2015-09-14","26.465273"
"2015-09-15","26.538483"
"2015-09-16","26.545801"
"2015-09-17","26.457951"
"2015-09-18","26.062618"
"2015-09-21","26.457951"
"2015-09-22","26.121187"
"2015-09-23","26.004051"
"2015-09-24","25.850311"
"2015-09-25","25.638002"
"2015-09-28","24.927870"
"2015-09-29","24.671637"
"2015-09-30","25.228029"
"2015-10-01","25.791744"
"2015-10-02","26.304211"
"2015-10-05","26.553123"
"2015-10-06","26.721506"
"2015-10-07","26.721506"
"2015-10-08","27.153442"
"2015-10-09","27.190046"
"2015-10-12","27.424318"
"2015-10-13","27.438959"
"2015-10-14","27.416998"
"2015-10-15","27.621984"
"2015-10-16","27.497526"
"2015-10-19","27.556095"
"2015-10-20","27.702515"
"2015-10-21","27.109516"
"2015-10-22","27.687872"
"2015-10-23","28.141771"
"2015-10-26","28.419968"
"2015-10-27","28.039278"
"2015-10-28","28.756733"
"2015-10-29","29.034929"
"2015-10-30","28.661560"
"2015-11-02","28.734770"
"2015-11-03","28.903152"
"2015-11-04","28.954397"
"2015-11-05","28.712807"
"2015-11-06","28.624954"
"2015-11-09","28.617634"
"2015-11-10","28.771374"
"2015-11-11","28.998323"
"2015-11-12","29.532755"
"2015-11-13","29.247236"
"2015-11-16","29.276522"
"2015-11-17","29.130102"
"2015-11-18","29.382675"
"2015-11-19","28.837263"
"2015-11-20","28.786016"
"2015-11-23","28.595671"
"2015-11-24","28.361401"
"2015-11-25","28.595671"
"2015-11-27","28.679861"
"2015-11-30","28.624954"
"2015-12-01","28.866547"
"2015-12-02","28.632277"
"2015-12-03","28.193020"
"2015-12-04","28.354080"
"2015-12-07","28.083204"
"2015-12-08","27.717155"
