"date, price"
"2014-12-04","30.219999"
"2014-12-05","30.219999"
"2014-12-08","30.030001"
"2014-12-09","29.730000"
"2014-12-10","29.530001"
"2014-12-11","29.389999"
"2014-12-12","28.790001"
"2014-12-15","28.160000"
"2014-12-16","28.219999"
"2014-12-17","28.910000"
"2014-12-18","28.940001"
"2014-12-19","29.030001"
"2014-12-22","29.495001"
"2014-12-23","29.610001"
"2014-12-24","29.540001"
"2014-12-26","29.620001"
"2014-12-29","29.820000"
"2014-12-30","29.500000"
"2014-12-31","29.340000"
"2015-01-02","29.690001"
"2015-01-05","28.969999"
"2015-01-06","28.540001"
"2015-01-07","29.209999"
"2015-01-08","29.510000"
"2015-01-09","31.190001"
"2015-01-12","31.230000"
"2015-01-13","31.430000"
"2015-01-14","31.680000"
"2015-01-15","31.940001"
"2015-01-16","32.209999"
"2015-01-20","31.920000"
"2015-01-21","32.020000"
"2015-01-22","32.439999"
"2015-01-23","32.470001"
"2015-01-26","32.650002"
"2015-01-27","32.970001"
"2015-01-28","32.799999"
"2015-01-29","32.990002"
"2015-01-30","32.630001"
"2015-02-02","32.950001"
"2015-02-03","33.740002"
"2015-02-04","33.570000"
"2015-02-05","33.599998"
"2015-02-06","33.459999"
"2015-02-09","33.500000"
"2015-02-10","33.560001"
"2015-02-11","33.849998"
"2015-02-12","34.130001"
"2015-02-13","33.570000"
"2015-02-17","33.500000"
"2015-02-18","33.869999"
"2015-02-19","33.610001"
"2015-02-20","33.790001"
"2015-02-23","33.910000"
"2015-02-24","33.849998"
"2015-02-25","33.770000"
"2015-02-26","33.570000"
"2015-02-27","33.849998"
"2015-03-02","33.790001"
"2015-03-03","33.759998"
"2015-03-04","33.610001"
"2015-03-05","33.540001"
"2015-03-06","32.369999"
"2015-03-09","36.430000"
"2015-03-10","36.450001"
"2015-03-11","36.619999"
"2015-03-12","36.785000"
"2015-03-13","36.014999"
"2015-03-16","36.060001"
"2015-03-17","36.419998"
"2015-03-18","36.580002"
"2015-03-19","36.709999"
"2015-03-20","37.650002"
"2015-03-23","37.470001"
"2015-03-24","37.000000"
"2015-03-25","37.150002"
"2015-03-26","36.790001"
"2015-03-27","36.950001"
"2015-03-30","37.000000"
"2015-03-31","36.869999"
"2015-04-01","37.099998"
"2015-04-02","37.250000"
"2015-04-06","37.450001"
"2015-04-07","36.810001"
"2015-04-08","36.750000"
"2015-04-09","36.419998"
"2015-04-10","36.700001"
"2015-04-13","36.880001"
"2015-04-14","36.349998"
"2015-04-15","36.459999"
"2015-04-16","36.599998"
"2015-04-17","36.490002"
"2015-04-20","36.450001"
"2015-04-21","36.369999"
"2015-04-22","36.500000"
"2015-04-23","36.500000"
"2015-04-24","36.590000"
"2015-04-27","36.169998"
"2015-04-28","36.240002"
"2015-04-29","36.220001"
"2015-04-30","35.700001"
"2015-05-01","35.689999"
"2015-05-04","36.680000"
"2015-05-05","36.389999"
"2015-05-06","36.360001"
"2015-05-07","36.490002"
"2015-05-08","36.340000"
"2015-05-11","36.330002"
"2015-05-12","36.430000"
"2015-05-13","36.430000"
"2015-05-14","36.730000"
"2015-05-15","37.009998"
"2015-05-18","37.020000"
"2015-05-19","37.169998"
"2015-05-20","36.849998"
"2015-05-21","37.139999"
"2015-05-22","37.080002"
"2015-05-26","36.680000"
"2015-05-27","37.240002"
"2015-05-28","37.139999"
"2015-05-29","36.599998"
"2015-06-01","36.799999"
"2015-06-02","36.950001"
"2015-06-03","36.619999"
"2015-06-04","36.480000"
"2015-06-05","36.549999"
"2015-06-08","36.360001"
"2015-06-09","35.610001"
"2015-06-10","36.360001"
"2015-06-11","36.480000"
"2015-06-12","36.840000"
"2015-06-15","36.900002"
"2015-06-16","36.570000"
"2015-06-17","37.080002"
"2015-06-18","37.389999"
"2015-06-19","38.180000"
"2015-06-22","37.529999"
"2015-06-23","37.470001"
"2015-06-24","37.389999"
"2015-06-25","37.400002"
"2015-06-26","37.349998"
"2015-06-29","36.500000"
"2015-06-30","36.660000"
"2015-07-01","36.759998"
"2015-07-02","36.650002"
"2015-07-06","36.669998"
"2015-07-07","35.720001"
"2015-07-08","35.110001"
"2015-07-09","35.029999"
"2015-07-10","35.490002"
"2015-07-13","35.060001"
"2015-07-14","35.000000"
"2015-07-15","34.820000"
"2015-07-16","35.180000"
"2015-07-17","34.860001"
"2015-07-20","34.770000"
"2015-07-21","35.160000"
"2015-07-22","34.860001"
"2015-07-23","34.230000"
"2015-07-24","33.840000"
"2015-07-27","33.549999"
"2015-07-28","33.470001"
"2015-07-29","33.150002"
"2015-07-30","33.349998"
"2015-07-31","32.750000"
"2015-08-03","33.180000"
"2015-08-04","33.189999"
"2015-08-05","33.160000"
"2015-08-06","33.070000"
"2015-08-07","32.950001"
"2015-08-10","32.740002"
"2015-08-11","33.150002"
"2015-08-12","33.020000"
"2015-08-13","32.970001"
"2015-08-14","33.180000"
"2015-08-17","33.529999"
"2015-08-18","33.549999"
"2015-08-19","33.310001"
"2015-08-20","32.470001"
"2015-08-21","31.629999"
"2015-08-24","30.670000"
"2015-08-25","30.870001"
"2015-08-26","31.389999"
"2015-08-27","31.400000"
"2015-08-28","31.580000"
"2015-08-31","30.940001"
