"date, price"
"2014-12-04","5.128000"
"2014-12-05","5.024000"
"2014-12-08","5.326000"
"2014-12-09","5.302000"
"2014-12-10","5.540000"
"2014-12-11","5.670000"
"2014-12-12","5.698000"
"2014-12-15","5.680000"
"2014-12-16","5.688000"
"2014-12-17","5.842000"
"2014-12-18","5.900000"
"2014-12-19","5.836000"
"2014-12-22","5.998000"
"2014-12-23","5.798000"
"2014-12-24","5.838000"
"2014-12-26","5.840000"
"2014-12-29","5.878000"
"2014-12-30","5.880000"
"2014-12-31","5.860000"
"2015-01-02","6.038000"
"2015-01-05","5.960000"
"2015-01-06","5.830000"
"2015-01-07","5.780000"
"2015-01-08","5.900000"
"2015-01-09","5.970000"
"2015-01-12","6.166000"
"2015-01-13","6.002000"
"2015-01-14","6.160000"
"2015-01-15","6.008000"
"2015-01-16","6.098000"
"2015-01-20","6.354000"
"2015-01-21","6.402000"
"2015-01-22","6.200000"
"2015-01-23","6.230000"
"2015-01-26","6.516000"
"2015-01-27","6.696000"
"2015-01-28","6.700000"
"2015-01-29","6.722000"
"2015-01-30","6.684000"
"2015-02-02","6.660000"
"2015-02-03","6.100000"
"2015-02-04","6.800000"
"2015-02-05","6.887000"
"2015-02-06","7.010000"
"2015-02-09","7.108000"
"2015-02-10","7.260000"
"2015-02-11","7.240200"
"2015-02-12","7.394000"
"2015-02-13","7.440000"
"2015-02-17","7.402000"
"2015-02-18","7.378000"
"2015-02-19","7.322000"
"2015-02-20","7.300000"
"2015-02-23","7.390000"
"2015-02-24","7.372000"
"2015-02-25","7.430000"
"2015-02-26","7.510800"
"2015-02-27","7.402000"
"2015-03-02","7.266000"
"2015-03-03","7.762000"
"2015-03-04","7.760000"
"2015-03-05","8.079000"
"2015-03-06","7.910000"
"2015-03-09","8.012000"
"2015-03-10","7.800000"
"2015-03-11","7.787000"
"2015-03-12","7.748000"
"2015-03-13","7.712000"
"2015-03-16","7.754000"
"2015-03-17","7.572000"
"2015-03-18","7.691000"
"2015-03-19","7.600000"
"2015-03-20","7.740000"
"2015-03-23","7.766000"
"2015-03-24","7.785000"
"2015-03-25","7.204000"
"2015-03-26","6.800000"
"2015-03-27","7.572000"
"2015-03-30","7.714000"
"2015-03-31","7.550000"
"2015-04-01","7.430000"
"2015-04-02","7.484000"
"2015-04-06","7.484000"
"2015-04-07","7.630000"
"2015-04-08","7.588000"
"2015-04-09","7.600000"
"2015-04-10","7.623000"
"2015-04-13","7.624000"
"2015-04-14","7.502000"
