"date, price"
"2014-12-04","542.580017"
"2014-12-05","528.080017"
"2014-12-08","530.729980"
"2014-12-09","536.109985"
"2014-12-10","528.039978"
"2014-12-11","532.109985"
"2014-12-12","521.510010"
"2014-12-15","515.840027"
"2014-12-16","498.160004"
"2014-12-17","506.450012"
"2014-12-18","514.619995"
"2014-12-19","520.039978"
"2014-12-22","532.299988"
"2014-12-23","538.770020"
"2014-12-24","536.929993"
"2014-12-26","541.520020"
"2014-12-29","537.309998"
"2014-12-30","535.280029"
"2014-12-31","530.659973"
"2015-01-02","529.549988"
"2015-01-05","519.460022"
"2015-01-06","506.640015"
"2015-01-07","505.149994"
"2015-01-08","506.910004"
"2015-01-09","500.720001"
"2015-01-12","497.059998"
"2015-01-13","501.799988"
"2015-01-14","505.929993"
"2015-01-15","504.010010"
"2015-01-16","510.459991"
"2015-01-20","509.940002"
"2015-01-21","520.390015"
"2015-01-22","537.299988"
"2015-01-23","541.950012"
"2015-01-26","536.719971"
"2015-01-27","521.190002"
"2015-01-28","512.429993"
"2015-01-29","513.229980"
"2015-01-30","537.549988"
"2015-02-02","532.200012"
"2015-02-03","533.299988"
"2015-02-04","526.099976"
"2015-02-05","529.830017"
"2015-02-06","533.880005"
"2015-02-09","529.280029"
"2015-02-10","540.159973"
"2015-02-11","538.000000"
"2015-02-12","546.010010"
"2015-02-13","551.159973"
"2015-02-17","545.010010"
"2015-02-18","542.650024"
"2015-02-19","546.450012"
"2015-02-20","541.799988"
"2015-02-23","535.000000"
"2015-02-24","538.650024"
"2015-02-25","547.330017"
"2015-02-26","559.289978"
"2015-02-27","562.630005"
"2015-03-02","575.020020"
"2015-03-03","578.789978"
"2015-03-04","578.330017"
"2015-03-05","581.429993"
"2015-03-06","572.900024"
"2015-03-09","574.099976"
"2015-03-10","559.849976"
"2015-03-11","555.690002"
"2015-03-12","561.169983"
"2015-03-13","553.000000"
"2015-03-16","561.640015"
"2015-03-17","557.609985"
"2015-03-18","566.159973"
"2015-03-19","563.669983"
"2015-03-20","564.950012"
"2015-03-23","565.369995"
"2015-03-24","577.539978"
"2015-03-25","567.000000"
"2015-03-26","563.640015"
"2015-03-27","557.549988"
"2015-03-30","561.140015"
"2015-03-31","554.700012"
"2015-04-01","549.489990"
"2015-04-02","541.309998"
"2015-04-06","543.950012"
"2015-04-07","544.859985"
"2015-04-08","548.840027"
"2015-04-09","548.020020"
"2015-04-10","548.539978"
"2015-04-13","548.640015"
"2015-04-14","539.780029"
"2015-04-15","541.039978"
"2015-04-16","543.520020"
"2015-04-17","532.739990"
"2015-04-20","544.530029"
"2015-04-21","542.919983"
"2015-04-22","549.179993"
"2015-04-23","557.460022"
"2015-04-24","573.659973"
"2015-04-27","566.119995"
"2015-04-28","564.369995"
"2015-04-29","561.390015"
"2015-04-30","548.770020"
"2015-05-01","551.159973"
"2015-05-04","552.840027"
