"date, price"
"2014-12-04","17.295000"
"2014-12-05","17.195000"
"2014-12-08","16.764999"
"2014-12-09","16.815001"
"2014-12-10","16.639999"
"2014-12-11","16.370001"
"2014-12-12","15.975000"
"2014-12-15","15.840000"
"2014-12-16","16.415001"
"2014-12-17","16.705000"
"2014-12-18","17.379999"
"2014-12-19","17.764999"
"2014-12-22","17.745001"
"2014-12-23","16.965000"
"2014-12-24","17.129999"
"2014-12-26","17.260000"
"2014-12-29","17.344999"
"2014-12-30","17.100000"
"2014-12-31","16.995001"
"2015-01-02","17.215000"
"2015-01-05","16.309999"
"2015-01-06","16.075001"
"2015-01-07","15.970000"
"2015-01-08","16.150000"
"2015-01-09","16.000000"
"2015-01-12","16.170000"
"2015-01-13","16.559999"
"2015-01-14","16.660000"
"2015-01-15","16.750000"
"2015-01-16","16.875000"
"2015-01-20","17.110001"
"2015-01-21","16.969999"
"2015-01-22","17.000000"
"2015-01-23","16.959999"
"2015-01-26","17.440001"
"2015-01-27","17.480000"
"2015-01-28","17.420000"
"2015-01-29","17.305000"
"2015-01-30","17.230000"
"2015-02-02","17.170000"
"2015-02-03","17.299999"
"2015-02-04","17.155001"
"2015-02-05","17.200001"
"2015-02-06","17.094999"
"2015-02-09","17.155001"
"2015-02-10","17.240000"
"2015-02-11","17.139999"
"2015-02-12","17.184999"
"2015-02-13","17.325001"
"2015-02-17","17.424999"
"2015-02-18","17.445000"
"2015-02-19","17.775000"
"2015-02-20","17.600000"
"2015-02-23","17.610001"
"2015-02-24","17.090000"
"2015-02-25","16.940001"
"2015-02-26","16.655001"
"2015-02-27","16.379999"
"2015-03-02","15.905000"
"2015-03-03","15.960000"
"2015-03-04","15.935000"
"2015-03-05","16.150000"
"2015-03-06","15.950000"
"2015-03-09","15.845000"
"2015-03-10","15.685000"
"2015-03-11","15.750000"
"2015-03-12","16.195000"
"2015-03-13","16.270000"
"2015-03-16","16.495001"
"2015-03-17","16.475000"
"2015-03-18","16.240000"
"2015-03-19","16.495001"
"2015-03-20","16.645000"
"2015-03-23","16.825001"
"2015-03-24","17.190001"
"2015-03-25","16.684999"
"2015-03-26","16.200001"
"2015-03-27","16.545000"
"2015-03-30","16.785000"
"2015-03-31","16.405001"
"2015-04-01","16.645000"
"2015-04-02","16.775000"
"2015-04-06","16.535000"
"2015-04-07","16.535000"
"2015-04-08","16.875000"
"2015-04-09","17.200001"
"2015-04-10","17.299999"
"2015-04-13","17.004999"
"2015-04-14","17.235001"
"2015-04-15","17.424999"
"2015-04-16","17.360001"
"2015-04-17","17.120001"
"2015-04-20","16.815001"
"2015-04-21","17.000000"
"2015-04-22","16.905001"
"2015-04-23","16.790001"
"2015-04-24","16.950001"
"2015-04-27","16.385000"
"2015-04-28","16.059999"
"2015-04-29","16.065001"
"2015-04-30","15.905000"
"2015-05-01","15.930000"
"2015-05-04","16.025000"
"2015-05-05","15.835000"
"2015-05-06","15.810000"
"2015-05-07","15.990000"
"2015-05-08","16.000000"
"2015-05-11","16.059999"
"2015-05-12","16.125000"
"2015-05-13","16.235001"
"2015-05-14","16.325001"
"2015-05-15","16.420000"
"2015-05-18","16.440001"
"2015-05-19","16.440001"
"2015-05-20","16.385000"
"2015-05-21","16.365000"
"2015-05-22","16.430000"
"2015-05-26","16.030001"
"2015-05-27","16.010000"
"2015-05-28","16.000000"
"2015-05-29","15.900000"
"2015-06-01","15.955000"
"2015-06-02","16.225000"
"2015-06-03","16.350000"
"2015-06-04","16.084999"
"2015-06-05","15.605000"
"2015-06-08","15.250000"
"2015-06-09","15.620000"
"2015-06-10","16.084999"
"2015-06-11","15.985000"
"2015-06-12","15.590000"
"2015-06-15","15.200000"
"2015-06-16","15.475000"
"2015-06-17","15.235000"
"2015-06-18","15.485000"
"2015-06-19","15.485000"
"2015-06-22","16.049999"
"2015-06-23","16.004999"
"2015-06-24","15.930000"
"2015-06-25","15.780000"
"2015-06-26","15.390000"
"2015-06-29","15.385000"
"2015-06-30","15.485000"
"2015-07-01","15.535000"
"2015-07-02","15.415000"
"2015-07-06","15.330000"
"2015-07-07","15.395000"
"2015-07-08","15.175000"
"2015-07-09","15.405000"
"2015-07-10","15.640000"
"2015-07-13","15.740000"
"2015-07-14","16.150000"
"2015-07-15","15.795000"
"2015-07-16","16.250000"
"2015-07-17","16.065001"
"2015-07-20","16.295000"
"2015-07-21","16.030001"
"2015-07-22","15.945000"
"2015-07-23","15.965000"
"2015-07-24","15.710000"
"2015-07-27","15.865000"
"2015-07-28","15.885000"
"2015-07-29","15.660000"
"2015-07-30","16.450001"
"2015-07-31","16.225000"
"2015-08-03","16.465000"
"2015-08-04","16.325001"
"2015-08-05","16.520000"
"2015-08-06","15.995000"
"2015-08-07","16.389999"
"2015-08-10","16.549999"
"2015-08-11","16.434999"
"2015-08-12","16.389999"
"2015-08-13","16.475000"
"2015-08-14","16.160000"
"2015-08-17","16.045000"
"2015-08-18","16.309999"
"2015-08-19","15.930000"
"2015-08-20","15.355000"
"2015-08-21","15.150000"
"2015-08-24","14.965000"
"2015-08-25","15.360000"
"2015-08-26","15.250000"
"2015-08-27","15.395000"
"2015-08-28","15.325000"
"2015-08-31","15.145000"
"2015-09-01","14.745000"
"2015-09-02","14.915000"
"2015-09-03","15.505000"
"2015-09-04","15.340000"
"2015-09-08","15.925000"
"2015-09-09","15.795000"
"2015-09-10","15.875000"
"2015-09-11","16.075001"
"2015-09-14","16.065001"
"2015-09-15","16.245001"
"2015-09-16","16.500000"
"2015-09-17","16.780001"
"2015-09-18","16.670000"
"2015-09-21","16.660000"
"2015-09-22","16.275000"
"2015-09-23","16.150000"
"2015-09-24","16.174999"
"2015-09-25","16.020000"
"2015-09-28","15.600000"
"2015-09-29","15.160000"
"2015-09-30","15.200000"
"2015-10-01","15.455000"
"2015-10-02","15.850000"
"2015-10-05","15.835000"
"2015-10-06","15.890000"
"2015-10-07","16.110001"
"2015-10-08","16.230000"
"2015-10-09","16.295000"
"2015-10-12","16.285000"
"2015-10-13","16.230000"
"2015-10-14","16.065001"
"2015-10-15","16.745001"
"2015-10-16","16.680000"
"2015-10-19","16.885000"
"2015-10-20","16.754999"
"2015-10-21","16.889999"
"2015-10-22","17.115000"
"2015-10-23","17.334999"
"2015-10-26","17.299999"
"2015-10-27","17.360001"
"2015-10-28","17.459999"
"2015-10-29","17.299999"
"2015-10-30","17.405001"
"2015-11-02","17.594999"
"2015-11-03","17.670000"
"2015-11-04","17.790001"
"2015-11-05","17.424999"
"2015-11-06","17.510000"
"2015-11-09","17.485001"
"2015-11-10","17.510000"
"2015-11-11","17.434999"
"2015-11-12","17.745001"
"2015-11-13","17.709999"
"2015-11-16","17.530001"
"2015-11-17","17.510000"
"2015-11-18","17.500000"
"2015-11-19","17.270000"
"2015-11-20","17.260000"
"2015-11-23","17.275000"
"2015-11-24","17.254999"
"2015-11-25","17.344999"
"2015-11-27","17.400000"
"2015-11-30","17.375000"
"2015-12-01","17.299999"
"2015-12-02","17.400000"
"2015-12-03","17.315001"
"2015-12-04","17.584999"
"2015-12-07","17.350000"
"2015-12-08","17.090000"
"2015-12-09","16.780001"
"2015-12-10","16.500000"
"2015-12-11","16.225000"
"2015-12-14","16.325001"
"2015-12-15","16.315001"
"2015-12-16","16.434999"
"2015-12-17","16.290001"
"2015-12-18","15.935000"
"2015-12-21","16.035000"
"2015-12-22","16.150000"
"2015-12-23","16.344999"
"2015-12-24","16.410000"
"2015-12-28","16.245001"
"2015-12-29","16.625000"
"2015-12-30","16.424999"
"2015-12-31","16.200001"
"2016-01-04","15.980000"
"2016-01-05","15.850000"
