"date, price"
"2014-12-04","27.350000"
"2014-12-05","27.580000"
"2014-12-08","26.830000"
"2014-12-09","27.110001"
"2014-12-10","26.930000"
"2014-12-11","27.100000"
"2014-12-12","26.490000"
"2014-12-15","26.600000"
"2014-12-16","26.510000"
"2014-12-17","27.230000"
"2014-12-18","27.760000"
"2014-12-19","28.080000"
"2014-12-22","28.100000"
"2014-12-23","28.270000"
"2014-12-24","28.219999"
"2014-12-26","28.389999"
"2014-12-29","28.660000"
"2014-12-30","28.500000"
"2014-12-31","28.570000"
"2015-01-02","28.340000"
"2015-01-05","27.709999"
"2015-01-06","27.780001"
"2015-01-07","28.129999"
"2015-01-08","28.580000"
"2015-01-09","28.260000"
"2015-01-12","28.040001"
"2015-01-13","26.049999"
"2015-01-14","25.430000"
"2015-01-15","24.559999"
"2015-01-16","24.830000"
"2015-01-20","24.910000"
"2015-01-21","25.570000"
"2015-01-22","25.940001"
"2015-01-23","25.440001"
"2015-01-26","25.950001"
"2015-01-27","25.280001"
"2015-01-28","23.969999"
"2015-01-29","24.639999"
"2015-01-30","24.240000"
"2015-02-02","24.420000"
"2015-02-03","24.639999"
"2015-02-04","24.950001"
"2015-02-05","24.980000"
"2015-02-06","25.400000"
"2015-02-09","25.690001"
"2015-02-10","25.680000"
"2015-02-11","26.000000"
"2015-02-12","26.209999"
"2015-02-13","25.910000"
"2015-02-17","26.620001"
"2015-02-18","27.389999"
"2015-02-19","27.340000"
"2015-02-20","27.690001"
"2015-02-23","27.160000"
"2015-02-24","27.129999"
"2015-02-25","27.129999"
"2015-02-26","27.350000"
"2015-02-27","26.730000"
"2015-03-02","27.200001"
"2015-03-03","27.070000"
"2015-03-04","26.570000"
"2015-03-05","26.209999"
"2015-03-06","25.879999"
"2015-03-09","25.969999"
"2015-03-10","25.370001"
"2015-03-11","25.070000"
"2015-03-12","25.469999"
"2015-03-13","25.240000"
"2015-03-16","25.309999"
"2015-03-17","25.059999"
"2015-03-18","26.049999"
"2015-03-19","25.180000"
"2015-03-20","25.660000"
"2015-03-23","26.129999"
"2015-03-24","26.370001"
"2015-03-25","25.969999"
"2015-03-26","26.150000"
"2015-03-27","26.290001"
"2015-03-30","26.790001"
"2015-03-31","27.080000"
"2015-04-01","26.750000"
"2015-04-02","26.820000"
"2015-04-06","27.309999"
"2015-04-07","27.000000"
"2015-04-08","27.430000"
"2015-04-09","27.620001"
"2015-04-10","27.709999"
"2015-04-13","27.430000"
"2015-04-14","27.160000"
"2015-04-15","27.260000"
"2015-04-16","27.059999"
"2015-04-17","27.230000"
"2015-04-20","27.500000"
"2015-04-21","27.730000"
"2015-04-22","27.650000"
"2015-04-23","27.740000"
"2015-04-24","27.740000"
"2015-04-27","27.600000"
"2015-04-28","27.209999"
"2015-04-29","28.340000"
"2015-04-30","28.370001"
"2015-05-01","28.400000"
"2015-05-04","28.340000"
"2015-05-05","27.959999"
"2015-05-06","27.980000"
"2015-05-07","28.790001"
"2015-05-08","29.430000"
"2015-05-11","29.770000"
"2015-05-12","29.590000"
"2015-05-13","30.379999"
"2015-05-14","30.860001"
"2015-05-15","30.850000"
"2015-05-18","31.240000"
"2015-05-19","31.209999"
"2015-05-20","31.260000"
"2015-05-21","31.889999"
"2015-05-22","31.740000"
"2015-05-26","31.990000"
"2015-05-27","32.240002"
"2015-05-28","32.029999"
"2015-05-29","31.850000"
"2015-06-01","32.410000"
"2015-06-02","32.220001"
"2015-06-03","32.090000"
"2015-06-04","31.389999"
"2015-06-05","31.320000"
"2015-06-08","31.040001"
"2015-06-09","31.500000"
"2015-06-10","31.389999"
"2015-06-11","31.410000"
"2015-06-12","31.490000"
"2015-06-15","31.010000"
"2015-06-16","31.030001"
"2015-06-17","31.049999"
"2015-06-18","31.010000"
"2015-06-19","31.209999"
"2015-06-22","31.180000"
"2015-06-23","31.410000"
"2015-06-24","31.330000"
"2015-06-25","31.230000"
"2015-06-26","31.400000"
"2015-06-29","29.639999"
"2015-06-30","30.150000"
"2015-07-01","30.450001"
"2015-07-02","30.290001"
"2015-07-06","30.040001"
"2015-07-07","30.010000"
"2015-07-08","29.209999"
"2015-07-09","28.910000"
"2015-07-10","28.990000"
"2015-07-13","29.410000"
"2015-07-14","30.290001"
"2015-07-15","29.770000"
"2015-07-16","30.389999"
"2015-07-17","30.500000"
"2015-07-20","30.040001"
"2015-07-21","30.160000"
"2015-07-22","30.139999"
"2015-07-23","30.000000"
"2015-07-24","29.270000"
"2015-07-27","29.020000"
"2015-07-28","29.580000"
"2015-07-29","29.770000"
"2015-07-30","29.750000"
"2015-07-31","30.129999"
"2015-08-03","30.200001"
"2015-08-04","30.770000"
"2015-08-05","31.010000"
"2015-08-06","30.740000"
"2015-08-07","30.889999"
"2015-08-10","31.840000"
"2015-08-11","31.219999"
"2015-08-12","31.379999"
"2015-08-13","31.879999"
"2015-08-14","32.310001"
"2015-08-17","32.580002"
"2015-08-18","32.660000"
"2015-08-19","32.220001"
"2015-08-20","31.139999"
"2015-08-21","29.280001"
"2015-08-24","28.090000"
"2015-08-25","27.830000"
"2015-08-26","28.480000"
"2015-08-27","28.940001"
"2015-08-28","29.520000"
"2015-08-31","29.770000"
"2015-09-01","28.670000"
"2015-09-02","29.299999"
"2015-09-03","29.700001"
"2015-09-04","29.219999"
"2015-09-08","30.090000"
"2015-09-09","29.889999"
"2015-09-10","29.920000"
"2015-09-11","29.580000"
"2015-09-14","29.309999"
"2015-09-15","29.639999"
"2015-09-16","30.900000"
"2015-09-17","31.100000"
"2015-09-18","30.459999"
"2015-09-21","30.680000"
"2015-09-22","29.559999"
"2015-09-23","29.570000"
"2015-09-24","29.190001"
"2015-09-25","29.730000"
"2015-09-28","28.370001"
"2015-09-29","28.320000"
"2015-09-30","29.330000"
"2015-10-01","29.420000"
"2015-10-02","29.230000"
"2015-10-05","30.230000"
"2015-10-06","30.389999"
"2015-10-07","31.230000"
"2015-10-08","31.820000"
"2015-10-09","31.879999"
"2015-10-12","31.780001"
"2015-10-13","31.650000"
"2015-10-14","32.000000"
"2015-10-15","32.369999"
"2015-10-16","32.680000"
"2015-10-19","32.299999"
"2015-10-20","32.580002"
"2015-10-21","32.490002"
"2015-10-22","32.570000"
"2015-10-23","32.970001"
"2015-10-26","33.130001"
"2015-10-27","32.470001"
"2015-10-28","33.400002"
"2015-10-29","31.790001"
"2015-10-30","32.840000"
"2015-11-02","33.490002"
"2015-11-03","33.270000"
"2015-11-04","32.910000"
"2015-11-05","32.709999"
"2015-11-06","32.980000"
"2015-11-09","32.549999"
"2015-11-10","32.439999"
"2015-11-11","32.770000"
"2015-11-12","32.250000"
"2015-11-13","31.889999"
"2015-11-16","32.310001"
"2015-11-17","32.490002"
"2015-11-18","33.450001"
"2015-11-19","33.810001"
"2015-11-20","34.250000"
"2015-11-23","34.080002"
"2015-11-24","34.470001"
"2015-11-25","34.619999"
"2015-11-27","34.810001"
"2015-11-30","34.880001"
"2015-12-01","35.000000"
"2015-12-02","34.849998"
"2015-12-03","34.520000"
"2015-12-04","34.880001"
"2015-12-07","34.340000"
"2015-12-08","34.270000"
"2015-12-09","33.490002"
"2015-12-10","33.410000"
"2015-12-11","32.160000"
"2015-12-14","31.780001"
"2015-12-15","32.730000"
"2015-12-16","33.330002"
"2015-12-17","32.500000"
"2015-12-18","31.870001"
"2015-12-21","31.879999"
"2015-12-22","32.290001"
"2015-12-23","33.000000"
"2015-12-24","32.799999"
"2015-12-28","32.730000"
"2015-12-29","33.259998"
"2015-12-30","33.310001"
"2015-12-31","32.669998"
"2016-01-04","32.009998"
"2016-01-05","30.700001"
"2016-01-06","30.350000"
"2016-01-07","28.709999"
"2016-01-08","28.139999"
"2016-01-11","28.590000"
"2016-01-12","29.120001"
"2016-01-13","27.690001"
"2016-01-14","28.410000"
"2016-01-15","27.549999"
"2016-01-19","27.570000"
"2016-01-20","27.930000"
"2016-01-21","27.920000"
"2016-01-22","28.490000"
"2016-01-25","27.809999"
"2016-01-26","28.790001"
"2016-01-27","28.549999"
"2016-01-28","27.760000"
"2016-01-29","28.410000"
"2016-02-01","28.959999"
"2016-02-02","28.459999"
"2016-02-03","27.910000"
"2016-02-04","27.610001"
"2016-02-05","27.190001"
"2016-02-08","26.340000"
"2016-02-09","27.450001"
"2016-02-10","28.580000"
"2016-02-11","28.610001"
"2016-02-12","29.690001"
"2016-02-16","30.350000"
"2016-02-17","30.780001"
"2016-02-18","30.230000"
"2016-02-19","29.610001"
"2016-02-22","29.900000"
"2016-02-23","29.570000"
"2016-02-24","29.420000"
"2016-02-25","29.950001"
"2016-02-26","30.250000"
"2016-02-29","30.120001"
"2016-03-01","31.230000"
"2016-03-02","31.410000"
"2016-03-03","32.070000"
"2016-03-04","32.529999"
"2016-03-07","32.470001"
"2016-03-08","32.230000"
"2016-03-09","32.470001"
"2016-03-10","31.900000"
"2016-03-11","33.029999"
"2016-03-14","32.410000"
"2016-03-15","32.730000"
"2016-03-16","33.070000"
"2016-03-17","32.560001"
"2016-03-18","32.410000"
"2016-03-21","32.790001"
"2016-03-22","32.759998"
"2016-03-23","32.209999"
"2016-03-24","32.180000"
"2016-03-28","32.000000"
"2016-03-29","32.619999"
"2016-03-30","32.770000"
"2016-03-31","32.980000"
"2016-04-01","32.490002"
"2016-04-04","31.389999"
"2016-04-05","31.250000"
"2016-04-06","31.219999"
"2016-04-07","31.139999"
"2016-04-08","30.959999"
"2016-04-11","31.110001"
"2016-04-12","31.230000"
"2016-04-13","32.110001"
"2016-04-14","31.940001"
"2016-04-15","32.000000"
"2016-04-18","31.990000"
"2016-04-19","32.150002"
"2016-04-20","32.299999"
"2016-04-21","32.290001"
"2016-04-22","32.380001"
"2016-04-25","32.220001"
"2016-04-26","32.779999"
"2016-04-27","30.340000"
"2016-04-28","29.889999"
"2016-04-29","28.969999"
"2016-05-02","28.770000"
"2016-05-03","28.430000"
"2016-05-04","27.730000"
"2016-05-05","27.889999"
"2016-05-06","28.190001"
"2016-05-09","28.180000"
"2016-05-10","28.410000"
"2016-05-11","27.950001"
"2016-05-12","27.990000"
"2016-05-13","27.650000"
"2016-05-16","27.559999"
"2016-05-17","27.490000"
"2016-05-18","27.410000"
"2016-05-19","27.059999"
"2016-05-20","27.170000"
"2016-05-23","26.930000"
"2016-05-24","27.889999"
"2016-05-25","27.590000"
"2016-05-26","27.370001"
"2016-05-27","27.790001"
"2016-05-31","27.969999"
"2016-06-01","27.379999"
"2016-06-02","27.490000"
"2016-06-03","27.120001"
"2016-06-06","27.160000"
"2016-06-07","27.340000"
"2016-06-08","27.920000"
"2016-06-09","27.740000"
"2016-06-10","27.420000"
"2016-06-13","27.010000"
"2016-06-14","26.600000"
"2016-06-15","26.830000"
"2016-06-16","27.080000"
"2016-06-17","27.350000"
"2016-06-20","27.559999"
"2016-06-21","27.230000"
"2016-06-22","27.200001"
"2016-06-23","27.410000"
"2016-06-24","25.570000"
"2016-06-27","24.530001"
"2016-06-28","25.260000"
"2016-06-29","25.430000"
"2016-06-30","25.660000"
"2016-07-01","25.900000"
"2016-07-05","24.930000"
"2016-07-06","25.250000"
"2016-07-07","25.620001"
"2016-07-08","26.530001"
"2016-07-11","26.660000"
"2016-07-12","27.110001"
"2016-07-13","26.580000"
"2016-07-14","26.639999"
"2016-07-15","26.520000"
"2016-07-18","26.520000"
"2016-07-19","26.530001"
"2016-07-20","26.629999"
"2016-07-21","27.080000"
"2016-07-22","27.049999"
"2016-07-25","27.010000"
"2016-07-26","27.910000"
"2016-07-27","29.090000"
"2016-07-28","28.740000"
"2016-07-29","28.670000"
"2016-08-01","28.780001"
"2016-08-02","27.570000"
"2016-08-03","27.920000"
"2016-08-04","28.150000"
"2016-08-05","28.230000"
"2016-08-08","28.129999"
"2016-08-09","27.959999"
"2016-08-10","28.049999"
"2016-08-11","29.530001"
"2016-08-12","29.299999"
"2016-08-15","29.440001"
"2016-08-16","28.850000"
"2016-08-17","28.629999"
"2016-08-18","29.120001"
"2016-08-19","29.180000"
"2016-08-22","29.280001"
"2016-08-23","29.420000"
"2016-08-24","29.430000"
"2016-08-25","29.160000"
"2016-08-26","29.010000"
"2016-08-29","28.930000"
"2016-08-30","29.059999"
"2016-08-31","29.350000"
"2016-09-01","29.200001"
"2016-09-02","29.730000"
"2016-09-06","31.160000"
"2016-09-07","31.000000"
"2016-09-08","31.320000"
"2016-09-09","30.260000"
"2016-09-12","31.309999"
"2016-09-13","31.059999"
"2016-09-14","30.809999"
"2016-09-15","32.389999"
"2016-09-16","32.419998"
"2016-09-19","32.220001"
"2016-09-20","31.910000"
"2016-09-21","32.049999"
"2016-09-22","32.419998"
"2016-09-23","32.299999"
"2016-09-26","31.740000"
"2016-09-27","31.900000"
"2016-09-28","32.820000"
"2016-09-29","31.730000"
"2016-09-30","32.299999"
"2016-10-03","32.509998"
"2016-10-04","32.230000"
"2016-10-05","32.660000"
"2016-10-06","32.860001"
"2016-10-07","32.830002"
"2016-10-10","32.500000"
"2016-10-11","32.150002"
"2016-10-12","31.920000"
"2016-10-13","31.660000"
"2016-10-14","31.250000"
"2016-10-17","31.090000"
"2016-10-18","31.110001"
"2016-10-19","32.220001"
"2016-10-20","31.740000"
"2016-10-21","31.600000"
"2016-10-24","31.719999"
"2016-10-25","31.120001"
"2016-10-26","31.209999"
"2016-10-27","31.080000"
"2016-10-28","28.290001"
"2016-10-31","29.030001"
"2016-11-01","27.940001"
"2016-11-02","27.900000"
"2016-11-03","27.910000"
"2016-11-04","27.790001"
"2016-11-07","28.080000"
"2016-11-08","28.440001"
"2016-11-09","28.230000"
"2016-11-10","29.299999"
"2016-11-11","29.250000"
"2016-11-14","30.150000"
"2016-11-15","30.990000"
"2016-11-16","30.480000"
"2016-11-17","30.570000"
"2016-11-18","30.139999"
"2016-11-21","29.920000"
"2016-11-22","30.469999"
"2016-11-23","30.920000"
"2016-11-25","31.160000"
"2016-11-28","30.750000"
"2016-11-29","31.139999"
"2016-11-30","30.690001"
"2016-12-01","30.520000"
"2016-12-02","29.770000"
"2016-12-05","30.139999"
"2016-12-06","29.980000"
"2016-12-07","31.459999"
"2016-12-08","31.889999"
"2016-12-09","32.180000"
"2016-12-12","32.450001"
"2016-12-13","33.209999"
"2016-12-14","32.439999"
"2016-12-15","32.990002"
"2016-12-16","32.340000"
"2016-12-19","32.029999"
"2016-12-20","32.130001"
"2016-12-21","32.060001"
"2016-12-22","31.500000"
"2016-12-23","31.639999"
"2016-12-27","31.889999"
"2016-12-28","31.200001"
"2016-12-29","31.129999"
"2016-12-30","30.870001"
"2017-01-03","31.190001"
"2017-01-04","32.000000"
"2017-01-05","31.490000"
"2017-01-06","31.840000"
