"date, price"
"2014-12-04","8.510000"
"2014-12-05","8.640000"
"2014-12-08","8.350000"
"2014-12-09","8.480000"
"2014-12-10","8.150000"
"2014-12-11","8.150000"
"2014-12-12","7.990000"
"2014-12-15","7.670000"
"2014-12-16","7.640000"
"2014-12-17","8.650000"
"2014-12-18","9.020000"
"2014-12-19","9.460000"
"2014-12-22","9.330000"
"2014-12-23","9.030000"
"2014-12-24","9.340000"
"2014-12-26","9.620000"
"2014-12-29","9.590000"
"2014-12-30","9.400000"
"2014-12-31","9.650000"
"2015-01-02","9.820000"
"2015-01-05","9.990000"
"2015-01-06","10.060000"
"2015-01-07","12.520000"
"2015-01-08","13.970000"
"2015-01-09","14.030000"
"2015-01-12","14.570000"
"2015-01-13","14.700000"
"2015-01-14","15.080000"
"2015-01-15","14.220000"
"2015-01-16","14.820000"
"2015-01-20","14.560000"
"2015-01-21","14.040000"
"2015-01-22","14.010000"
"2015-01-23","13.870000"
"2015-01-26","14.440000"
"2015-01-27","14.480000"
"2015-01-28","14.150000"
"2015-01-29","14.590000"
"2015-01-30","14.280000"
"2015-02-02","14.410000"
"2015-02-03","14.000000"
"2015-02-04","13.810000"
"2015-02-05","14.060000"
"2015-02-06","13.870000"
"2015-02-09","13.390000"
"2015-02-10","13.840000"
"2015-02-11","13.780000"
"2015-02-12","14.500000"
"2015-02-13","14.730000"
"2015-02-17","14.910000"
"2015-02-18","15.020000"
"2015-02-19","15.400000"
"2015-02-20","15.370000"
"2015-02-23","15.520000"
"2015-02-24","15.000000"
"2015-02-25","15.170000"
"2015-02-26","15.280000"
"2015-02-27","15.070000"
"2015-03-02","15.220000"
"2015-03-03","15.230000"
"2015-03-04","15.700000"
"2015-03-05","15.390000"
"2015-03-06","15.200000"
"2015-03-09","15.380000"
"2015-03-10","15.330000"
"2015-03-11","15.410000"
"2015-03-12","15.630000"
"2015-03-13","15.930000"
"2015-03-16","16.110001"
"2015-03-17","16.200001"
"2015-03-18","16.100000"
"2015-03-19","16.059999"
"2015-03-20","14.630000"
"2015-03-23","14.050000"
"2015-03-24","13.890000"
"2015-03-25","13.290000"
"2015-03-26","13.310000"
"2015-03-27","13.930000"
"2015-03-30","14.000000"
"2015-03-31","14.280000"
"2015-04-01","14.670000"
"2015-04-02","14.690000"
"2015-04-06","14.710000"
"2015-04-07","14.620000"
"2015-04-08","15.280000"
"2015-04-09","15.260000"
"2015-04-10","15.430000"
"2015-04-13","15.630000"
"2015-04-14","15.550000"
"2015-04-15","15.450000"
"2015-04-16","15.520000"
"2015-04-17","15.300000"
"2015-04-20","15.890000"
"2015-04-21","15.880000"
"2015-04-22","16.030001"
"2015-04-23","16.950001"
"2015-04-24","16.860001"
"2015-04-27","15.780000"
"2015-04-28","15.800000"
"2015-04-29","15.450000"
"2015-04-30","14.870000"
"2015-05-01","15.790000"
"2015-05-04","15.690000"
"2015-05-05","15.120000"
"2015-05-06","15.180000"
"2015-05-07","15.160000"
"2015-05-08","15.590000"
"2015-05-11","15.370000"
"2015-05-12","16.020000"
"2015-05-13","16.260000"
"2015-05-14","16.309999"
"2015-05-15","16.420000"
"2015-05-18","17.030001"
"2015-05-19","17.260000"
"2015-05-20","16.850000"
"2015-05-21","17.250000"
"2015-05-22","17.450001"
"2015-05-26","17.740000"
"2015-05-27","17.820000"
"2015-05-28","17.680000"
"2015-05-29","17.350000"
"2015-06-01","17.879999"
"2015-06-02","17.990000"
"2015-06-03","19.570000"
"2015-06-04","19.740000"
"2015-06-05","19.969999"
"2015-06-08","20.090000"
"2015-06-09","20.650000"
"2015-06-10","20.709999"
"2015-06-11","20.740000"
"2015-06-12","20.340000"
"2015-06-15","20.430000"
"2015-06-16","20.730000"
"2015-06-17","20.590000"
"2015-06-18","21.370001"
"2015-06-19","21.309999"
"2015-06-22","22.059999"
"2015-06-23","21.820000"
"2015-06-24","20.700001"
"2015-06-25","20.680000"
"2015-06-26","21.139999"
"2015-06-29","21.240000"
"2015-06-30","22.580000"
"2015-07-01","22.500000"
"2015-07-02","22.100000"
"2015-07-06","22.780001"
"2015-07-07","21.940001"
"2015-07-08","21.350000"
"2015-07-09","22.400000"
"2015-07-10","22.780001"
"2015-07-13","23.440001"
"2015-07-14","23.969999"
"2015-07-15","23.549999"
"2015-07-16","24.530001"
"2015-07-17","24.660000"
"2015-07-20","24.540001"
"2015-07-21","23.770000"
"2015-07-22","24.750000"
"2015-07-23","24.010000"
"2015-07-24","23.240000"
"2015-07-27","22.799999"
"2015-07-28","23.709999"
"2015-07-29","23.430000"
"2015-07-30","23.129999"
"2015-07-31","23.340000"
"2015-08-03","23.030001"
"2015-08-04","23.309999"
"2015-08-05","23.420000"
"2015-08-06","22.430000"
"2015-08-07","21.120001"
"2015-08-10","21.110001"
"2015-08-11","20.830000"
"2015-08-12","19.900000"
"2015-08-13","20.730000"
"2015-08-14","19.250000"
"2015-08-17","19.770000"
"2015-08-18","19.030001"
"2015-08-19","18.709999"
"2015-08-20","17.180000"
"2015-08-21","17.330000"
"2015-08-24","16.790001"
"2015-08-25","16.879999"
"2015-08-26","17.459999"
"2015-08-27","18.040001"
"2015-08-28","18.410000"
"2015-08-31","17.459999"
"2015-09-01","16.620001"
"2015-09-02","17.540001"
"2015-09-03","16.850000"
"2015-09-04","16.889999"
"2015-09-08","17.580000"
"2015-09-09","17.420000"
"2015-09-10","17.730000"
