"date, price"
"2016-03-16","13.500000"
"2016-03-17","13.400000"
"2016-03-18","13.500000"
"2016-03-21","13.500000"
"2016-03-22","13.380000"
"2016-03-23","13.380000"
"2016-03-24","13.490000"
"2016-03-28","13.360000"
"2016-03-29","13.330000"
"2016-03-30","13.250000"
"2016-03-31","13.200000"
"2016-04-01","13.500000"
"2016-04-04","13.410000"
"2016-04-05","13.250000"
"2016-04-06","13.340000"
"2016-04-07","13.300000"
"2016-04-08","13.300000"
"2016-04-11","13.310000"
"2016-04-12","13.370000"
"2016-04-13","13.410000"
"2016-04-14","13.460000"
"2016-04-15","13.480000"
"2016-04-18","13.480000"
"2016-04-19","13.350000"
"2016-04-20","13.520000"
"2016-04-21","13.400000"
"2016-04-22","13.400000"
"2016-04-25","13.410000"
"2016-04-26","13.450000"
"2016-04-27","13.400000"
"2016-04-28","13.330000"
"2016-04-29","13.100000"
"2016-05-02","12.950000"
"2016-05-03","13.000000"
"2016-05-04","13.080000"
"2016-05-05","12.500000"
"2016-05-06","13.800000"
"2016-05-09","13.180000"
"2016-05-10","12.930000"
"2016-05-11","13.020000"
"2016-05-12","12.800000"
"2016-05-13","12.500000"
"2016-05-16","12.770000"
"2016-05-17","12.520000"
"2016-05-18","12.480000"
"2016-05-19","12.680000"
"2016-05-20","12.320000"
"2016-05-23","12.500000"
"2016-05-24","12.500000"
"2016-05-25","12.520000"
"2016-05-26","12.530000"
"2016-05-27","13.100000"
"2016-05-31","12.520000"
"2016-06-01","13.450000"
"2016-06-02","13.510000"
"2016-06-03","13.460000"
"2016-06-06","13.530000"
"2016-06-07","13.750000"
"2016-06-08","14.020000"
"2016-06-09","13.800000"
"2016-06-10","13.950000"
"2016-06-13","13.410000"
"2016-06-14","13.360000"
"2016-06-15","14.180000"
"2016-06-16","13.470000"
"2016-06-17","14.000000"
"2016-06-20","13.700000"
"2016-06-21","13.730000"
"2016-06-22","13.788000"
"2016-06-23","13.816000"
"2016-06-24","13.225000"
"2016-06-27","12.950000"
"2016-06-28","13.058000"
"2016-06-29","13.280000"
"2016-06-30","13.150000"
"2016-07-01","13.150000"
"2016-07-05","13.320000"
"2016-07-06","13.080000"
"2016-07-07","13.340000"
"2016-07-08","13.760000"
"2016-07-11","13.355000"
"2016-07-12","12.990000"
"2016-07-13","13.030000"
"2016-07-14","13.500000"
"2016-07-15","13.480000"
"2016-07-18","13.290000"
"2016-07-19","13.000000"
"2016-07-20","13.010000"
"2016-07-21","13.000000"
"2016-07-22","12.930000"
"2016-07-25","13.080000"
"2016-07-26","13.085000"
"2016-07-27","13.180000"
"2016-07-28","13.110000"
"2016-07-29","13.130000"
"2016-08-01","13.190000"
"2016-08-02","13.090000"
"2016-08-03","13.001000"
"2016-08-04","13.010000"
"2016-08-05","13.030000"
"2016-08-08","13.020000"
"2016-08-09","13.019000"
"2016-08-10","12.930000"
"2016-08-11","12.830000"
"2016-08-12","13.140000"
"2016-08-15","12.940000"
"2016-08-16","12.710000"
"2016-08-17","12.800000"
"2016-08-18","12.750000"
"2016-08-19","12.420000"
"2016-08-22","12.500000"
"2016-08-23","12.720000"
"2016-08-24","12.700000"
"2016-08-25","12.700000"
"2016-08-26","12.950000"
"2016-08-29","13.000000"
"2016-08-30","12.420000"
"2016-08-31","12.450000"
"2016-09-01","12.445000"
"2016-09-02","12.540000"
"2016-09-06","12.530000"
"2016-09-07","12.510000"
"2016-09-08","12.500000"
"2016-09-09","12.500000"
"2016-09-12","12.500000"
"2016-09-13","12.500000"
"2016-09-14","12.438000"
"2016-09-15","12.380000"
"2016-09-16","12.470000"
"2016-09-19","12.290000"
"2016-09-20","12.190000"
"2016-09-21","12.247000"
"2016-09-22","12.100000"
"2016-09-23","12.280000"
"2016-09-26","12.170000"
"2016-09-27","12.060000"
"2016-09-28","12.095000"
"2016-09-29","12.000000"
"2016-09-30","11.900000"
"2016-10-03","11.990000"
"2016-10-04","12.100000"
"2016-10-05","12.170000"
"2016-10-06","11.910000"
"2016-10-07","11.810000"
"2016-10-10","11.770000"
"2016-10-11","11.590000"
"2016-10-12","11.260000"
"2016-10-13","11.400000"
"2016-10-14","11.300000"
"2016-10-17","11.390000"
"2016-10-18","11.540000"
"2016-10-19","11.500000"
"2016-10-20","11.630000"
"2016-10-21","11.670000"
"2016-10-24","11.630000"
"2016-10-25","11.790000"
"2016-10-26","11.760000"
"2016-10-27","11.820000"
"2016-10-28","11.880000"
"2016-10-31","12.060000"
"2016-11-01","11.940000"
"2016-11-02","12.050000"
"2016-11-03","11.920000"
"2016-11-04","12.000000"
"2016-11-07","11.860000"
"2016-11-08","11.780000"
"2016-11-09","13.790000"
"2016-11-10","12.530000"
"2016-11-11","12.100000"
"2016-11-14","12.150000"
"2016-11-15","11.800000"
"2016-11-16","11.960000"
"2016-11-17","12.010000"
"2016-11-18","12.310000"
"2016-11-21","12.490000"
"2016-11-22","12.550000"
"2016-11-23","12.570000"
"2016-11-25","12.570000"
"2016-11-28","13.000000"
"2016-11-29","13.000000"
"2016-11-30","13.840000"
"2016-12-01","13.620000"
"2016-12-02","14.360000"
"2016-12-05","14.870000"
"2016-12-06","14.940000"
"2016-12-07","14.790000"
"2016-12-08","14.490000"
"2016-12-09","14.000000"
"2016-12-12","13.770000"
"2016-12-13","14.670000"
"2016-12-14","14.760000"
"2016-12-15","14.650000"
"2016-12-16","14.030000"
"2016-12-19","14.190000"
"2016-12-20","14.300000"
"2016-12-21","14.000000"
"2016-12-22","14.230000"
"2016-12-23","13.855000"
"2016-12-27","14.100000"
"2016-12-28","13.921000"
"2016-12-29","13.710000"
"2016-12-30","13.570000"
"2017-01-03","14.950000"
"2017-01-04","14.300000"
"2017-01-05","14.290000"
"2017-01-06","14.000000"
"2017-01-09","13.640000"
"2017-01-10","13.700000"
"2017-01-11","13.970000"
"2017-01-12","13.825000"
"2017-01-13","13.810000"
"2017-01-17","13.800000"
"2017-01-18","13.850000"
"2017-01-19","13.830000"
"2017-01-20","13.890000"
"2017-01-23","13.630000"
"2017-01-24","13.200000"
"2017-01-25","13.970000"
"2017-01-26","13.590000"
"2017-01-27","13.870000"
"2017-01-30","14.120000"
"2017-01-31","14.090000"
"2017-02-01","13.960000"
"2017-02-02","13.980000"
"2017-02-03","13.970000"
"2017-02-06","13.640000"
"2017-02-07","13.740000"
"2017-02-08","13.500000"
"2017-02-09","13.700000"
"2017-02-10","13.590000"
"2017-02-13","13.490000"
"2017-02-14","13.530000"
"2017-02-15","13.530000"
"2017-02-16","13.400000"
"2017-02-17","13.380000"
"2017-02-21","13.320000"
"2017-02-22","13.400000"
"2017-02-23","13.400000"
"2017-02-24","13.340000"
"2017-02-27","13.380000"
"2017-02-28","12.740000"
"2017-03-01","12.900000"
"2017-03-02","12.850000"
"2017-03-03","13.110000"
"2017-03-06","14.850000"
"2017-03-07","14.280000"
"2017-03-08","14.360000"
"2017-03-09","14.250000"
"2017-03-10","14.160000"
"2017-03-13","15.970000"
"2017-03-14","16.000000"
"2017-03-15","20.540001"
"2017-03-16","18.990000"
"2017-03-17","19.000000"
"2017-03-20","18.760000"
"2017-03-21","19.430000"
"2017-03-22","18.750000"
"2017-03-23","18.709999"
"2017-03-24","19.010000"
"2017-03-27","19.580000"
"2017-03-28","19.510000"
"2017-03-29","19.520000"
"2017-03-30","20.570000"
"2017-03-31","19.950001"
"2017-04-03","20.120001"
"2017-04-04","19.450001"
"2017-04-05","20.250000"
"2017-04-06","20.129999"
"2017-04-07","20.270000"
"2017-04-10","20.150000"
"2017-04-11","19.799999"
"2017-04-12","20.000000"
"2017-04-13","20.139999"
"2017-04-17","20.080000"
"2017-04-18","19.010000"
"2017-04-19","19.209999"
"2017-04-20","18.510000"
"2017-04-21","18.330000"
"2017-04-24","18.879999"
"2017-04-25","19.820000"
"2017-04-26","19.469999"
"2017-04-27","18.590000"
"2017-04-28","19.490000"
"2017-05-01","19.020000"
"2017-05-02","18.299999"
"2017-05-03","19.090000"
"2017-05-04","18.680000"
"2017-05-05","18.959999"
"2017-05-08","19.180000"
"2017-05-09","19.260000"
"2017-05-10","18.780001"
"2017-05-11","18.990000"
"2017-05-12","18.870001"
"2017-05-15","19.879999"
"2017-05-16","20.020000"
"2017-05-17","20.799999"
"2017-05-18","19.700001"
"2017-05-19","20.219999"
"2017-05-22","20.150000"
"2017-05-23","20.520000"
"2017-05-24","20.750000"
"2017-05-25","20.750000"
"2017-05-26","20.990000"
"2017-05-30","20.830000"
"2017-05-31","21.230000"
"2017-06-01","21.000000"
"2017-06-02","20.590000"
"2017-06-05","20.684999"
"2017-06-06","20.540001"
"2017-06-07","20.420000"
"2017-06-08","20.840000"
"2017-06-09","19.885000"
"2017-06-12","20.520000"
"2017-06-13","21.090000"
"2017-06-14","21.150000"
"2017-06-15","22.629999"
"2017-06-16","22.930000"
"2017-06-19","23.590000"
"2017-06-20","23.240000"
"2017-06-21","23.270000"
"2017-06-22","23.600000"
"2017-06-23","23.690001"
"2017-06-26","23.540001"
"2017-06-27","22.910000"
"2017-06-28","23.530001"
"2017-06-29","23.420000"
"2017-06-30","23.309999"
"2017-07-03","23.110001"
"2017-07-05","23.750000"
"2017-07-06","23.309999"
"2017-07-07","23.315001"
"2017-07-10","23.150000"
"2017-07-11","22.610001"
"2017-07-12","22.540001"
"2017-07-13","22.500000"
"2017-07-14","22.950001"
"2017-07-17","23.299999"
"2017-07-18","23.389999"
"2017-07-19","23.010000"
"2017-07-20","22.940001"
"2017-07-21","22.959999"
"2017-07-24","23.350000"
"2017-07-25","23.500000"
"2017-07-26","23.500000"
"2017-07-27","22.620001"
"2017-07-28","23.120001"
"2017-07-31","22.150000"
"2017-08-01","22.580000"
"2017-08-02","23.290001"
"2017-08-03","23.799999"
"2017-08-04","24.600000"
"2017-08-07","26.959999"
"2017-08-08","27.500000"
"2017-08-09","26.469999"
"2017-08-10","25.600000"
"2017-08-11","24.379999"
"2017-08-14","24.590000"
"2017-08-15","25.080000"
"2017-08-16","25.129999"
