"date, price"
"2014-12-04","22.450001"
"2014-12-05","22.290001"
"2014-12-08","24.090000"
"2014-12-09","23.969999"
"2014-12-10","24.260000"
"2014-12-11","23.830000"
"2014-12-12","22.320000"
"2014-12-15","22.900000"
"2014-12-16","22.740000"
"2014-12-17","24.320000"
"2014-12-18","24.620001"
"2014-12-19","24.580000"
"2014-12-22","25.709999"
"2014-12-23","25.350000"
"2014-12-24","25.590000"
"2014-12-26","25.830000"
"2014-12-29","25.760000"
"2014-12-30","25.620001"
"2014-12-31","25.450001"
"2015-01-02","24.700001"
"2015-01-05","22.400000"
"2015-01-06","21.660000"
"2015-01-07","21.379999"
"2015-01-08","21.190001"
"2015-01-09","20.299999"
"2015-01-12","20.549999"
"2015-01-13","21.510000"
"2015-01-14","22.049999"
"2015-01-15","21.100000"
"2015-01-16","19.570000"
"2015-01-20","19.959999"
"2015-01-21","20.040001"
"2015-01-22","20.980000"
"2015-01-23","21.200001"
"2015-01-26","21.180000"
"2015-01-27","20.290001"
"2015-01-28","21.170000"
"2015-01-29","21.129999"
"2015-01-30","20.770000"
"2015-02-02","19.700001"
"2015-02-03","19.660000"
"2015-02-04","19.730000"
"2015-02-05","19.700001"
"2015-02-06","19.299999"
"2015-02-09","18.950001"
"2015-02-10","19.160000"
"2015-02-11","19.530001"
"2015-02-12","19.980000"
"2015-02-13","20.020000"
"2015-02-17","20.129999"
"2015-02-18","20.129999"
"2015-02-19","19.870001"
"2015-02-20","19.420000"
"2015-02-23","19.750000"
"2015-02-24","19.459999"
"2015-02-25","19.969999"
"2015-02-26","19.760000"
"2015-02-27","20.270000"
"2015-03-02","20.889999"
"2015-03-03","21.070000"
"2015-03-04","21.260000"
"2015-03-05","21.500000"
"2015-03-06","22.190001"
"2015-03-09","23.080000"
"2015-03-10","23.629999"
"2015-03-11","23.959999"
"2015-03-12","24.000000"
"2015-03-13","23.629999"
"2015-03-16","24.400000"
"2015-03-17","24.320000"
"2015-03-18","24.969999"
"2015-03-19","25.070000"
"2015-03-20","25.030001"
"2015-03-23","25.000000"
"2015-03-24","25.969999"
"2015-03-25","24.740000"
"2015-03-26","25.389999"
"2015-03-27","25.209999"
"2015-03-30","24.959999"
"2015-03-31","24.990000"
"2015-04-01","24.940001"
"2015-04-02","24.430000"
"2015-04-06","23.889999"
"2015-04-07","23.969999"
"2015-04-08","24.000000"
"2015-04-09","24.040001"
"2015-04-10","24.030001"
"2015-04-13","24.059999"
"2015-04-14","24.000000"
"2015-04-15","24.100000"
"2015-04-16","24.290001"
"2015-04-17","24.350000"
"2015-04-20","24.500000"
"2015-04-21","24.610001"
"2015-04-22","24.730000"
"2015-04-23","25.129999"
"2015-04-24","25.520000"
"2015-04-27","26.010000"
"2015-04-28","27.760000"
"2015-04-29","27.180000"
"2015-04-30","26.209999"
"2015-05-01","26.370001"
"2015-05-04","26.000000"
"2015-05-05","25.900000"
"2015-05-06","26.850000"
"2015-05-07","26.600000"
"2015-05-08","26.370001"
"2015-05-11","27.010000"
"2015-05-12","26.100000"
"2015-05-13","25.410000"
"2015-05-14","26.250000"
"2015-05-15","25.590000"
"2015-05-18","25.930000"
"2015-05-19","26.020000"
"2015-05-20","25.799999"
"2015-05-21","25.350000"
"2015-05-22","26.000000"
"2015-05-26","26.000000"
"2015-05-27","26.660000"
"2015-05-28","26.510000"
"2015-05-29","26.510000"
"2015-06-01","26.270000"
"2015-06-02","26.620001"
"2015-06-03","26.959999"
"2015-06-04","26.379999"
"2015-06-05","26.459999"
"2015-06-08","26.340000"
"2015-06-09","27.299999"
"2015-06-10","27.920000"
"2015-06-11","27.940001"
"2015-06-12","27.889999"
"2015-06-15","29.280001"
"2015-06-16","29.049999"
"2015-06-17","28.830000"
"2015-06-18","29.379999"
"2015-06-19","30.590000"
"2015-06-22","32.310001"
"2015-06-23","32.709999"
"2015-06-24","33.220001"
"2015-06-25","33.900002"
"2015-06-26","32.919998"
"2015-06-29","32.020000"
"2015-06-30","32.049999"
"2015-07-01","32.009998"
"2015-07-02","31.299999"
"2015-07-06","31.219999"
"2015-07-07","30.650000"
"2015-07-08","30.780001"
"2015-07-09","31.780001"
"2015-07-10","32.070000"
"2015-07-13","32.990002"
"2015-07-14","32.700001"
"2015-07-15","32.200001"
"2015-07-16","33.110001"
"2015-07-17","33.279999"
"2015-07-20","32.810001"
"2015-07-21","33.259998"
"2015-07-22","33.150002"
"2015-07-23","33.099998"
"2015-07-24","33.060001"
"2015-07-27","32.369999"
"2015-07-28","33.959999"
"2015-07-29","33.840000"
"2015-07-30","33.689999"
"2015-07-31","33.660000"
"2015-08-03","33.520000"
"2015-08-04","33.639999"
"2015-08-05","34.099998"
"2015-08-06","33.070000"
"2015-08-07","32.110001"
"2015-08-10","33.200001"
"2015-08-11","33.310001"
"2015-08-12","32.970001"
"2015-08-13","32.820000"
"2015-08-14","32.709999"
"2015-08-17","33.700001"
"2015-08-18","33.470001"
"2015-08-19","32.450001"
"2015-08-20","30.670000"
"2015-08-21","29.270000"
"2015-08-24","28.264999"
"2015-08-25","28.240000"
"2015-08-26","28.690001"
"2015-08-27","29.360001"
"2015-08-28","29.510000"
"2015-08-31","29.320000"
"2015-09-01","29.200001"
"2015-09-02","29.940001"
"2015-09-03","29.309999"
"2015-09-04","29.360001"
"2015-09-08","30.530001"
"2015-09-09","31.270000"
"2015-09-10","30.820000"
"2015-09-11","30.240000"
"2015-09-14","29.900000"
"2015-09-15","29.830000"
"2015-09-16","29.740000"
"2015-09-17","31.299999"
"2015-09-18","30.879999"
"2015-09-21","30.469999"
"2015-09-22","29.590000"
"2015-09-23","30.610001"
"2015-09-24","30.360001"
"2015-09-25","29.840000"
"2015-09-28","28.480000"
"2015-09-29","28.680000"
"2015-09-30","29.549999"
"2015-10-01","28.959999"
"2015-10-02","29.420000"
"2015-10-05","29.340000"
"2015-10-06","28.990000"
"2015-10-07","29.740000"
