"date, price"
"2014-12-04","27.530001"
"2014-12-05","27.920000"
"2014-12-08","28.080000"
"2014-12-09","28.330000"
"2014-12-10","28.430000"
"2014-12-11","28.400000"
"2014-12-12","27.290001"
"2014-12-15","27.600000"
"2014-12-16","27.270000"
"2014-12-17","27.950001"
"2014-12-18","28.160000"
"2014-12-19","29.040001"
"2014-12-22","29.389999"
"2014-12-23","29.540001"
"2014-12-24","29.570000"
"2014-12-26","29.370001"
"2014-12-29","29.360001"
"2014-12-30","29.320000"
"2014-12-31","29.160000"
"2015-01-02","29.030001"
"2015-01-05","28.879999"
"2015-01-06","28.700001"
"2015-01-07","28.820000"
"2015-01-08","29.620001"
"2015-01-09","29.000000"
"2015-01-12","28.770000"
"2015-01-13","29.000000"
"2015-01-14","28.990000"
"2015-01-15","28.270000"
"2015-01-16","28.090000"
"2015-01-20","28.120001"
"2015-01-21","29.030001"
"2015-01-22","29.950001"
"2015-01-23","30.469999"
"2015-01-26","31.000000"
"2015-01-27","30.860001"
"2015-01-28","30.490000"
"2015-01-29","31.000000"
"2015-01-30","30.629999"
"2015-02-02","30.920000"
"2015-02-03","31.040001"
"2015-02-04","31.650000"
"2015-02-05","32.139999"
"2015-02-06","32.529999"
"2015-02-09","31.959999"
"2015-02-10","32.459999"
"2015-02-11","32.470001"
"2015-02-12","32.549999"
"2015-02-13","32.509998"
"2015-02-17","32.389999"
"2015-02-18","32.310001"
"2015-02-19","32.240002"
"2015-02-20","32.529999"
"2015-02-23","32.360001"
"2015-02-24","32.630001"
"2015-02-25","32.459999"
"2015-02-26","32.540001"
"2015-02-27","31.870001"
"2015-03-02","32.750000"
"2015-03-03","32.549999"
"2015-03-04","32.630001"
"2015-03-05","32.349998"
"2015-03-06","32.410000"
"2015-03-09","32.639999"
"2015-03-10","32.459999"
"2015-03-11","33.790001"
"2015-03-12","34.290001"
"2015-03-13","33.860001"
"2015-03-16","34.130001"
"2015-03-17","34.369999"
"2015-03-18","34.099998"
"2015-03-19","34.099998"
"2015-03-20","34.240002"
"2015-03-23","34.279999"
"2015-03-24","33.830002"
"2015-03-25","33.000000"
"2015-03-26","33.869999"
"2015-03-27","33.840000"
"2015-03-30","33.990002"
"2015-03-31","34.020000"
"2015-04-01","34.410000"
"2015-04-02","34.209999"
"2015-04-06","33.970001"
"2015-04-07","33.750000"
"2015-04-08","33.660000"
"2015-04-09","33.689999"
"2015-04-10","33.590000"
"2015-04-13","33.410000"
"2015-04-14","33.110001"
"2015-04-15","32.939999"
"2015-04-16","33.080002"
"2015-04-17","32.480000"
"2015-04-20","32.889999"
"2015-04-21","32.400002"
"2015-04-22","34.580002"
"2015-04-23","34.200001"
"2015-04-24","34.490002"
"2015-04-27","33.950001"
"2015-04-28","34.299999"
"2015-04-29","34.520000"
"2015-04-30","33.950001"
"2015-05-01","34.380001"
"2015-05-04","34.750000"
"2015-05-05","34.860001"
"2015-05-06","34.380001"
"2015-05-07","34.650002"
"2015-05-08","34.599998"
"2015-05-11","34.680000"
"2015-05-12","35.029999"
"2015-05-13","34.939999"
"2015-05-14","34.970001"
"2015-05-15","34.939999"
"2015-05-18","35.889999"
"2015-05-19","35.770000"
"2015-05-20","35.500000"
"2015-05-21","35.599998"
"2015-05-22","35.810001"
"2015-05-26","35.770000"
"2015-05-27","35.820000"
"2015-05-28","35.959999"
"2015-05-29","35.700001"
"2015-06-01","36.160000"
"2015-06-02","36.610001"
"2015-06-03","36.959999"
