"date, price"
"2014-12-04","83.889999"
"2014-12-05","84.160004"
"2014-12-08","83.449997"
"2014-12-09","83.459999"
"2014-12-10","82.000000"
"2014-12-11","81.989998"
"2014-12-12","80.949997"
"2014-12-15","80.320000"
"2014-12-16","80.400002"
"2014-12-17","83.080002"
"2014-12-18","83.949997"
"2014-12-19","83.769997"
"2014-12-22","83.529999"
"2014-12-23","81.750000"
"2014-12-24","83.379997"
"2014-12-26","83.309998"
"2014-12-29","82.290001"
"2014-12-30","83.059998"
"2014-12-31","81.900002"
"2015-01-02","80.470001"
"2015-01-05","80.570000"
"2015-01-06","80.480003"
"2015-01-07","82.930000"
"2015-01-08","84.449997"
"2015-01-09","84.139999"
"2015-01-12","83.800003"
"2015-01-13","84.669998"
"2015-01-14","84.739998"
"2015-01-15","83.169998"
"2015-01-16","86.510002"
"2015-01-20","86.760002"
"2015-01-21","84.830002"
"2015-01-22","85.699997"
"2015-01-23","85.580002"
"2015-01-26","87.480003"
"2015-01-27","87.150002"
"2015-01-28","86.309998"
"2015-01-29","86.199997"
"2015-01-30","83.580002"
"2015-02-02","83.860001"
"2015-02-03","82.980003"
"2015-02-04","84.139999"
"2015-02-05","84.900002"
"2015-02-06","87.139999"
"2015-02-09","86.519997"
"2015-02-10","89.029999"
"2015-02-11","88.760002"
"2015-02-12","88.559998"
"2015-02-13","88.980003"
"2015-02-17","87.980003"
"2015-02-18","88.349998"
"2015-02-19","87.930000"
"2015-02-20","87.849998"
"2015-02-23","88.000000"
"2015-02-24","88.330002"
"2015-02-25","88.150002"
"2015-02-26","89.059998"
"2015-02-27","88.910004"
"2015-03-02","89.120003"
"2015-03-03","88.000000"
"2015-03-04","88.500000"
"2015-03-05","89.000000"
"2015-03-06","86.150002"
"2015-03-09","88.129997"
"2015-03-10","87.900002"
"2015-03-11","88.529999"
"2015-03-12","90.860001"
"2015-03-13","90.680000"
"2015-03-16","91.529999"
"2015-03-17","90.610001"
"2015-03-18","90.180000"
"2015-03-19","91.059998"
"2015-03-20","92.699997"
"2015-03-23","92.980003"
"2015-03-24","92.650002"
"2015-03-25","90.519997"
"2015-03-26","90.980003"
"2015-03-27","92.269997"
"2015-03-30","91.080002"
"2015-03-31","93.139999"
"2015-04-01","94.940002"
"2015-04-02","94.540001"
"2015-04-06","92.830002"
"2015-04-07","90.970001"
"2015-04-08","93.050003"
"2015-04-09","91.489998"
"2015-04-10","92.779999"
"2015-04-13","91.430000"
"2015-04-14","93.339996"
"2015-04-15","90.970001"
"2015-04-16","89.959999"
"2015-04-17","87.620003"
"2015-04-20","88.570000"
"2015-04-21","88.419998"
"2015-04-22","87.739998"
"2015-04-23","88.070000"
"2015-04-24","88.269997"
"2015-04-27","87.250000"
"2015-04-28","87.910004"
"2015-04-29","85.919998"
"2015-04-30","84.370003"
"2015-05-01","84.970001"
"2015-05-04","85.470001"
"2015-05-05","84.209999"
"2015-05-06","91.669998"
"2015-05-07","94.519997"
"2015-05-08","94.080002"
"2015-05-11","96.080002"
"2015-05-12","94.949997"
"2015-05-13","94.919998"
"2015-05-14","96.559998"
"2015-05-15","95.529999"
"2015-05-18","96.930000"
"2015-05-19","96.809998"
"2015-05-20","97.900002"
"2015-05-21","97.269997"
"2015-05-22","96.910004"
"2015-05-26","95.599998"
"2015-05-27","96.870003"
"2015-05-28","97.180000"
"2015-05-29","97.000000"
"2015-06-01","98.360001"
"2015-06-02","97.139999"
"2015-06-03","98.199997"
"2015-06-04","96.830002"
"2015-06-05","96.260002"
"2015-06-08","96.250000"
"2015-06-09","94.500000"
"2015-06-10","96.199997"
"2015-06-11","96.029999"
"2015-06-12","95.410004"
"2015-06-15","94.680000"
"2015-06-16","94.739998"
"2015-06-17","93.839996"
"2015-06-18","96.309998"
"2015-06-19","96.750000"
"2015-06-22","96.120003"
"2015-06-23","95.820000"
"2015-06-24","95.699997"
"2015-06-25","95.900002"
"2015-06-26","95.800003"
"2015-06-29","94.790001"
"2015-06-30","95.660004"
"2015-07-01","96.930000"
"2015-07-02","96.769997"
"2015-07-06","97.129997"
"2015-07-07","96.220001"
"2015-07-08","96.320000"
"2015-07-09","95.239998"
"2015-07-10","95.989998"
"2015-07-13","96.110001"
"2015-07-14","96.120003"
"2015-07-15","95.980003"
"2015-07-16","96.419998"
"2015-07-17","96.370003"
"2015-07-20","97.099998"
"2015-07-21","98.839996"
"2015-07-22","99.500000"
"2015-07-23","98.730003"
"2015-07-24","97.730003"
"2015-07-27","97.989998"
"2015-07-28","98.959999"
"2015-07-29","98.099998"
"2015-07-30","99.339996"
"2015-07-31","99.919998"
"2015-08-03","99.639999"
"2015-08-04","99.389999"
"2015-08-05","99.919998"
"2015-08-06","99.209999"
"2015-08-07","99.690002"
"2015-08-10","101.070000"
"2015-08-11","119.500000"
"2015-08-12","119.139999"
"2015-08-13","120.559998"
"2015-08-14","121.809998"
"2015-08-17","123.089996"
"2015-08-18","121.139999"
"2015-08-19","122.029999"
"2015-08-20","117.639999"
"2015-08-21","115.510002"
"2015-08-24","109.330002"
"2015-08-25","109.930000"
"2015-08-26","113.279999"
"2015-08-27","113.449997"
"2015-08-28","113.919998"
"2015-08-31","113.519997"
"2015-09-01","110.000000"
"2015-09-02","111.300003"
"2015-09-03","110.360001"
"2015-09-04","109.580002"
"2015-09-08","111.669998"
"2015-09-09","111.010002"
"2015-09-10","112.199997"
"2015-09-11","113.599998"
"2015-09-14","113.199997"
"2015-09-15","114.650002"
"2015-09-16","115.110001"
"2015-09-17","116.040001"
"2015-09-18","114.650002"
"2015-09-21","114.820000"
"2015-09-22","113.110001"
"2015-09-23","114.040001"
"2015-09-24","111.980003"
"2015-09-25","110.430000"
"2015-09-28","107.639999"
"2015-09-29","106.739998"
"2015-09-30","109.500000"
"2015-10-01","109.349998"
"2015-10-02","109.040001"
"2015-10-05","107.529999"
"2015-10-06","105.839996"
"2015-10-07","106.889999"
"2015-10-08","103.809998"
"2015-10-09","103.629997"
"2015-10-12","105.320000"
"2015-10-13","103.099998"
"2015-10-14","103.110001"
"2015-10-15","106.440002"
"2015-10-16","112.150002"
"2015-10-19","108.599998"
"2015-10-20","108.050003"
"2015-10-21","107.919998"
"2015-10-22","105.400002"
"2015-10-23","105.910004"
"2015-10-26","106.410004"
"2015-10-27","106.099998"
"2015-10-28","107.519997"
"2015-10-29","109.489998"
"2015-10-30","109.970001"
"2015-11-02","110.820000"
"2015-11-03","111.550003"
"2015-11-04","112.489998"
"2015-11-05","113.870003"
"2015-11-06","119.029999"
