"date, price"
"2014-12-04","102.339996"
"2014-12-05","100.570000"
"2014-12-08","99.059998"
"2014-12-09","98.760002"
"2014-12-10","96.639999"
"2014-12-11","95.870003"
"2014-12-12","92.559998"
"2014-12-15","91.839996"
"2014-12-16","90.769997"
"2014-12-17","94.269997"
"2014-12-18","95.879997"
"2014-12-19","94.930000"
"2014-12-22","94.529999"
"2014-12-23","93.690002"
"2014-12-24","94.250000"
"2014-12-26","94.110001"
"2014-12-29","93.820000"
"2014-12-30","93.650002"
"2014-12-31","92.470001"
"2015-01-02","93.019997"
"2015-01-05","91.260002"
"2015-01-06","90.760002"
"2015-01-07","91.519997"
"2015-01-08","92.669998"
"2015-01-09","93.099998"
"2015-01-12","91.010002"
"2015-01-13","90.660004"
"2015-01-14","91.500000"
"2015-01-15","91.500000"
"2015-01-16","92.849998"
"2015-01-20","92.230003"
"2015-01-21","96.519997"
"2015-01-22","96.440002"
"2015-01-23","95.330002"
"2015-01-26","97.690002"
"2015-01-27","96.870003"
"2015-01-28","96.750000"
"2015-01-29","97.239998"
"2015-01-30","96.870003"
"2015-02-02","97.389999"
"2015-02-03","96.910004"
"2015-02-04","96.680000"
"2015-02-05","99.010002"
"2015-02-06","100.440002"
"2015-02-09","100.830002"
"2015-02-10","99.820000"
"2015-02-11","98.949997"
"2015-02-12","99.930000"
"2015-02-13","100.209999"
"2015-02-17","99.370003"
"2015-02-18","98.599998"
"2015-02-19","98.250000"
"2015-02-20","98.949997"
"2015-02-23","99.410004"
"2015-02-24","100.150002"
"2015-02-25","99.800003"
"2015-02-26","99.510002"
"2015-02-27","97.669998"
"2015-03-02","93.199997"
"2015-03-03","92.889999"
"2015-03-04","94.430000"
"2015-03-05","92.660004"
"2015-03-06","92.419998"
"2015-03-09","92.739998"
"2015-03-10","91.459999"
"2015-03-11","91.379997"
"2015-03-12","90.260002"
"2015-03-13","90.980003"
"2015-03-16","90.430000"
"2015-03-17","89.120003"
"2015-03-18","90.769997"
"2015-03-19","90.110001"
"2015-03-20","90.230003"
"2015-03-23","89.139999"
"2015-03-24","89.669998"
"2015-03-25","88.050003"
"2015-03-26","91.599998"
"2015-03-27","89.809998"
"2015-03-30","90.910004"
"2015-03-31","89.660004"
"2015-04-01","88.529999"
"2015-04-02","89.739998"
"2015-04-06","90.290001"
"2015-04-07","90.610001"
"2015-04-08","89.900002"
"2015-04-09","89.959999"
"2015-04-10","90.610001"
"2015-04-13","90.680000"
"2015-04-14","91.500000"
"2015-04-15","91.279999"
"2015-04-16","91.610001"
"2015-04-17","90.989998"
"2015-04-20","90.769997"
"2015-04-21","90.699997"
"2015-04-22","91.110001"
"2015-04-23","91.500000"
"2015-04-24","92.379997"
"2015-04-27","92.430000"
"2015-04-28","92.750000"
"2015-04-29","91.949997"
"2015-04-30","91.550003"
"2015-05-01","91.830002"
"2015-05-04","91.540001"
"2015-05-05","91.900002"
"2015-05-06","91.449997"
"2015-05-07","91.550003"
"2015-05-08","90.660004"
"2015-05-11","91.260002"
"2015-05-12","91.489998"
"2015-05-13","92.199997"
"2015-05-14","93.120003"
"2015-05-15","91.849998"
"2015-05-18","91.870003"
"2015-05-19","91.379997"
"2015-05-20","90.889999"
"2015-05-21","91.930000"
"2015-05-22","91.500000"
"2015-05-26","91.519997"
"2015-05-27","90.800003"
"2015-05-28","90.910004"
"2015-05-29","90.510002"
"2015-06-01","89.959999"
"2015-06-02","90.709999"
"2015-06-03","90.510002"
"2015-06-04","90.099998"
"2015-06-05","90.169998"
"2015-06-08","89.300003"
"2015-06-09","89.029999"
"2015-06-10","89.150002"
"2015-06-11","88.830002"
"2015-06-12","88.930000"
"2015-06-15","87.800003"
"2015-06-16","86.050003"
"2015-06-17","86.370003"
"2015-06-18","86.589996"
"2015-06-19","86.760002"
"2015-06-22","86.480003"
"2015-06-23","86.599998"
"2015-06-24","86.419998"
"2015-06-25","86.730003"
"2015-06-26","86.989998"
"2015-06-29","86.349998"
"2015-06-30","86.720001"
"2015-07-01","86.459999"
"2015-07-02","84.370003"
"2015-07-06","82.769997"
"2015-07-07","84.629997"
"2015-07-08","82.099998"
"2015-07-09","81.800003"
"2015-07-10","81.160004"
"2015-07-13","82.269997"
"2015-07-14","84.650002"
"2015-07-15","84.680000"
"2015-07-16","86.169998"
"2015-07-17","86.570000"
"2015-07-20","85.349998"
"2015-07-21","85.839996"
"2015-07-22","83.190002"
"2015-07-23","82.309998"
"2015-07-24","80.849998"
"2015-07-27","78.099998"
"2015-07-28","80.980003"
"2015-07-29","80.480003"
"2015-07-30","81.949997"
"2015-07-31","81.220001"
"2015-08-03","78.500000"
"2015-08-04","78.400002"
"2015-08-05","77.949997"
"2015-08-06","76.500000"
"2015-08-07","76.730003"
"2015-08-10","76.830002"
