"date, price"
"2014-12-04","13.540000"
"2014-12-05","13.880000"
"2014-12-08","13.890000"
"2014-12-09","14.440000"
"2014-12-10","13.760000"
"2014-12-11","13.600000"
"2014-12-12","13.320000"
"2014-12-15","13.270000"
"2014-12-16","13.330000"
"2014-12-17","13.850000"
"2014-12-18","13.880000"
"2014-12-19","13.390000"
"2014-12-22","13.580000"
"2014-12-23","13.720000"
"2014-12-24","13.970000"
"2014-12-26","14.080000"
"2014-12-29","13.980000"
"2014-12-30","13.790000"
"2014-12-31","13.650000"
"2015-01-02","13.540000"
"2015-01-05","13.280000"
"2015-01-06","12.950000"
"2015-01-07","12.950000"
"2015-01-08","13.080000"
"2015-01-09","13.080000"
"2015-01-12","12.980000"
"2015-01-13","13.110000"
"2015-01-14","12.670000"
"2015-01-15","13.000000"
"2015-01-16","13.560000"
"2015-01-20","13.780000"
"2015-01-21","13.750000"
"2015-01-22","13.890000"
"2015-01-23","13.860000"
"2015-01-26","13.960000"
"2015-01-27","16.110001"
"2015-01-28","16.730000"
"2015-01-29","17.490000"
"2015-01-30","17.190001"
"2015-02-02","17.500000"
"2015-02-03","17.469999"
"2015-02-04","17.570000"
"2015-02-05","17.000000"
"2015-02-06","17.090000"
"2015-02-09","17.059999"
"2015-02-10","17.059999"
"2015-02-11","17.120001"
"2015-02-12","17.309999"
"2015-02-13","17.400000"
"2015-02-17","17.139999"
"2015-02-18","17.370001"
"2015-02-19","17.280001"
"2015-02-20","17.540001"
"2015-02-23","17.650000"
"2015-02-24","17.440001"
"2015-02-25","17.400000"
"2015-02-26","17.700001"
"2015-02-27","17.490000"
"2015-03-02","17.410000"
"2015-03-03","17.309999"
"2015-03-04","17.430000"
"2015-03-05","17.469999"
"2015-03-06","17.580000"
"2015-03-09","17.510000"
"2015-03-10","17.510000"
"2015-03-11","17.620001"
"2015-03-12","17.719999"
"2015-03-13","17.910000"
"2015-03-16","18.049999"
"2015-03-17","18.290001"
"2015-03-18","18.700001"
"2015-03-19","18.410000"
"2015-03-20","18.459999"
"2015-03-23","18.410000"
"2015-03-24","18.299999"
"2015-03-25","17.680000"
"2015-03-26","17.879999"
"2015-03-27","17.740000"
"2015-03-30","18.309999"
"2015-03-31","18.459999"
"2015-04-01","18.500000"
"2015-04-02","18.910000"
"2015-04-06","18.570000"
"2015-04-07","18.309999"
"2015-04-08","18.600000"
"2015-04-09","18.559999"
"2015-04-10","18.830000"
"2015-04-13","18.660000"
"2015-04-14","18.450001"
"2015-04-15","18.670000"
"2015-04-16","18.620001"
"2015-04-17","18.330000"
"2015-04-20","18.719999"
"2015-04-21","18.780001"
"2015-04-22","18.750000"
"2015-04-23","18.799999"
"2015-04-24","18.740000"
"2015-04-27","18.700001"
"2015-04-28","19.200001"
"2015-04-29","18.969999"
"2015-04-30","17.790001"
"2015-05-01","17.879999"
"2015-05-04","17.930000"
"2015-05-05","17.680000"
"2015-05-06","17.709999"
"2015-05-07","18.070000"
"2015-05-08","18.049999"
"2015-05-11","18.080000"
"2015-05-12","17.920000"
"2015-05-13","18.120001"
"2015-05-14","18.740000"
"2015-05-15","18.420000"
"2015-05-18","18.660000"
"2015-05-19","18.700001"
"2015-05-20","18.879999"
"2015-05-21","19.260000"
"2015-05-22","18.959999"
"2015-05-26","18.360001"
"2015-05-27","18.760000"
"2015-05-28","18.670000"
"2015-05-29","18.670000"
"2015-06-01","18.660000"
"2015-06-02","18.719999"
"2015-06-03","18.809999"
"2015-06-04","18.530001"
"2015-06-05","18.680000"
"2015-06-08","18.490000"
"2015-06-09","18.520000"
"2015-06-10","18.750000"
"2015-06-11","18.700001"
"2015-06-12","18.740000"
"2015-06-15","18.480000"
"2015-06-16","18.629999"
"2015-06-17","18.770000"
"2015-06-18","19.080000"
"2015-06-19","19.040001"
"2015-06-22","19.129999"
"2015-06-23","19.530001"
"2015-06-24","19.219999"
"2015-06-25","19.080000"
"2015-06-26","19.230000"
"2015-06-29","18.990000"
"2015-06-30","18.980000"
"2015-07-01","18.610001"
"2015-07-02","18.200001"
"2015-07-06","18.420000"
"2015-07-07","18.370001"
"2015-07-08","18.090000"
"2015-07-09","18.059999"
"2015-07-10","18.280001"
"2015-07-13","18.230000"
"2015-07-14","18.400000"
"2015-07-15","18.180000"
"2015-07-16","18.230000"
"2015-07-17","18.020000"
"2015-07-20","17.719999"
"2015-07-21","17.610001"
"2015-07-22","17.500000"
"2015-07-23","17.450001"
"2015-07-24","17.180000"
"2015-07-27","16.889999"
"2015-07-28","17.070000"
"2015-07-29","17.049999"
"2015-07-30","17.459999"
"2015-07-31","17.000000"
"2015-08-03","16.900000"
"2015-08-04","17.030001"
"2015-08-05","18.690001"
"2015-08-06","18.129999"
"2015-08-07","18.150000"
"2015-08-10","17.990000"
"2015-08-11","18.049999"
"2015-08-12","17.969999"
"2015-08-13","17.719999"
"2015-08-14","17.840000"
"2015-08-17","17.900000"
"2015-08-18","17.719999"
"2015-08-19","17.790001"
"2015-08-20","17.820000"
"2015-08-21","17.629999"
"2015-08-24","16.690001"
"2015-08-25","16.620001"
"2015-08-26","16.959999"
"2015-08-27","16.770000"
"2015-08-28","16.889999"
"2015-08-31","16.889999"
"2015-09-01","16.459999"
"2015-09-02","16.520000"
"2015-09-03","16.559999"
"2015-09-04","16.520000"
"2015-09-08","16.860001"
"2015-09-09","16.629999"
"2015-09-10","16.600000"
"2015-09-11","16.600000"
"2015-09-14","16.480000"
"2015-09-15","16.670000"
"2015-09-16","16.760000"
"2015-09-17","16.870001"
"2015-09-18","16.629999"
"2015-09-21","16.420000"
"2015-09-22","16.100000"
"2015-09-23","15.620000"
"2015-09-24","15.340000"
"2015-09-25","15.780000"
"2015-09-28","15.700000"
"2015-09-29","15.870000"
"2015-09-30","16.080000"
"2015-10-01","15.970000"
"2015-10-02","16.270000"
"2015-10-05","16.719999"
"2015-10-06","16.559999"
"2015-10-07","16.809999"
"2015-10-08","16.709999"
"2015-10-09","16.750000"
"2015-10-12","16.870001"
"2015-10-13","16.450001"
"2015-10-14","16.450001"
"2015-10-15","17.200001"
"2015-10-16","16.639999"
"2015-10-19","16.860001"
"2015-10-20","17.180000"
"2015-10-21","16.799999"
"2015-10-22","17.270000"
"2015-10-23","17.650000"
"2015-10-26","17.059999"
"2015-10-27","17.770000"
"2015-10-28","18.490000"
"2015-10-29","18.040001"
"2015-10-30","18.120001"
"2015-11-02","18.299999"
"2015-11-03","18.150000"
"2015-11-04","18.110001"
"2015-11-05","18.350000"
"2015-11-06","18.730000"
"2015-11-09","18.490000"
"2015-11-10","18.430000"
"2015-11-11","18.450001"
"2015-11-12","18.510000"
"2015-11-13","18.350000"
"2015-11-16","18.379999"
"2015-11-17","18.320000"
"2015-11-18","18.690001"
"2015-11-19","18.680000"
"2015-11-20","18.780001"
"2015-11-23","18.639999"
"2015-11-24","18.320000"
"2015-11-25","18.510000"
"2015-11-27","18.740000"
"2015-11-30","18.620001"
"2015-12-01","18.920000"
"2015-12-02","19.150000"
"2015-12-03","18.750000"
"2015-12-04","19.120001"
"2015-12-07","18.750000"
"2015-12-08","18.570000"
"2015-12-09","17.879999"
"2015-12-10","18.030001"
"2015-12-11","17.969999"
"2015-12-14","17.930000"
"2015-12-15","18.190001"
"2015-12-16","18.530001"
"2015-12-17","18.770000"
"2015-12-18","18.670000"
"2015-12-21","18.639999"
