"date, price"
"2014-12-04","190.830002"
"2014-12-05","189.899994"
"2014-12-08","189.889999"
"2014-12-09","187.309998"
"2014-12-10","183.860001"
"2014-12-11","186.830002"
"2014-12-12","184.300003"
"2014-12-15","178.309998"
"2014-12-16","175.179993"
"2014-12-17","181.210007"
"2014-12-18","187.289993"
"2014-12-19","189.970001"
"2014-12-22","189.429993"
"2014-12-23","183.500000"
"2014-12-24","186.220001"
"2014-12-26","188.199997"
"2014-12-29","189.529999"
"2014-12-30","186.289993"
"2014-12-31","184.580002"
"2015-01-02","185.419998"
"2015-01-05","190.720001"
"2015-01-06","188.309998"
"2015-01-07","194.919998"
"2015-01-08","196.820007"
"2015-01-09","194.800003"
"2015-01-12","190.100006"
"2015-01-13","185.089996"
"2015-01-14","182.410004"
"2015-01-15","180.910004"
"2015-01-16","183.820007"
"2015-01-20","196.729996"
"2015-01-21","191.770004"
"2015-01-22","193.889999"
"2015-01-23","197.160004"
"2015-01-26","201.679993"
"2015-01-27","203.250000"
"2015-01-28","197.860001"
"2015-01-29","200.000000"
"2015-01-30","195.190002"
"2015-02-02","194.770004"
"2015-02-03","193.000000"
"2015-02-04","192.029999"
"2015-02-05","194.509995"
"2015-02-06","192.639999"
"2015-02-09","192.270004"
"2015-02-10","194.009995"
"2015-02-11","195.669998"
"2015-02-12","196.729996"
"2015-02-13","198.539993"
"2015-02-17","198.860001"
"2015-02-18","198.619995"
"2015-02-19","202.339996"
"2015-02-20","203.139999"
"2015-02-23","200.949997"
"2015-02-24","199.699997"
"2015-02-25","196.220001"
"2015-02-26","198.460007"
"2015-02-27","195.460007"
"2015-03-02","194.059998"
"2015-03-03","196.029999"
"2015-03-04","192.679993"
"2015-03-05","200.130005"
"2015-03-06","193.139999"
"2015-03-09","193.070007"
"2015-03-10","193.119995"
"2015-03-11","190.240005"
"2015-03-12","188.110001"
"2015-03-13","188.210007"
"2015-03-16","196.720001"
"2015-03-17","194.500000"
"2015-03-18","195.089996"
"2015-03-19","199.809998"
"2015-03-20","196.020004"
"2015-03-23","192.100006"
"2015-03-24","190.910004"
"2015-03-25","183.279999"
"2015-03-26","184.369995"
"2015-03-27","187.169998"
"2015-03-30","187.619995"
"2015-03-31","185.639999"
"2015-04-01","182.210007"
"2015-04-02","183.009995"
"2015-04-06","182.789993"
"2015-04-07","182.759995"
"2015-04-08","185.320007"
"2015-04-09","186.339996"
"2015-04-10","188.160004"
"2015-04-13","190.339996"
"2015-04-14","188.160004"
"2015-04-15","190.460007"
"2015-04-16","193.020004"
"2015-04-17","191.160004"
"2015-04-20","193.179993"
"2015-04-21","199.309998"
"2015-04-22","190.039993"
"2015-04-23","192.600006"
"2015-04-24","189.589996"
"2015-04-27","183.710007"
"2015-04-28","184.380005"
"2015-04-29","186.500000"
"2015-04-30","184.250000"
"2015-05-01","191.229996"
"2015-05-04","189.649994"
"2015-05-05","187.039993"
"2015-05-06","188.550003"
"2015-05-07","190.820007"
"2015-05-08","195.809998"
"2015-05-11","197.539993"
"2015-05-12","196.970001"
"2015-05-13","198.229996"
"2015-05-14","198.919998"
"2015-05-15","199.070007"
"2015-05-18","200.759995"
"2015-05-19","202.139999"
"2015-05-20","201.970001"
"2015-05-21","203.119995"
"2015-05-22","205.000000"
"2015-05-26","205.089996"
"2015-05-27","209.470001"
"2015-05-28","208.619995"
"2015-05-29","206.080002"
"2015-06-01","205.440002"
"2015-06-02","205.190002"
"2015-06-03","208.910004"
"2015-06-04","207.960007"
"2015-06-05","210.210007"
"2015-06-08","210.660004"
"2015-06-09","215.589996"
"2015-06-10","215.449997"
"2015-06-11","217.809998"
"2015-06-12","215.270004"
"2015-06-15","215.070007"
"2015-06-16","215.940002"
"2015-06-17","215.369995"
"2015-06-18","218.770004"
"2015-06-19","218.089996"
"2015-06-22","220.009995"
"2015-06-23","220.750000"
"2015-06-24","220.169998"
"2015-06-25","219.000000"
"2015-06-26","218.059998"
"2015-06-29","213.979996"
"2015-06-30","218.360001"
"2015-07-01","220.679993"
"2015-07-02","220.070007"
"2015-07-06","220.509995"
"2015-07-07","221.770004"
"2015-07-08","213.899994"
"2015-07-09","217.169998"
"2015-07-10","219.449997"
"2015-07-13","221.470001"
"2015-07-14","229.259995"
"2015-07-15","229.080002"
"2015-07-16","230.860001"
"2015-07-17","239.759995"
"2015-07-20","240.020004"
"2015-07-21","237.539993"
"2015-07-22","217.490005"
"2015-07-23","219.940002"
"2015-07-24","221.100006"
"2015-07-27","217.270004"
"2015-07-28","217.820007"
"2015-07-29","217.190002"
"2015-07-30","218.869995"
"2015-07-31","219.300003"
"2015-08-03","216.699997"
"2015-08-04","214.309998"
"2015-08-05","215.860001"
"2015-08-06","209.660004"
"2015-08-07","210.500000"
"2015-08-10","211.770004"
"2015-08-11","208.589996"
"2015-08-12","207.360001"
"2015-08-13","208.839996"
"2015-08-14","208.070007"
"2015-08-17","207.910004"
"2015-08-18","207.000000"
"2015-08-19","205.649994"
"2015-08-20","200.429993"
"2015-08-21","199.949997"
"2015-08-24","191.770004"
"2015-08-25","189.639999"
"2015-08-26","195.699997"
"2015-08-27","201.940002"
"2015-08-28","201.699997"
"2015-08-31","197.610001"
"2015-09-01","193.130005"
"2015-09-02","198.110001"
"2015-09-03","195.449997"
"2015-09-04","193.160004"
"2015-09-08","198.419998"
"2015-09-09","196.740005"
"2015-09-10","199.949997"
"2015-09-11","206.410004"
"2015-09-14","206.020004"
"2015-09-15","205.710007"
"2015-09-16","205.289993"
"2015-09-17","210.059998"
"2015-09-18","208.880005"
"2015-09-21","200.190002"
"2015-09-22","193.089996"
"2015-09-23","189.929993"
"2015-09-24","188.279999"
"2015-09-25","175.539993"
"2015-09-28","167.509995"
"2015-09-29","169.820007"
"2015-09-30","175.820007"
"2015-10-01","157.210007"
"2015-10-02","163.610001"
"2015-10-05","163.169998"
"2015-10-06","145.809998"
"2015-10-07","145.940002"
"2015-10-08","140.369995"
"2015-10-09","147.770004"
"2015-10-12","146.600006"
"2015-10-13","145.429993"
"2015-10-14","144.539993"
"2015-10-15","151.839996"
"2015-10-16","150.220001"
"2015-10-19","147.479996"
"2015-10-20","145.100006"
"2015-10-21","140.169998"
"2015-10-22","142.080002"
"2015-10-23","147.429993"
"2015-10-26","147.649994"
"2015-10-27","145.029999"
"2015-10-28","146.960007"
"2015-10-29","145.720001"
"2015-10-30","143.279999"
"2015-11-02","148.839996"
"2015-11-03","152.860001"
"2015-11-04","159.059998"
"2015-11-05","154.750000"
"2015-11-06","155.839996"
"2015-11-09","154.610001"
"2015-11-10","153.300003"
"2015-11-11","154.970001"
"2015-11-12","155.389999"
"2015-11-13","165.649994"
"2015-11-16","170.110001"
"2015-11-17","173.479996"
"2015-11-18","176.429993"
"2015-11-19","173.770004"
"2015-11-20","174.339996"
"2015-11-23","174.619995"
"2015-11-24","176.289993"
"2015-11-25","180.460007"
"2015-11-27","185.559998"
"2015-11-30","183.899994"
"2015-12-01","187.410004"
"2015-12-02","181.600006"
"2015-12-03","174.139999"
"2015-12-04","178.830002"
"2015-12-07","176.089996"
"2015-12-08","181.740005"
"2015-12-09","178.850006"
"2015-12-10","182.649994"
"2015-12-11","174.820007"
"2015-12-14","174.660004"
"2015-12-15","186.279999"
"2015-12-16","186.919998"
"2015-12-17","181.250000"
"2015-12-18","181.940002"
"2015-12-21","186.839996"
"2015-12-22","186.979996"
"2015-12-23","185.350006"
"2015-12-24","189.000000"
"2015-12-28","188.059998"
"2015-12-29","194.179993"
"2015-12-30","191.070007"
"2015-12-31","191.949997"
"2016-01-04","181.279999"
"2016-01-05","178.020004"
"2016-01-06","177.559998"
"2016-01-07","167.720001"
"2016-01-08","165.169998"
"2016-01-11","165.710007"
"2016-01-12","168.639999"
"2016-01-13","164.490005"
"2016-01-14","175.110001"
"2016-01-15","171.149994"
"2016-01-19","169.580002"
"2016-01-20","171.460007"
"2016-01-21","169.179993"
"2016-01-22","176.710007"
"2016-01-25","174.479996"
"2016-01-26","172.899994"
"2016-01-27","162.419998"
"2016-01-28","154.250000"
"2016-01-29","157.949997"
"2016-02-01","158.940002"
"2016-02-02","154.660004"
"2016-02-03","149.460007"
"2016-02-04","143.380005"
"2016-02-05","136.050003"
"2016-02-08","135.369995"
"2016-02-09","139.490005"
"2016-02-10","138.699997"
"2016-02-11","138.460007"
"2016-02-12","142.720001"
"2016-02-16","149.110001"
"2016-02-17","155.630005"
"2016-02-18","150.160004"
"2016-02-19","151.309998"
"2016-02-22","152.929993"
"2016-02-23","149.940002"
"2016-02-24","149.419998"
"2016-02-25","152.399994"
"2016-02-26","155.309998"
"2016-02-29","150.240005"
"2016-03-01","159.509995"
"2016-03-02","157.199997"
"2016-03-03","157.449997"
"2016-03-04","156.139999"
"2016-03-07","161.619995"
"2016-03-08","150.429993"
"2016-03-09","153.000000"
"2016-03-10","155.059998"
"2016-03-11","158.589996"
"2016-03-14","154.770004"
"2016-03-15","149.979996"
"2016-03-16","149.199997"
"2016-03-17","147.220001"
"2016-03-18","150.240005"
"2016-03-21","155.130005"
"2016-03-22","156.360001"
"2016-03-23","152.539993"
"2016-03-24","155.339996"
"2016-03-28","152.130005"
"2016-03-29","157.130005"
"2016-03-30","157.429993"
"2016-03-31","162.110001"
"2016-04-01","166.860001"
"2016-04-04","167.600006"
"2016-04-05","163.729996"
"2016-04-06","174.160004"
"2016-04-07","168.210007"
"2016-04-08","168.360001"
"2016-04-11","169.899994"
"2016-04-12","171.440002"
"2016-04-13","174.009995"
"2016-04-14","172.639999"
"2016-04-15","173.639999"
"2016-04-18","178.130005"
"2016-04-19","136.880005"
"2016-04-20","139.479996"
"2016-04-21","144.949997"
"2016-04-22","143.589996"
"2016-04-25","143.070007"
"2016-04-26","139.210007"
"2016-04-27","138.589996"
"2016-04-28","135.750000"
"2016-04-29","134.990005"
"2016-05-02","135.919998"
"2016-05-03","133.649994"
"2016-05-04","134.970001"
"2016-05-05","138.899994"
"2016-05-06","140.710007"
"2016-05-09","141.759995"
"2016-05-10","142.839996"
"2016-05-11","138.860001"
"2016-05-12","136.940002"
"2016-05-13","136.919998"
"2016-05-16","140.399994"
"2016-05-17","138.770004"
"2016-05-18","140.229996"
"2016-05-19","138.029999"
"2016-05-20","140.509995"
"2016-05-23","139.830002"
"2016-05-24","143.479996"
"2016-05-25","143.550003"
"2016-05-26","143.119995"
"2016-05-27","143.850006"
"2016-05-31","144.830002"
"2016-06-01","145.779999"
"2016-06-02","147.100006"
"2016-06-03","145.539993"
"2016-06-06","147.600006"
"2016-06-07","144.949997"
"2016-06-08","145.259995"
"2016-06-09","143.419998"
"2016-06-10","141.619995"
"2016-06-13","139.710007"
"2016-06-14","137.770004"
"2016-06-15","136.729996"
"2016-06-16","136.339996"
"2016-06-17","137.050003"
"2016-06-20","140.100006"
"2016-06-21","139.050003"
"2016-06-22","140.889999"
"2016-06-23","146.589996"
"2016-06-24","138.910004"
"2016-06-27","135.479996"
"2016-06-28","135.009995"
"2016-06-29","137.580002"
"2016-06-30","140.380005"
"2016-07-01","140.729996"
"2016-07-05","138.669998"
"2016-07-06","140.789993"
"2016-07-07","140.059998"
"2016-07-08","141.250000"
"2016-07-11","139.639999"
"2016-07-12","148.990005"
"2016-07-13","145.860001"
"2016-07-14","147.229996"
"2016-07-15","148.710007"
"2016-07-18","149.570007"
"2016-07-19","148.679993"
"2016-07-20","152.589996"
"2016-07-21","151.309998"
"2016-07-22","150.759995"
"2016-07-25","150.639999"
"2016-07-26","150.100006"
