"date, price"
"2014-12-04","56.744446"
"2014-12-05","56.541111"
"2014-12-08","57.235558"
"2014-12-09","57.214443"
"2014-12-10","55.643333"
"2014-12-11","56.235558"
"2014-12-12","55.863335"
"2014-12-15","55.445557"
"2014-12-16","55.241112"
"2014-12-17","56.689999"
"2014-12-18","58.167778"
"2014-12-19","59.106667"
"2014-12-22","59.315556"
"2014-12-23","58.462223"
"2014-12-24","58.993332"
"2014-12-26","59.026669"
"2014-12-29","58.858891"
"2014-12-30","58.434444"
"2014-12-31","58.771111"
"2015-01-02","58.396667"
"2015-01-05","57.152222"
"2015-01-06","57.754444"
"2015-01-07","58.071110"
"2015-01-08","59.222221"
"2015-01-09","57.874443"
"2015-01-12","58.389999"
"2015-01-13","57.962223"
"2015-01-14","59.484444"
"2015-01-15","58.264442"
"2015-01-16","58.958889"
"2015-01-20","57.987778"
"2015-01-21","57.568890"
"2015-01-22","58.375557"
"2015-01-23","57.507778"
"2015-01-26","57.889999"
"2015-01-27","56.578888"
"2015-01-28","55.840000"
"2015-01-29","56.108891"
"2015-01-30","54.942223"
"2015-02-02","56.347778"
"2015-02-03","56.517776"
"2015-02-04","56.102222"
"2015-02-05","57.352222"
"2015-02-06","56.918888"
"2015-02-09","55.698891"
"2015-02-10","55.541111"
"2015-02-11","55.436668"
"2015-02-12","56.412224"
"2015-02-13","56.747780"
"2015-02-17","57.111111"
"2015-02-18","56.984444"
"2015-02-19","56.830002"
"2015-02-20","57.034443"
"2015-02-23","57.077778"
"2015-02-24","56.874443"
"2015-02-25","56.406666"
"2015-02-26","56.258888"
"2015-02-27","55.555557"
"2015-03-02","55.917778"
"2015-03-03","56.563332"
"2015-03-04","55.617779"
"2015-03-05","55.502220"
"2015-03-06","54.893333"
"2015-03-09","54.732224"
"2015-03-10","54.168888"
"2015-03-11","54.834442"
"2015-03-12","55.472221"
"2015-03-13","54.827778"
"2015-03-16","56.313332"
"2015-03-17","56.194443"
"2015-03-18","56.540001"
"2015-03-19","56.528889"
"2015-03-20","56.558887"
"2015-03-23","56.467777"
"2015-03-24","55.966667"
"2015-03-25","55.025555"
"2015-03-26","55.443333"
"2015-03-27","55.250000"
"2015-03-30","56.240002"
"2015-03-31","56.114445"
"2015-04-01","56.279999"
"2015-04-02","56.476665"
"2015-04-06","57.147778"
"2015-04-07","56.939999"
"2015-04-08","56.828888"
"2015-04-09","57.009998"
"2015-04-10","58.928890"
"2015-04-13","60.256668"
"2015-04-14","59.561111"
"2015-04-15","59.301109"
"2015-04-16","60.387779"
"2015-04-17","60.077778"
"2015-04-20","61.442223"
"2015-04-21","60.747780"
"2015-04-22","57.436668"
"2015-04-23","56.974445"
"2015-04-24","56.213333"
"2015-04-27","55.613335"
"2015-04-28","56.104443"
"2015-04-29","55.503334"
"2015-04-30","55.108891"
"2015-05-01","55.328888"
"2015-05-04","55.373333"
"2015-05-05","54.773335"
"2015-05-06","54.301109"
"2015-05-07","54.347778"
"2015-05-08","54.924442"
"2015-05-11","55.152222"
"2015-05-12","54.982224"
"2015-05-13","55.384445"
"2015-05-14","55.816666"
"2015-05-15","55.962223"
"2015-05-18","55.849998"
"2015-05-19","55.873333"
"2015-05-20","54.707779"
"2015-05-21","54.994446"
"2015-05-22","55.029999"
"2015-05-26","54.130001"
"2015-05-27","54.851112"
"2015-05-28","53.977779"
"2015-05-29","54.194443"
"2015-06-01","55.797779"
"2015-06-02","55.458889"
"2015-06-03","55.682220"
"2015-06-04","55.137779"
"2015-06-05","55.008888"
"2015-06-08","54.506668"
"2015-06-09","55.246666"
"2015-06-10","56.023335"
"2015-06-11","55.360001"
"2015-06-12","55.073334"
"2015-06-15","54.631111"
"2015-06-16","54.536667"
"2015-06-17","54.314445"
"2015-06-18","55.111111"
"2015-06-19","54.972221"
"2015-06-22","55.494446"
"2015-06-23","55.180000"
"2015-06-24","54.716667"
"2015-06-25","54.984444"
"2015-06-26","55.238888"
"2015-06-29","53.753334"
"2015-06-30","53.833332"
"2015-07-01","53.982224"
"2015-07-02","54.032223"
"2015-07-06","53.122223"
"2015-07-07","53.496666"
"2015-07-08","53.183334"
"2015-07-09","53.496666"
"2015-07-10","54.207779"
"2015-07-13","55.282223"
"2015-07-14","54.661110"
"2015-07-15","54.497780"
"2015-07-16","54.445557"
"2015-07-17","54.423332"
"2015-07-20","55.290001"
"2015-07-21","56.121113"
"2015-07-22","61.097778"
"2015-07-23","61.911110"
"2015-07-24","60.675556"
"2015-07-27","60.461109"
"2015-07-28","60.028889"
"2015-07-29","60.032223"
"2015-07-30","59.957779"
"2015-07-31","59.241112"
"2015-08-03","58.500000"
"2015-08-04","58.527779"
"2015-08-05","59.007778"
"2015-08-06","58.230000"
"2015-08-07","59.221111"
"2015-08-10","59.139999"
"2015-08-11","58.871113"
"2015-08-12","58.808887"
"2015-08-13","58.652222"
"2015-08-14","58.874443"
"2015-08-17","59.227779"
"2015-08-18","58.855556"
"2015-08-19","58.513332"
"2015-08-20","57.135555"
"2015-08-21","56.315556"
"2015-08-24","54.534443"
"2015-08-25","54.939999"
"2015-08-26","56.494446"
"2015-08-27","57.285557"
"2015-08-28","57.137779"
"2015-08-31","56.772221"
"2015-09-01","55.935555"
"2015-09-02","56.792221"
"2015-09-03","57.083332"
"2015-09-04","56.488888"
"2015-09-08","57.848888"
"2015-09-09","56.663334"
"2015-09-10","56.837776"
"2015-09-11","57.255554"
"2015-09-14","56.731110"
"2015-09-15","57.085556"
"2015-09-16","57.166668"
"2015-09-17","57.693333"
"2015-09-18","56.828888"
"2015-09-21","56.104443"
"2015-09-22","54.912224"
"2015-09-23","54.431110"
"2015-09-24","54.573334"
"2015-09-25","52.878887"
"2015-09-28","51.501110"
"2015-09-29","50.607777"
"2015-09-30","51.064445"
"2015-10-01","50.618889"
"2015-10-02","51.652222"
"2015-10-05","52.090000"
"2015-10-06","51.066666"
"2015-10-07","51.855556"
"2015-10-08","52.045555"
"2015-10-09","52.183334"
"2015-10-12","51.204445"
"2015-10-13","50.712223"
"2015-10-14","50.540001"
"2015-10-15","51.367779"
"2015-10-16","51.925556"
"2015-10-19","53.160000"
"2015-10-20","52.556667"
"2015-10-21","55.490002"
"2015-10-22","55.131111"
"2015-10-23","55.558887"
"2015-10-26","55.172222"
"2015-10-27","55.195557"
"2015-10-28","55.557777"
"2015-10-29","55.586666"
"2015-10-30","55.177776"
"2015-11-02","56.028889"
"2015-11-03","55.934444"
"2015-11-04","55.716667"
"2015-11-05","55.483334"
"2015-11-06","55.662224"
"2015-11-09","55.337776"
"2015-11-10","55.840000"
"2015-11-11","55.401112"
"2015-11-12","55.555557"
"2015-11-13","55.421112"
"2015-11-16","55.656666"
"2015-11-17","55.389999"
"2015-11-18","56.373333"
"2015-11-19","56.018890"
"2015-11-20","57.396667"
"2015-11-23","57.676666"
"2015-11-24","57.415558"
"2015-11-25","57.541111"
"2015-11-27","57.693333"
"2015-11-30","57.779999"
"2015-12-01","58.027779"
"2015-12-02","57.506668"
"2015-12-03","56.517776"
"2015-12-04","57.933334"
"2015-12-07","58.057777"
"2015-12-08","57.015556"
"2015-12-09","57.072224"
"2015-12-10","58.448891"
"2015-12-11","58.163334"
"2015-12-14","58.750000"
"2015-12-15","59.673332"
"2015-12-16","60.570000"
"2015-12-17","59.896667"
"2015-12-18","59.353333"
"2015-12-21","59.924442"
"2015-12-22","60.161110"
"2015-12-23","60.858891"
"2015-12-24","60.827778"
"2015-12-28","60.790001"
"2015-12-29","61.485558"
"2015-12-30","61.389999"
"2015-12-31","60.684444"
"2016-01-04","60.821110"
"2016-01-05","61.328888"
"2016-01-06","61.471111"
"2016-01-07","59.655556"
"2016-01-08","59.615555"
"2016-01-11","59.953335"
"2016-01-12","60.235558"
"2016-01-13","60.571110"
"2016-01-14","61.752220"
"2016-01-15","61.916668"
"2016-01-19","61.832222"
"2016-01-20","61.617779"
"2016-01-21","61.733334"
"2016-01-22","62.901112"
"2016-01-25","62.024445"
"2016-01-26","60.582222"
"2016-01-27","59.335556"
"2016-01-28","58.509998"
"2016-01-29","60.094444"
"2016-02-01","60.351112"
"2016-02-02","59.927776"
"2016-02-03","60.566666"
"2016-02-04","61.325558"
"2016-02-05","59.582222"
"2016-02-08","56.364445"
"2016-02-09","56.535557"
"2016-02-10","58.267776"
"2016-02-11","57.950001"
"2016-02-12","59.031113"
"2016-02-16","59.462223"
"2016-02-17","60.206669"
"2016-02-18","60.291111"
"2016-02-19","60.704445"
"2016-02-22","61.278889"
"2016-02-23","60.988888"
"2016-02-24","61.516666"
"2016-02-25","62.142223"
"2016-02-26","63.052223"
"2016-02-29","62.562222"
"2016-03-01","63.498890"
"2016-03-02","63.756668"
"2016-03-03","63.782223"
"2016-03-04","63.405556"
"2016-03-07","63.632221"
"2016-03-08","62.984444"
"2016-03-09","63.655556"
"2016-03-10","63.744446"
"2016-03-11","64.494446"
"2016-03-14","65.896667"
"2016-03-15","65.266670"
"2016-03-16","65.264442"
"2016-03-17","62.483334"
"2016-03-18","64.783333"
"2016-03-21","64.776665"
"2016-03-22","65.669998"
"2016-03-23","65.147781"
"2016-03-24","64.812225"
"2016-03-28","64.907776"
"2016-03-29","67.007774"
"2016-03-30","66.475555"
"2016-03-31","66.783333"
"2016-04-01","67.388885"
"2016-04-04","69.117775"
"2016-04-05","68.102219"
"2016-04-06","69.568886"
"2016-04-07","68.308891"
"2016-04-08","68.863335"
"2016-04-11","68.911110"
"2016-04-12","69.501114"
"2016-04-13","69.667778"
"2016-04-14","69.232224"
"2016-04-15","69.357780"
"2016-04-18","69.664444"
"2016-04-19","69.301109"
"2016-04-20","71.617775"
"2016-04-21","71.323334"
"2016-04-22","70.905556"
"2016-04-25","70.971107"
"2016-04-26","70.277779"
"2016-04-27","70.334442"
"2016-04-28","70.166664"
"2016-04-29","69.595558"
"2016-05-02","70.373337"
"2016-05-03","68.736664"
"2016-05-04","68.349998"
"2016-05-05","68.368889"
"2016-05-06","68.773331"
"2016-05-09","69.317780"
"2016-05-10","69.617775"
"2016-05-11","69.743332"
"2016-05-12","70.366669"
"2016-05-13","69.867775"
"2016-05-16","70.585556"
"2016-05-17","69.042221"
"2016-05-18","69.467781"
"2016-05-19","69.309998"
"2016-05-20","70.286667"
"2016-05-23","69.849998"
"2016-05-24","70.963333"
"2016-05-25","71.448891"
"2016-05-26","70.800003"
"2016-05-27","70.738892"
"2016-05-31","70.523331"
"2016-06-01","70.854446"
"2016-06-02","71.048889"
"2016-06-03","70.760002"
"2016-06-06","70.624443"
"2016-06-07","70.654442"
"2016-06-08","71.431114"
"2016-06-09","72.022224"
"2016-06-10","71.287781"
"2016-06-13","71.566666"
"2016-06-14","71.665558"
"2016-06-15","71.678886"
"2016-06-16","71.503334"
"2016-06-17","71.304443"
"2016-06-20","72.008888"
"2016-06-21","71.685555"
"2016-06-22","72.383331"
"2016-06-23","73.480003"
"2016-06-24","71.646667"
"2016-06-27","69.988892"
"2016-06-28","70.956665"
"2016-06-29","73.080002"
"2016-06-30","73.489998"
"2016-07-01","74.034447"
"2016-07-05","73.852219"
"2016-07-06","74.493332"
"2016-07-07","75.033333"
"2016-07-08","75.426666"
"2016-07-11","74.855553"
"2016-07-12","75.034447"
"2016-07-13","74.760002"
"2016-07-14","75.066666"
"2016-07-15","74.486664"
"2016-07-18","74.504440"
"2016-07-19","74.655556"
"2016-07-20","78.116669"
"2016-07-21","76.772224"
"2016-07-22","76.596664"
"2016-07-25","76.263336"
"2016-07-26","76.291115"
"2016-07-27","75.897781"
"2016-07-28","76.676666"
"2016-07-29","77.306664"
"2016-08-01","77.096664"
"2016-08-02","76.721107"
"2016-08-03","76.414444"
"2016-08-04","77.065559"
"2016-08-05","77.036667"
"2016-08-08","76.982224"
"2016-08-09","77.408890"
"2016-08-10","77.026665"
"2016-08-11","77.282219"
"2016-08-12","76.768890"
"2016-08-15","76.998886"
"2016-08-16","76.226669"
"2016-08-17","75.877777"
"2016-08-18","76.180000"
"2016-08-19","76.407776"
"2016-08-22","76.916664"
"2016-08-23","77.328888"
"2016-08-24","76.176666"
"2016-08-25","76.272224"
"2016-08-26","76.143333"
"2016-08-29","76.394447"
"2016-08-30","76.392220"
"2016-08-31","76.268890"
"2016-09-01","76.632225"
"2016-09-02","76.485558"
"2016-09-06","77.013336"
"2016-09-07","76.674446"
"2016-09-08","76.794441"
"2016-09-09","75.135559"
"2016-09-12","75.932220"
"2016-09-13","74.692223"
"2016-09-14","74.791115"
"2016-09-15","76.021111"
"2016-09-16","76.263336"
"2016-09-19","77.061111"
"2016-09-20","77.652222"
"2016-09-21","78.117775"
"2016-09-22","79.800003"
"2016-09-23","78.913330"
"2016-09-26","78.582222"
"2016-09-27","80.021111"
"2016-09-28","79.752220"
"2016-09-29","79.998886"
"2016-09-30","80.536667"
"2016-10-03","79.771111"
"2016-10-04","79.624443"
"2016-10-05","79.788887"
"2016-10-06","79.576668"
"2016-10-07","79.782219"
"2016-10-10","80.512222"
"2016-10-11","78.922218"
"2016-10-12","78.992226"
