"date, price"
"2014-12-04","178.279999"
"2014-12-05","178.360001"
"2014-12-08","183.029999"
"2014-12-09","178.190002"
"2014-12-10","175.440002"
"2014-12-11","173.210007"
"2014-12-12","165.119995"
"2014-12-15","162.600006"
"2014-12-16","159.649994"
"2014-12-17","166.399994"
"2014-12-18","169.880005"
"2014-12-19","169.029999"
"2014-12-22","164.960007"
"2014-12-23","163.500000"
"2014-12-24","165.330002"
"2014-12-26","166.550003"
"2014-12-29","166.770004"
"2014-12-30","163.139999"
"2014-12-31","163.729996"
"2015-01-02","163.429993"
"2015-01-05","160.309998"
"2015-01-06","158.119995"
"2015-01-07","162.990005"
"2015-01-08","163.750000"
"2015-01-09","161.789993"
"2015-01-12","162.110001"
"2015-01-13","161.669998"
"2015-01-14","162.259995"
"2015-01-15","159.119995"
"2015-01-16","164.970001"
"2015-01-20","169.600006"
"2015-01-21","174.979996"
"2015-01-22","176.190002"
"2015-01-23","175.559998"
"2015-01-26","176.779999"
"2015-01-27","174.529999"
"2015-01-28","170.759995"
"2015-01-29","172.070007"
"2015-01-30","169.339996"
"2015-02-02","167.740005"
"2015-02-03","167.309998"
"2015-02-04","166.830002"
"2015-02-05","171.860001"
"2015-02-06","171.789993"
"2015-02-09","166.970001"
"2015-02-10","167.979996"
"2015-02-11","165.929993"
"2015-02-12","162.809998"
"2015-02-13","169.690002"
"2015-02-17","171.399994"
"2015-02-18","171.679993"
"2015-02-19","170.800003"
"2015-02-20","172.419998"
"2015-02-23","173.179993"
"2015-02-24","176.130005"
"2015-02-25","179.100006"
"2015-02-26","175.190002"
"2015-02-27","170.089996"
"2015-03-02","174.419998"
"2015-03-03","176.300003"
"2015-03-04","172.740005"
"2015-03-05","174.759995"
"2015-03-06","172.119995"
"2015-03-09","173.729996"
"2015-03-10","169.990005"
"2015-03-11","169.009995"
"2015-03-12","174.410004"
"2015-03-13","175.089996"
"2015-03-16","179.070007"
"2015-03-17","182.460007"
"2015-03-18","186.360001"
"2015-03-19","187.119995"
"2015-03-20","189.009995"
"2015-03-23","182.169998"
"2015-03-24","181.000000"
"2015-03-25","173.100006"
"2015-03-26","173.389999"
"2015-03-27","175.419998"
"2015-03-30","175.419998"
"2015-03-31","172.789993"
"2015-04-01","171.029999"
"2015-04-02","168.860001"
"2015-04-06","167.869995"
"2015-04-07","168.770004"
"2015-04-08","180.389999"
"2015-04-09","180.830002"
"2015-04-10","183.960007"
"2015-04-13","183.360001"
"2015-04-14","182.809998"
"2015-04-15","187.000000"
"2015-04-16","189.919998"
"2015-04-17","187.179993"
"2015-04-20","186.740005"
"2015-04-21","186.550003"
"2015-04-22","186.130005"
"2015-04-23","189.089996"
"2015-04-24","189.419998"
"2015-04-27","182.990005"
"2015-04-28","182.800003"
"2015-04-29","183.160004"
"2015-04-30","178.699997"
"2015-05-01","180.740005"
