"date, price"
"2014-12-04","53.349998"
"2014-12-05","53.619999"
"2014-12-08","53.810001"
"2014-12-09","53.549999"
"2014-12-10","53.139999"
"2014-12-11","54.049999"
"2014-12-12","52.959999"
"2014-12-15","53.090000"
"2014-12-16","53.169998"
"2014-12-17","53.619999"
"2014-12-18","53.900002"
"2014-12-19","54.240002"
"2014-12-22","54.209999"
"2014-12-23","54.410000"
"2014-12-24","54.450001"
"2014-12-26","54.259998"
"2014-12-29","54.349998"
"2014-12-30","53.689999"
"2014-12-31","53.639999"
"2015-01-02","53.770000"
"2015-01-05","53.049999"
"2015-01-06","53.459999"
"2015-01-07","54.259998"
"2015-01-08","54.790001"
"2015-01-09","54.689999"
"2015-01-12","54.470001"
"2015-01-13","54.709999"
"2015-01-14","54.959999"
"2015-01-15","54.810001"
"2015-01-16","55.110001"
"2015-01-20","55.430000"
"2015-01-21","55.570000"
"2015-01-22","56.049999"
"2015-01-23","56.029999"
"2015-01-26","56.450001"
"2015-01-27","56.430000"
"2015-01-28","56.360001"
"2015-01-29","56.500000"
"2015-01-30","56.020000"
"2015-02-02","56.220001"
"2015-02-03","56.799999"
"2015-02-04","56.810001"
"2015-02-05","56.959999"
"2015-02-06","57.000000"
"2015-02-09","56.490002"
"2015-02-10","56.810001"
"2015-02-11","56.740002"
"2015-02-12","57.389999"
"2015-02-13","57.549999"
"2015-02-17","57.599998"
"2015-02-18","58.160000"
"2015-02-19","58.220001"
"2015-02-20","58.240002"
"2015-02-23","58.180000"
"2015-02-24","58.360001"
"2015-02-25","57.900002"
"2015-02-26","59.029999"
"2015-02-27","58.099998"
"2015-03-02","58.279999"
"2015-03-03","58.880001"
"2015-03-04","58.889999"
"2015-03-05","59.080002"
"2015-03-06","57.599998"
"2015-03-09","57.590000"
"2015-03-10","57.369999"
"2015-03-11","57.689999"
"2015-03-12","58.340000"
"2015-03-13","57.880001"
"2015-03-16","58.439999"
"2015-03-17","58.529999"
"2015-03-18","59.060001"
"2015-03-19","58.750000"
"2015-03-20","59.480000"
"2015-03-23","59.160000"
"2015-03-24","59.189999"
"2015-03-25","58.529999"
"2015-03-26","58.090000"
"2015-03-27","58.730000"
"2015-03-30","58.990002"
"2015-03-31","59.270000"
"2015-04-01","59.669998"
"2015-04-02","59.580002"
"2015-04-06","59.650002"
"2015-04-07","59.169998"
"2015-04-08","60.009998"
"2015-04-09","59.910000"
"2015-04-10","60.000000"
"2015-04-13","59.610001"
"2015-04-14","59.900002"
"2015-04-15","59.820000"
"2015-04-16","60.299999"
"2015-04-17","59.660000"
"2015-04-20","59.459999"
"2015-04-21","59.730000"
"2015-04-22","60.380001"
"2015-04-23","60.480000"
"2015-04-24","60.419998"
"2015-04-27","59.540001"
"2015-04-28","59.349998"
"2015-04-29","58.849998"
"2015-04-30","57.959999"
"2015-05-01","58.220001"
"2015-05-04","58.169998"
"2015-05-05","57.410000"
"2015-05-06","58.959999"
"2015-05-07","59.320000"
"2015-05-08","59.490002"
"2015-05-11","59.259998"
"2015-05-12","59.439999"
"2015-05-13","59.990002"
