"date, price"
"2019-03-25","9.800000"
"2019-03-26","9.810000"
"2019-03-27","9.810000"
"2019-03-28","9.750000"
"2019-03-29","9.750000"
"2019-04-01","9.825000"
"2019-04-02","9.810000"
"2019-04-03","9.810000"
"2019-04-04","9.790000"
"2019-04-05","9.820000"
"2019-04-08","9.830000"
"2019-04-09","9.830000"
"2019-04-10","9.800000"
"2019-04-11","9.800000"
"2019-04-12","9.850000"
"2019-04-15","9.850000"
"2019-04-16","9.850000"
"2019-04-17","9.830000"
"2019-04-18","9.820000"
"2019-04-22","9.800000"
"2019-04-23","9.850000"
"2019-04-24","9.800000"
"2019-04-25","9.850000"
"2019-04-26","9.830000"
"2019-04-29","9.830000"
"2019-04-30","9.830000"
"2019-05-01","9.830000"
"2019-05-02","9.900000"
"2019-05-03","9.900000"
"2019-05-06","9.900000"
"2019-05-07","9.900000"
"2019-05-08","9.900000"
"2019-05-09","9.900000"
"2019-05-10","9.900000"
"2019-05-13","9.900000"
"2019-05-14","9.900000"
"2019-05-15","9.900000"
"2019-05-16","9.900000"
"2019-05-17","9.970000"
"2019-05-20","9.930000"
"2019-05-21","9.930000"
"2019-05-22","9.930000"
"2019-05-23","9.930000"
"2019-05-24","9.930000"
"2019-05-28","9.900000"
"2019-05-29","9.900000"
"2019-05-30","9.900000"
"2019-05-31","9.900000"
"2019-06-03","9.950000"
"2019-06-04","9.900000"
"2019-06-05","9.900000"
"2019-06-06","9.900000"
"2019-06-07","9.900000"
"2019-06-10","10.000000"
"2019-06-11","9.950000"
"2019-06-12","9.930000"
"2019-06-13","9.930000"
"2019-06-14","9.990000"
"2019-06-17","10.000000"
"2019-06-18","9.950000"
"2019-06-19","10.000000"
"2019-06-20","10.000000"
"2019-06-21","10.050000"
"2019-06-24","10.279000"
"2019-06-25","10.100000"
"2019-06-26","10.211000"
"2019-06-27","10.080000"
"2019-06-28","10.070000"
"2019-07-01","10.050000"
"2019-07-02","10.070000"
"2019-07-03","10.070000"
"2019-07-05","10.100000"
"2019-07-08","10.080000"
"2019-07-09","10.100000"
"2019-07-10","10.100000"
"2019-07-11","10.060000"
"2019-07-12","10.060000"
"2019-07-15","10.060000"
"2019-07-16","10.060000"
"2019-07-17","10.060000"
"2019-07-18","10.060000"
"2019-07-19","10.060000"
"2019-07-22","10.060000"
"2019-07-23","10.060000"
"2019-07-24","10.050000"
"2019-07-25","10.050000"
"2019-07-26","10.050000"
"2019-07-29","10.050000"
"2019-07-30","10.340000"
"2019-07-31","10.120000"
"2019-08-01","10.120000"
"2019-08-02","10.120000"
"2019-08-05","10.120000"
"2019-08-06","10.120000"
"2019-08-07","10.100000"
"2019-08-08","10.100000"
"2019-08-09","10.100000"
"2019-08-12","10.100000"
"2019-08-13","10.100000"
"2019-08-14","10.100000"
"2019-08-15","10.100000"
"2019-08-16","10.100000"
"2019-08-19","10.100000"
"2019-08-20","10.100000"
"2019-08-21","10.100000"
"2019-08-22","10.100000"
"2019-08-23","10.100000"
"2019-08-26","10.100000"
"2019-08-27","10.020000"
"2019-08-28","10.020000"
"2019-08-29","10.020000"
"2019-08-30","10.050000"
"2019-09-03","10.050000"
"2019-09-04","10.030000"
"2019-09-05","10.030000"
"2019-09-06","10.030000"
"2019-09-09","10.100000"
"2019-09-10","10.100000"
"2019-09-11","10.100000"
"2019-09-12","10.100000"
"2019-09-13","10.100000"
"2019-09-16","10.100000"
"2019-09-17","10.100000"
"2019-09-18","10.100000"
"2019-09-19","10.100000"
"2019-09-20","10.100000"
"2019-09-23","10.100000"
"2019-09-24","10.100000"
"2019-09-25","10.100000"
"2019-09-26","10.100000"
"2019-09-27","10.100000"
"2019-09-30","10.100000"
"2019-10-01","10.100000"
"2019-10-02","10.100000"
"2019-10-03","10.100000"
"2019-10-04","10.100000"
"2019-10-07","10.100000"
"2019-10-08","10.100000"
"2019-10-09","10.050000"
"2019-10-10","10.050000"
"2019-10-11","10.050000"
"2019-10-14","10.050000"
"2019-10-15","10.050000"
"2019-10-16","10.200000"
"2019-10-17","10.200000"
"2019-10-18","10.200000"
"2019-10-21","10.200000"
"2019-10-22","10.200000"
"2019-10-23","10.200000"
"2019-10-24","10.200000"
"2019-10-25","10.200000"
"2019-10-28","10.200000"
"2019-10-29","10.090000"
"2019-10-30","10.090000"
"2019-10-31","10.080000"
"2019-11-01","10.080000"
"2019-11-04","10.150000"
"2019-11-05","10.150000"
"2019-11-06","10.150000"
"2019-11-07","10.150000"
"2019-11-08","10.150000"
"2019-11-11","10.150000"
"2019-11-12","10.150000"
"2019-11-13","10.150000"
"2019-11-14","10.150000"
"2019-11-15","10.150000"
"2019-11-18","10.150000"
"2019-11-19","10.150000"
"2019-11-20","10.200000"
"2019-11-21","10.200000"
"2019-11-22","10.150000"
"2019-11-25","10.140000"
"2019-11-26","10.120000"
"2019-11-27","10.120000"
"2019-11-29","10.120000"
"2019-12-02","10.120000"
"2019-12-03","10.120000"
"2019-12-04","10.120000"
"2019-12-05","10.170000"
"2019-12-06","10.200000"
"2019-12-09","10.200000"
"2019-12-10","10.200000"
"2019-12-11","10.200000"
"2019-12-12","10.200000"
"2019-12-13","10.200000"
"2019-12-16","10.200000"
"2019-12-17","10.200000"
"2019-12-18","10.200000"
"2019-12-19","10.200000"
"2019-12-20","10.200000"
"2019-12-23","10.200000"
"2019-12-24","10.200000"
"2019-12-26","10.200000"
"2019-12-27","10.200000"
"2019-12-30","10.200000"
"2019-12-31","10.200000"
"2020-01-02","10.200000"
"2020-01-03","10.250000"
"2020-01-06","10.360000"
"2020-01-07","10.360000"
"2020-01-08","10.260000"
"2020-01-09","10.290000"
"2020-01-10","10.350000"
"2020-01-13","10.400000"
"2020-01-14","10.460000"
"2020-01-15","10.500000"
"2020-01-16","10.500000"
"2020-01-17","10.550000"
"2020-01-21","10.590000"
"2020-01-22","10.600000"
"2020-01-23","10.590000"
"2020-01-24","10.580000"
"2020-01-27","10.600000"
"2020-01-28","10.600000"
"2020-01-29","10.560000"
"2020-01-30","10.600000"
"2020-01-31","10.600000"
"2020-02-03","10.586000"
"2020-02-04","10.580000"
"2020-02-05","10.600000"
"2020-02-06","10.605000"
"2020-02-07","10.600000"
"2020-02-10","10.600000"
"2020-02-11","10.600000"
"2020-02-12","10.600000"
"2020-02-13","10.575000"
"2020-02-14","10.590000"
"2020-02-18","10.550000"
"2020-02-19","10.600000"
"2020-02-20","10.600000"
"2020-02-21","10.610000"
"2020-02-24","10.510000"
"2020-02-25","10.580000"
"2020-02-26","10.550000"
"2020-02-27","10.572000"
"2020-02-28","10.600000"
"2020-03-02","10.600000"
"2020-03-03","10.600000"
"2020-03-04","10.600000"
"2020-03-05","10.600000"
"2020-03-06","10.600000"
"2020-03-09","10.600000"
"2020-03-10","10.522000"
"2020-03-11","10.500000"
"2020-03-12","10.500000"
"2020-03-13","10.500000"
"2020-03-16","9.730000"
"2020-03-17","10.000000"
"2020-03-18","9.700000"
"2020-03-19","9.600000"
"2020-03-20","9.760000"
"2020-03-23","9.750000"
"2020-03-24","9.760000"
"2020-03-25","9.990000"
"2020-03-26","9.990000"
"2020-03-27","9.900000"
"2020-03-30","9.900000"
"2020-03-31","10.160000"
"2020-04-01","10.150000"
"2020-04-02","10.100000"
"2020-04-03","10.000000"
"2020-04-06","9.950000"
"2020-04-07","9.950000"
"2020-04-08","10.070000"
"2020-04-09","10.091000"
"2020-04-13","10.091000"
"2020-04-14","10.090000"
"2020-04-15","10.030000"
"2020-04-16","10.080000"
"2020-04-17","10.100000"
"2020-04-20","10.100000"
"2020-04-21","10.070000"
"2020-04-22","10.350000"
"2020-04-23","10.350000"
"2020-04-24","10.340000"
"2020-04-27","10.340000"
"2020-04-28","10.280000"
"2020-04-29","10.150000"
"2020-04-30","10.200000"
"2020-05-01","10.200000"
"2020-05-04","10.200000"
"2020-05-05","10.200000"
"2020-05-06","10.200000"
"2020-05-07","10.200000"
"2020-05-08","10.200000"
"2020-05-11","10.220000"
"2020-05-12","10.190000"
"2020-05-13","10.260000"
"2020-05-14","10.250000"
"2020-05-15","10.250000"
"2020-05-18","10.250000"
"2020-05-19","10.250000"
"2020-05-20","10.250000"
"2020-05-21","10.300000"
"2020-05-22","10.300000"
"2020-05-26","10.250000"
"2020-05-27","10.250000"
"2020-05-28","10.250000"
"2020-05-29","10.250000"
"2020-06-01","10.340000"
"2020-06-02","10.333000"
"2020-06-03","10.350000"
"2020-06-04","10.350000"
"2020-06-05","10.330000"
"2020-06-08","10.350000"
"2020-06-09","10.350000"
"2020-06-10","10.500000"
"2020-06-11","10.450000"
"2020-06-12","10.600000"
"2020-06-15","10.600000"
