"date, price"
"2020-06-05","37.000000"
"2020-06-08","36.099998"
"2020-06-09","37.500000"
"2020-06-10","38.049999"
"2020-06-11","36.250000"
"2020-06-12","38.040001"
"2020-06-15","38.450001"
"2020-06-16","38.580002"
"2020-06-17","37.590000"
"2020-06-18","39.290001"
"2020-06-19","39.619999"
"2020-06-22","41.500000"
"2020-06-23","41.000000"
"2020-06-24","40.029999"
"2020-06-25","40.529999"
"2020-06-26","40.029999"
"2020-06-29","41.099998"
"2020-06-30","42.560001"
"2020-07-01","39.200001"
"2020-07-02","39.610001"
"2020-07-06","39.160000"
"2020-07-07","37.160000"
"2020-07-08","39.540001"
"2020-07-09","38.880001"
"2020-07-10","38.320000"
"2020-07-13","37.500000"
"2020-07-14","37.470001"
"2020-07-15","37.360001"
"2020-07-16","34.900002"
"2020-07-17","35.200001"
"2020-07-20","35.320000"
"2020-07-21","35.930000"
"2020-07-22","36.200001"
"2020-07-23","37.150002"
"2020-07-24","36.310001"
"2020-07-27","35.340000"
"2020-07-28","35.529999"
"2020-07-29","35.950001"
"2020-07-30","35.790001"
"2020-07-31","35.240002"
"2020-08-03","33.419998"
"2020-08-04","34.000000"
"2020-08-05","33.810001"
"2020-08-06","33.200001"
"2020-08-07","31.959999"
"2020-08-10","31.490000"
"2020-08-11","30.990000"
"2020-08-12","31.150000"
"2020-08-13","31.250000"
"2020-08-14","31.379999"
"2020-08-17","32.520000"
"2020-08-18","32.830002"
"2020-08-19","32.450001"
"2020-08-20","34.290001"
"2020-08-21","36.090000"
"2020-08-24","35.060001"
"2020-08-25","34.139999"
"2020-08-26","34.110001"
"2020-08-27","34.340000"
"2020-08-28","34.000000"
"2020-08-31","34.000000"
"2020-09-01","32.669998"
"2020-09-02","31.709999"
"2020-09-03","30.320000"
"2020-09-04","29.570000"
"2020-09-08","28.650000"
"2020-09-09","29.820000"
"2020-09-10","30.639999"
"2020-09-11","31.049999"
"2020-09-14","32.400002"
"2020-09-15","32.130001"
"2020-09-16","32.439999"
"2020-09-17","33.730000"
"2020-09-18","32.000000"
"2020-09-21","27.500000"
"2020-09-22","29.190001"
"2020-09-23","28.900000"
"2020-09-24","28.930000"
"2020-09-25","31.090000"
"2020-09-28","30.709999"
"2020-09-29","30.870001"
"2020-09-30","30.870001"
"2020-10-01","31.010000"
"2020-10-02","30.330000"
"2020-10-05","31.000000"
"2020-10-06","30.080000"
"2020-10-07","30.500000"
"2020-10-08","29.440001"
"2020-10-09","30.139999"
"2020-10-12","29.559999"
"2020-10-13","29.620001"
"2020-10-14","29.780001"
"2020-10-15","29.830000"
"2020-10-16","28.100000"
"2020-10-19","26.900000"
"2020-10-20","27.190001"
"2020-10-21","26.469999"
"2020-10-22","27.459999"
"2020-10-23","27.620001"
"2020-10-26","27.709999"
"2020-10-27","27.889999"
"2020-10-28","25.850000"
"2020-10-29","26.000000"
"2020-10-30","25.870001"
"2020-11-02","25.959999"
"2020-11-03","26.190001"
"2020-11-04","28.160000"
"2020-11-05","27.920000"
"2020-11-06","26.260000"
"2020-11-09","26.660000"
"2020-11-10","25.799999"
"2020-11-11","26.200001"
"2020-11-12","26.740000"
"2020-11-13","27.500000"
"2020-11-16","27.620001"
"2020-11-17","28.000000"
"2020-11-18","27.940001"
"2020-11-19","27.150000"
"2020-11-20","28.900000"
"2020-11-23","28.370001"
"2020-11-24","28.139999"
"2020-11-25","29.090000"
"2020-11-27","29.000000"
"2020-11-30","29.730000"
"2020-12-01","30.040001"
"2020-12-02","30.450001"
"2020-12-03","31.450001"
"2020-12-04","32.389999"
"2020-12-07","30.719999"
"2020-12-08","30.180000"
"2020-12-09","28.280001"
"2020-12-10","28.240000"
"2020-12-11","28.080000"
"2020-12-14","30.000000"
"2020-12-15","30.100000"
"2020-12-16","30.379999"
"2020-12-17","32.130001"
"2020-12-18","32.160000"
"2020-12-21","31.250000"
"2020-12-22","30.549999"
"2020-12-23","30.150000"
"2020-12-24","29.530001"
"2020-12-28","29.969999"
"2020-12-29","28.879999"
"2020-12-30","29.430000"
"2020-12-31","28.160000"
"2021-01-04","27.990000"
"2021-01-05","27.590000"
"2021-01-06","28.750000"
"2021-01-07","28.860001"
"2021-01-08","29.580000"
"2021-01-11","28.670000"
"2021-01-12","29.100000"
"2021-01-13","28.700001"
"2021-01-14","29.500000"
"2021-01-15","30.469999"
"2021-01-19","32.400002"
"2021-01-20","31.450001"
"2021-01-21","28.860001"
"2021-01-22","27.350000"
"2021-01-25","28.440001"
"2021-01-26","27.570000"
"2021-01-27","26.639999"
"2021-01-28","25.750000"
"2021-01-29","25.270000"
"2021-02-01","27.209999"
"2021-02-02","28.010000"
"2021-02-03","27.920000"
"2021-02-04","27.430000"
"2021-02-05","27.450001"
"2021-02-08","27.340000"
"2021-02-09","26.680000"
"2021-02-10","26.379999"
"2021-02-11","25.450001"
"2021-02-12","25.049999"
"2021-02-16","25.450001"
"2021-02-17","25.850000"
"2021-02-18","26.770000"
"2021-02-19","27.180000"
"2021-02-22","26.969999"
"2021-02-23","27.770000"
"2021-02-24","28.250000"
"2021-02-25","27.480000"
"2021-02-26","27.180000"
"2021-03-01","26.430000"
"2021-03-02","26.280001"
"2021-03-03","25.790001"
"2021-03-04","23.549999"
"2021-03-05","24.510000"
"2021-03-08","25.000000"
"2021-03-09","24.600000"
"2021-03-10","24.250000"
"2021-03-11","25.040001"
"2021-03-12","25.330000"
"2021-03-15","26.040001"
"2021-03-16","26.559999"
"2021-03-17","28.309999"
"2021-03-18","26.270000"
"2021-03-19","26.490000"
"2021-03-22","27.639999"
"2021-03-23","27.500000"
"2021-03-24","27.150000"
"2021-03-25","28.290001"
"2021-03-26","27.980000"
"2021-03-29","28.240000"
"2021-03-30","28.750000"
"2021-03-31","29.020000"
"2021-04-01","28.549999"
"2021-04-05","29.059999"
"2021-04-06","30.120001"
"2021-04-07","29.990000"
"2021-04-08","30.309999"
"2021-04-09","28.450001"
"2021-04-12","27.809999"
"2021-04-13","26.459999"
"2021-04-14","26.760000"
"2021-04-15","25.799999"
"2021-04-16","26.000000"
"2021-04-19","26.030001"
"2021-04-20","26.719999"
"2021-04-21","27.260000"
"2021-04-22","28.280001"
"2021-04-23","29.070000"
"2021-04-26","30.000000"
"2021-04-27","30.020000"
"2021-04-28","30.459999"
"2021-04-29","30.110001"
"2021-04-30","30.100000"
"2021-05-03","31.160000"
"2021-05-04","30.370001"
"2021-05-05","30.420000"
"2021-05-06","27.840000"
"2021-05-07","28.580000"
"2021-05-10","29.340000"
"2021-05-11","29.520000"
"2021-05-12","30.350000"
"2021-05-13","31.020000"
"2021-05-14","29.600000"
"2021-05-17","30.900000"
"2021-05-18","35.299999"
"2021-05-19","35.939999"
"2021-05-20","37.930000"
"2021-05-21","39.849998"
"2021-05-24","38.750000"
"2021-05-25","36.570000"
"2021-05-26","37.540001"
"2021-05-27","38.490002"
"2021-05-28","39.369999"
"2021-06-01","38.759998"
"2021-06-02","40.230000"
"2021-06-03","39.740002"
"2021-06-04","38.669998"
"2021-06-07","38.740002"
"2021-06-08","38.900002"
"2021-06-09","40.950001"
"2021-06-10","41.090000"
"2021-06-11","39.900002"
"2021-06-14","40.439999"
"2021-06-15","38.840000"
"2021-06-16","38.930000"
"2021-06-17","38.759998"
"2021-06-18","37.990002"
"2021-06-21","39.049999"
"2021-06-22","39.709999"
"2021-06-23","40.889999"
"2021-06-24","40.340000"
"2021-06-25","40.110001"
"2021-06-28","41.090000"
"2021-06-29","40.820000"
"2021-06-30","41.049999"
"2021-07-01","41.779999"
"2021-07-02","41.009998"
"2021-07-06","39.360001"
"2021-07-07","39.250000"
"2021-07-08","39.580002"
"2021-07-09","40.360001"
"2021-07-12","39.810001"
"2021-07-13","40.000000"
"2021-07-14","39.959999"
"2021-07-15","39.380001"
"2021-07-16","40.700001"
"2021-07-19","43.869999"
"2021-07-20","45.830002"
"2021-07-21","47.599998"
"2021-07-22","49.049999"
"2021-07-23","47.779999"
"2021-07-26","43.930000"
"2021-07-27","41.650002"
"2021-07-28","44.470001"
"2021-07-29","43.930000"
"2021-07-30","43.029999"
"2021-08-02","43.080002"
"2021-08-03","44.830002"
